source_kind,source_root,run_id,policy,checkpoint,task,cohort_id,group_id,query_key,query_uid,episode_key,episode_uid,episode_id,reset_id,source_seed,source_seed_provenance,query_idx,action_slot_start,executed_length,success,outcome,success_before,success_after,first_success_action_slot,first_success_query,baseline_eligible,L,h,V,y_ln,executed_flag,action_slot,b_position,mad_h,s_h_unfloored,scale_floor,scale_floored,mad_scale,r_raw,R_std,mu,P_h,S_raw,I_raw,S_std,I_std,phase_coarse,phase_task,phase_source,query_state_phase,phase_confidence
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,10,0.00019168041762895882,-8.559681059040415,True,10.0,-8.607580922881057,0.4163309122957317,0.6172522105696518,1e-06,False,0.6172522105696518,0.04789986384064271,0.07760176961770088,-8.647063204872525,0.03948228199146797,0.3631237395464203,-0.3152238757057776,0.5040262660657006,-0.4264244964479997,UNLABELED,UNLABELED,,UNLABELED,
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,11,0.00020171025244053453,-8.508678279191882,True,11.0,-8.46532888622237,0.3858658725347972,0.5720847426200903,1e-06,False,0.5720847426200903,-0.043349392969512124,-0.07577442595475678,-8.647063204872525,0.18173431865015566,0.3631237395464203,-0.4064731325159324,0.5040262660657006,-0.5798006920204574,UNLABELED,UNLABELED,,UNLABELED,
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,12,0.0002761213982012123,-8.194669936775432,True,12.0,-8.408084624108936,0.3815539145647966,0.5656918337337674,1e-06,False,0.5656918337337674,0.2134146873335041,0.3772631574419083,-8.647063204872525,0.23897858076358958,0.3631237395464203,-0.1497090522129162,0.5040262660657006,-0.12676310862379225,UNLABELED,UNLABELED,,UNLABELED,
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,13,0.00031535254674963653,-8.061819345769962,True,13.0,-8.563539409525589,0.3953640752532763,0.5861667779705074,1e-06,False,0.5861667779705074,0.5017200637556272,0.8559339809273033,-8.647063204872525,0.08352379534693632,0.3631237395464203,0.13859632420920687,0.5040262660657006,0.35190771486160277,UNLABELED,UNLABELED,,UNLABELED,
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,14,0.0003440170839894563,-7.97481923615715,True,14.0,-8.558156108444393,0.34286200018772117,0.5083272014783153,1e-06,False,0.5083272014783153,0.5833368722872434,1.147561788137218,-8.647063204872525,0.088907096428132,0.3631237395464203,0.2202131327408231,0.5040262660657006,0.6435355220715174,UNLABELED,UNLABELED,,UNLABELED,
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,15,0.00034188429708592594,-7.981038187831577,True,15.0,-8.551026724949434,0.3944686674127267,0.5848392463061085,1e-06,False,0.5848392463061085,0.5699885371178572,0.974607194571757,-8.647063204872525,0.09603647992309128,0.3631237395464203,0.20686479757143694,0.5040262660657006,0.4705809285060565,UNLABELED,UNLABELED,,UNLABELED,
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,16,0.0003196611942257732,-8.048248887977472,True,16.0,-8.678659616793857,0.39078001950660113,0.5793704569204868,1e-06,False,0.5793704569204868,0.6304107288163845,1.0880960899649434,-8.647063204872525,-0.031596411921331224,0.3631237395464203,0.2672869892699642,0.5040262660657006,0.5840698238992429,UNLABELED,UNLABELED,,UNLABELED,
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,17,0.0001764071057550609,-8.642716127476008,True,17.0,-8.879619539868031,0.38444939041048176,0.5699846662225803,1e-06,False,0.5699846662225803,0.23690341239202262,0.4156312027866225,-8.647063204872525,-0.23255633499550576,0.3631237395464203,-0.12622032715439768,0.5040262660657006,-0.08839506327907803,UNLABELED,UNLABELED,,UNLABELED,
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,18,0.0004649960610549897,-7.6734816211117245,True,18.0,-8.67577758977879,0.41804269394036453,0.6197900980359844,1e-06,False,0.6197900980359844,1.002295968667065,1.617153891040177,-8.647063204872525,-0.0287143849062641,0.3631237395464203,0.6391722291206446,0.5040262660657006,1.1131276249744766,UNLABELED,UNLABELED,,UNLABELED,
fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_query0000,episode0001_query0000,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,1,0,,missing,0,0,24,True,success,False,False,140.0,5.0,True,3,19,0.0005506696179509163,-7.504375531274822,True,19.0,-8.546241500549806,0.41775032009349644,0.6193566245706178,1e-06,False,0.6193566245706178,1.0418659692749843,1.6821745791405398,-8.647063204872525,0.10082170432271909,0.3631237395464203,0.678742229728564,0.5040262660657006,1.1781483130748391,UNLABELED,UNLABELED,,UNLABELED,
