unix_time,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,driver_rss_kib,qam_process_rss_kib,compute_process_count
1785516789,233173020672,33819676672,195918295040,0,0,967283109888,24184,3,24033,4,1056,31297292,8
1785516799,233220636672,33864433664,195918307328,0,0,967283109888,19643,37,19855,40,1056,31521432,8
1785516809,233070993408,33714032640,195918385152,0,0,967283064832,24088,0,18859,0,1056,31376440,8
1785516819,233134870528,33781100544,195918381056,0,0,967283064832,19643,35,19855,0,1056,31442784,8
1785516830,232978501632,33622863872,195918442496,0,0,967283019776,18646,66,18859,21,1056,31285604,8
1785516840,233103638528,33749512192,195918475264,0,0,967283019776,19643,29,19855,56,1056,31409864,8
1785516850,232976982016,33623166976,195918819328,0,0,967282982912,18646,0,18859,0,1056,31224644,8
1785516860,233241481216,33887924224,195918823424,0,0,967282982912,19643,100,19855,0,1056,31545828,8
1785516870,233245638656,33889718272,195918897152,0,0,967282876416,18902,16,19115,58,1056,31546240,8
1785516881,233303154688,33946144768,195918897152,0,0,967282876416,19643,10,19855,36,1056,31601548,8
1785516891,234691301376,35342782464,195918938112,0,0,967282839552,19853,13,20065,15,1056,33273264,8
1785516901,250141790208,40778256384,205895020544,0,0,952237854720,22365,0,22577,0,1056,38275944,8
1785516911,246286053376,36536958976,206284103680,0,0,956918026240,19607,3,19563,1,1056,34177720,8
1785516922,246443692032,36694687744,206284103680,0,0,956918026240,19889,39,20101,42,1056,34287004,8
1785516932,246188650496,36441853952,206284173312,0,0,956917981184,19351,2,19819,0,1056,33955496,8
1785516942,246103498752,36355235840,206284177408,0,0,956918034432,19889,80,20101,36,1056,33955640,8
1785516952,246133936128,36386668544,206284218368,0,0,956917993472,30097,98,30637,76,1056,34024596,8
1785516962,246134472704,36388655104,206284431360,0,0,956917993472,30097,87,30637,90,1056,34026452,8
1785516973,245803405312,36054818816,206284587008,0,0,956917940224,20196,48,20255,43,1056,33700640,8
1785516983,245989171200,36241424384,206284587008,0,0,956917940224,21193,15,21251,100,1056,33881184,8
1785516993,245988999168,36242403328,206284632064,0,0,956917903360,30399,100,30689,81,1056,33881372,8
1785517003,245987553280,36241895424,206284632064,0,0,956917903360,30431,97,30721,82,1056,33881372,8
1785517014,245989109760,36242063360,206284636160,0,0,956917903360,30431,99,30721,91,1056,33881588,8
1785517024,245848834048,36100894720,206284869632,0,0,956917772288,20176,0,20155,0,1056,33741804,8
1785517034,246029590528,36277936128,206284980224,0,0,956917772288,20917,38,21151,71,1056,33914664,8
1785517044,246008676352,36261728256,206285021184,0,0,956917731328,30181,90,30651,90,1056,33898744,8
1785517054,246011854848,36261765120,206285025280,0,0,956917727232,30213,96,30683,96,1056,33898780,8
1785517065,246024888320,36277780480,206285029376,0,0,956917727232,30213,100,30683,100,1056,33899024,8
1785517075,245886091264,36137914368,206285053952,0,0,956917727232,20188,0,20155,0,1056,33777944,8
1785517085,246163337216,36413419520,206285537280,0,0,956917727232,21185,0,21151,96,1056,34044108,8
1785517095,246154317824,36407746560,206285594624,0,0,956917682176,30653,99,30683,74,1056,34044296,8
1785517105,246160756736,36412932096,206285594624,0,0,956917682176,30653,98,30683,77,1056,34045060,8
1785517116,246163808256,36414713856,206285598720,0,0,956917682176,30653,91,30683,76,1056,34045200,8
1785517126,246190923776,36438872064,206285615104,0,0,956917682176,21329,42,21143,65,1056,34069440,8
1785517136,245185024000,35591614464,206290587648,0,0,956917682176,21329,93,21151,0,1056,34071056,8
1785517146,208552648704,310964224,205377355776,0,0,956917776384,0,0,0,0,0,0,0
