step,elapsed_s,step_time_s,train_success,eval_success,reward,generate_rollouts_s,actor_training_s,local_cache_size,local_transition_count,global_min_replay_size,update_step,ready_for_online,actor_loss,critic_loss,actor_grad_norm,critic_grad_norm,updates_scheduled,global_total_transitions_added
51,5164,101.274,0.125,,0.00625,94.165,0.0056,3765.0,75.5,3708.0,0.0,0.0,,,,,0.0,753.0
52,5253,101.029,0.125,,0.00625,87.811,0.0054,3840.5,75.5,3779.0,0.0,0.0,,,,,0.0,768.0
53,5349,100.936,0.125,,0.00625,95.395,0.0036,3916.0,75.5,3850.0,0.0,0.0,,,,,0.0,783.0
54,5434,100.631,0.25,,0.0131250005,83.921,0.0047,3986.5,70.5,3920.0,0.0,0.0,,,,,0.0,797.0
55,5528,100.513,0.0,,0.0,93.607,0.0068,4066.5,80.0,4000.0,0.0,0.0,,,,,0.0,813.0
56,5620,100.369,0.125,,0.005,91.731,0.0065,4143.0,76.5,4073.0,0.0,0.0,,,,,0.0,828.0
57,5715,100.274,0.25,,0.0125,94.233,0.0031,4214.0,71.0,4153.0,0.0,0.0,,,,,0.0,842.0
58,5805,100.098,0.25,,0.0125,89.49,0.006,4285.0,71.0,4224.0,0.0,0.0,,,,,0.0,857.0
59,5900,100.0,0.125,,0.005625,93.588,0.0056,4361.0,76.0,4304.0,0.0,0.0,,,,,0.0,872.0
60,5996,99.935,0.0,,0.0,95.318,0.0056,4441.0,80.0,4384.0,0.0,0.0,,,,,0.0,888.0
61,6090,99.847,0.125,,0.00625,93.826,0.0057,4516.5,75.5,4455.0,0.0,0.0,,,,,0.0,903.0
62,6186,99.778,0.125,,0.005,94.808,0.0048,4593.0,76.5,4528.0,0.0,0.0,,,,,0.0,918.0
63,6278,99.655,0.0,,0.0,91.372,0.0053,4673.0,80.0,4608.0,0.0,0.0,,,,,0.0,934.0
64,6372,99.571,0.125,,0.005625,93.59,0.0056,4749.0,76.0,4688.0,0.0,0.0,,,,,0.0,949.0
65,6462,99.425,0.25,,0.01125,89.316,0.0056,4821.0,72.0,4760.0,0.0,0.0,,,,,0.0,964.0
66,6556,99.333,0.0,,0.0,92.781,0.005,4901.0,80.0,4840.0,0.0,0.0,,,,,0.0,980.0
67,6649,99.25,0.0,,0.0,93.23,0.0055,4981.0,80.0,4920.0,0.0,0.0,,,,,0.0,996.0
68,6743,99.17,0.125,,0.00625,93.075,0.0054,5056.5,75.5,4991.0,0.0,0.0,,,,,0.0,1.0
69,6837,99.09,0.125,,0.004375,92.968,0.0059,5133.5,77.0,5065.0,0.0,0.0,,,,,0.0,1.0
70,6931,99.022,0.125,,0.00625,93.559,0.0053,5209.0,75.5,5136.0,0.0,0.0,,,,,0.0,1.0
71,7018,98.849,0.0,,0.0,86.16,0.0057,5289.0,80.0,5216.0,0.0,0.0,,,,,0.0,1.0
72,7109,98.741,0.125,,0.006875,90.375,0.0059,5364.0,75.0,5286.0,0.0,0.0,,,,,0.0,1.0
73,7202,98.671,0.25,,0.01125,92.915,0.0059,5436.0,72.0,5350.0,0.0,0.0,,,,,0.0,1.0
74,7293,98.563,0.25,,0.011875,89.917,0.0062,5507.5,71.5,5420.0,0.0,0.0,,,,,0.0,1.1
75,7601,101.349,0.125,0.0,0.005,94.954,0.0065,5584.0,76.5,5493.0,0.0,0.0,,,,,0.0,1.1
76,7696,101.266,0.0,,0.0,94.213,0.0053,5664.0,80.0,5573.0,0.0,0.0,,,,,0.0,1.1
77,7790,101.176,0.125,,0.005625,93.66,0.0053,5740.0,76.0,5645.0,0.0,0.0,,,,,0.0,1.1
78,7879,101.024,0.25,,0.0125,88.535,0.0046,5811.0,71.0,5716.0,0.0,0.0,,,,,0.0,1.1
79,7973,100.927,0.125,,0.006875,92.873,0.0048,5886.0,75.0,5786.0,0.0,0.0,,,,,0.0,1.1
80,8069,100.863,0.125,,0.00625,95.188,0.0049,5961.5,75.5,5866.0,0.0,0.0,,,,,0.0,1.1
81,8166,100.816,0.25,,0.0125,96.27,0.0041,6032.5,71.0,5946.0,0.0,0.0,,,,,0.0,1.2
82,8250,100.613,0.375,,0.0175,83.608,0.0056,6100.0,67.5,6018.0,0.0,0.0,,,,,0.0,1.2
83,8342,100.51,0.125,,0.005625,91.349,0.0047,6176.0,76.0,6098.0,0.0,0.0,,,,,0.0,1.2
84,8438,100.463,0.125,,0.00625,95.954,0.0043,6251.5,75.5,6178.0,0.0,0.0,,,,,0.0,1.2
85,8527,100.32,0.125,,0.006875,87.767,0.0063,6326.5,75.0,6258.0,0.0,0.0,,,,,0.0,1.2
86,8622,100.256,0.0,,0.0,94.067,0.0067,6406.5,80.0,6338.0,0.0,0.0,,,,,0.0,1.2
87,8715,100.177,0.0,,0.0,92.623,0.0049,6486.5,80.0,6418.0,0.0,0.0,,,,,0.0,1.3
88,8797,99.975,0.5,,0.02375,81.706,0.006,6549.5,63.0,6481.0,0.0,0.0,,,,,0.0,1.3
89,8889,99.887,0.0,,0.0,91.349,0.005,6629.5,80.0,6561.0,0.0,0.0,,,,,0.0,1.3
90,8981,99.795,0.125,,0.005625,91.07,0.003,6705.5,76.0,6633.0,0.0,0.0,,,,,0.0,1.3
91,9076,99.738,0.125,,0.00625,94.069,0.0067,6781.0,75.5,6704.0,0.0,0.0,,,,,0.0,1.3
92,9172,99.705,0.125,,0.005625,95.957,0.0057,6857.0,76.0,6784.0,0.0,0.0,,,,,0.0,1.3
93,9267,99.654,0.0,,0.0,94.195,0.0064,6937.0,80.0,6864.0,0.0,0.0,,,,,0.0,1.3
94,9355,99.524,0.0,,0.0,86.684,0.0051,7017.0,80.0,6944.0,0.0,0.0,,,,,0.0,1.4
95,9440,99.375,0.25,,0.0131250005,84.866,0.0033,7087.5,70.5,7005.0,0.0,0.0,,,,,0.0,1.4
96,9528,99.257,0.0,,0.0,87.635,0.0057,7167.5,80.0,7085.0,0.0,0.0,,,,,0.0,1.4
97,9623,99.211,0.125,,0.00625,94.005,0.003,7243.0,75.5,7156.0,0.0,0.0,,,,,0.0,1.4
98,9718,99.171,0.125,,0.005625,94.724,0.0063,7319.0,76.0,7228.0,0.0,0.0,,,,,0.0,1.4
99,9810,99.094,0.125,,0.00625,90.805,0.006,7394.5,75.5,7308.0,0.0,0.0,,,,,0.0,1.4
100,10105,101.053,0.0,0.0,0.0,93.545,0.0053,7474.5,80.0,7388.0,0.0,0.0,,,,,0.0,1.4
101,10199,100.989,0.0,,0.0,93.967,0.0076,7554.5,80.0,7468.0,0.0,0.0,,,,,0.0,1.5
102,10291,100.893,0.0,,0.0,90.442,0.0054,7634.5,80.0,7548.0,0.0,0.0,,,,,0.0,1.5
103,10385,100.829,0.0,,0.0,93.523,0.0055,7714.5,80.0,7628.0,0.0,0.0,,,,,0.0,1.5
104,10479,100.763,0.0,,0.0,93.314,0.0065,7794.5,80.0,7708.0,0.0,0.0,,,,,0.0,1.5
105,10574,100.705,0.0,,0.0,93.883,0.0055,7874.5,80.0,7788.0,0.0,0.0,,,,,0.0,1.5
106,10670,100.662,0.125,,0.00625,95.339,0.0026,7950.0,75.5,7859.0,0.0,0.0,,,,,0.0,1.5
107,10763,100.597,0.125,,0.00625,93.215,0.0048,8025.5,75.5,7939.0,0.0,0.0,,,,,0.0,1.6
108,10858,100.54,0.125,,0.00625,93.917,0.006,8101.0,75.5,8010.0,0.0,0.0,,,,,0.0,1.6
109,10952,100.48,0.125,,0.006875,93.26,0.0049,8176.0,75.0,8080.0,0.0,0.0,,,,,0.0,1.6
110,11044,100.407,0.0,,0.0,91.889,0.0061,8256.0,80.0,8160.0,0.0,0.0,,,,,0.0,1.6
111,11134,100.311,0.5,,0.02125,88.979,0.005,8321.0,65.0,8218.0,0.0,0.0,,,,,0.0,1.6
112,11231,100.279,0.0,,0.0,95.965,0.0054,8401.0,80.0,8298.0,0.0,0.0,,,,,0.0,1.6
113,11326,100.239,0.125,,0.00625,95.024,0.0046,8476.5,75.5,8369.0,0.0,0.0,,,,,0.0,1.7
114,11419,100.174,0.0,,0.0,92.345,0.0055,8556.5,80.0,8449.0,0.0,0.0,,,,,0.0,1.7
115,11509,100.082,0.25,,0.011875,88.791,0.0057,8628.0,71.5,8521.0,0.0,0.0,,,,,0.0,1.7
116,11598,99.99,0.125,,0.00625,88.727,0.0052,8703.5,75.5,8592.0,0.0,0.0,,,,,0.0,1.7
117,11689,99.911,0.25,,0.01125,90.053,0.0054,8775.5,72.0,8665.0,0.0,0.0,,,,,0.0,1.7
118,11784,99.87,0.125,,0.005625,94.332,0.0057,8851.5,76.0,8737.0,0.0,0.0,,,,,0.0,1.7
119,11878,99.816,0.125,,0.006875,92.701,0.0054,8926.5,75.0,8817.0,0.0,0.0,,,,,0.0,1.7
120,11971,99.764,0.125,,0.005625,92.841,0.006,9002.5,76.0,8889.0,0.0,0.0,,,,,0.0,1.8
121,12063,99.698,0.25,,0.010625,91.055,0.0058,9075.0,72.5,8960.0,0.0,0.0,,,,,0.0,1.8
122,12156,99.64,0.125,,0.00625,91.778,0.0056,9150.5,75.5,9040.0,0.0,0.0,,,,,0.0,1.8
123,12250,99.596,0.125,,0.005625,93.528,0.0058,9226.5,76.0,9120.0,0.0,0.0,,,,,0.0,1.8
124,12345,99.559,0.25,,0.011875,94.249,0.0048,9298.0,71.5,9183.0,0.0,0.0,,,,,0.0,1.8
125,12654,101.232,0.5,0.0,0.023125,86.26,0.005,9361.5,63.5,9239.0,0.0,0.0,,,,,0.0,1.8
126,12749,101.185,0.375,,0.019375,94.76,0.0032,9427.5,66.0,9291.0,0.0,0.0,,,,,0.0,1.8
127,12841,101.113,0.25,,0.0125,91.455,0.0059,9498.5,71.0,9353.0,0.0,0.0,,,,,0.0,1.9
128,12932,101.032,0.375,,0.01875,90.09,0.0029,9565.0,66.5,9414.0,0.0,0.0,,,,,0.0,1.9
129,13016,100.905,0.375,,0.0175,84.043,0.0059,9632.5,67.5,9477.0,0.0,0.0,,,,,0.0,1.9
130,13105,100.811,0.25,,0.0125,87.901,0.006,9703.5,71.0,9548.0,0.0,0.0,,,,,0.0,1.9
131,13195,100.732,0.0,,0.0,89.793,0.0033,9783.5,80.0,9628.0,0.0,0.0,,,,,0.0,1.9
132,13281,100.616,0.125,,0.006875,84.891,0.0061,9858.5,75.0,9698.0,0.0,0.0,,,,,0.0,1.9
133,13375,100.567,0.0,,0.0,93.573,0.0035,9938.5,80.0,9778.0,0.0,0.0,,,,,0.0,1.9
134,13456,100.419,0.125,,0.00625,80.263,0.003,10000.0,75.5,9858.0,0.0,0.0,,,,,0.0,2.0
135,13541,100.31,0.125,,0.005625,85.244,0.0062,10100.0,76.0,9938.0,0.0,0.0,,,,,0.0,2.0
136,13677,100.57,0.125,,0.00625,96.121,38.658,10200.0,75.5,10000.0,0.0,0.0,0.253,0.0034,0.895,0.735,30000.0,2.0
137,13830,100.951,0.125,,0.005625,93.005,59.162,10200.0,76.0,10100.0,1600.0,0.0,0.089,0.0032,0.826,0.683,29200.0,2.0
138,13960,101.163,0.125,,0.005625,91.407,38.044,10300.0,76.0,10200.0,3200.0,0.0,0.078,0.0031,0.867,0.739,28300.0,2.0
139,14109,101.508,0.0,,0.0,89.201,59.325,10400.0,80.0,10200.0,4800.0,0.0,0.072,0.0027,0.807,0.674,27500.0,2.0
140,14233,101.669,0.375,,0.018125001,85.809,37.695,10500.0,67.0,10300.0,6400.0,0.0,0.07,0.0023,0.833,0.702,26600.0,2.0
141,14356,101.821,0.0,,0.0,86.313,36.229,10500.0,80.0,10400.0,8000.0,0.0,0.067,0.0021,0.815,0.684,25800.0,2.1
142,14502,102.132,0.0,,0.0,85.32,60.093,10600.0,80.0,10500.0,9600.0,0.0,0.066,0.0018,0.79,0.656,25000.0,2.1
143,14658,102.505,0.125,,0.005625,93.7,61.027,10700.0,76.0,10600.0,11200.0,0.0,0.065,0.0017,0.759,0.617,24200.0,2.1
