step,elapsed_s,step_time_s,train_success,eval_success,reward,generate_rollouts_s,actor_training_s,local_cache_size,local_transition_count,global_min_replay_size,update_step,ready_for_online,actor_loss,critic_loss,actor_grad_norm,critic_grad_norm,updates_scheduled,global_total_transitions_added
193,21642,112.139,0.75,,0.025625,83.857,19.418,14400.0,62.5,14200.0,71300.0,1.0,-0.053,0.0013,3.174,0.15,625.0,2.8
194,21749,112.109,0.875,,0.025625,84.04,21.614,14400.0,63.0,14300.0,71900.0,1.0,-0.053,0.0013,3.159,0.165,630.0,2.8
195,21859,112.102,0.875,,0.03125,86.66,23.294,14500.0,58.5,14300.0,72600.0,1.0,-0.054,0.0013,3.158,0.155,585.0,2.9
196,21971,112.099,0.25,,0.009375,87.094,23.589,14600.0,73.5,14400.0,73100.0,1.0,-0.054,0.0014,3.141,0.16,735.0,2.9
197,22079,112.077,0.625,,0.024375,82.407,24.719,14600.0,63.0,14500.0,73900.0,1.0,-0.054,0.0013,3.131,0.161,630.0,2.9
198,22185,112.049,0.625,,0.02375,87.079,18.793,14700.0,63.5,14500.0,74500.0,1.0,-0.054,0.0013,3.12,0.169,635.0,2.9
199,22291,112.018,0.625,,0.02375,86.341,19.001,14700.0,63.5,14600.0,75100.0,1.0,-0.054,0.0014,3.133,0.176,635.0,2.9
200,22612,113.065,0.5,0.9,0.019375,91.316,27.367,14800.0,66.5,14600.0,75800.0,1.0,-0.056,0.0014,3.107,0.162,665.0,2.9
201,22707,112.972,0.875,,0.03625,76.827,16.958,14900.0,54.5,14700.0,76400.0,1.0,-0.057,0.0014,3.1,0.157,545.0,2.9
202,22811,112.926,1.0,,0.04,81.822,21.272,14900.0,52.0,14700.0,77000.0,1.0,-0.058,0.0014,3.091,0.159,520.0,2.9
203,22927,112.943,0.625,,0.025625,89.304,26.256,15000.0,62.0,14800.0,77500.0,1.0,-0.06,0.0014,3.078,0.156,620.0,3.0
204,23043,112.958,0.875,,0.033125,91.885,23.272,15000.0,57.0,14900.0,78100.0,1.0,-0.061,0.0014,3.086,0.169,570.0,3.0
205,23151,112.935,0.875,,0.035625,85.314,22.09,15100.0,55.0,14900.0,78700.0,1.0,-0.063,0.0014,3.071,0.152,550.0,3.0
206,23267,112.949,0.75,,0.033125002,98.797,16.238,15100.0,56.5,15000.0,79200.0,1.0,-0.065,0.0015,3.052,0.172,565.0,3.0
207,23381,112.953,0.625,,0.025625,94.243,18.744,15200.0,62.0,15000.0,79800.0,1.0,-0.066,0.0015,3.054,0.162,620.0,3.0
208,23487,112.921,0.875,,0.035,84.35,21.213,15300.0,55.5,15100.0,80400.0,1.0,-0.068,0.0014,3.033,0.15,555.0,3.0
209,23591,112.88,0.875,,0.038125,82.874,20.693,15300.0,53.0,15100.0,81000.0,1.0,-0.069,0.0014,3.034,0.159,530.0,3.0
210,23697,112.846,0.75,,0.033125,82.51,22.487,15400.0,56.5,15200.0,81500.0,1.0,-0.071,0.0014,3.018,0.167,565.0,3.0
211,23799,112.793,1.0,,0.043750003,81.257,19.5,15400.0,49.0,15200.0,82100.0,1.0,-0.071,0.0014,3.013,0.159,490.0,3.0
212,23909,112.782,0.625,,0.02625,85.628,24.155,15500.0,61.5,15300.0,82600.0,1.0,-0.072,0.0015,3.02,0.168,615.0,3.1
213,24015,112.747,0.75,,0.03125,87.037,17.373,15500.0,58.0,15400.0,83200.0,1.0,-0.073,0.0014,2.99,0.165,580.0,3.1
214,24123,112.725,0.875,,0.0325,86.769,20.705,15600.0,57.5,15400.0,83800.0,1.0,-0.074,0.0014,2.984,0.155,575.0,3.1
215,24233,112.714,0.75,,0.031875,86.358,23.226,15700.0,57.5,15500.0,84300.0,1.0,-0.075,0.0014,2.975,0.156,575.0,3.1
216,24345,112.711,0.625,,0.024375,85.857,25.429,15700.0,63.0,15500.0,84900.0,1.0,-0.075,0.0014,2.975,0.161,630.0,3.1
217,24457,112.705,0.875,,0.030625,87.498,23.199,15800.0,59.0,15600.0,85600.0,1.0,-0.077,0.0014,2.947,0.154,590.0,3.1
218,24559,112.658,0.875,,0.03375,79.698,21.962,15800.0,56.5,15600.0,86100.0,1.0,-0.078,0.0014,2.937,0.149,565.0,3.1
219,24663,112.619,1.0,,0.038125,82.69,20.608,15900.0,53.5,15700.0,86700.0,1.0,-0.077,0.0014,2.939,0.15,535.0,3.1
220,24773,112.606,0.625,,0.024999999,84.29,24.516,16000.0,62.5,15700.0,87200.0,1.0,-0.078,0.0016,2.93,0.16,625.0,3.1
221,24884,112.599,0.625,,0.028125,86.596,23.686,16000.0,60.0,15800.0,87900.0,1.0,-0.08,0.0016,2.909,0.156,600.0,3.2
222,24989,112.566,0.625,,0.03,88.641,15.899,16100.0,58.5,15800.0,88500.0,1.0,-0.079,0.0016,2.91,0.157,585.0,3.2
223,25099,112.556,0.5,,0.02,83.365,26.305,16100.0,66.0,15900.0,89000.0,1.0,-0.079,0.0016,2.894,0.152,660.0,3.2
224,25207,112.532,1.0,,0.036875,84.207,22.162,16200.0,54.5,16000.0,89700.0,1.0,-0.079,0.0017,2.876,0.156,545.0,3.2
225,25531,113.472,0.875,0.95,0.03625,81.148,21.836,16200.0,54.5,16000.0,90300.0,1.0,-0.08,0.0017,2.874,0.167,545.0,3.2
226,25628,113.402,1.0,,0.043125004,77.201,19.682,16300.0,49.5,16100.0,90800.0,1.0,-0.08,0.0018,2.857,0.172,495.0,3.2
227,25730,113.351,0.875,,0.039375003,80.273,20.836,16300.0,52.0,16100.0,91300.0,1.0,-0.081,0.0017,2.845,0.152,520.0,3.2
228,25836,113.32,0.875,,0.03875,84.14,21.323,16400.0,52.5,16200.0,91800.0,1.0,-0.082,0.0017,2.843,0.153,525.0,3.2
229,25935,113.256,1.0,,0.04625,78.865,18.969,16400.0,47.0,16200.0,92300.0,1.0,-0.081,0.0017,2.837,0.158,470.0,3.2
230,26037,113.205,0.75,,0.031875,82.832,17.899,16500.0,57.5,16300.0,92800.0,1.0,-0.082,0.0017,2.827,0.155,575.0,3.3
231,26142,113.169,0.75,,0.0325,81.152,23.259,16600.0,57.0,16300.0,93400.0,1.0,-0.083,0.0017,2.815,0.145,570.0,3.3
232,26235,113.082,0.875,,0.0375,77.585,14.534,16600.0,53.5,16400.0,94000.0,1.0,-0.083,0.0016,2.819,0.154,535.0,3.3
233,26323,112.978,0.75,,0.030624999,72.084,16.163,16700.0,58.5,16500.0,94500.0,1.0,-0.084,0.0016,2.819,0.149,585.0,3.3
234,26435,112.97,0.75,,0.029999997,88.269,22.332,16700.0,59.0,16500.0,95100.0,1.0,-0.084,0.0016,2.814,0.155,590.0,3.3
235,26542,112.948,0.875,,0.037499998,85.168,21.841,16800.0,53.5,16600.0,95700.0,1.0,-0.085,0.0016,2.805,0.159,535.0,3.3
236,26647,112.912,0.875,,0.039375,82.928,20.689,16800.0,52.0,16600.0,96200.0,1.0,-0.085,0.0016,2.807,0.151,520.0,3.3
237,26764,112.932,0.5,,0.02125,89.906,27.078,16900.0,65.0,16700.0,96700.0,1.0,-0.085,0.0016,2.805,0.157,650.0,3.3
238,26873,112.912,0.75,,0.033125002,83.945,23.392,17000.0,56.5,16700.0,97400.0,1.0,-0.085,0.0015,2.796,0.145,565.0,3.3
239,26980,112.888,0.875,,0.0375,84.437,21.956,17000.0,53.5,16800.0,97900.0,1.0,-0.086,0.0015,2.792,0.148,535.0,3.4
240,27082,112.846,1.0,,0.045,81.474,20.401,17100.0,48.0,16800.0,98500.0,1.0,-0.086,0.0015,2.785,0.153,480.0,3.4
241,27190,112.826,0.875,,0.035625,85.059,22.053,17100.0,55.0,16900.0,99000.0,1.0,-0.086,0.0015,2.779,0.158,550.0,3.4
242,27299,112.806,0.875,,0.038124997,86.172,21.15,17200.0,53.0,16900.0,99500.0,1.0,-0.087,0.0015,2.783,0.153,530.0,3.4
243,27408,112.792,0.75,,0.031875,84.715,23.799,17200.0,57.5,17000.0,100000.0,1.0,-0.087,0.0014,2.779,0.149,575.0,3.4
244,27507,112.735,0.875,,0.039375,81.847,16.309,17300.0,52.0,17000.0,101000.0,1.0,-0.088,0.0014,2.768,0.154,520.0,3.4
245,27604,112.673,0.875,,0.039375,76.123,20.875,17300.0,52.0,17100.0,101000.0,1.0,-0.087,0.0014,2.763,0.165,520.0,3.4
246,27706,112.627,1.0,,0.043749996,81.264,19.167,17400.0,49.0,17100.0,102000.0,1.0,-0.088,0.0013,2.757,0.149,490.0,3.4
247,27807,112.581,0.875,,0.04,81.675,18.821,17400.0,51.5,17200.0,102000.0,1.0,-0.089,0.0014,2.744,0.143,515.0,3.4
248,27906,112.526,1.0,,0.045625005,79.961,18.414,17500.0,47.5,17200.0,103000.0,1.0,-0.089,0.0014,2.755,0.157,475.0,3.5
249,28009,112.487,1.0,,0.0475,83.573,18.476,17500.0,46.0,17300.0,103000.0,1.0,-0.09,0.0014,2.733,0.159,460.0,3.5
250,28351,113.406,0.875,0.9,0.038125,85.673,21.64,17600.0,53.0,17300.0,104000.0,1.0,-0.09,0.0014,2.729,0.151,530.0,3.5
