global_step,target_step,progress_pct,elapsed_text,elapsed_s,eta_text,eta_s,mean_step_time_s,actor/actor/compute_adv,actor/actor/recv_traj,actor/run_training,cal_adv_and_returns,env/compute_bootstrap_rewards,env/env/bootstrap_step,env/env/send_rollout_trajectories,env/env_interact_step,env/interact,env/run_interact_once,generate_rollouts,rollout/generate_one_epoch,rollout/predict,rollout/rollout/generate,step,sync_weights,episode_len,num_trajectories,return,reward,success_once,advantages_max,advantages_mean,advantages_min,rewards,actor/approx_kl,actor/clip_fraction,actor/clipped_ratio,actor/dual_cliped_ratio,actor/dvac_current_mean,actor/dvac_current_std,actor/dvac_history_mean,actor/dvac_history_std,actor/dvac_warmup,actor/dvac_weight_mean_rank_local,actor/entropy_loss,actor/grad_norm,actor/lr,actor/policy_loss,actor/policy_loss_abs,actor/ratio,actor/ratio_abs,actor/total_loss,step_time_s,success_pct
1,100,1.0,25:47,1547.0,42:32:56,153176.0,1547.24,0.02,1501.4,33.997,0.024,0.0067,863.9,1.206,607.6,1500.8,1499.9,1501.5,1499.1,27.15,1499.2,1547.2,11.699,200.0,256.0,0.82421875,0.0041210935,0.82421875,2.475,-0.116,-2.475,0.0044,0.122,0.15,0.977,0.0,-4.424,0.64,0.0,0.0,1.0,1.0,0.0,39.272,5.6e-06,0.011,0.461,1.005,0.25,0.0013,1547.2,82.421875
2,100,2.0,50:53,3053.0,41:33:33,149613.0,1526.664,0.004,1470.7,33.663,0.0074,0.0059,857.7,0.764,577.6,1470.0,1469.0,1470.8,1468.2,26.147,1468.2,1506.1,1.545,200.0,256.0,0.76171875,0.0038085936,0.76171875,1.62,-0.113,-2.475,0.0045,0.044,0.134,0.988,0.0,-4.39,0.654,-4.424,0.64,0.0,0.989,0.0,38.011,5.6e-06,0.0053,0.479,1.011,0.174,0.000657,1506.1,76.171875
3,100,3.0,01:16:08,4568.0,41:01:43,147703.0,1522.72,0.006,1479.7,33.722,0.0094,0.0059,842.9,0.782,602.6,1478.9,1478.2,1479.8,1477.3,26.025,1477.3,1514.8,1.321,200.0,256.0,0.7890625,0.003945312,0.7890625,2.475,-0.116,-2.475,0.0041,0.051,0.156,0.982,0.0,-4.39,0.689,-4.407,0.647,0.0,0.991,0.0,44.164,5.6e-06,0.0071,0.494,0.995,0.187,0.000892,1514.8,78.90625
4,100,4.0,01:41:29,6089.0,40:35:56,146156.0,1522.461,0.0032,1486.7,33.613,0.0065,0.0061,856.9,0.727,593.9,1485.9,1485.1,1486.8,1484.4,26.028,1484.4,1521.7,1.278,200.0,256.0,0.8125,0.0040625,0.8125,1.62,-0.116,-2.475,0.0043,0.032,0.127,0.989,0.0,-4.374,0.668,-4.401,0.661,0.0,0.997,0.0,46.177,5.6e-06,0.0057,0.5,1.0,0.154,0.000714,1521.7,81.25
5,100,5.0,02:06:28,7588.0,40:02:52,144172.0,1517.604,0.0027,1463.0,33.623,0.0062,0.0057,852.6,0.773,573.8,1462.3,1461.4,1463.1,1460.7,26.857,1460.7,1498.2,1.394,200.0,256.0,0.8203125,0.0041015623,0.8203125,1.208,-0.111,-2.475,0.0045,0.021,0.137,0.996,0.0,-4.381,0.635,-4.394,0.663,0.0,0.989,0.0,29.716,5.6e-06,-0.000483,0.414,1.016,0.155,-6.04e-05,1498.2,82.03125
6,100,6.0,02:30:59,9059.0,39:25:32,141932.0,1509.915,0.0035,1436.3,33.643,0.0071,0.0059,847.5,0.765,553.5,1435.6,1434.6,1436.4,1433.8,26.798,1433.8,1471.4,1.424,200.0,256.0,0.9140625,0.004570312,0.9140625,0.935,-0.11,-2.475,0.005,0.044,0.11,0.989,0.0,-4.409,0.618,-4.392,0.658,0.0,0.982,0.0,29.378,5.6e-06,0.000766,0.299,0.994,0.152,9.58e-05,1471.4,91.40625
7,100,7.0,02:55:48,10548.0,38:55:41,140141.0,1506.901,0.0045,1453.8,33.695,0.0075,0.0058,848.9,0.758,568.0,1453.0,1452.2,1453.9,1451.5,27.085,1451.5,1488.8,1.223,200.0,256.0,0.828125,0.004140625,0.828125,0.935,-0.115,-2.475,0.0046,0.03,0.129,0.986,0.0,-4.373,0.638,-4.389,0.653,0.0,0.998,0.0,33.815,5.6e-06,0.0029,0.414,1.001,0.152,0.000362,1488.8,82.8125
8,100,8.0,03:20:28,12028.0,38:25:22,138322.0,1503.502,0.0035,1444.7,33.685,0.0077,0.0061,847.0,0.74,562.6,1443.9,1443.0,1444.8,1442.2,26.646,1442.2,1479.7,1.201,200.0,256.0,0.81640625,0.004082031,0.81640625,1.62,-0.118,-2.475,0.0042,0.016,0.106,0.996,0.0,-4.347,0.642,-4.385,0.65,0.0,1.006,0.0,27.993,5.6e-06,-0.0054,0.384,1.004,0.119,-0.000679,1479.7,81.640625
9,100,9.0,03:45:42,13542.0,38:02:12,136932.0,1504.747,0.0033,1479.6,33.717,0.0067,0.006,850.6,0.772,596.1,1478.8,1478.0,1479.7,1477.2,26.556,1477.2,1514.7,1.238,200.0,256.0,0.80078125,0.004003906,0.80078125,1.208,-0.119,-2.475,0.0042,0.039,0.142,0.988,0.0,-4.311,0.616,-4.377,0.641,0.0,1.002,0.0,44.476,5.6e-06,0.0035,0.498,0.993,0.16,0.000436,1514.7,80.078125
10,100,10.0,04:10:44,15044.0,37:36:42,135402.0,1504.471,0.0035,1451.2,33.719,0.0071,0.006,846.1,0.79,568.4,1450.3,1449.2,1451.3,1448.5,26.806,1448.5,1502.0,1.191,200.0,256.0,0.84765625,0.004238281,0.84765625,2.475,-0.109,-2.475,0.0046,0.03,0.118,0.99,0.0,-4.321,0.589,-4.364,0.631,0.0,1.003,0.0,33.865,5.6e-06,0.0082,0.417,0.998,0.144,0.001,1502.0,84.765625
11,100,11.0,04:35:10,16510.0,37:06:24,133584.0,1500.944,0.0062,1430.7,33.727,0.0088,0.0054,844.0,0.74,551.2,1430.0,1429.2,1430.8,1428.4,27.09,1428.4,1465.7,1.124,200.0,256.0,0.94921875,0.004746093,0.94921875,0.725,-0.112,-2.475,0.005,0.02,0.083,0.998,0.0,-4.331,0.601,-4.352,0.622,0.0,1.003,0.0,21.699,5.6e-06,-0.0028,0.176,1.001,0.112,-0.000351,1465.7,94.921875
12,100,12.0,05:00:48,18048.0,36:45:58,132358.0,1504.076,0.0034,1503.4,33.812,0.0067,0.0059,847.7,0.768,618.8,1502.6,1501.7,1503.5,1500.9,26.889,1500.9,1538.5,1.178,200.0,256.0,0.74609375,0.0037304687,0.74609375,2.475,-0.119,-2.475,0.0042,0.051,0.157,0.982,0.0,-4.2,0.647,-4.337,0.618,0.0,1.013,0.0,46.899,5.6e-06,0.013,0.55,0.99,0.178,0.0017,1538.5,74.609375
13,100,13.0,05:25:46,19546.0,36:20:12,130812.0,1503.589,0.0028,1462.4,34.031,0.0065,0.006,853.6,0.771,571.8,1461.6,1460.7,1462.5,1459.9,26.904,1459.9,1497.7,1.167,200.0,256.0,0.78125,0.00390625,0.78125,2.475,-0.111,-2.475,0.0036,0.0095,0.125,1.001,0.0,-4.182,0.622,-4.302,0.621,0.0,1.027,0.0,37.165,5.6e-06,-0.000778,0.425,1.018,0.149,-9.72e-05,1497.7,78.125
14,100,14.0,05:50:29,21029.0,35:53:01,129181.0,1502.108,0.0031,1447.7,33.837,0.0067,0.0057,855.7,0.763,556.8,1447.0,1446.1,1447.8,1445.3,25.982,1445.3,1482.8,1.2,200.0,256.0,0.84375,0.0042187497,0.84375,2.475,-0.112,-2.475,0.0044,0.026,0.116,0.991,0.0,-4.208,0.583,-4.269,0.619,0.0,1.013,0.0,35.004,5.6e-06,-0.0027,0.407,1.008,0.141,-0.000332,1482.8,84.375
15,100,15.0,06:15:18,22518.0,35:26:45,127605.0,1501.245,0.003,1453.9,34.01,0.0066,0.0058,848.6,0.785,577.9,1453.2,1452.4,1454.0,1451.6,26.841,1451.6,1489.1,1.168,200.0,256.0,0.79296875,0.003964843,0.79296875,2.475,-0.115,-2.475,0.0039,0.061,0.114,0.978,0.0,-4.179,0.591,-4.248,0.612,0.0,1.011,0.0,34.818,5.6e-06,0.0079,0.446,0.976,0.148,0.000983,1489.1,79.296875
16,100,16.0,06:40:17,24017.0,35:01:34,126094.0,1501.122,0.0051,1463.7,34.198,0.0082,0.0059,845.6,0.806,583.1,1463.0,1462.2,1463.8,1461.3,26.923,1461.3,1499.3,1.201,200.0,256.0,0.80078125,0.004003906,0.80078125,1.208,-0.118,-2.475,0.0044,0.019,0.134,0.995,0.0,-4.176,0.608,-4.22,0.612,0.0,0.994,0.0,34.959,5.6e-06,0.000488,0.455,1.016,0.152,6.1e-05,1499.3,80.078125
17,100,17.0,07:05:01,25501.0,34:35:07,124507.0,1500.095,0.0032,1448.5,33.878,0.0069,0.0057,851.1,0.776,562.1,1447.7,1446.9,1448.6,1446.0,26.729,1446.0,1483.6,1.175,200.0,256.0,0.85546875,0.0042773434,0.85546875,0.725,-0.113,-2.475,0.005,0.053,0.139,0.978,0.0,-4.179,0.601,-4.189,0.611,0.0,0.981,0.0,22.663,5.6e-06,-0.0018,0.176,0.984,0.17,-0.00022,1483.6,85.546875
18,100,18.0,07:30:25,27025.0,34:11:58,123118.0,1501.441,0.0038,1489.2,33.855,0.0067,0.0056,849.9,0.77,605.0,1488.4,1487.7,1489.3,1486.9,27.332,1486.9,1524.3,1.169,200.0,256.0,0.78125,0.0039062498,0.78125,2.475,-0.12,-2.475,0.0039,0.032,0.143,0.993,0.0,-4.179,0.604,-4.185,0.601,0.0,0.988,0.0,42.792,5.6e-06,0.0054,0.499,1.011,0.176,0.000679,1524.3,78.125
19,100,19.0,07:55:41,28541.0,33:47:56,121676.0,1502.178,0.006,1480.1,34.052,0.0086,0.006,854.6,0.774,589.9,1479.3,1478.5,1480.2,1477.6,26.448,1477.6,1515.4,1.162,200.0,256.0,0.796875,0.003984375,0.796875,2.475,-0.114,-2.475,0.0035,0.043,0.102,0.985,0.0,-4.159,0.567,-4.184,0.598,0.0,1.0,0.0,36.251,5.6e-06,0.0078,0.383,0.988,0.15,0.00098,1515.4,79.6875
20,100,20.0,08:20:57,30057.0,33:23:51,120231.0,1502.898,0.0034,1465.9,34.031,0.0063,0.0059,848.5,0.833,582.7,1465.2,1464.4,1466.0,1463.6,25.889,1463.6,1516.6,1.182,200.0,256.0,0.87109375,0.0043554683,0.87109375,0.935,-0.126,-2.475,0.0039,0.039,0.134,0.987,0.0,-4.21,0.548,-4.174,0.594,0.0,0.984,0.0,31.599,5.6e-06,0.0075,0.313,1.0,0.174,0.00094,1516.6,87.109375
21,100,21.0,08:45:53,31553.0,32:58:22,118702.0,1502.561,0.0032,1460.6,33.984,0.007,0.0064,860.5,0.822,581.1,1459.9,1458.9,1460.7,1458.0,26.918,1458.0,1495.8,1.129,200.0,256.0,0.80859375,0.0040429686,0.80859375,1.208,-0.117,-2.475,0.0042,0.03,0.129,0.988,0.0,-4.125,0.602,-4.181,0.586,0.0,1.006,0.0,36.368,5.6e-06,-0.000272,0.41,1.005,0.158,-3.41e-05,1495.8,80.859375
22,100,22.0,09:10:25,33025.0,32:31:29,117089.0,1501.143,0.0055,1435.9,34.115,0.0089,0.006,851.0,0.772,550.3,1435.1,1434.3,1436.0,1433.5,26.857,1433.5,1471.3,1.228,200.0,256.0,0.87109375,0.0043554683,0.87109375,1.208,-0.119,-2.475,0.0044,0.045,0.115,0.984,0.0,-4.139,0.53,-4.17,0.586,0.0,1.008,0.0,34.295,5.6e-06,0.0033,0.358,0.99,0.149,0.000415,1471.3,87.109375
23,100,23.0,09:35:29,34529.0,32:06:37,115597.0,1501.262,0.0069,1468.6,33.96,0.011,0.0058,848.3,0.805,584.1,1467.8,1466.9,1468.7,1466.0,26.425,1466.0,1503.9,1.206,200.0,256.0,0.8671875,0.004335937,0.8671875,1.62,-0.118,-2.475,0.004,0.032,0.146,0.99,0.0,-4.111,0.54,-4.163,0.572,0.0,1.007,0.0,35.571,5.6e-06,0.0038,0.314,0.999,0.157,0.000477,1503.9,86.71875
24,100,24.0,10:00:40,36040.0,31:42:09,114129.0,1501.703,0.0095,1476.3,34.168,0.016,0.006,858.4,0.8,583.1,1475.4,1474.4,1476.4,1473.6,26.836,1473.6,1511.8,1.189,200.0,256.0,0.81640625,0.004082031,0.81640625,2.475,-0.114,-2.475,0.0039,0.054,0.188,0.979,0.0,-4.104,0.555,-4.149,0.559,0.0,1.001,0.0,26.47,5.6e-06,0.0017,0.265,0.988,0.183,0.000215,1511.8,81.640625
25,100,25.0,10:25:28,37528.0,31:16:26,112586.0,1501.15,0.0041,1451.9,34.147,0.0077,0.0061,846.1,0.831,570.7,1451.1,1450.3,1452.0,1449.4,26.706,1449.4,1487.8,1.688,200.0,256.0,0.9453125,0.0047265617,0.9453125,1.208,-0.102,-2.475,0.0052,0.028,0.156,0.954,0.0,-4.118,0.509,-4.138,0.557,0.0,1.004,0.0,23.655,5.6e-06,-0.0018,0.199,0.968,0.154,-0.00023,1487.8,94.53125
26,100,26.0,10:50:36,39036.0,30:51:45,111105.0,1501.422,0.0033,1472.6,34.277,0.0067,0.006,846.8,0.827,591.0,1471.9,1471.0,1472.7,1470.2,26.818,1470.2,1508.2,1.183,200.0,256.0,0.8515625,0.004257812,0.8515625,1.208,-0.12,-2.475,0.0043,0.038,0.144,0.99,0.0,-4.101,0.518,-4.12,0.548,0.0,0.996,0.0,40.565,5.6e-06,0.011,0.393,1.006,0.178,0.0014,1508.2,85.15625
27,100,27.0,11:15:32,40532.0,30:26:28,109588.0,1501.211,0.0044,1460.5,33.866,0.0081,0.0055,848.9,0.804,576.6,1459.8,1458.8,1460.6,1458.0,26.867,1458.0,1495.7,1.189,200.0,256.0,0.90234375,0.004511718,0.90234375,0.935,-0.113,-2.475,0.0048,0.047,0.122,0.982,0.0,-4.082,0.506,-4.115,0.531,0.0,1.003,0.0,33.378,5.6e-06,0.0018,0.311,0.983,0.147,0.000224,1495.7,90.234375
28,100,28.0,11:40:22,42022.0,30:00:58,108058.0,1500.817,0.0033,1455.0,33.837,0.0065,0.0062,852.6,0.823,567.1,1454.1,1453.3,1455.1,1452.4,27.05,1452.4,1490.2,1.21,200.0,256.0,0.8984375,0.004492187,0.8984375,1.208,-0.123,-2.475,0.0043,0.035,0.198,0.997,0.0,-4.035,0.525,-4.103,0.526,0.0,1.003,0.0,29.385,5.6e-06,-0.0017,0.274,1.024,0.207,-0.000216,1490.2,89.84375
29,100,29.0,12:05:20,43520.0,29:35:51,106551.0,1500.72,0.0035,1463.0,33.722,0.0064,0.0062,849.2,0.813,582.2,1462.2,1461.4,1463.1,1460.6,26.531,1460.6,1498.0,1.171,200.0,256.0,0.9140625,0.004570312,0.9140625,1.208,-0.111,-2.475,0.0049,0.025,0.137,0.987,0.0,-4.036,0.507,-4.088,0.524,0.0,1.016,0.0,36.831,5.6e-06,0.0036,0.285,1.015,0.176,0.000444,1498.0,91.40625
30,100,30.0,12:30:03,45003.0,29:10:08,105008.0,1500.127,0.0036,1432.8,33.778,0.0072,0.006,842.8,0.836,553.6,1432.0,1430.8,1432.9,1430.0,26.193,1430.0,1482.9,1.213,200.0,256.0,0.9453125,0.0047265617,0.9453125,0.935,-0.103,-2.475,0.0048,0.011,0.091,0.996,0.0,-4.026,0.499,-4.074,0.514,0.0,1.023,0.0,26.245,5.6e-06,0.003,0.183,1.016,0.137,0.000373,1482.9,94.53125
31,100,31.0,12:54:48,46488.0,28:44:33,103473.0,1499.617,0.0034,1449.3,33.752,0.007,0.0063,845.0,0.863,569.1,1448.6,1447.8,1449.4,1446.8,27.087,1446.8,1484.3,1.151,200.0,256.0,0.9140625,0.004570312,0.9140625,0.935,-0.113,-2.475,0.0048,0.045,0.152,0.986,0.0,-4.045,0.49,-4.056,0.512,0.0,0.987,0.0,27.526,5.6e-06,-0.0024,0.265,1.001,0.176,-0.000296,1484.3,91.40625
32,100,32.0,13:19:23,47963.0,28:18:41,101921.0,1498.845,0.0032,1439.8,33.809,0.0065,0.0063,846.0,0.838,558.5,1439.0,1438.1,1439.9,1437.2,26.733,1437.2,1474.9,1.155,200.0,256.0,0.953125,0.004765624,0.953125,0.935,-0.118,-2.475,0.0046,0.031,0.152,0.997,0.0,-4.028,0.454,-4.045,0.506,0.0,0.992,0.0,20.35,5.6e-06,0.000329,0.142,1.005,0.161,4.11e-05,1474.9,95.3125
33,100,33.0,13:44:00,49440.0,27:52:58,100378.0,1498.189,0.0028,1441.9,33.996,0.0063,0.0062,850.2,0.874,559.6,1441.1,1440.2,1442.0,1439.3,27.116,1439.3,1477.2,1.18,200.0,256.0,0.9140625,0.004570312,0.9140625,2.475,-0.107,-2.475,0.0046,0.037,0.176,0.99,0.0,-4.018,0.486,-4.034,0.496,0.0,0.981,0.0,27.22,5.6e-06,-0.0021,0.233,1.017,0.199,-0.000266,1477.2,91.40625
34,100,34.0,14:08:44,50924.0,27:27:32,98852.0,1497.767,0.0033,1448.3,34.301,0.0066,0.006,851.9,0.819,560.3,1447.5,1446.6,1448.4,1445.7,27.034,1445.7,1483.8,1.176,200.0,256.0,0.9140625,0.004570312,0.9140625,1.208,-0.118,-2.475,0.0042,0.054,0.172,0.979,0.0,-4.028,0.517,-4.031,0.488,0.0,0.975,0.0,22.965,5.6e-06,-0.0017,0.211,0.99,0.185,-0.000207,1483.8,91.40625
35,100,35.0,14:33:32,52412.0,27:02:16,97336.0,1497.491,0.0028,1452.7,34.069,0.0066,0.0062,850.0,0.919,573.0,1452.0,1451.1,1452.8,1450.1,27.172,1450.1,1488.1,1.18,200.0,256.0,0.89453125,0.0044726557,0.89453125,1.62,-0.119,-2.475,0.004,0.037,0.166,0.985,0.0,-4.021,0.507,-4.029,0.49,0.0,0.987,0.0,33.225,5.6e-06,0.0057,0.245,0.999,0.176,0.000718,1488.1,89.453125
