step,control_raw,control_ma5,control_ma10,method_raw,method_ma5,method_ma10
121,25.0,20.0,22.5,12.5,15.0,15.0
122,25.0,22.5,22.5,0.0,15.0,13.75
123,25.0,22.5,23.75,62.5,25.0,17.5
124,25.0,22.5,25.0,12.5,22.5,18.75
125,50.0,30.0,25.0,37.5,25.0,21.25
126,0.0,25.0,22.5,12.5,25.0,20.0
127,62.5,32.5,27.5,37.5,32.5,23.75
128,0.0,27.5,25.0,0.0,20.0,22.5
129,37.5,30.0,26.25,0.0,17.5,20.0
130,12.5,22.5,26.25,25.0,15.0,20.0
131,12.5,25.0,25.0,12.5,15.0,20.0
132,12.5,15.0,23.75,0.0,7.5,20.0
133,12.5,17.5,22.5,12.5,10.0,15.0
134,12.5,12.5,21.25,25.0,15.0,16.25
135,37.5,17.5,20.0,12.5,12.5,13.75
136,0.0,15.0,20.0,0.0,10.0,12.5
137,25.0,17.5,16.25,12.5,12.5,10.0
138,37.5,22.5,20.0,37.5,17.5,13.75
139,12.5,22.5,17.5,0.0,12.5,13.75
140,12.5,17.5,17.5,0.0,10.0,11.25
141,0.0,17.5,16.25,12.5,12.5,11.25
142,37.5,20.0,18.75,0.0,10.0,11.25
143,12.5,15.0,18.75,12.5,5.0,11.25
144,0.0,12.5,17.5,12.5,7.5,10.0
145,12.5,12.5,15.0,12.5,10.0,10.0
146,12.5,15.0,16.25,25.0,12.5,12.5
147,0.0,7.5,13.75,0.0,12.5,11.25
148,25.0,10.0,12.5,0.0,10.0,7.5
149,12.5,12.5,12.5,37.5,15.0,11.25
150,12.5,12.5,12.5,12.5,15.0,12.5
151,25.0,15.0,15.0,0.0,10.0,11.25
152,12.5,17.5,12.5,0.0,10.0,11.25
153,12.5,15.0,12.5,0.0,10.0,10.0
154,25.0,17.5,15.0,12.5,5.0,10.0
155,12.5,17.5,15.0,12.5,5.0,10.0
156,37.5,20.0,17.5,25.0,10.0,10.0
157,25.0,22.5,20.0,12.5,12.5,11.25
158,0.0,20.0,17.5,0.0,12.5,11.25
159,12.5,17.5,17.5,12.5,12.5,8.75
160,0.0,15.0,16.25,0.0,10.0,7.5
161,50.0,17.5,18.75,37.5,12.5,11.25
162,12.5,15.0,18.75,12.5,12.5,12.5
163,25.0,20.0,20.0,0.0,12.5,12.5
164,25.0,22.5,20.0,25.0,15.0,13.75
165,25.0,27.5,21.25,25.0,20.0,15.0
166,25.0,22.5,20.0,37.5,20.0,16.25
167,12.5,22.5,18.75,12.5,20.0,16.25
168,25.0,22.5,21.25,25.0,25.0,18.75
