step,s0p5_raw_pct,s0p5_ma5_pct,s0p5_ma10_pct,s2p0_raw_pct,s2p0_ma5_pct,s2p0_ma10_pct
120,0.0,15.0,16.25,0.0,17.5,20.0
121,25.0,15.0,15.0,25.0,20.0,17.5
122,12.5,10.0,13.75,0.0,12.5,12.5
123,12.5,10.0,12.5,25.0,12.5,13.75
124,25.0,15.0,15.0,12.5,12.5,15.0
125,37.5,22.5,18.75,25.0,17.5,17.5
126,25.0,22.5,18.75,25.0,17.5,18.75
127,37.5,27.5,18.75,75.0,32.5,22.5
128,25.0,30.0,20.0,12.5,30.0,21.25
129,25.0,30.0,22.5,37.5,35.0,23.75
130,25.0,27.5,25.0,25.0,35.0,26.25
131,0.0,22.5,22.5,12.5,32.5,25.0
132,12.5,17.5,22.5,0.0,17.5,25.0
133,25.0,17.5,23.75,12.5,17.5,23.75
134,12.5,15.0,22.5,0.0,10.0,22.5
135,12.5,12.5,20.0,0.0,5.0,20.0
136,0.0,12.5,17.5,12.5,5.0,18.75
137,37.5,17.5,17.5,0.0,5.0,11.25
138,25.0,17.5,17.5,25.0,7.5,12.5
139,12.5,17.5,16.25,12.5,10.0,10.0
140,12.5,17.5,15.0,25.0,15.0,10.0
141,0.0,17.5,15.0,0.0,12.5,8.75
142,37.5,17.5,17.5,12.5,15.0,10.0
143,0.0,12.5,15.0,0.0,10.0,8.75
144,12.5,12.5,15.0,12.5,10.0,10.0
145,12.5,12.5,15.0,0.0,5.0,10.0
146,12.5,15.0,16.25,12.5,7.5,10.0
147,25.0,12.5,15.0,0.0,5.0,10.0
148,0.0,12.5,12.5,25.0,10.0,10.0
149,37.5,17.5,15.0,12.5,10.0,10.0
150,25.0,20.0,16.25,12.5,12.5,8.75
151,0.0,17.5,16.25,12.5,12.5,10.0
152,12.5,15.0,13.75,12.5,15.0,10.0
153,0.0,15.0,13.75,25.0,15.0,12.5
154,12.5,10.0,13.75,12.5,15.0,12.5
155,12.5,7.5,13.75,0.0,12.5,12.5
156,12.5,10.0,13.75,0.0,10.0,11.25
157,12.5,10.0,12.5,12.5,10.0,12.5
158,0.0,10.0,12.5,12.5,7.5,11.25
159,12.5,10.0,10.0,25.0,10.0,12.5
160,0.0,7.5,7.5,12.5,12.5,12.5
161,50.0,15.0,12.5,37.5,20.0,15.0
162,0.0,12.5,11.25,25.0,22.5,16.25
163,0.0,12.5,11.25,0.0,20.0,13.75
164,12.5,12.5,11.25,37.5,22.5,16.25
165,0.0,12.5,10.0,12.5,22.5,17.5
166,0.0,2.5,8.75,25.0,20.0,20.0
167,0.0,2.5,7.5,25.0,20.0,21.25
168,12.5,5.0,8.75,25.0,25.0,22.5
169,12.5,5.0,8.75,37.5,25.0,23.75
170,12.5,7.5,10.0,50.0,32.5,27.5
171,12.5,10.0,6.25,75.0,42.5,31.25
172,12.5,12.5,7.5,25.0,42.5,31.25
173,0.0,10.0,7.5,37.5,45.0,35.0
174,0.0,7.5,6.25,50.0,47.5,36.25
