h,weight_p05,weight_p50,weight_mean,weight_p95,clipped_z_p05,clipped_z_p50,clipped_z_mean,clipped_z_p95,log_v_l3_p05,log_v_l3_p50,log_v_l3_mean,log_v_l3_p95,weight_below_one_fraction,weight_above_one_fraction,weight_at_zero_fraction,weight_at_two_fraction
0,0.5002267360687256,0.8947129845619202,0.9053849386905438,1.3933274745941162,-0.999546468257904,-0.21057406067848206,-0.18923012816182527,0.7866549491882324,-4.504942041501532,-4.130176149961649,-4.120037597775189,-3.656487227118103,0.6906077348066298,0.30939226519337015,0.0,0.0
1,0.4286462664604187,0.8729388117790222,0.8970870754336784,1.3452550172805786,-1.1427074670791626,-0.25412237644195557,-0.20582585261095296,0.690510094165802,-4.572943928256829,-4.15086191706109,-4.127920645939089,-3.702156581738135,0.6574585635359116,0.3425414364640884,0.0,0.0
2,0.4363046884536743,0.8560930490493774,0.8892649830375587,1.4741237163543701,-1.1273906230926514,-0.28781384229660034,-0.22147003772220888,0.9482473731040955,-4.565668769391129,-4.16686552192126,-4.135351712424983,-3.5797301213023385,0.6740331491712708,0.3259668508287293,0.0,0.0
3,0.4132726788520813,0.9044428467750549,0.918823661395858,1.5440071821212769,-1.1734546422958374,-0.19111429154872894,-0.16235267800196634,1.0880143642425537,-4.58754919537394,-4.120932792402999,-4.107270645885349,-3.513340095644352,0.6022099447513812,0.39779005524861877,0.0,0.0
4,0.37657517194747925,0.9434065818786621,0.9503105407920331,1.6287829875946045,-1.2468496561050415,-0.11318688839673996,-0.09937892414215252,1.2575658559799194,-4.622412241429432,-4.083916883136569,-4.075155235464311,-3.432802147010212,0.580110497237569,0.4198895027624309,0.0,0.011049723756906077
5,0.39780575037002563,0.9182097315788269,0.9772939612852276,1.6738061904907227,-1.2043884992599487,-0.1635805070400238,-0.04541207590135257,1.3476122617721558,-4.602243158364193,-4.107854110836202,-4.0475316133715395,-3.3900296242816914,0.5524861878453039,0.44751381215469616,0.0,0.011049723756906077
6,0.47909510135650635,0.9597187042236328,0.9910757192590619,1.7244997024536133,-1.0418097972869873,-0.0805625393986702,-0.01784856072421191,1.448999285697937,-4.525017195078456,-4.0684197375529925,-4.0325825896111285,-3.3418702195599446,0.5469613259668509,0.4530386740331492,0.0,0.022099447513812154
7,0.3336537480354309,1.0274765491485596,1.0180538270354929,1.7036746740341187,-1.3326925039291382,0.054953139275312424,0.03610766118844021,1.4073493480682373,-4.663187966469331,-4.004049397251348,-4.011125916416174,-3.361654283108097,0.46408839779005523,0.5359116022099447,0.0055248618784530384,0.016574585635359115
8,0.402565062046051,1.025957703590393,1.0441783755523724,1.836456298828125,-1.194869875907898,0.05191547051072121,0.08835675245799247,1.67291259765625,-4.597721546993069,-4.005492021028529,-3.98478554168965,-3.2355102311384827,0.4861878453038674,0.5138121546961326,0.0,0.022099447513812154
9,0.32004499435424805,1.0602855682373047,1.0753497688809812,1.9735369682312012,-1.359910011291504,0.12057125568389893,0.15069953584786278,1.947074055671692,-4.6761163864156625,-3.972880332637669,-3.9502667140951715,-3.105282199130283,0.4696132596685083,0.5303867403314917,0.0055248618784530384,0.03867403314917127
10,0.41021645069122314,1.065813422203064,1.1017617484482611,1.9624512195587158,-1.1795670986175537,0.13162674009799957,0.20352349275187975,1.924902319908142,-4.590452668189943,-3.967629014851439,-3.924950259661602,-3.115813895617036,0.4530386740331492,0.5469613259668509,0.0,0.049723756906077346
11,0.37621980905532837,1.0251139402389526,1.0855102022049836,2.0,-1.2475603818893433,0.05022798478603363,0.17102040601019536,2.0,-4.622749899707553,-4.006293628377944,-3.9330114097493776,-3.0427446340212643,0.48066298342541436,0.5193370165745856,0.0,0.06077348066298342
12,0.3979648947715759,1.0941953659057617,1.1115965098965892,2.0,-1.2040702104568481,0.1883908361196518,0.22319301602672476,2.0,-4.602091900774055,-3.940665738868722,-3.9008020762137434,-2.972926773133057,0.425414364640884,0.574585635359116,0.0,0.06629834254143646
13,0.4947161078453064,1.0716266632080078,1.1348695053580058,2.0,-1.0105677843093872,0.1432534009218216,0.26973900659966865,2.0,-4.510177304180337,-3.9621062469466084,-3.880699030644123,-2.9538695038229172,0.4419889502762431,0.5580110497237569,0.0,0.06629834254143646
14,0.3490132689476013,1.0921212434768677,1.1385143550720005,2.0,-1.3019734621047974,0.1842423975467682,0.2770287073809057,2.0,-4.648596238815018,-3.9426361994905905,-3.8740238416016544,-2.935843766467555,0.430939226519337,0.569060773480663,0.0055248618784530384,0.09392265193370165
15,0.4533175230026245,1.052992820739746,1.1333657206751364,2.0,-1.093364953994751,0.10598571598529816,0.26673142833619773,2.0,-4.549506250111825,-3.9798086496077683,-3.874530429432884,-2.896956681933936,0.44751381215469616,0.5524861878453039,0.011049723756906077,0.09392265193370165
16,0.36689847707748413,1.058858871459961,1.1487801661148915,2.0,-1.2662030458450317,0.11771779507398605,0.2975603306244091,2.0,-4.631604942117945,-3.9742358371821953,-3.8497109036332207,-2.8180364974268524,0.425414364640884,0.574585635359116,0.0,0.1270718232044199
17,0.34761691093444824,1.0956683158874512,1.1434834583029563,2.0,-1.3047661781311035,0.19133664667606354,0.28696691859462065,2.0,-4.649923044986924,-3.939266327940574,-3.8488686476873935,-2.7768347797593482,0.4419889502762431,0.5580110497237569,0.016574585635359115,0.12154696132596685
18,0.4218752384185791,1.1272813081741333,1.173286581895628,2.0,-1.1562495231628418,0.2545625865459442,0.3465731673827652,2.0,-4.5793769194638045,-3.9092338845449754,-3.810378267279549,-2.695071044769371,0.4419889502762431,0.5580110497237569,0.0055248618784530384,0.13259668508287292
19,0.39563894271850586,1.1324082612991333,1.186739816520754,2.0,-1.2087221145629883,0.2648164629936218,0.37347963038903986,2.0,-4.604301661554279,-3.90436325323673,-3.7960110587781495,-2.7528749401819335,0.3812154696132597,0.6187845303867403,0.0,0.13812154696132597
20,0.5027459859848022,1.104188084602356,1.188898489949453,2.0,-0.9945080876350403,0.20837612450122833,0.3777969817949963,2.0,-4.502548492000146,-3.9311727205211877,-3.791535146195111,-2.6642228119418796,0.39779005524861877,0.6022099447513812,0.0,0.13259668508287292
21,0.5838068723678589,1.160509705543518,1.2379238826135246,2.0,-0.8323861956596375,0.32101941108703613,0.47584776701765824,2.0,-4.425540035956889,-3.877666560160965,-3.7441589454682904,-2.7284823323186513,0.39226519337016574,0.6077348066298343,0.0,0.13812154696132597
22,0.49113786220550537,1.1481366157531738,1.2067561245096323,2.0,-1.0177242755889893,0.2962733507156372,0.4135122535318054,2.0,-4.51357628146533,-3.889421074065432,-3.7749306417869977,-2.7405244857294795,0.39779005524861877,0.6022099447513812,0.0,0.143646408839779
23,0.49281781911849976,1.138485074043274,1.1964280019148936,2.0,-1.0143643617630005,0.27697017788887024,0.392856012050896,2.0,-4.511980339361667,-3.898590105625603,-3.781032763792083,-2.6280332406603413,0.4088397790055249,0.5911602209944752,0.0,0.11602209944751381
24,0.40026217699050903,1.1854450702667236,1.2202955013480634,2.0,-1.199475646018982,0.3708900213241577,0.4405910038409847,2.0,-4.5999095244149535,-3.8539777569260685,-3.7555802607149023,-2.7050867916552095,0.35359116022099446,0.6464088397790055,0.0,0.12154696132596685
25,0.49716001749038696,1.1667283773422241,1.220926282484887,2.0,-1.005679965019226,0.33345669507980347,0.44185256543286267,2.0,-4.507855614159488,-3.8717587678292413,-3.760338082074021,-2.7678150733548073,0.35911602209944754,0.6408839779005525,0.0055248618784530384,0.1270718232044199
26,0.36567026376724243,1.1899199485778809,1.1882508739582083,2.0,-1.2686594724655151,0.3798399269580841,0.37650174339358483,2.0,-4.632772081287118,-3.8497263712361875,-3.791701122513324,-2.6158414958002294,0.3314917127071823,0.6685082872928176,0.0055248618784530384,0.11049723756906077
27,0.29375094175338745,1.121551275253296,1.1493920848514494,2.0,-1.412498116493225,0.2431025505065918,0.29878417199775986,2.0,-4.701096181831759,-3.914677277507332,-3.829894345274218,-2.698756144417704,0.40331491712707185,0.5966850828729282,0.0055248618784530384,0.11602209944751381
28,0.39148247241973877,1.1110373735427856,1.1608296362734631,2.0,-1.2170350551605225,0.2220747470855713,0.3216592656195714,2.0,-4.608250080257876,-3.9246657808767322,-3.8166030117271093,-2.5809006481390466,0.40331491712707185,0.5966850828729282,0.0,0.11049723756906077
