timestamp,driver_alive,host_mem_available_kib,cgroup_memory_current_bytes,cgroup_oom,cgroup_oom_kill,mem_psi_some_avg10,mem_psi_full_avg10,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-23T16:47:38+00:00,1,2026005652,11120640,0,0,0.00,0.00,28835,14,28835,28
2026-08-23T16:47:49+00:00,1,2025036508,619053056,0,0,0.00,0.00,28835,25,28835,13
2026-08-23T16:47:59+00:00,1,2018646316,863076352,0,0,0.00,0.00,28859,12,29357,12
2026-08-23T16:48:10+00:00,1,2014374588,863707136,0,0,0.00,0.00,30027,29,30027,22
2026-08-23T16:48:20+00:00,1,1996039096,863944704,0,0,0.00,0.00,29976,24,29976,10
2026-08-23T16:48:31+00:00,1,1987574992,863936512,0,0,0.00,0.00,29976,17,29976,17
2026-08-23T16:48:41+00:00,1,1993752196,864014336,0,0,0.00,0.00,29976,23,29976,27
2026-08-23T16:48:51+00:00,1,2006890436,864317440,0,0,0.00,0.00,37262,34,37262,12
2026-08-23T16:49:01+00:00,1,1993431396,864772096,0,0,0.00,0.00,37262,22,37262,18
2026-08-23T16:49:12+00:00,1,1983905040,864555008,0,0,0.00,0.00,37262,17,37262,23
2026-08-23T16:49:22+00:00,1,1980029156,864591872,0,0,0.00,0.00,37262,55,37262,0
2026-08-23T16:49:32+00:00,1,1998742660,864948224,0,0,0.00,0.00,44026,24,40032,31
2026-08-23T16:49:43+00:00,1,1992319444,864845824,0,0,0.00,0.00,44026,37,44026,22
2026-08-23T16:49:53+00:00,1,1984065284,865181696,0,0,0.00,0.00,44026,18,44026,17
2026-08-23T16:50:03+00:00,1,1981511440,865378304,0,0,0.00,0.00,44026,30,44026,26
2026-08-23T16:50:13+00:00,1,1995417336,865255424,0,0,0.00,0.00,63228,35,63228,30
2026-08-23T16:50:24+00:00,1,1995667656,866791424,0,0,0.00,0.00,53704,53,53704,22
2026-08-23T16:50:34+00:00,1,1991735428,867090432,0,0,0.00,0.00,57674,45,57674,22
2026-08-23T16:50:44+00:00,1,1991363812,867184640,0,0,0.00,0.00,58928,99,58928,100
2026-08-23T16:50:54+00:00,1,1991286436,867590144,0,0,0.00,0.00,58928,55,58928,69
2026-08-23T16:51:05+00:00,1,1996674852,868118528,0,0,0.00,0.00,54280,24,54280,12
2026-08-23T16:51:15+00:00,1,1992893420,868458496,0,0,0.00,0.00,57750,24,57949,13
2026-08-23T16:51:25+00:00,1,1990936324,868667392,0,0,0.00,0.00,58929,21,58929,23
2026-08-23T16:51:36+00:00,1,1988697776,868974592,0,0,0.00,0.00,57692,14,56372,21
2026-08-23T16:51:46+00:00,1,1989894428,869715968,0,0,0.00,0.00,54288,17,54288,20
2026-08-23T16:51:56+00:00,1,2017850336,870154240,0,0,0.00,0.00,29118,0,29118,0
2026-08-23T16:52:07+00:00,1,2017731156,870129664,0,0,0.00,0.00,30098,0,30098,100
2026-08-23T16:52:17+00:00,1,2020287560,870715392,0,0,0.00,0.00,25097,0,25097,0
2026-08-23T16:52:27+00:00,1,2019195444,870555648,0,0,0.00,0.00,26100,2,26100,2
2026-08-23T16:52:38+00:00,1,2021398356,870707200,0,0,0.00,0.00,30097,44,30097,39
2026-08-23T16:52:48+00:00,1,2022621100,870670336,0,0,0.00,0.00,30097,0,30097,0
2026-08-23T16:52:58+00:00,1,2023603456,871555072,0,0,0.00,0.00,25147,0,25147,0
2026-08-23T16:53:09+00:00,1,2017952308,871538688,0,0,0.00,0.00,28663,0,28663,0
2026-08-23T16:53:19+00:00,1,2016585880,871510016,0,0,0.00,0.00,30098,0,30098,0
2026-08-23T16:53:29+00:00,1,2017888768,871849984,0,0,0.00,0.00,25469,0,27541,0
2026-08-23T16:53:39+00:00,1,2018169924,872022016,0,0,0.00,0.00,25457,0,25457,0
2026-08-23T16:53:50+00:00,1,2016085292,871997440,0,0,0.00,0.00,29374,9,29374,0
2026-08-23T16:54:00+00:00,1,2015982872,872067072,0,0,0.00,0.00,30098,45,30098,41
2026-08-23T16:54:10+00:00,1,2022714496,872181760,0,0,0.00,0.00,25139,0,25139,0
2026-08-23T16:54:21+00:00,1,2049918836,872628224,0,0,0.00,0.00,28663,0,28663,0
2026-08-23T16:54:31+00:00,1,2048829724,872566784,0,0,0.00,0.00,30098,0,30098,18
2026-08-23T16:54:41+00:00,1,2049289156,872706048,0,0,0.00,0.00,28221,0,30098,46
2026-08-23T16:54:51+00:00,1,2049657312,873013248,0,0,0.00,0.00,25450,0,25450,0
2026-08-23T16:55:02+00:00,1,2047362812,873451520,0,0,0.00,0.00,29374,0,29374,0
2026-08-23T16:55:12+00:00,1,2040738852,873455616,0,0,0.00,0.00,30097,9,30097,0
2026-08-23T16:55:22+00:00,1,2033381416,873209856,0,0,0.00,0.00,25147,0,25147,0
2026-08-23T16:55:32+00:00,1,2017642732,873742336,0,0,0.00,0.00,28919,0,28663,0
2026-08-23T16:55:43+00:00,1,2013095324,873721856,0,0,0.00,0.00,30098,100,30098,35
2026-08-23T16:55:53+00:00,1,2025677088,874029056,0,0,0.00,0.00,25147,0,25147,0
2026-08-23T16:56:03+00:00,1,2032022712,874110976,0,0,0.00,0.00,28663,0,28663,0
2026-08-23T16:56:14+00:00,1,2029191244,874098688,0,0,0.00,0.00,30097,94,30098,0
2026-08-23T16:56:24+00:00,1,2029689888,874336256,0,0,0.00,0.00,25097,0,25097,0
2026-08-23T16:56:34+00:00,1,2025722416,874254336,0,0,0.00,0.00,26100,0,26100,0
2026-08-23T16:56:44+00:00,1,2023082280,874606592,0,0,0.00,0.00,30098,0,30098,0
2026-08-23T16:56:55+00:00,1,2022919616,874774528,0,0,0.00,0.00,30098,0,30098,20
2026-08-23T16:57:05+00:00,1,2025445320,874762240,0,0,0.00,0.00,25147,0,25147,0
2026-08-23T16:57:15+00:00,1,2023266040,875266048,0,0,0.00,0.00,28663,0,28663,0
2026-08-23T16:57:26+00:00,1,2022259768,875003904,0,0,0.00,0.00,30098,100,30098,100
2026-08-23T16:57:36+00:00,1,2026615144,875167744,0,0,0.00,0.00,25469,0,27993,3
2026-08-23T16:57:46+00:00,1,2029080116,875745280,0,0,0.00,0.00,25449,0,25449,0
2026-08-23T16:57:57+00:00,1,2025079056,875606016,0,0,0.00,0.00,29374,0,29374,1
2026-08-23T16:58:07+00:00,1,2022489208,875827200,0,0,0.00,0.00,30098,100,30098,70
2026-08-23T16:58:17+00:00,1,2023350796,875528192,0,0,0.00,0.00,28837,31,28837,13
2026-08-23T16:58:27+00:00,1,2022656752,875716608,0,0,0.00,0.00,28837,23,28837,13
2026-08-23T16:58:38+00:00,1,2022593468,875933696,0,0,0.00,0.00,28837,20,28837,13
2026-08-23T16:58:48+00:00,1,2022608824,876081152,0,0,0.00,0.00,28837,14,28837,16
2026-08-23T16:58:58+00:00,1,2022602532,876023808,0,0,0.00,0.00,28837,14,28837,16
2026-08-23T16:59:09+00:00,1,2022613628,876109824,0,0,0.00,0.00,28837,19,28837,20
2026-08-23T16:59:19+00:00,1,2022592788,876171264,0,0,0.00,0.00,28837,22,28837,12
2026-08-23T16:59:29+00:00,1,2029398156,876322816,0,0,0.00,0.00,28837,13,28837,15
2026-08-23T16:59:39+00:00,1,2027249664,876236800,0,0,0.00,0.00,28837,30,28837,12
2026-08-23T16:59:50+00:00,1,2024409008,876896256,0,0,0.00,0.00,28837,27,28837,8
2026-08-23T17:00:00+00:00,1,2022590584,876597248,0,0,0.00,0.00,28837,14,28837,15
2026-08-23T17:00:10+00:00,1,2022568932,876703744,0,0,0.00,0.00,28837,22,28837,20
2026-08-23T17:00:21+00:00,1,2022502512,876937216,0,0,0.00,0.00,28837,19,28837,24
2026-08-23T17:00:31+00:00,1,2022477432,876949504,0,0,0.00,0.00,28837,23,28837,16
2026-08-23T17:00:41+00:00,1,2022458768,876998656,0,0,0.00,0.00,28837,15,28837,21
2026-08-23T17:00:52+00:00,1,2022461176,877129728,0,0,0.00,0.00,28837,21,28837,20
2026-08-23T17:01:02+00:00,1,2025705336,877330432,0,0,0.00,0.00,28837,23,28837,16
2026-08-23T17:01:12+00:00,1,2028548768,877387776,0,0,0.00,0.00,28837,32,28837,12
2026-08-23T17:01:22+00:00,1,2025146432,877494272,0,0,0.00,0.00,28837,13,28837,21
2026-08-23T17:01:33+00:00,1,2023445588,877346816,0,0,0.00,0.00,28837,16,28837,20
2026-08-23T17:01:43+00:00,1,2022131052,877494272,0,0,0.00,0.00,28837,14,28837,15
2026-08-23T17:01:53+00:00,1,2022119140,877600768,0,0,0.00,0.00,28837,26,28837,13
2026-08-23T17:02:04+00:00,1,2022089772,877670400,0,0,0.00,0.00,28837,19,28837,17
2026-08-23T17:02:14+00:00,1,2022073764,877826048,0,0,0.00,0.00,28837,14,28837,19
2026-08-23T17:02:24+00:00,1,2022065632,877932544,0,0,0.00,0.00,28837,26,28837,12
2026-08-23T17:02:35+00:00,1,2024240376,877973504,0,0,0.00,0.00,28837,9,28837,22
2026-08-23T17:02:45+00:00,1,2028778380,878059520,0,0,0.00,0.00,28837,23,28837,14
2026-08-23T17:02:55+00:00,1,2026741260,878297088,0,0,0.00,0.00,28837,25,28837,21
2026-08-23T17:03:05+00:00,1,2024264248,878391296,0,0,0.00,0.00,28837,26,28837,6
2026-08-23T17:03:16+00:00,1,2021960152,878407680,0,0,0.00,0.00,28837,29,28837,19
2026-08-23T17:03:26+00:00,1,2021641580,878710784,0,0,0.00,0.00,28837,40,28837,22
2026-08-23T17:03:36+00:00,1,2021619116,878804992,0,0,0.00,0.00,28837,25,28837,22
2026-08-23T17:03:47+00:00,1,2021598356,879140864,0,0,0.00,0.00,28837,66,28837,21
2026-08-23T17:03:57+00:00,1,2021097912,878968832,0,0,0.00,0.00,31463,0,31345,0
2026-08-23T17:04:07+00:00,1,2018096308,879120384,0,0,0.00,0.00,34733,0,34615,0
2026-08-23T17:04:17+00:00,1,2023119692,879116288,0,0,0.00,0.00,36167,50,36049,0
2026-08-23T17:04:28+00:00,1,2022618676,879386624,0,0,0.00,0.00,34931,3,34813,0
2026-08-23T17:04:38+00:00,1,2018552884,879464448,0,0,0.00,0.00,35486,3,35826,2
2026-08-23T17:04:48+00:00,1,2016181084,879431680,0,0,0.00,0.00,36040,24,35922,0
