unix_time,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,driver_rss_kib,qam_process_rss_kib,compute_process_count
1785490875,199162810368,31829385216,163982938112,0,0,1001734434816,19643,0,19855,97,1028,29518764,8
1785490885,199163506688,31832842240,163983405056,0,0,1001734332416,19361,0,19317,0,1028,29555424,8
1785490896,199182741504,31850729472,163983405056,0,0,1001734332416,19643,39,19855,100,1028,29541036,8
1785490906,199118323712,31787315200,163983474688,0,0,1001734291456,19361,0,19317,1,1028,29400660,8
1785490916,199060672512,31726936064,163983474688,0,0,1001734291456,19643,64,19855,5,1028,29419652,8
1785490926,199087480832,31758692352,163983921152,0,0,1001733861376,19105,3,19317,0,1028,29438956,8
1785490937,199110053888,31778877440,163983953920,0,0,1001733861376,19643,93,19855,0,1028,29467968,8
1785490947,199053299712,31722074112,163984297984,0,0,1001733824512,19105,0,19317,1,1028,29410936,8
1785490957,199279595520,31946690560,163984302080,0,0,1001733824512,19643,0,19855,37,1028,29633556,8
1785490967,199453765632,32121831424,163984375808,0,0,1001733718016,19361,2,19573,2,1028,29638800,8
1785490977,199325261824,31990861824,163984375808,0,0,1001733718016,19643,42,19855,71,1028,29674668,8
1785490988,213771296768,38898438144,171511406592,0,0,993135357952,22365,0,22577,0,1028,36422984,8
1785490998,212035371008,34305724416,174350884864,0,0,991367438336,24180,13,23873,14,1028,31936544,8
1785491008,212551438336,34819641344,174351011840,0,0,991367438336,19889,37,20101,40,1028,32438804,8
1785491018,212579667968,34851586048,174351052800,0,0,991367397376,29909,77,29633,91,1028,32481036,8
1785491029,212198686720,34473078784,174351265792,0,0,991367200768,20989,0,21223,37,1028,32141736,8
1785491039,212198862848,34469613568,174351310848,0,0,991367159808,25395,32,25807,11,1028,32144880,8
1785491049,212198555648,34472263680,174351310848,0,0,991367159808,30521,91,30721,87,1028,32147368,8
1785491059,212209008640,34482868224,174351523840,0,0,991367159808,30521,100,30721,100,1028,32155740,8
1785491070,212211580928,34483027968,174351659008,0,0,991367159808,22267,44,22475,0,1028,32156516,8
1785491080,212200591360,34473156608,174351675392,0,0,991367159808,21029,66,21151,35,1028,32146984,8
1785491090,212209684480,34480836608,174351728640,0,0,991367118848,25615,52,25589,57,1028,32147328,8
1785491100,212207382528,34480619520,174351728640,0,0,991367118848,30529,75,30683,97,1028,32147708,8
1785491110,212209823744,34482610176,174351732736,0,0,991367118848,30529,76,30683,97,1028,32148380,8
1785491121,212211388416,34484117504,174352039936,0,0,991366987776,26213,0,25649,0,1028,32149896,8
1785491131,212219703296,34489442304,174352080896,0,0,991366987776,21131,18,21151,62,1028,32154360,8
1785491141,212202881024,34473648128,174352228352,0,0,991366836224,30465,100,30357,97,1028,32138100,8
1785491151,212213428224,34485952512,174352232448,0,0,991366832128,30497,81,30389,79,1028,32146712,8
1785491161,212201824256,34474430464,174352236544,0,0,991366832128,30497,36,30389,44,1028,32138512,8
1785491172,212000796672,34273886208,174352261120,0,0,991366832128,20134,0,20155,0,1028,31941408,8
1785491182,212305833984,34576613376,174352744448,0,0,991366832128,21131,28,21151,0,1028,32237064,8
1785491192,212304293888,34574761984,174352793600,0,0,991366791168,30241,100,30363,100,1028,32238160,8
1785491203,212305567744,34575867904,174352793600,0,0,991366791168,30241,39,30363,93,1028,32238624,8
1785491213,212304502784,34576322560,174352797696,0,0,991366791168,30241,74,30363,98,1028,32238688,8
1785491223,212445331456,34713059328,174352814080,0,0,991366791168,21131,31,21151,41,1028,32363772,8
1785491233,212441907200,34713354240,174352814080,0,0,991366840320,21131,0,21151,100,1028,32363876,8
1785491243,212442083328,34713792512,174353182720,0,0,991366795264,30497,99,30715,93,1028,32363912,8
1785491254,212459323392,34726903808,174353231872,0,0,991366750208,30497,100,30715,100,1028,32372328,8
1785491264,212442869760,34715234304,174353235968,0,0,991366750208,30497,100,30715,100,1028,32364104,8
1785491274,212481024000,34750025728,174353264640,0,0,991366701056,21131,50,21215,0,1028,32397120,8
1785491284,212478906368,34746777600,174353264640,0,0,991366701056,21131,37,21215,100,1028,32397292,8
1785491294,212476792832,34747396096,174353334272,0,0,991366660096,30497,75,30779,98,1028,32397972,8
