run,step,success_pct,success_roll5_pct,approx_kl,clip_pct,grad_norm,step_min
Original GRPO (100 steps),73,93.75,96.09375,0.046,14.399999999999999,25.307,23.325
Original GRPO (100 steps),74,98.4375,96.09375,0.0076,11.600000000000001,8.236,23.490000000000002
Original GRPO (100 steps),75,85.15625,94.140625,0.035,14.7,28.934,24.09
Original GRPO (100 steps),76,96.09375,94.21875,0.044,22.2,22.708,23.509999999999998
Original GRPO (100 steps),77,97.65625,94.21875,0.075,26.200000000000003,19.562,23.46333333333333
Original GRPO (100 steps),78,91.40625,93.75,0.055,19.0,31.653,23.91
Original GRPO (100 steps),79,90.625,92.1875,0.06,16.7,21.713,23.701666666666664
Original GRPO (100 steps),80,93.359375,93.828125,0.036,16.0,26.181,24.201666666666664
Original GRPO (100 steps),81,93.75,93.359375,0.053,11.3,24.433,23.95
Original GRPO (100 steps),82,97.65625,93.359375,0.044,19.1,20.879,23.723333333333336
Original GRPO (100 steps),83,96.09375,94.296875,0.086,21.5,23.274,23.696666666666665
Original GRPO (100 steps),84,96.484375,95.46875,0.044,21.5,18.169,23.766666666666666
Original GRPO (100 steps),85,96.875,96.171875,0.039,18.0,18.361,23.466666666666665
Original GRPO (100 steps),86,96.484375,96.71875,0.024,20.599999999999998,17.351,23.576666666666664
Original GRPO (100 steps),87,94.53125,96.09375,0.053,17.599999999999998,14.934,23.73166666666667
Original GRPO (100 steps),88,96.484375,96.171875,0.0096,14.499999999999998,18.166,23.583333333333332
Original GRPO (100 steps),89,96.484375,96.171875,0.093,13.900000000000002,27.468,23.808333333333334
Original GRPO (100 steps),90,94.921875,95.78125,0.064,14.499999999999998,20.217,23.938333333333333
Original GRPO (100 steps),91,98.046875,96.09375,0.013,19.5,12.607,23.66166666666667
Original GRPO (100 steps),92,97.65625,96.71875,0.011,18.9,19.078,23.576666666666664
Original GRPO (100 steps),93,97.265625,96.875,0.07,15.5,18.852,23.248333333333335
Original GRPO (100 steps),94,94.921875,96.5625,0.072,17.599999999999998,34.105,23.605
Original GRPO (100 steps),95,94.921875,96.5625,0.061,19.900000000000002,30.384,23.563333333333333
Original GRPO (100 steps),96,91.40625,95.234375,0.032,8.3,16.397,23.775
Original GRPO (100 steps),97,97.65625,95.234375,0.053,8.5,18.763,23.658333333333335
Original GRPO (100 steps),98,96.484375,95.078125,0.0096,14.7,14.085,23.57
Original GRPO (100 steps),99,95.703125,95.234375,0.06,14.7,28.208,23.815
Original GRPO (100 steps),100,98.4375,95.9375,0.036,14.2,10.472,24.023333333333333
DVAC v1 global-z (54 steps),1,77.34375,77.34375,0.142,16.8,47.493,26.678333333333335
DVAC v1 global-z (54 steps),2,74.21875,75.78125,0.047,15.1,36.139,25.295
DVAC v1 global-z (54 steps),3,76.5625,76.04166666666667,0.038,15.299999999999999,41.996,25.011666666666667
DVAC v1 global-z (54 steps),4,77.734375,76.46484375,0.043,13.3,32.91,24.98166666666667
DVAC v1 global-z (54 steps),5,80.46875,77.265625,0.026,12.5,33.736,24.88
DVAC v1 global-z (54 steps),6,84.765625,78.75,0.05,16.0,38.711,24.511666666666667
DVAC v1 global-z (54 steps),7,78.90625,79.6875,0.069,17.299999999999997,43.568,25.133333333333333
DVAC v1 global-z (54 steps),8,83.203125,81.015625,0.033,12.2,36.144,24.623333333333335
DVAC v1 global-z (54 steps),9,86.328125,82.734375,0.043,13.4,34.438,24.928333333333335
DVAC v1 global-z (54 steps),10,78.515625,82.34375,0.025,10.0,33.054,24.901666666666664
DVAC v1 global-z (54 steps),11,87.890625,82.96875,0.033,13.900000000000002,28.825,24.415000000000003
DVAC v1 global-z (54 steps),12,77.734375,82.734375,0.024,11.5,36.776,25.09333333333333
DVAC v1 global-z (54 steps),13,76.5625,81.40625,0.042,14.000000000000002,41.789,25.18166666666667
DVAC v1 global-z (54 steps),14,80.078125,80.15625,0.051,12.7,38.995,24.881666666666668
DVAC v1 global-z (54 steps),15,81.640625,80.78125,0.043,13.600000000000001,35.456,24.958333333333332
DVAC v1 global-z (54 steps),16,84.375,80.078125,0.031,8.4,31.225,24.473333333333336
DVAC v1 global-z (54 steps),17,80.859375,80.703125,0.036,12.8,31.449,24.89333333333333
DVAC v1 global-z (54 steps),18,89.84375,83.359375,0.033,15.0,24.328,24.48166666666667
DVAC v1 global-z (54 steps),19,89.0625,85.15625,0.04,14.7,43.251,24.783333333333335
DVAC v1 global-z (54 steps),20,92.578125,87.34375,0.051,14.7,30.946,25.048333333333336
DVAC v1 global-z (54 steps),21,87.5,87.96875,0.035,11.3,39.593,24.623333333333335
