series,step,success_pct,success_5step
"DVAC v3 R-only [0,2]",39,92.96875,93.359375
"DVAC v3 R-only [0,2]",40,92.1875,92.890625
"DVAC v3 R-only [0,2]",41,92.1875,92.1875
"DVAC v3 R-only [0,2]",42,93.359375,92.96875
"DVAC v3 R-only [0,2]",43,94.53125,93.046875
"DVAC v3 R-only [0,2]",44,85.9375,91.640625
"DVAC v3 R-only [0,2]",45,88.671875,90.9375
"DVAC v3 R-only [0,2]",46,92.578125,91.015625
"DVAC v3 R-only [0,2]",47,90.625,90.46875
"DVAC v3 R-only [0,2]",48,84.375,88.4375
"DVAC v3 R-only [0,2]",49,92.578125,89.765625
