h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_median,weight_mean,weight_p05,weight_p50,weight_p95,below_one_fraction,above_one_fraction,at_min_fraction,at_max_fraction
0,-4.068112373352051,0.23251378536224365,-4.115381240844727,-0.20329490303993225,0.9030511975288391,0.5476391315460205,0.9491762518882751,1.1286287307739258,0.5942028985507246,0.4057971014492754,0.028985507246376812,0.014492753623188406
1,-4.066793441772461,0.263318806886673,-4.141884803771973,-0.28517279028892517,0.8947834968566895,0.6003315448760986,0.9287068247795105,1.1345751285552979,0.6521739130434783,0.34782608695652173,0.004830917874396135,0.024154589371980676
2,-4.066447734832764,0.2708655893802643,-4.193117618560791,-0.4676467180252075,0.8632321357727051,0.5,0.8830883502960205,1.1244171857833862,0.6328502415458938,0.3671497584541063,0.08695652173913043,0.00966183574879227
3,-4.060487747192383,0.29142114520072937,-4.213956356048584,-0.526621401309967,0.8527586460113525,0.5049778819084167,0.8683446645736694,1.1251442432403564,0.714975845410628,0.28502415458937197,0.04830917874396135,0.004830917874396135
4,-4.037566184997559,0.3134259283542633,-4.188937187194824,-0.4829562306404114,0.8566318154335022,0.5453800559043884,0.8792609572410583,1.1067081689834595,0.7198067632850241,0.28019323671497587,0.024154589371980676,0.014492753623188406
5,-4.0228118896484375,0.3188802897930145,-4.198324203491211,-0.5504018664360046,0.8528582453727722,0.5142519474029541,0.8623995184898376,1.1211799383163452,0.7004830917874396,0.2995169082125604,0.04830917874396135,0.024154589371980676
6,-4.025092124938965,0.34863266348838806,-4.170150279998779,-0.4160773456096649,0.8793371319770813,0.5537102818489075,0.8959806561470032,1.1520187854766846,0.6521739130434783,0.34782608695652173,0.028985507246376812,0.024154589371980676
7,-4.015809059143066,0.3441220819950104,-4.140655040740967,-0.3627956211566925,0.8786170482635498,0.5200665593147278,0.9093011021614075,1.146425485610962,0.6376811594202898,0.36231884057971014,0.03864734299516908,0.028985507246376812
8,-4.015634536743164,0.3670770227909088,-4.190077781677246,-0.47522246837615967,0.8935293555259705,0.5773686766624451,0.8811943531036377,1.2000000476837158,0.642512077294686,0.357487922705314,0.024154589371980676,0.057971014492753624
9,-4.009738445281982,0.3815864622592926,-4.14818811416626,-0.36282646656036377,0.9039624929428101,0.5835903882980347,0.9092934131622314,1.1962288618087769,0.6038647342995169,0.3961352657004831,0.01932367149758454,0.04830917874396135
10,-4.0064377784729,0.3887665271759033,-4.124709606170654,-0.30422326922416687,0.8950170278549194,0.5686677098274231,0.9239441752433777,1.1961032152175903,0.6135265700483091,0.3864734299516908,0.01932367149758454,0.05314009661835749
11,-4.0008111000061035,0.40521886944770813,-4.142618656158447,-0.3499529957771301,0.9062992334365845,0.5923064351081848,0.9125117659568787,1.1962859630584717,0.5893719806763285,0.4106280193236715,0.024154589371980676,0.05314009661835749
12,-3.9924957752227783,0.39935147762298584,-4.109739780426025,-0.29358601570129395,0.9161648154258728,0.6310039758682251,0.9266034960746765,1.1949015855789185,0.6135265700483091,0.3864734299516908,0.024154589371980676,0.05314009661835749
13,-3.9854133129119873,0.4184202551841736,-4.058377742767334,-0.17438073456287384,0.9249706864356995,0.6273009181022644,0.9564048051834106,1.2000000476837158,0.5893719806763285,0.4106280193236715,0.004830917874396135,0.06280193236714976
14,-3.97973370552063,0.41119638085365295,-4.045595169067383,-0.16017033159732819,0.9273171424865723,0.5819575786590576,0.9599574208259583,1.18851637840271,0.5507246376811594,0.4492753623188406,0.024154589371980676,0.04830917874396135
15,-3.982464551925659,0.40966475009918213,-3.9732048511505127,0.022603118792176247,0.9486287236213684,0.6055004000663757,1.0022603273391724,1.195939540863037,0.4830917874396135,0.5169082125603864,0.014492753623188406,0.04830917874396135
16,-4.0013227462768555,0.40530192852020264,-3.9839835166931152,0.04278101772069931,0.9459753632545471,0.5764314532279968,1.0042780637741089,1.1997472047805786,0.46859903381642515,0.5314009661835749,0.00966183574879227,0.05314009661835749
17,-3.994283437728882,0.41286250948905945,-4.003089904785156,-0.02133026532828808,0.9405121207237244,0.546115517616272,0.9946674108505249,1.2000000476837158,0.5120772946859904,0.48792270531400966,0.028985507246376812,0.057971014492753624
18,-4.00161075592041,0.3991646468639374,-4.017594337463379,-0.04004257917404175,0.9290220141410828,0.5189809799194336,0.9899893403053284,1.2000000476837158,0.5120772946859904,0.48792270531400966,0.024154589371980676,0.07246376811594203
19,-4.019965648651123,0.37710946798324585,-3.9924814701080322,0.07288116961717606,0.9381328821182251,0.5363826155662537,1.0072880983352661,1.2000000476837158,0.48792270531400966,0.5120772946859904,0.043478260869565216,0.0821256038647343
20,-4.032476425170898,0.3803173005580902,-3.9855799674987793,0.12330877035856247,0.9488086104393005,0.5205410122871399,1.0123308897018433,1.2000000476837158,0.45893719806763283,0.5410628019323671,0.04830917874396135,0.10144927536231885
21,-4.046107292175293,0.3896256685256958,-3.9720606803894043,0.1900455206632614,0.9512553215026855,0.5271438360214233,1.0190045833587646,1.2000000476837158,0.45893719806763283,0.5410628019323671,0.033816425120772944,0.08695652173913043
22,-4.044172286987305,0.38057640194892883,-3.9962353706359863,0.12595872581005096,0.9607094526290894,0.5891016721725464,1.0125958919525146,1.2000000476837158,0.4444444444444444,0.5555555555555556,0.033816425120772944,0.10144927536231885
23,-4.04890251159668,0.37558069825172424,-3.980529546737671,0.18204599618911743,0.9761436581611633,0.5975053310394287,1.0182045698165894,1.2000000476837158,0.4251207729468599,0.5748792270531401,0.024154589371980676,0.09178743961352658
24,-4.041571617126465,0.3824070692062378,-3.9472544193267822,0.24664083123207092,0.9602895379066467,0.5255398154258728,1.024664044380188,1.2000000476837158,0.43478260869565216,0.5652173913043478,0.03864734299516908,0.08695652173913043
25,-4.037755012512207,0.3840751349925995,-3.968226909637451,0.181027352809906,0.9760825037956238,0.5673747062683105,1.018102765083313,1.2000000476837158,0.41545893719806765,0.5845410628019324,0.028985507246376812,0.10628019323671498
26,-4.017894744873047,0.3929329812526703,-3.928968667984009,0.22631359100341797,0.9579240679740906,0.5136981010437012,1.0226314067840576,1.2000000476837158,0.4492753623188406,0.5507246376811594,0.028985507246376812,0.09178743961352658
27,-4.021768569946289,0.39998453855514526,-3.9422311782836914,0.19885116815567017,0.9641726613044739,0.5403503775596619,1.0198850631713867,1.2000000476837158,0.4444444444444444,0.5555555555555556,0.043478260869565216,0.07729468599033816
28,-4.026057720184326,0.4083765149116516,-3.925889730453491,0.24528342485427856,0.9725469946861267,0.538183867931366,1.0245283842086792,1.2000000476837158,0.41545893719806765,0.5845410628019324,0.043478260869565216,0.10144927536231885
29,-4.021885871887207,0.41946709156036377,-3.960585355758667,0.14613904058933258,0.9560902118682861,0.5004504919052124,1.0146138668060303,1.2000000476837158,0.4444444444444444,0.5555555555555556,0.05314009661835749,0.09178743961352658
30,-4.021382808685303,0.42370814085006714,-3.97133207321167,0.11812549829483032,0.9449612498283386,0.5034566521644592,1.0118125677108765,1.2000000476837158,0.47342995169082125,0.5265700483091788,0.05314009661835749,0.10144927536231885
31,-3.9991378784179688,0.43588319420814514,-3.995743989944458,0.00778623390942812,0.9361957311630249,0.5,1.0007786750793457,1.2000000476837158,0.4975845410628019,0.5024154589371981,0.06280193236714976,0.07246376811594203
32,-4.000055313110352,0.427768737077713,-3.995687961578369,0.01020960882306099,0.9481726288795471,0.5054349899291992,1.001020908355713,1.2000000476837158,0.4927536231884058,0.5072463768115942,0.05314009661835749,0.0966183574879227
