global_step,runner_step,signal_mode,warmup,rank_count,valid_queries,history_steps,history_queries,weight_min,weight_max,weight_mean,weight_below_one_fraction,weight_above_one_fraction,z_low_clip_fraction,z_high_clip_fraction,weight_p05,weight_p50,weight_p95,residual_p05,residual_p50,residual_p95,positive_adv_weight_mean,negative_adv_weight_mean,current_mean,current_std,history_mean,history_std,position_center_median,position_scale_median,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss
1,0,per_h_robust_residual,1,2,525,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-4.423609437821433,0.639531974082355,0.0,0.0,,,39.27231979370117,0.1501936018466949,0.12156543135643,1.0045292377471924,0.0107695851475
2,1,per_h_robust_residual,0,2,549,1,1024,0.5,1.2000000476837158,0.988964844813981,0.39238616075020666,0.6076138690521157,0.004881602898155256,0.045391621207224585,0.6888978183269501,1.0253759026527405,1.1951740384101868,-1.244408667087555,0.25375877320766443,1.9517398476600647,0.9816844761371613,1.0056621134281158,-4.389597834816668,0.6539578012523979,-4.423609437821433,0.639531974082362,-4.470353126525879,0.6069532632827759,38.010963439941406,0.1335940062999725,0.0437088087201118,1.0105571746826172,0.005255670286715
3,2,per_h_robust_residual,0,2,558,2,2048,0.5,1.2000000476837158,0.9896841106876251,0.3973118297515376,0.6026881702484623,0.003691756331752329,0.05878136090693929,0.6928282380104065,1.0258501172065735,1.1983542442321777,-1.2286868691444397,0.2585008591413498,1.98354172706604,0.9795254170894623,1.0135737359523773,-4.389848171594785,0.6890082697460194,-4.40660363631905,0.6470086345104008,-4.44789457321167,0.6165252327919006,44.16446304321289,0.1556043922901153,0.0507508143782615,0.995339035987854,0.00713946018368
4,3,per_h_robust_residual,0,2,553,3,3072,0.5,1.2000000476837158,0.9965142774754364,0.3809765023305661,0.6190234976694338,0.0033634719068342625,0.05967450062415909,0.704983115196228,1.030000925064087,1.195791482925415,-1.1800674200057983,0.3000093251466751,1.9579144716262817,0.9821453392505646,1.0247204899787903,-4.374157278408675,0.6682829531428861,-4.401018481410962,0.6613521265237648,-4.440747261047363,0.6295989751815796,46.17745971679688,0.1269328296184539,0.0318716317415237,1.0002052783966064,0.0057127466425299
5,4,per_h_robust_residual,0,2,471,4,4096,0.5,1.2000000476837158,0.9896260760645451,0.4025477675875281,0.5974522193779105,0.002717622011037774,0.047940552179284404,0.7060616314411163,1.0220249891281128,1.1940087676048279,-1.1757535934448242,0.2202501371502876,1.9400874376296997,0.9829016327857971,1.0032998919487,-4.381167614564765,0.6352505024299584,-4.394303180660391,0.6631936282873846,-4.434177398681641,0.631365180015564,29.716089248657227,0.1368496716022491,0.0209205169230699,1.0159616470336914,-0.0004832803970202
6,5,per_h_robust_residual,0,2,358,5,5120,0.5,1.2000000476837158,0.9839651343209783,0.41821227767947,0.5817877139126122,0.0032402233717515054,0.0454189933149674,0.6909420788288116,1.0185533165931702,1.1924638748168945,-1.2362316846847534,0.1855330020189285,1.9246385097503662,0.9699369966983795,1.0235885977745056,-4.408825195219833,0.6177278000835846,-4.391676067441265,0.6577209727108891,-4.437694549560547,0.6271839141845703,29.378421783447266,0.1098142862319946,0.0441101342439651,0.9936603307724,0.0007661884883418
7,6,per_h_robust_residual,0,2,468,5,5120,0.5,1.2000000476837158,0.9980951373138999,0.37388889198629266,0.6261111080137074,0.003290598373760612,0.04876068322003907,0.7098567485809326,1.0307193398475647,1.1932596564292908,-1.1605730652809143,0.3071940988302231,1.9325962662696838,0.9876064658164978,1.0213301181793213,-4.372751142219641,0.6381117286566997,-4.388719218920945,0.6534219948111756,-4.447086334228516,0.6280046701431274,33.81541061401367,0.1293120980262756,0.0301609765738248,1.000861883163452,0.002899169921875
8,7,per_h_robust_residual,0,2,423,5,5120,0.5,1.2000000476837158,1.0058841775776928,0.35361701700986137,0.6463829829901386,0.002789598164186001,0.0656264792625785,0.7111538648605347,1.038416564464569,1.2000000476837158,-1.1553844809532166,0.3841658681631088,2.0,0.9946669340133667,1.0242487788200378,-4.346528386864812,0.6419686751135348,-4.38534988040154,0.6503114229725159,-4.448101997375488,0.6274573802947998,27.99327278137207,0.1056618243455886,0.0159004069864749,1.0039020776748655,-0.0054342737421393
9,8,per_h_robust_residual,0,2,554,5,5120,0.5,1.2000000476837158,1.001636596793302,0.36801444440542147,0.631985585396901,0.0025992780253088475,0.06328520028169399,0.717201828956604,1.0317610502243042,1.2000000476837158,-1.131192684173584,0.3176099359989166,2.0,0.9924792349338531,1.0180397033691406,-4.311447994098999,0.6155920600184361,-4.376685923455545,0.6407850920984951,-4.440138816833496,0.6149792075157166,44.476348876953125,0.141735553741455,0.0391485020518302,0.9934695959091188,0.003485586028546
10,9,per_h_robust_residual,0,2,495,5,5120,0.5,1.2000000476837158,1.0033773761807065,0.3650100998806231,0.634989882960464,0.00254545454641404,0.051838384997664036,0.7262877523899078,1.0329185724258423,1.1982855200767517,-1.0948491096496582,0.32918602228164673,1.9828546047210693,1.0034750699996948,1.0026242136955261,-4.32109360183822,0.5888981641395247,-4.364144066593609,0.6306888698380523,-4.4293212890625,0.6083263158798218,33.865074157714844,0.1184467002749443,0.0295388996601104,0.9982677698135376,0.0081502338871359
