step,elapsed_s,step_time_s,train_success,eval_success,reward,generate_rollouts_s,actor_training_s,local_cache_size,local_transition_count,global_min_replay_size,update_step,ready_for_online,actor_loss,critic_loss,actor_switch_rate,actor_updates_run,critic_updates_run,pending_update_budget,global_total_transitions
23,2170,94.348,0.0,,0.0,96.293,0.0054,1683.0,80.0,1633.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3366.0
24,2259,94.146,0.375,,0.0175,88.759,0.0055,1750.5,67.5,1704.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3501.0
25,2555,102.24,0.375,0.0,0.018125,91.574,0.0055,1817.5,67.0,1767.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3635.0
26,2647,101.839,0.125,,0.006875,91.297,0.0063,1892.5,75.0,1847.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3785.0
27,2742,101.557,0.125,,0.00625,93.472,0.0054,1968.0,75.5,1927.0,0.0,0.0,,,0.0,0.0,0.0,0.0,3936.0
28,2837,101.33,0.0,,0.0,94.329,0.0057,2048.0,80.0,2007.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4096.0
29,2932,101.119,0.25,,0.0131250005,94.273,0.004,2118.5,70.5,2087.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4237.0
30,3026,100.888,0.125,,0.00625,93.438,0.0073,2194.0,75.5,2167.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4388.0
31,3121,100.68,0.0,,0.0,93.703,0.0052,2274.0,80.0,2247.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4548.0
32,3214,100.459,0.0,,0.0,92.873,0.006,2354.0,80.0,2327.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4708.0
33,3307,100.229,0.25,,0.01375,92.123,0.0036,2424.0,70.0,2387.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4848.0
34,3391,99.762,0.25,,0.0125,83.796,0.0063,2495.0,71.0,2459.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4990.0
35,3487,99.638,0.125,,0.005625,94.699,0.0063,2571.0,76.0,2531.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5142.0
36,3582,99.516,0.25,,0.0131250005,94.463,0.0042,2641.5,70.5,2611.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5283.0
37,3669,99.17,0.125,,0.006875,86.186,0.0055,2716.5,75.0,2681.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5433.0
38,3764,99.078,0.0,,0.0,94.94,0.005,2796.5,80.0,2761.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5593.0
39,3858,98.944,0.0,,0.0,93.064,0.0051,2876.5,80.0,2841.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5753.0
40,3948,98.713,0.375,,0.0175,88.991,0.0054,2944.0,67.5,2904.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5888.0
41,4039,98.526,0.25,,0.0125,90.305,0.0052,3015.0,71.0,2976.0,0.0,0.0,,,0.0,0.0,0.0,0.0,6030.0
42,4128,98.286,0.25,,0.010625,87.723,0.0057,3087.5,72.5,3048.0,0.0,0.0,,,0.0,0.0,0.0,0.0,6175.0
43,4219,98.125,0.0,,0.0,90.768,0.0062,3167.5,80.0,3128.0,0.0,0.0,,,0.0,0.0,0.0,0.0,6335.0
44,4313,98.023,0.125,,0.00625,92.895,0.0051,3243.0,75.5,3199.0,0.0,0.0,,,0.0,0.0,0.0,0.0,6486.0
45,4401,97.81,0.0,,0.0,87.895,0.0062,3323.0,80.0,3279.0,0.0,0.0,,,0.0,0.0,0.0,0.0,6646.0
46,4491,97.64,0.25,,0.0125,89.24,0.0063,3394.0,71.0,3349.0,0.0,0.0,,,0.0,0.0,0.0,0.0,6788.0
47,4585,97.567,0.375,,0.016875,93.474,0.0037,3462.0,68.0,3405.0,0.0,0.0,,,0.0,0.0,0.0,0.0,6924.0
48,4675,97.414,0.0,,0.0,89.708,0.0057,3542.0,80.0,3485.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7084.0
49,4766,97.279,0.25,,0.01125,90.029,0.0057,3614.0,72.0,3557.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7228.0
50,5070,101.401,0.125,0.0,0.00625,95.44,0.005,3689.5,75.5,3628.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7379.0
51,5164,101.274,0.125,,0.00625,94.165,0.0056,3765.0,75.5,3708.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7530.0
52,5253,101.029,0.125,,0.00625,87.811,0.0054,3840.5,75.5,3779.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7681.0
53,5349,100.936,0.125,,0.00625,95.395,0.0036,3916.0,75.5,3850.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7832.0
54,5434,100.631,0.25,,0.0131250005,83.921,0.0047,3986.5,70.5,3920.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7973.0
55,5528,100.513,0.0,,0.0,93.607,0.0068,4066.5,80.0,4000.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8133.0
56,5620,100.369,0.125,,0.005,91.731,0.0065,4143.0,76.5,4073.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8286.0
57,5715,100.274,0.25,,0.0125,94.233,0.0031,4214.0,71.0,4153.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8428.0
58,5805,100.098,0.25,,0.0125,89.49,0.006,4285.0,71.0,4224.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8570.0
