group,count_queries,count_action_h,mean_weight,p05_weight,median_weight,p95_weight,mean_residual
all_valid,346,17300,1.005430817604065,0.7239582538604736,1.0332863330841064,1.2000000476837158,0.376411110162735
successful_episode,210,10500,0.9924136996269226,0.7153169512748718,1.022155523300171,1.2000000476837158,0.2828081250190735
failed_episode,136,6800,1.0255309343338013,0.7407726049423218,1.049975872039795,1.2000000476837158,0.520945131778717
query_idx_0,104,5200,0.988143801689148,0.70076584815979,1.0231242179870605,1.1884503364562988,0.25062692165374756
query_idx_1,104,5200,1.056181788444519,0.8084533214569092,1.0766221284866333,1.2000000476837158,0.7297402024269104
query_idx_2,104,5200,0.977564811706543,0.7128137350082397,1.0078901052474976,1.2000000476837158,0.1731463223695755
query_idx_3,34,1700,0.9883082509040833,0.6674482822418213,1.0298669338226318,1.2000000476837158,0.3021426200866699
