h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_median,weight_mean,weight_p05,weight_p50,weight_p95,below_one_fraction,above_one_fraction,at_min_fraction,at_max_fraction
0,-4.478804588317871,0.2964398264884949,-4.333828926086426,0.48905515670776367,1.0221138000488281,0.7630344033241272,1.048905611038208,1.2000000476837158,0.315028901734104,0.684971098265896,0.002890173410404624,0.07225433526011561
1,-4.468536376953125,0.31021952629089355,-4.376696586608887,0.2960469722747803,1.0022274255752563,0.7345943450927734,1.0296046733856201,1.188126802444458,0.34971098265895956,0.6502890173410405,0.008670520231213872,0.049132947976878616
2,-4.444699287414551,0.3164096474647522,-4.3549299240112305,0.2837117314338684,0.9924110174179077,0.6828291416168213,1.0283710956573486,1.1992748975753784,0.3988439306358382,0.6011560693641619,0.002890173410404624,0.05202312138728324
3,-4.403748512268066,0.3577176034450531,-4.2821221351623535,0.3400067090988159,0.9956050515174866,0.722690999507904,1.0340006351470947,1.19754159450531,0.3670520231213873,0.6329479768786127,0.008670520231213872,0.04046242774566474
4,-4.37612771987915,0.3861168324947357,-4.272187232971191,0.269195020198822,0.9942224025726318,0.7188137769699097,1.0269194841384888,1.2000000476837158,0.3699421965317919,0.630057803468208,0.002890173410404624,0.05491329479768786
5,-4.356098175048828,0.39635148644447327,-4.211443901062012,0.36496463418006897,1.0005028247833252,0.7076148986816406,1.0364964008331299,1.1913777589797974,0.36127167630057805,0.638728323699422,0.002890173410404624,0.049132947976878616
6,-4.337516784667969,0.41498658061027527,-4.208380699157715,0.311181902885437,0.9932039976119995,0.7051951289176941,1.0311181545257568,1.2000000476837158,0.4046242774566474,0.5953757225433526,0.0,0.06358381502890173
7,-4.324498176574707,0.4480588138103485,-4.215817928314209,0.24255800247192383,0.9937313795089722,0.7213033437728882,1.0242557525634766,1.1998250484466553,0.407514450867052,0.5924855491329479,0.0,0.05202312138728324
8,-4.30880069732666,0.46252211928367615,-4.186040878295898,0.26541444659233093,0.99456787109375,0.7335319519042969,1.0265414714813232,1.2000000476837158,0.3930635838150289,0.6069364161849711,0.0,0.06358381502890173
9,-4.309140205383301,0.4887773394584656,-4.156129837036133,0.3130471706390381,1.0020753145217896,0.7234479188919067,1.0313047170639038,1.2000000476837158,0.3959537572254335,0.6040462427745664,0.0,0.0838150289017341
10,-4.282069206237793,0.5100541114807129,-4.1681413650512695,0.2233646810054779,0.9984209537506104,0.7219328880310059,1.022336483001709,1.2000000476837158,0.3815028901734104,0.6184971098265896,0.0,0.07803468208092486
11,-4.263193130493164,0.5274469256401062,-4.07020378112793,0.3658929467201233,1.0097317695617676,0.7460321187973022,1.03658926486969,1.2000000476837158,0.3872832369942196,0.6127167630057804,0.0,0.08092485549132948
12,-4.242825508117676,0.5172948241233826,-4.037129878997803,0.39763712882995605,1.0145742893218994,0.7325962781906128,1.0397636890411377,1.2000000476837158,0.37283236994219654,0.6271676300578035,0.002890173410404624,0.10404624277456648
13,-4.214059829711914,0.5293468832969666,-4.027523040771484,0.35239091515541077,1.01555335521698,0.7768182158470154,1.0352391004562378,1.2000000476837158,0.34104046242774566,0.6589595375722543,0.0,0.08670520231213873
14,-4.186587333679199,0.5363742113113403,-3.9769740104675293,0.3907970190048218,1.0083893537521362,0.7399579882621765,1.0390796661376953,1.2000000476837158,0.3670520231213873,0.6329479768786127,0.0,0.0838150289017341
15,-4.188409805297852,0.5451710820198059,-3.9566304683685303,0.42514973878860474,1.0149253606796265,0.7483319044113159,1.0425150394439697,1.2000000476837158,0.33236994219653176,0.6676300578034682,0.0,0.06936416184971098
16,-4.170938968658447,0.5460595488548279,-4.006298065185547,0.30150678753852844,0.9934101700782776,0.7130309343338013,1.0301506519317627,1.2000000476837158,0.4161849710982659,0.5838150289017341,0.002890173410404624,0.07514450867052024
17,-4.188637733459473,0.5362458825111389,-3.9646472930908203,0.41770121455192566,1.0074760913848877,0.7055603265762329,1.041770100593567,1.2000000476837158,0.3583815028901734,0.6416184971098265,0.0,0.07803468208092486
18,-4.2030792236328125,0.5257146954536438,-4.071002960205078,0.2512313723564148,1.0004775524139404,0.7124406099319458,1.025123119354248,1.2000000476837158,0.3699421965317919,0.630057803468208,0.0,0.06647398843930635
19,-4.220948219299316,0.5225543975830078,-4.0668416023254395,0.294910192489624,1.0042848587036133,0.7323465347290039,1.0294909477233887,1.2000000476837158,0.37572254335260113,0.6242774566473989,0.0,0.06936416184971098
20,-4.238924980163574,0.5280091166496277,-4.0776872634887695,0.30536919832229614,1.0029339790344238,0.7143815159797668,1.0305368900299072,1.2000000476837158,0.37283236994219654,0.6271676300578035,0.0,0.06647398843930635
21,-4.275137424468994,0.5323963165283203,-4.1344709396362305,0.26421430706977844,1.0036908388137817,0.7414486408233643,1.0264214277267456,1.2000000476837158,0.3930635838150289,0.6069364161849711,0.002890173410404624,0.057803468208092484
22,-4.280098915100098,0.5051531195640564,-4.122074127197266,0.3128255009651184,1.0081182718276978,0.7363955974578857,1.0312825441360474,1.2000000476837158,0.36416184971098264,0.6358381502890174,0.002890173410404624,0.06069364161849711
