step,clean_raw_pct,clean_ma5_pct,clean_ma10_pct,clean_ma20_pct,old_raw_pct,old_ma5_pct,old_ma10_pct,old_ma20_pct,pure02_raw_pct,pure02_ma5_pct,pure02_ma10_pct,pure02_ma20_pct,pure03_raw_pct,pure03_ma5_pct,pure03_ma10_pct,pure03_ma20_pct,pure04_raw_pct,pure04_ma5_pct,pure04_ma10_pct,pure04_ma20_pct,pure05_raw_pct,pure05_ma5_pct,pure05_ma10_pct,pure05_ma20_pct
19,12.5,5.0,16.25,17.763157894736842,12.5,7.5,10.0,12.5,0.0,12.5,15.0,13.81578947368421,12.5,17.5,18.75,19.07894736842105,0.0,2.5,7.5,13.157894736842104,0.0,10.0,11.25,13.81578947368421
20,12.5,7.5,16.25,17.5,12.5,10.0,10.0,12.5,12.5,15.0,15.0,13.75,0.0,12.5,16.25,18.125,12.5,5.0,7.5,13.125,0.0,10.0,10.0,13.125
21,0.0,7.5,12.5,16.25,37.5,17.5,12.5,13.125,12.5,17.5,16.25,14.375,12.5,15.0,15.0,17.5,12.5,7.5,8.75,11.875,12.5,12.5,10.0,12.5
22,25.0,10.0,11.25,15.625,25.0,20.0,15.0,13.125,0.0,12.5,15.0,11.875,12.5,10.0,13.75,17.5,0.0,5.0,6.25,10.0,12.5,10.0,11.25,12.5
23,25.0,15.0,10.0,16.25,37.5,25.0,16.25,13.125,25.0,10.0,12.5,12.5,12.5,10.0,12.5,17.5,25.0,10.0,7.5,10.0,12.5,7.5,10.0,12.5
24,25.0,17.5,11.25,17.5,12.5,25.0,16.25,12.5,12.5,12.5,12.5,13.125,37.5,15.0,16.25,18.125,25.0,15.0,8.75,11.25,25.0,12.5,11.25,12.5
25,12.5,17.5,12.5,17.5,25.0,27.5,18.75,13.75,12.5,12.5,13.75,13.75,25.0,20.0,16.25,18.125,12.5,15.0,10.0,11.25,12.5,15.0,12.5,12.5
26,12.5,20.0,13.75,17.5,25.0,25.0,21.25,14.375,12.5,12.5,15.0,13.75,12.5,20.0,17.5,18.125,0.0,12.5,10.0,11.25,50.0,22.5,17.5,14.375
27,12.5,17.5,13.75,18.125,37.5,27.5,23.75,16.25,0.0,12.5,12.5,13.125,37.5,25.0,17.5,19.375,12.5,15.0,10.0,10.625,0.0,20.0,15.0,14.375
28,0.0,12.5,13.75,16.25,0.0,20.0,22.5,15.625,12.5,10.0,10.0,13.75,0.0,22.5,16.25,18.75,0.0,10.0,10.0,10.625,0.0,17.5,12.5,13.125
29,25.0,12.5,15.0,15.625,25.0,22.5,23.75,16.875,12.5,10.0,11.25,13.125,0.0,15.0,15.0,16.875,25.0,10.0,12.5,10.0,12.5,15.0,13.75,12.5
30,25.0,15.0,16.25,16.25,37.5,25.0,26.25,18.125,25.0,12.5,12.5,13.75,25.0,15.0,17.5,16.875,37.5,15.0,15.0,11.25,37.5,20.0,17.5,13.75
31,0.0,12.5,16.25,14.375,12.5,22.5,23.75,18.125,0.0,10.0,11.25,13.75,12.5,15.0,17.5,16.25,12.5,17.5,15.0,11.875,0.0,10.0,16.25,13.125
32,0.0,10.0,13.75,12.5,0.0,15.0,21.25,18.125,12.5,12.5,12.5,13.75,12.5,10.0,17.5,15.625,0.0,15.0,15.0,10.625,25.0,15.0,17.5,14.375
33,12.5,12.5,12.5,11.25,25.0,20.0,20.0,18.125,25.0,15.0,12.5,12.5,12.5,12.5,17.5,15.0,12.5,17.5,13.75,10.625,25.0,20.0,18.75,14.375
34,25.0,12.5,12.5,11.875,25.0,20.0,21.25,18.75,25.0,17.5,13.75,13.125,25.0,17.5,16.25,16.25,12.5,15.0,12.5,10.625,50.0,27.5,21.25,16.25
35,12.5,10.0,12.5,12.5,12.5,15.0,20.0,19.375,12.5,15.0,13.75,13.75,0.0,12.5,13.75,15.0,25.0,12.5,13.75,11.875,12.5,22.5,21.25,16.875
36,0.0,10.0,11.25,12.5,25.0,17.5,20.0,20.625,12.5,17.5,13.75,14.375,25.0,15.0,15.0,16.25,37.5,17.5,17.5,13.75,12.5,25.0,17.5,17.5
37,0.0,10.0,10.0,11.875,12.5,20.0,17.5,20.625,37.5,22.5,17.5,15.0,37.5,20.0,15.0,16.25,25.0,22.5,18.75,14.375,25.0,25.0,20.0,17.5
38,37.5,15.0,13.75,13.75,0.0,15.0,17.5,20.0,25.0,22.5,18.75,14.375,37.5,25.0,18.75,17.5,25.0,25.0,21.25,15.625,37.5,27.5,23.75,18.125
39,0.0,10.0,11.25,13.125,0.0,10.0,15.0,19.375,12.5,20.0,18.75,15.0,12.5,22.5,20.0,17.5,25.0,27.5,21.25,16.875,0.0,17.5,22.5,18.125
