round,env/success_once,eval/success_once,time/step,time/generate_rollouts,time/actor_training,time/eval
1,0.28125,,776.2559814453125,324.3396911621094,447.0416564941406,
2,0.46875,,734.5643310546875,282.1627197265625,445.87652587890625,
3,0.4375,,749.6301879882812,297.4668273925781,446.09423828125,
4,0.5,,774.4226684570312,326.2829895019531,442.4458923339844,
5,0.4375,0.34375,1076.119140625,295.38836669921875,444.431640625,330.7261657714844
6,0.40625,,761.8731079101562,316.4602966308594,443.5230407714844,
7,0.4375,,755.2254028320312,302.4591369628906,447.37945556640625,
8,0.53125,,769.2564697265625,310.2375793457031,451.990478515625,
9,0.625,,782.6397705078125,329.9344177246094,446.7601623535156,
10,0.5,0.40625,1111.4644775390625,302.8050842285156,443.8036193847656,334.4459228515625
11,0.625,,781.9072265625,329.38922119140625,450.9923095703125,
12,0.6875,,757.8358764648438,302.7314147949219,448.5471496582031,
13,0.625,,786.109375,334.1943664550781,444.5606994628906,
14,0.5625,,787.0004272460938,334.32818603515625,446.5732421875,
15,0.71875,0.5,1073.0750732421875,292.13128662109375,452.0989074707031,323.91790771484375
16,0.59375,,782.5947875976562,335.8057556152344,444.88983154296875,
17,0.59375,,795.3960571289062,348.0426330566406,442.0709533691406,
18,0.59375,,753.8099365234375,303.7779846191406,444.4707336425781,
19,0.65625,,762.8305053710938,308.1369934082031,449.3349914550781,
20,0.71875,0.53125,1079.87744140625,292.8765869140625,450.176513671875,303.6241149902344
21,0.65625,,757.883544921875,312.36407470703125,444.0945739746094,
22,0.5,,768.5316772460938,318.3550109863281,444.8144226074219,
23,0.6875,,782.83203125,333.3647155761719,443.7814025878906,
24,0.5625,,762.5364990234375,307.4049072265625,448.7572326660156,
25,0.5625,0.625,1086.3331298828125,320.4175720214844,453.5159606933594,307.4155578613281
26,0.65625,,736.4653930664062,291.3359680175781,443.30035400390625,
27,0.59375,,771.9730224609375,322.78448486328125,443.9758605957031,
28,0.71875,,783.3781127929688,334.7843017578125,443.3608703613281,
29,0.46875,,763.1461181640625,305.1918640136719,453.0496520996094,
30,0.59375,0.46875,1126.130859375,333.51507568359375,451.5384826660156,307.07525634765625
31,0.625,,767.1905517578125,319.7184753417969,445.97906494140625,
32,0.71875,,757.9696044921875,308.6395568847656,444.1908264160156,
33,0.6875,,764.987548828125,314.3656311035156,445.6114196777344,
34,0.59375,,775.2383422851562,320.24908447265625,449.5400390625,
35,0.34375,0.5625,1063.035400390625,313.4079284667969,452.883056640625,291.7669677734375
36,0.5625,,752.3734741210938,303.4844970703125,447.0448303222656,
37,0.53125,,775.3944091796875,324.37066650390625,445.7619323730469,
38,0.53125,,769.71337890625,318.3806457519531,446.3078918457031,
39,0.53125,,766.8915405273438,301.6009521484375,460.14666748046875,
40,0.65625,0.59375,1157.347412109375,327.090576171875,450.05029296875,345.03033447265625
41,0.6875,,776.982666015625,328.3764343261719,447.1514892578125,
42,0.71875,,776.4286499023438,324.8001708984375,446.9047546386719,
43,0.6875,,781.2070922851562,327.93243408203125,448.4141540527344,
44,0.625,,757.145263671875,295.6192321777344,456.4232177734375,
45,0.65625,0.5,1075.9754638671875,304.0452880859375,447.1861877441406,318.5369873046875
46,0.53125,,757.70263671875,307.5700988769531,448.02154541015625,
47,0.5625,,747.4126586914062,294.1380310058594,448.38739013671875,
48,0.5625,,762.5485229492188,309.9185791015625,447.7366638183594,
49,0.59375,,787.5338134765625,330.5015869140625,452.0360412597656,
50,0.53125,0.5,1073.549560546875,304.5428466796875,445.45831298828125,291.56524658203125
51,0.6875,,763.27490234375,311.2601318359375,450.5012512207031,
52,0.59375,,744.000732421875,290.6325988769531,448.40362548828125,
53,0.6875,,755.2755126953125,301.64208984375,448.5851745605469,
54,0.46875,,761.4475708007812,298.9455871582031,457.09027099609375,
55,0.625,0.53125,1106.7962646484375,329.0718078613281,443.7481689453125,327.6484375
56,0.59375,,755.2620849609375,306.2115478515625,446.8586120605469,
57,0.53125,,770.4395751953125,316.0992736816406,449.0874328613281,
58,0.46875,,757.7664794921875,301.0050964355469,451.698486328125,
59,0.71875,,761.7015380859375,304.18084716796875,452.6046447753906,
60,0.75,0.5,1158.0615234375,350.7120666503906,450.0245666503906,325.1498107910156
61,0.65625,,748.3168334960938,296.57293701171875,450.2462158203125,
62,0.65625,,738.8109741210938,285.1280822753906,448.62353515625,
63,0.625,,756.2897338867188,306.1181945800781,445.1788330078125,
64,0.6875,,746.9832763671875,289.37994384765625,452.3041687011719,
65,0.53125,0.65625,1090.0645751953125,323.8532409667969,440.9322814941406,320.3440856933594
66,0.53125,,782.54541015625,328.0594482421875,452.5224914550781,
67,0.4375,,801.0215454101562,344.8687438964844,450.8406982421875,
68,0.625,,756.34326171875,297.4387512207031,453.8999938964844,
