tag,completed_round,raw_tensorboard_step,value,wall_time
env/reward,1,0,0.0014062499394640326,1788625530.4372516
env/reward,2,1,0.0023437500931322575,1788626265.0344484
env/reward,3,2,0.002187499776482582,1788627014.70049
env/reward,4,3,0.0024999999441206455,1788627789.154811
env/reward,5,4,0.0021875000093132257,1788628865.3050954
env/reward,6,5,0.002031249925494194,1788629627.211678
env/reward,7,6,0.002187499776482582,1788630382.4728432
env/reward,8,7,0.0026562500279396772,1788631151.7709498
env/reward,9,8,0.003124999813735485,1788631934.4480817
env/reward,10,9,0.002499999711290002,1788633045.9421823
env/reward,11,10,0.0031250002793967724,1788633827.8853552
env/reward,12,11,0.0034374999813735485,1788634585.767635
env/reward,13,12,0.0031250000465661287,1788635371.9153047
env/reward,14,13,0.0028124998789280653,1788636158.9501574
env/reward,15,14,0.0035937500651925802,1788637232.0587876
env/reward,16,15,0.002968749962747097,1788638014.688328
env/reward,17,16,0.002968749962747097,1788638810.1151762
env/reward,18,17,0.0029687497299164534,1788639563.9554923
env/reward,19,18,0.003281249897554517,1788640326.825044
env/reward,20,19,0.0035937498323619366,1788641406.7283545
env/reward,21,20,0.003281249664723873,1788642164.654564
env/reward,22,21,0.0024999999441206455,1788642933.2212896
env/reward,23,22,0.0034374999813735485,1788643716.094478
env/reward,24,23,0.0028124998789280653,1788644478.6709504
env/reward,25,24,0.0028124998789280653,1788645565.0335557
env/reward,26,25,0.003281249664723873,1788646301.534496
env/reward,27,26,0.002968749962747097,1788647073.5397897
env/reward,28,27,0.0035937498323619366,1788647856.950442
env/reward,29,28,0.002343749860301614,1788648620.13111
env/reward,30,29,0.002968749962747097,1788649746.2909687
env/reward,31,30,0.003124999813735485,1788650513.5140905
env/reward,32,31,0.0035937498323619366,1788651271.515868
env/reward,33,32,0.0034374999813735485,1788652036.5356748
env/reward,34,33,0.002968749962747097,1788652811.802669
env/reward,35,34,0.0017187498742714524,1788653874.8628464
env/reward,36,35,0.0028124998789280653,1788654627.2662785
env/reward,37,36,0.0026562500279396772,1788655402.6866238
env/reward,38,37,0.0026562497951090336,1788656172.4277122
env/reward,39,38,0.0026562497951090336,1788656939.3508463
env/reward,40,39,0.0032812501303851604,1788658096.7248116
env/reward,41,40,0.003437499748542905,1788658873.7334235
env/reward,42,41,0.0035937498323619366,1788659650.1944518
env/reward,43,42,0.003437499748542905,1788660431.4365041
env/reward,44,43,0.003124999813735485,1788661188.6209073
env/reward,45,44,0.0032812501303851604,1788662264.6375616
env/reward,46,45,0.0026562500279396772,1788663022.3784838
env/reward,47,46,0.0028124998789280653,1788663769.822982
env/reward,48,47,0.0028124998789280653,1788664532.408978
env/reward,49,48,0.0029687497299164534,1788665319.979058
env/reward,50,49,0.0026562500279396772,1788666393.550458
env/reward,51,50,0.0034374999813735485,1788667156.8562071
env/reward,52,51,0.002968749962747097,1788667900.8895662
env/reward,53,52,0.003437499748542905,1788668656.1951241
env/reward,54,53,0.002343749860301614,1788669417.6862717
env/reward,55,54,0.003124999813735485,1788670524.5224442
env/reward,56,55,0.0029687497299164534,1788671279.818798
env/reward,57,56,0.0026562497951090336,1788672050.2891467
env/reward,58,57,0.0023437500931322575,1788672808.089825
env/reward,59,58,0.0035937498323619366,1788673569.8187702
env/reward,60,59,0.0037499999161809683,1788674727.90882
env/reward,61,60,0.003281249897554517,1788675476.2570796
env/reward,62,61,0.003281249664723873,1788676215.1053271
env/reward,63,62,0.003124999813735485,1788676971.424574
env/reward,64,63,0.0034374999813735485,1788677718.4364815
env/reward,65,64,0.0026562500279396772,1788678808.5247617
env/reward,66,65,0.0026562500279396772,1788679591.1036043
env/reward,67,66,0.002187499776482582,1788680392.162053
env/reward,68,67,0.0031250000465661287,1788681148.5402217
env/episode_len,1,0,200.0,1788625530.4373112
env/episode_len,2,1,200.0,1788626265.0344994
env/episode_len,3,2,200.0,1788627014.7005522
env/episode_len,4,3,200.0,1788627789.154875
env/episode_len,5,4,200.0,1788628865.3051512
env/episode_len,6,5,200.0,1788629627.2117302
env/episode_len,7,6,200.0,1788630382.4729104
env/episode_len,8,7,200.0,1788631151.7710075
env/episode_len,9,8,200.0,1788631934.4481308
env/episode_len,10,9,200.0,1788633045.9422078
env/episode_len,11,10,200.0,1788633827.885447
env/episode_len,12,11,200.0,1788634585.7678134
env/episode_len,13,12,200.0,1788635371.9153674
env/episode_len,14,13,200.0,1788636158.9502091
env/episode_len,15,14,200.0,1788637232.0588508
env/episode_len,16,15,200.0,1788638014.688381
env/episode_len,17,16,200.0,1788638810.1152499
env/episode_len,18,17,200.0,1788639563.95555
env/episode_len,19,18,200.0,1788640326.8251185
env/episode_len,20,19,200.0,1788641406.7283852
env/episode_len,21,20,200.0,1788642164.654639
env/episode_len,22,21,200.0,1788642933.2214437
env/episode_len,23,22,200.0,1788643716.0945523
env/episode_len,24,23,200.0,1788644478.6710293
env/episode_len,25,24,200.0,1788645565.0336235
env/episode_len,26,25,200.0,1788646301.5345755
env/episode_len,27,26,200.0,1788647073.5398536
env/episode_len,28,27,200.0,1788647856.9505107
env/episode_len,29,28,200.0,1788648620.13119
env/episode_len,30,29,200.0,1788649746.2910006
env/episode_len,31,30,200.0,1788650513.514139
env/episode_len,32,31,200.0,1788651271.515921
env/episode_len,33,32,200.0,1788652036.5357306
env/episode_len,34,33,200.0,1788652811.8027241
env/episode_len,35,34,200.0,1788653874.8629117
env/episode_len,36,35,200.0,1788654627.2663457
env/episode_len,37,36,200.0,1788655402.6866841
env/episode_len,38,37,200.0,1788656172.4277778
env/episode_len,39,38,200.0,1788656939.3509204
env/episode_len,40,39,200.0,1788658096.7248397
env/episode_len,41,40,200.0,1788658873.7334929
env/episode_len,42,41,200.0,1788659650.1945052
env/episode_len,43,42,200.0,1788660431.4365647
env/episode_len,44,43,200.0,1788661188.620978
env/episode_len,45,44,200.0,1788662264.6376038
env/episode_len,46,45,200.0,1788663022.3785355
env/episode_len,47,46,200.0,1788663769.823058
env/episode_len,48,47,200.0,1788664532.4090507
env/episode_len,49,48,200.0,1788665319.9791079
env/episode_len,50,49,200.0,1788666393.5504909
env/episode_len,51,50,200.0,1788667156.8562865
env/episode_len,52,51,200.0,1788667900.8896618
env/episode_len,53,52,200.0,1788668656.1951962
env/episode_len,54,53,200.0,1788669417.6863472
env/episode_len,55,54,200.0,1788670524.5225146
env/episode_len,56,55,200.0,1788671279.8188703
env/episode_len,57,56,200.0,1788672050.2891984
env/episode_len,58,57,200.0,1788672808.0899081
env/episode_len,59,58,200.0,1788673569.8188236
env/episode_len,60,59,200.0,1788674727.9088461
env/episode_len,61,60,200.0,1788675476.2571385
env/episode_len,62,61,200.0,1788676215.1053903
env/episode_len,63,62,200.0,1788676971.4246387
env/episode_len,64,63,200.0,1788677718.43655
env/episode_len,65,64,200.0,1788678808.5247965
env/episode_len,66,65,200.0,1788679591.1036668
env/episode_len,67,66,200.0,1788680392.162122
env/episode_len,68,67,200.0,1788681148.5402832
env/success_once,1,0,0.28125,1788625530.4373205
env/success_once,2,1,0.46875,1788626265.0345082
env/success_once,3,2,0.4375,1788627014.7005641
env/success_once,4,3,0.5,1788627789.1548877
env/success_once,5,4,0.4375,1788628865.3051727
env/success_once,6,5,0.40625,1788629627.211739
env/success_once,7,6,0.4375,1788630382.4729223
env/success_once,8,7,0.53125,1788631151.7710164
env/success_once,9,8,0.625,1788631934.4481397
env/success_once,10,9,0.5,1788633045.9422166
env/success_once,11,10,0.625,1788633827.8854604
env/success_once,12,11,0.6875,1788634585.7678475
env/success_once,13,12,0.625,1788635371.9153814
env/success_once,14,13,0.5625,1788636158.9502177
env/success_once,15,14,0.71875,1788637232.058879
env/success_once,16,15,0.59375,1788638014.6883893
env/success_once,17,16,0.59375,1788638810.1152644
env/success_once,18,17,0.59375,1788639563.9555597
env/success_once,19,18,0.65625,1788640326.8251307
env/success_once,20,19,0.71875,1788641406.7283936
env/success_once,21,20,0.65625,1788642164.6546524
env/success_once,22,21,0.5,1788642933.2214754
env/success_once,23,22,0.6875,1788643716.0945616
env/success_once,24,23,0.5625,1788644478.6710434
env/success_once,25,24,0.5625,1788645565.0336525
env/success_once,26,25,0.65625,1788646301.5345895
env/success_once,27,26,0.59375,1788647073.5398662
env/success_once,28,27,0.71875,1788647856.9505246
env/success_once,29,28,0.46875,1788648620.1312068
env/success_once,30,29,0.59375,1788649746.2910092
env/success_once,31,30,0.625,1788650513.514146
env/success_once,32,31,0.71875,1788651271.5159314
env/success_once,33,32,0.6875,1788652036.53574
env/success_once,34,33,0.59375,1788652811.8027353
env/success_once,35,34,0.34375,1788653874.862938
env/success_once,36,35,0.5625,1788654627.2663593
env/success_once,37,36,0.53125,1788655402.686696
env/success_once,38,37,0.53125,1788656172.4277918
env/success_once,39,38,0.53125,1788656939.35093
env/success_once,40,39,0.65625,1788658096.7248483
env/success_once,41,40,0.6875,1788658873.7335072
env/success_once,42,41,0.71875,1788659650.1945167
env/success_once,43,42,0.6875,1788660431.4365735
env/success_once,44,43,0.625,1788661188.6209872
env/success_once,45,44,0.65625,1788662264.6376178
env/success_once,46,45,0.53125,1788663022.3785446
env/success_once,47,46,0.5625,1788663769.8230736
env/success_once,48,47,0.5625,1788664532.4090633
env/success_once,49,48,0.59375,1788665319.9791172
env/success_once,50,49,0.53125,1788666393.5505009
env/success_once,51,50,0.6875,1788667156.8562984
env/success_once,52,51,0.59375,1788667900.8896759
env/success_once,53,52,0.6875,1788668656.1952107
env/success_once,54,53,0.46875,1788669417.6863573
env/success_once,55,54,0.625,1788670524.5225415
env/success_once,56,55,0.59375,1788671279.8188822
env/success_once,57,56,0.53125,1788672050.2892077
env/success_once,58,57,0.46875,1788672808.0899255
env/success_once,59,58,0.71875,1788673569.8222153
env/success_once,60,59,0.75,1788674727.908854
env/success_once,61,60,0.65625,1788675476.2571483
env/success_once,62,61,0.65625,1788676215.105402
env/success_once,63,62,0.625,1788676971.424651
env/success_once,64,63,0.6875,1788677718.436563
env/success_once,65,64,0.53125,1788678808.5248113
env/success_once,66,65,0.53125,1788679591.103676
env/success_once,67,66,0.4375,1788680392.1621356
env/success_once,68,67,0.625,1788681148.5402915
env/return,1,0,0.28125,1788625530.4373267
env/return,2,1,0.46875,1788626265.034515
env/return,3,2,0.4375,1788627014.7005727
env/return,4,3,0.5,1788627789.1548972
env/return,5,4,0.4375,1788628865.3051858
env/return,6,5,0.40625,1788629627.2117453
env/return,7,6,0.4375,1788630382.4729311
env/return,8,7,0.53125,1788631151.7710228
env/return,9,8,0.625,1788631934.4481456
env/return,10,9,0.5,1788633045.942224
env/return,11,10,0.625,1788633827.8854702
env/return,12,11,0.6875,1788634585.7678726
env/return,13,12,0.625,1788635371.9153912
env/return,14,13,0.5625,1788636158.9502244
env/return,15,14,0.71875,1788637232.058899
env/return,16,15,0.59375,1788638014.688396
env/return,17,16,0.59375,1788638810.1152744
env/return,18,17,0.59375,1788639563.955567
env/return,19,18,0.65625,1788640326.8251393
env/return,20,19,0.71875,1788641406.7284005
env/return,21,20,0.65625,1788642164.654664
env/return,22,21,0.5,1788642933.2214987
env/return,23,22,0.6875,1788643716.0945678
env/return,24,23,0.5625,1788644478.6710544
env/return,25,24,0.5625,1788645565.0336764
env/return,26,25,0.65625,1788646301.5346
env/return,27,26,0.59375,1788647073.5398755
env/return,28,27,0.71875,1788647856.9505358
env/return,29,28,0.46875,1788648620.1312172
env/return,30,29,0.59375,1788649746.2910156
env/return,31,30,0.625,1788650513.5141506
env/return,32,31,0.71875,1788651271.51594
env/return,33,32,0.6875,1788652036.5357468
env/return,34,33,0.59375,1788652811.8027456
env/return,35,34,0.34375,1788653874.8629613
env/return,36,35,0.5625,1788654627.2663689
env/return,37,36,0.53125,1788655402.6867025
env/return,38,37,0.53125,1788656172.4278004
env/return,39,38,0.53125,1788656939.3509364
env/return,40,39,0.65625,1788658096.724855
env/return,41,40,0.6875,1788658873.733519
env/return,42,41,0.71875,1788659650.1945252
env/return,43,42,0.6875,1788660431.4365795
env/return,44,43,0.625,1788661188.6209943
env/return,45,44,0.65625,1788662264.6376286
env/return,46,45,0.53125,1788663022.3785517
env/return,47,46,0.5625,1788663769.823085
env/return,48,47,0.5625,1788664532.4090726
env/return,49,48,0.59375,1788665319.9791248
env/return,50,49,0.53125,1788666393.5505085
env/return,51,50,0.6875,1788667156.8563077
env/return,52,51,0.59375,1788667900.8896859
env/return,53,52,0.6875,1788668656.1952217
env/return,54,53,0.46875,1788669417.6863637
env/return,55,54,0.625,1788670524.5225616
env/return,56,55,0.59375,1788671279.8188913
env/return,57,56,0.53125,1788672050.2892144
env/return,58,57,0.46875,1788672808.0899377
env/return,59,58,0.71875,1788673569.8222313
env/return,60,59,0.75,1788674727.9088602
env/return,61,60,0.65625,1788675476.2571554
env/return,62,61,0.65625,1788676215.1054115
env/return,63,62,0.625,1788676971.4246602
env/return,64,63,0.6875,1788677718.4365723
env/return,65,64,0.53125,1788678808.524823
env/return,66,65,0.53125,1788679591.1036825
env/return,67,66,0.4375,1788680392.1621466
env/return,68,67,0.625,1788681148.540298
env/num_trajectories,1,0,32.0,1788625530.4373536
env/num_trajectories,2,1,32.0,1788626265.0345392
env/num_trajectories,3,2,32.0,1788627014.7006054
env/num_trajectories,4,3,32.0,1788627789.1549299
env/num_trajectories,5,4,32.0,1788628865.3052104
env/num_trajectories,6,5,32.0,1788629627.211769
