tag,round,value,wall_time
env/return,28,0.5,1789972072.9665272
env/return,29,0.25,1789972334.7668557
env/return,30,0.0,1789972879.2515655
env/return,31,0.75,1789973139.170682
env/return,32,0.75,1789973401.2943013
env/return,33,0.25,1789973664.2290938
env/return,34,0.5,1789973926.5675073
env/return,35,0.25,1789974465.510462
env/return,36,0.5,1789974724.3473556
env/return,37,0.5,1789974984.054886
env/return,38,0.5,1789975248.0792418
env/return,39,0.25,1789975510.9140742
env/return,40,0.5,1789976052.9419804
env/return,41,0.5,1789976311.4628196
env/return,42,0.75,1789976573.0073485
env/return,43,0.25,1789976834.9023445
env/return,44,0.5,1789977095.1211128
env/return,45,0.0,1789977635.6012712
env/return,46,0.0,1789977895.5133371
env/return,47,0.0,1789978157.9124205
env/return,48,0.25,1789978419.786524
env/return,49,0.5,1789978681.6014516
env/return,50,0.0,1789979239.2651982
env/return,51,0.25,1789979497.014882
env/return,52,0.5,1789979758.0150838
env/return,53,0.5,1789980019.8775928
env/return,54,0.75,1789980280.7140272
env/return,55,0.25,1789980813.6369174
env/return,56,0.5,1789981072.045709
env/return,57,0.5,1789981333.050193
env/return,58,0.0,1789981594.7779493
env/return,59,0.5,1789981856.4921079
env/return,60,0.25,1789982393.5321712
env/return,61,0.75,1789982651.1379187
env/return,62,0.5,1789982911.995412
env/return,63,0.25,1789983173.9501755
env/return,64,0.5,1789983435.9333942
env/return,65,0.5,1789983974.5825028
env/return,66,0.5,1789984232.512183
env/return,67,0.25,1789984493.7455618
env/return,68,0.5,1789984754.5926502
env/return,69,0.75,1789985015.7424092
env/return,70,0.25,1789985553.2725093
env/return,71,0.5,1789985812.158869
env/return,72,0.5,1789986073.2229142
env/return,73,0.75,1789986333.889377
env/return,74,0.5,1789986595.7659416
env/return,75,0.25,1789987135.2320178
env/return,76,0.75,1789987393.5584087
env/return,77,0.75,1789987652.8253744
env/return,78,1.0,1789987913.8117375
env/return,79,0.75,1789988173.8611908
env/return,80,0.25,1789988703.5995095
env/return,81,0.5,1789988964.6816986
env/return,82,0.5,1789989225.0215075
env/return,83,0.5,1789989486.5192227
env/return,84,0.75,1789989746.5579255
env/return,85,0.0,1789990277.160359
env/return,86,0.25,1789990536.5895767
env/return,87,0.5,1789990798.5872827
env/return,88,0.5,1789991060.5000567
env/return,89,0.5,1789991320.2239232
env/return,90,0.25,1789991855.6382267
env/return,91,0.75,1789992113.745295
env/return,92,0.5,1789992375.145442
env/return,93,0.75,1789992636.2639654
env/return,94,0.25,1789992897.8888414
env/return,95,0.5,1789993434.3765368
env/return,96,0.75,1789993694.348755
env/return,97,0.5,1789993955.0567536
env/return,98,0.25,1789994216.6012344
env/return,99,0.75,1789994477.9445837
env/return,100,0.25,1789995037.5270467
env/return,101,0.25,1789995296.268077
env/return,102,0.25,1789995556.1601353
env/return,103,0.0,1789995818.5978885
env/return,104,0.75,1789996079.8291926
env/return,105,0.5,1789996608.9853723
env/return,106,0.75,1789996867.3574407
env/return,107,0.75,1789997128.5302606
env/return,108,0.25,1789997390.3539095
env/return,109,0.0,1789997651.9840765
env/return,110,0.75,1789998180.9181564
env/return,111,0.0,1789998439.5593371
env/return,112,0.5,1789998701.159506
env/return,113,0.25,1789998960.7695386
env/return,114,0.5,1789999221.3397121
env/return,115,0.75,1789999753.529973
env/return,116,0.5,1790000012.4822886
env/return,117,0.5,1790000274.1048663
env/return,118,0.5,1790000535.4595144
env/return,119,0.5,1790000795.9719205
env/return,120,0.5,1790001323.8701448
env/return,121,0.0,1790001583.8607056
env/return,122,0.25,1790001846.1164923
env/return,123,0.5,1790002107.9344656
env/return,124,0.25,1790002369.411182
env/return,125,0.25,1790002898.114312
env/return,126,0.75,1790003156.2724037
env/return,127,0.75,1790003417.5999224
env/return,128,0.75,1790003677.84248
env/return,129,0.25,1790003939.631055
env/reward,1,0.0012499999720603228,1789963573.9131129
env/reward,2,0.0024999999441206455,1789963839.3994024
env/reward,3,0.0037499999161809683,1789964104.5790226
env/reward,4,0.0012499999720603228,1789964368.172662
env/reward,5,0.0024999999441206455,1789964915.506079
env/reward,6,0.0,1789965175.5437102
env/reward,7,0.0012499999720603228,1789965438.9949522
env/reward,8,0.0,1789965701.9329162
env/reward,9,0.0037499999161809683,1789965963.3256848
env/reward,10,0.0037499999161809683,1789966504.6688204
env/reward,11,0.0012499999720603228,1789966765.660505
env/reward,12,0.0024999999441206455,1789967027.602287
env/reward,13,0.0037499999161809683,1789967290.7486782
env/reward,14,0.0024999999441206455,1789967552.9501696
