display_group,policy,task,episodes,success_episodes,failure_episodes,queries,eligible_queries,mean_y_L3,position_span,position_min,position_max,mu,scale_min,scale_median,scale_max,floored_bins,min_L_rank_correlation,max_L_rank_correlation,episode_mean_S_raw_success_minus_failure,episode_mean_S_raw_ci_low,episode_mean_S_raw_ci_high,episode_mean_S_std_success_minus_failure,episode_mean_S_std_ci_low,episode_mean_S_std_ci_high,episode_mean_abs_I_raw_success_minus_failure,episode_mean_abs_I_raw_ci_low,episode_mean_abs_I_raw_ci_high,episode_mean_abs_I_std_success_minus_failure,episode_mean_abs_I_std_ci_low,episode_mean_abs_I_std_ci_high,episode_mean_abs_R_std_success_minus_failure,episode_mean_abs_R_std_ci_low,episode_mean_abs_R_std_ci_high
pi0 / adjust bottle,pi0,adjust_bottle,64,42,22,256,214,-4.365001230590629,1.1478507886186495,-4.942914457989327,-3.795063669370678,-4.392668557341497,0.3630381394365169,0.6333930445874649,0.9621696149280295,0.0,0.6655849450675211,0.8553208686198213,-0.2818615641628277,-0.4085551276893296,-0.1627694808802877,-0.4360557445954379,-0.6302713542782211,-0.2416817778101331,-0.0127711398236336,-0.0345998109415865,0.0090102264179502,-0.0196619053281681,-0.0546811161030612,0.0150871138812673,-0.1162930496366059,-0.2233759630940996,-0.0165259816077697
Fast-WAM / adjust bottle,fastwam,adjust_bottle,16,16,0,80,80,-8.473534166075822,0.7428268441136954,-8.949991057049484,-8.207164212935789,-8.572152748683287,0.2986806331186171,0.5855191086645295,0.880263845495177,0.0,0.9690107829348336,0.9690107829348336,,,,,,,,,,,,,,,
Fast-WAM / move stapler,fastwam,move_stapler_pad,16,11,5,162,162,-8.399659187797546,0.597283056155371,-9.005367680264307,-8.408084624108936,-8.647063204872525,0.3473168201620362,0.5861635057147263,0.9011744257475082,0.0,0.9591368985874188,0.9591368985874188,-0.3765465821556984,-0.6498662545943547,-0.0934692130400435,-0.5991023074083247,-1.0147278402766116,-0.1234363685530721,-0.1220433095082487,-0.2422090703841552,0.0232271865075887,-0.1422111504334141,-0.3195002359759001,0.0698718178767733,-0.3351712833506709,-0.6535628480040012,0.043597829025741
Fast-WAM / turn switch,fastwam,turn_switch,16,10,6,133,133,-8.439456767646615,0.5644622735135467,-8.942027762262054,-8.377565488748507,-8.578314591972585,0.25919946504898,0.5061158804319934,0.7185428851640856,0.0,0.9464859570908276,0.9464859570908276,0.3006439725898182,0.0763145969808312,0.50007326422219,0.5628019432562426,0.1192490301530553,0.9789012891604096,0.0485851769914555,-0.0038872829849692,0.0955177113513693,0.096856120684886,-0.0008840960938992,0.1911437785882928,0.4631051122836824,0.2063278972877896,0.7437001794113557
Fast-WAM / pick bottles,fastwam,pick_diverse_bottles,16,12,4,128,128,-7.757666276115614,1.7754295376569083,-8.951425039304597,-7.175995501647689,-7.850265538768074,0.3239377337723542,0.8487251437647254,1.7607101819006297,0.0,0.9804065189525728,0.9804065189525728,-0.7349438294838893,-1.0556500382923328,-0.460534390649427,-0.5418692370724131,-0.9616308137392336,-0.1993166383076604,-0.0397909984771271,-0.1379826959459762,0.0608031873475922,0.0427963283352591,-0.1352646970855926,0.1838916248948606,-0.0658131696060611,-0.4628257940692208,0.2248582136177086
