display_group,position_span,position_min,position_max,mu,scale_min,scale_median,scale_max,floored_bins
pi0 / adjust bottle,1.1478507886186495,-4.942914457989327,-3.795063669370678,-4.392668557341497,0.3630381394365169,0.6333930445874649,0.9621696149280295,0
Fast-WAM / adjust bottle,0.7428268441136954,-8.949991057049484,-8.207164212935789,-8.572152748683287,0.2986806331186171,0.5855191086645295,0.880263845495177,0
Fast-WAM / move stapler,0.597283056155371,-9.005367680264307,-8.408084624108936,-8.647063204872525,0.3473168201620362,0.5861635057147263,0.9011744257475082,0
Fast-WAM / turn switch,0.5644622735135467,-8.942027762262054,-8.377565488748507,-8.578314591972585,0.25919946504898,0.5061158804319934,0.7185428851640856,0
Fast-WAM / pick bottles,1.7754295376569083,-8.951425039304597,-7.175995501647689,-7.850265538768074,0.3239377337723542,0.8487251437647254,1.7607101819006297,0
