policy,task,group_id,episode_key,episode_uid,success,episode_mean_abs_r_raw,episode_mean_abs_R_std,display_group
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,episode0001_reset0,True,0.4410004877493009,0.7652673410434072,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0002_reset1,episode0002_reset1,True,0.4807829685447551,0.8409269577434764,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0003_reset2,episode0003_reset2,True,0.5410666740688148,0.9588783601367744,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0004_reset3,episode0004_reset3,True,0.5479468390761029,0.9350412624691561,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0005_reset4,episode0005_reset4,True,0.40407144251187643,0.7235081089270998,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0006_reset5,episode0006_reset5,True,0.4188653601923199,0.7418129687723131,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0007_reset6,episode0007_reset6,True,0.5142085830521423,0.8846904075662815,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0008_reset7,episode0008_reset7,True,0.41026882961144767,0.7059498111157533,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0009_reset8,episode0009_reset8,True,0.49501129521501763,0.8651107383202181,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0010_reset9,episode0010_reset9,True,0.4521028464885067,0.7995343400833227,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0011_reset10,episode0011_reset10,True,0.49092841637918394,0.8537813855472498,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0012_reset11,episode0012_reset11,True,0.5237417093225727,0.9568126503100831,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0013_reset12,episode0013_reset12,True,0.42379230108567717,0.7385557518052209,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0014_reset13,episode0014_reset13,True,0.43796303619282534,0.739093537881441,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0015_reset14,episode0015_reset14,True,0.6161994401859497,1.0846975032181283,Fast-WAM / adjust bottle
fastwam,adjust_bottle,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0016_reset15,episode0016_reset15,True,0.4618090747186452,0.8019089878576302,Fast-WAM / adjust bottle
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,episode0001_reset0,True,0.4507829934263797,0.7666290318248331,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_reset1,episode0002_reset1,True,0.6758941398823274,1.152014013716131,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0003_reset2,episode0003_reset2,True,0.5714783014145747,0.9810450649112035,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_reset3,episode0004_reset3,True,0.421056014270547,0.6926943108598616,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0005_reset4,episode0005_reset4,True,0.392170592850124,0.6597953490886451,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_reset5,episode0006_reset5,False,0.9606127581198779,1.516411703899387,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0007_reset6,episode0007_reset6,False,0.6058876507290406,1.0052446950018759,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0008_reset7,episode0008_reset7,True,0.3890558222472114,0.6529422890111137,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0009_reset8,episode0009_reset8,False,0.3412288966970146,0.5803128017318783,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0010_reset9,episode0010_reset9,False,0.929070100928372,1.462748193938307,Fast-WAM / move stapler
fastwam,move_stapler_pad,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0011_reset10,episode0011_reset10,True,0.5114901405317476,0.8391151248979555,Fast-WAM / move stapler
