tag,step,wall_time,value
env/episode_len,0,1787653571.367047,200.0
env/episode_len,1,1787655088.1975522,200.0
env/episode_len,2,1787656553.6575851,200.0
env/episode_len,3,1787658038.4794364,200.0
env/episode_len,4,1787659909.9835052,200.0
env/episode_len,5,1787661444.8036509,200.0
env/episode_len,6,1787663060.7462122,200.0
env/episode_len,7,1787664543.327633,200.0
env/episode_len,8,1787666018.2498076,200.0
env/episode_len,9,1787667909.9319131,200.0
env/episode_len,10,1787669259.7725322,200.0
env/episode_len,11,1787670524.1650157,200.0
env/episode_len,12,1787671773.1618772,200.0
env/episode_len,13,1787673011.3744519,200.0
env/episode_len,14,1787674506.8523908,200.0
env/episode_len,15,1787675773.9246767,200.0
env/episode_len,16,1787677031.4679952,200.0
env/episode_len,17,1787678272.2602456,200.0
env/episode_len,18,1787679516.232977,200.0
env/episode_len,19,1787681050.7279744,200.0
env/episode_len,20,1787682322.5565455,200.0
env/episode_len,21,1787683590.3771718,200.0
env/episode_len,22,1787684861.042378,200.0
env/episode_len,23,1787686140.620444,200.0
env/episode_len,24,1787687676.1578496,200.0
env/episode_len,25,1787688972.6642532,200.0
env/episode_len,26,1787690265.8647523,200.0
env/episode_len,27,1787691564.9418783,200.0
env/episode_len,28,1787692849.097336,200.0
env/episode_len,29,1787694374.2506676,200.0
env/episode_len,30,1787695607.5399916,200.0
env/episode_len,31,1787696836.6663828,200.0
env/episode_len,32,1787698086.7003663,200.0
env/episode_len,33,1787699312.7131743,200.0
env/episode_len,34,1787700820.9810581,200.0
env/episode_len,35,1787702073.2282019,200.0
env/episode_len,36,1787703348.4422245,200.0
env/episode_len,37,1787704616.7421832,200.0
env/episode_len,38,1787705884.4938366,200.0
env/episode_len,39,1787707442.4041917,200.0
env/episode_len,40,1787708689.5844636,200.0
env/episode_len,41,1787709951.0559242,200.0
env/episode_len,42,1787711223.4321573,200.0
env/episode_len,43,1787712514.6920774,200.0
env/episode_len,44,1787714068.3368185,200.0
env/num_trajectories,0,1787653571.3670928,512.0
env/num_trajectories,1,1787655088.19759,512.0
env/num_trajectories,2,1787656553.6576233,512.0
env/num_trajectories,3,1787658038.479474,512.0
env/num_trajectories,4,1787659909.983558,512.0
env/num_trajectories,5,1787661444.8036916,512.0
env/num_trajectories,6,1787663060.7462487,512.0
env/num_trajectories,7,1787664543.3276558,512.0
env/num_trajectories,8,1787666018.2498424,512.0
env/num_trajectories,9,1787667909.9319334,512.0
env/num_trajectories,10,1787669259.772561,512.0
env/num_trajectories,11,1787670524.1650932,512.0
env/num_trajectories,12,1787671773.1619065,512.0
env/num_trajectories,13,1787673011.3744812,512.0
env/num_trajectories,14,1787674506.8524153,512.0
env/num_trajectories,15,1787675773.924704,512.0
env/num_trajectories,16,1787677031.4680247,512.0
env/num_trajectories,17,1787678272.2602777,512.0
env/num_trajectories,18,1787679516.2330093,512.0
env/num_trajectories,19,1787681050.728001,512.0
env/num_trajectories,20,1787682322.5565753,512.0
env/num_trajectories,21,1787683590.3772016,512.0
env/num_trajectories,22,1787684861.0424087,512.0
env/num_trajectories,23,1787686140.620465,512.0
env/num_trajectories,24,1787687676.1578722,512.0
env/num_trajectories,25,1787688972.6642818,512.0
env/num_trajectories,26,1787690265.8647811,512.0
env/num_trajectories,27,1787691564.941901,512.0
env/num_trajectories,28,1787692849.097366,512.0
env/num_trajectories,29,1787694374.2506893,512.0
env/num_trajectories,30,1787695607.5400212,512.0
env/num_trajectories,31,1787696836.6664195,512.0
env/num_trajectories,32,1787698086.7003896,512.0
env/num_trajectories,33,1787699312.7132032,512.0
env/num_trajectories,34,1787700820.981081,512.0
env/num_trajectories,35,1787702073.2282317,512.0
env/num_trajectories,36,1787703348.4422572,512.0
env/num_trajectories,37,1787704616.742214,512.0
env/num_trajectories,38,1787705884.493872,512.0
env/num_trajectories,39,1787707442.4042094,512.0
env/num_trajectories,40,1787708689.5844872,512.0
env/num_trajectories,41,1787709951.055962,512.0
env/num_trajectories,42,1787711223.4321873,512.0
env/num_trajectories,43,1787712514.6921067,512.0
env/num_trajectories,44,1787714068.3368542,512.0
env/return,0,1787653571.3670547,0.732421875
env/return,1,1787655088.1975582,0.75
env/return,2,1787656553.6575918,0.765625
env/return,3,1787658038.4794426,0.837890625
env/return,4,1787659909.983521,0.796875
env/return,5,1787661444.8036582,0.876953125
env/return,6,1787663060.7462187,0.796875
env/return,7,1787664543.3276386,0.798828125
env/return,8,1787666018.249814,0.841796875
env/return,9,1787667909.9319189,0.859375
env/return,10,1787669259.7725384,0.828125
env/return,11,1787670524.1650343,0.787109375
env/return,12,1787671773.1618834,0.84765625
env/return,13,1787673011.374458,0.830078125
env/return,14,1787674506.8523984,0.86328125
env/return,15,1787675773.924683,0.876953125
env/return,16,1787677031.4680011,0.841796875
env/return,17,1787678272.2602532,0.87890625
env/return,18,1787679516.2329836,0.880859375
env/return,19,1787681050.7279801,0.908203125
env/return,20,1787682322.5565517,0.892578125
env/return,21,1787683590.3771777,0.86328125
env/return,22,1787684861.042384,0.94921875
env/return,23,1787686140.6204503,0.8671875
env/return,24,1787687676.1578557,0.89453125
env/return,25,1787688972.6642597,0.896484375
env/return,26,1787690265.8647583,0.939453125
env/return,27,1787691564.9418836,0.88671875
env/return,28,1787692849.0973423,0.91015625
env/return,29,1787694374.2506745,0.955078125
env/return,30,1787695607.5399976,0.9296875
env/return,31,1787696836.666391,0.921875
env/return,32,1787698086.700373,0.908203125
env/return,33,1787699312.7131803,0.921875
env/return,34,1787700820.9810653,0.90234375
env/return,35,1787702073.2282078,0.923828125
env/return,36,1787703348.442231,0.890625
env/return,37,1787704616.7421892,0.890625
env/return,38,1787705884.4938421,0.94921875
env/return,39,1787707442.4041963,0.923828125
env/return,40,1787708689.5844696,0.9375
env/return,41,1787709951.0559325,0.951171875
env/return,42,1787711223.432163,0.927734375
env/return,43,1787712514.6920834,0.931640625
env/return,44,1787714068.3368292,0.931640625
env/reward,0,1787653571.366941,0.0036621084436774254
env/reward,1,1787655088.197486,0.0037499996833503246
env/reward,2,1787656553.6575134,0.0038281246088445187
env/reward,3,1787658038.4793644,0.004189453087747097
env/reward,4,1787659909.9834225,0.003984374925494194
env/reward,5,1787661444.803578,0.004384765401482582
env/reward,6,1787663060.7461421,0.003984374459832907
env/reward,7,1787664543.3275902,0.003994140308350325
env/reward,8,1787666018.2497404,0.004208983853459358
env/reward,9,1787667909.9318802,0.00429687462747097
env/reward,10,1787669259.7724707,0.004140624776482582
env/reward,11,1787670524.1648784,0.003935546614229679
env/reward,12,1787671773.1618211,0.004238280933350325
env/reward,13,1787673011.3743966,0.004150390159338713
env/reward,14,1787674506.852353,0.004316405858844519
env/reward,15,1787675773.9246347,0.004384765401482582
env/reward,16,1787677031.4679337,0.004208983853459358
env/reward,17,1787678272.260182,0.004394530784338713
env/reward,18,1787679516.2329106,0.004404296167194843
env/reward,19,1787681050.7279367,0.00454101525247097
env/reward,20,1787682322.55649,0.004462890326976776
env/reward,21,1787683590.3771179,0.004316405858844519
env/reward,22,1787684861.0423245,0.004746093414723873
env/reward,23,1787686140.6204116,0.004335937090218067
env/reward,24,1787687676.1578038,0.004472656175494194
env/reward,25,1787688972.6641872,0.004482421092689037
env/reward,26,1787690265.8646998,0.004697265103459358
env/reward,27,1787691564.9418433,0.004433592781424522
env/reward,28,1787692849.0972838,0.004550780635327101
env/reward,29,1787694374.2506335,0.0047753904946148396
env/reward,30,1787695607.539938,0.004648436792194843
env/reward,31,1787696836.6663098,0.004609374329447746
env/reward,32,1787698086.7003229,0.00454101525247097
env/reward,33,1787699312.7131221,0.004609374329447746
env/reward,34,1787700820.981022,0.004511718638241291
env/reward,35,1787702073.2281497,0.0046191406436264515
env/reward,36,1787703348.4421582,0.004453124478459358
env/reward,37,1787704616.7421284,0.004453124478459358
env/reward,38,1787705884.493785,0.004746093414723873
env/reward,39,1787707442.4041646,0.004619140177965164
