h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_p05,residual_median,residual_p95,weight_p05,weight_mean,weight_p50,weight_p95,at_min_fraction,at_max_fraction
0,-4.879120349884033,0.4021485447883606,-4.882865697732582,-1.4823025465011597,-0.009313861839473248,1.8845333456993103,0.25884872674942017,1.0214326589544556,0.9953430891036987,1.9422666430473328,0.014903129657228018,0.038748137108792845
1,-4.832562446594238,0.45526978373527527,-4.845000700251766,-1.4679421186447144,-0.02732071839272976,1.8178340196609497,0.2660289406776428,1.0244403385547518,0.9863396286964417,1.90891695022583,0.013412816691505217,0.037257824143070044
2,-4.802979469299316,0.4447891116142273,-4.813768191336881,-1.5636417865753174,-0.024256253615021706,1.8333998918533325,0.2181791067123413,1.0156071504075552,0.9878718852996826,1.916700005531311,0.020864381520119227,0.046199701937406856
3,-4.745330810546875,0.47127780318260193,-4.740746079825203,-1.5540093779563904,0.009728421457111835,1.863970398902893,0.2229953110218048,1.0299439169077866,1.00486421585083,1.9319852590560913,0.022354694485842028,0.037257824143070044
4,-4.706416130065918,0.5163107514381409,-4.630764351544611,-1.414283573627472,0.14652347564697266,1.8076162338256836,0.29285821318626404,1.0750955215331872,1.0732617378234863,1.9038081169128418,0.010432190760059613,0.038748137108792845
5,-4.643270015716553,0.5024437308311462,-4.57743597888516,-1.4257395267486572,0.1310276985168457,1.9009305834770203,0.2871302366256714,1.0788710274568436,1.0655138492584229,1.9504652619361877,0.013412816691505217,0.043219076005961254
6,-4.598772048950195,0.5095999240875244,-4.512182885839099,-1.5904037356376648,0.1699163019657135,1.93122798204422,0.2047981321811676,1.0798634370641809,1.0849581956863403,1.9656139612197876,0.020864381520119227,0.041728763040238454
7,-4.588530540466309,0.5359953045845032,-4.49260784263077,-1.553697645664215,0.1789613962173462,1.9927834272384644,0.22315117716789246,1.097167548941429,1.0894806385040283,1.9963917136192322,0.011922503725782414,0.05067064083457526
8,-4.5722856521606445,0.5431016087532043,-4.396695848204804,-1.4981303215026855,0.3233097493648529,2.0,0.2509348392486572,1.129591568216304,1.1616548299789429,2.0,0.007451564828614009,0.07898658718330849
9,-4.558648109436035,0.6338337659835815,-4.383256124958281,-1.3317567110061646,0.27671632170677185,2.0,0.3341216444969177,1.1409900379429632,1.1383581161499023,2.0,0.004470938897168405,0.05365126676602087
10,-4.534450531005859,0.6331208348274231,-4.285967077195881,-1.2699379920959473,0.39247429370880127,2.0,0.36503100395202637,1.185199217007519,1.1962370872497559,2.0,0.005961251862891207,0.07749627421758569
11,-4.512502670288086,0.6222357749938965,-4.2342190779613516,-1.346246063709259,0.4472317397594452,2.0,0.3268769681453705,1.1929065811651829,1.2236158847808838,2.0,0.010432190760059613,0.08792846497764531
12,-4.479944229125977,0.6526830792427063,-4.2320827631624764,-1.2269166111946106,0.3797576427459717,2.0,0.3865416944026947,1.2017511783164945,1.1898788213729858,2.0,0.007451564828614009,0.08196721311475409
13,-4.43438720703125,0.6588818430900574,-4.182074296252714,-1.23006933927536,0.3829413950443268,2.0,0.38496533036231995,1.181766299927821,1.191470742225647,2.0,0.004470938897168405,0.07600596125186289
14,-4.397538661956787,0.702961266040802,-4.157524424743109,-1.2345793843269348,0.3414328694343567,2.0,0.3827103078365326,1.1660733366865337,1.170716404914856,2.0,0.0014903129657228018,0.05365126676602087
15,-4.377715110778809,0.6423337459564209,-4.128152115562886,-1.5242056846618652,0.3885257840156555,2.0,0.23789715766906738,1.175550157107113,1.1942628622055054,2.0,0.004470938897168405,0.06706408345752608
16,-4.367083549499512,0.6749722361564636,-4.136642813271254,-1.2913836240768433,0.34140753746032715,1.9020991921424866,0.35430818796157837,1.1622583021350128,1.1707037687301636,1.951049566268921,0.0,0.043219076005961254
17,-4.404074668884277,0.6154282689094543,-4.164271769411591,-1.229475975036621,0.38965198397636414,2.0,0.38526201248168945,1.191697530881481,1.1948260068893433,2.0,0.004470938897168405,0.08047690014903129
18,-4.414785385131836,0.6358182430267334,-4.201707895797633,-1.2450080513954163,0.33512336015701294,2.0,0.37749597430229187,1.1669915753753992,1.167561650276184,2.0,0.00894187779433681,0.05514157973174367
19,-4.454628944396973,0.6083475947380066,-4.206857220386631,-1.284742832183838,0.40728646516799927,2.0,0.35762858390808105,1.2018327222673442,1.2036432027816772,2.0,0.005961251862891207,0.07898658718330849
20,-4.468125820159912,0.6108682155609131,-4.245253839728906,-1.2648344039916992,0.36484429240226746,2.0,0.3675827980041504,1.1728037187132856,1.182422161102295,2.0,0.0029806259314456036,0.06706408345752608
21,-4.488054275512695,0.6200593709945679,-4.2966272014980245,-1.234170913696289,0.308724045753479,2.0,0.38291454315185547,1.152705339667694,1.1543619632720947,2.0,0.004470938897168405,0.07004470938897168
22,-4.494316101074219,0.6176896691322327,-4.285543749391908,-1.2858943343162537,0.33798879384994507,2.0,0.35705283284187317,1.1494018363526255,1.168994426727295,2.0,0.005961251862891207,0.06259314456035768
23,-4.537343978881836,0.6177257299423218,-4.335872724868008,-1.0722182989120483,0.326150119304657,2.0,0.46389085054397583,1.1746064803817056,1.1630750894546509,2.0,0.0029806259314456036,0.05365126676602087
24,-4.509105682373047,0.6149569153785706,-4.307722743077697,-1.1324543952941895,0.3274751603603363,1.9746820330619812,0.4337728023529053,1.162665736746326,1.1637375354766846,1.987341046333313,0.005961251862891207,0.046199701937406856
25,-4.535074234008789,0.602252185344696,-4.3305996373042905,-1.1401219964027405,0.3395163118839264,1.9645274877548218,0.42993900179862976,1.178574041709104,1.1697582006454468,1.9822638034820557,0.0014903129657228018,0.04918032786885246
26,-4.558491230010986,0.6266807913780212,-4.3294600237089025,-1.0259336233139038,0.3654668927192688,1.9774304032325745,0.4870331883430481,1.1934512239810073,1.182733416557312,1.9887152314186096,0.004470938897168405,0.04918032786885246
27,-4.5396223068237305,0.5712658166885376,-4.342491234940295,-1.308608591556549,0.3450778126716614,2.0,0.34569570422172546,1.163964982270839,1.1725388765335083,2.0,0.010432190760059613,0.06110283159463487
28,-4.553970813751221,0.5700413584709167,-4.349461163825932,-1.3182064294815063,0.3587629795074463,2.0,0.3408967852592468,1.1752792718513534,1.1793814897537231,2.0,0.007451564828614009,0.06706408345752608
29,-4.570025444030762,0.5642672777175903,-4.347949835786649,-1.3776601552963257,0.3935643136501312,2.0,0.31116992235183716,1.1803700376729496,1.196782112121582,2.0,0.007451564828614009,0.08196721311475409
30,-4.544412612915039,0.5832774043083191,-4.3511536314945465,-1.2595818638801575,0.3313325047492981,2.0,0.37020906805992126,1.1688059013220309,1.1656662225723267,2.0,0.005961251862891207,0.07600596125186289
31,-4.558923721313477,0.5614578127861023,-4.364541941732204,-1.1762099862098694,0.34620893001556396,2.0,0.4118950068950653,1.1912189602141232,1.1731045246124268,2.0,0.007451564828614009,0.09538002980625931
32,-4.543432235717773,0.5703920125961304,-4.316256917261566,-1.2928670644760132,0.3982791304588318,2.0,0.3535664677619934,1.1832862169483203,1.1991395950317383,2.0,0.005961251862891207,0.08345752608047691
33,-4.551305770874023,0.5635949373245239,-4.3245110225989025,-1.2311050295829773,0.40240731835365295,2.0,0.38444748520851135,1.2242914766028812,1.20120370388031,2.0,0.007451564828614009,0.09836065573770492
34,-4.506507873535156,0.5918022394180298,-4.288889376626439,-1.14805406332016,0.3677215874195099,2.0,0.42597296833992004,1.1941983313389932,1.1838607788085938,2.0,0.0029806259314456036,0.08345752608047691
35,-4.515606880187988,0.5711215734481812,-4.264295946440079,-1.2374425530433655,0.4400303363800049,2.0,0.38127872347831726,1.2118248676578618,1.2200151681900024,2.0,0.007451564828614009,0.09239940387481371
36,-4.489490509033203,0.5940362215042114,-4.234279235079418,-1.1185596585273743,0.4296225309371948,2.0,0.44072017073631287,1.219885539368972,1.2148113250732422,2.0,0.0029806259314456036,0.08792846497764531
37,-4.486570358276367,0.6169533729553223,-4.198597998133743,-1.1330441236495972,0.4667653441429138,2.0,0.4334779381752014,1.219405420668612,1.2333827018737793,2.0,0.0029806259314456036,0.06855439642324888
38,-4.489320755004883,0.6350356340408325,-4.185621627665258,-0.9948059320449829,0.4782393276691437,1.9724743366241455,0.5025970339775085,1.2327677993944968,1.2391196489334106,1.9862371683120728,0.0029806259314456036,0.046199701937406856
39,-4.475786209106445,0.6136865019798279,-4.208980307280388,-1.0806003212928772,0.43475964665412903,2.0,0.4596998393535614,1.2220573418186602,1.2173798084259033,2.0,0.005961251862891207,0.06408345752608048
40,-4.4280500411987305,0.6211506128311157,-4.190599234156355,-1.1495549082756042,0.38227540254592896,1.9451693296432495,0.4252225458621979,1.1966497902543285,1.191137671470642,1.9725847244262695,0.004470938897168405,0.044709388971684055
41,-4.414664268493652,0.6059576869010925,-4.203972884089005,-1.1148416996002197,0.34769994020462036,2.0,0.44257915019989014,1.1919360646725412,1.1738499402999878,2.0,0.0014903129657228018,0.05365126676602087
42,-4.392845153808594,0.6063737273216248,-4.189384169755833,-1.1448354721069336,0.3355375826358795,2.0,0.4275822639465332,1.1860862151343492,1.1677688360214233,2.0,0.0029806259314456036,0.05812220566318927
43,-4.386781692504883,0.6450033783912659,-4.137734082752065,-1.0730150938034058,0.3861185312271118,2.0,0.4634924530982971,1.2083998720443374,1.1930592060089111,2.0,0.0014903129657228018,0.06110283159463487
44,-4.367434501647949,0.6683600544929504,-4.09942464342046,-1.0506914854049683,0.4009959399700165,2.0,0.47465425729751587,1.2029865346793447,1.2004979848861694,2.0,0.0014903129657228018,0.07302533532041729
45,-4.330936431884766,0.6533709168434143,-4.0578386977227,-1.0654321908950806,0.4179823696613312,2.0,0.4672839045524597,1.2109842041032681,1.2089911699295044,2.0,0.0,0.07749627421758569
46,-4.325821876525879,0.7151142358779907,-4.016709720549342,-0.9928070604801178,0.43225550651550293,2.0,0.5035964548587799,1.2404823421365991,1.2161277532577515,2.0,0.0,0.08047690014903129
47,-4.320523738861084,0.6853028535842896,-3.954781649142664,-0.99172043800354,0.5336942672729492,2.0,0.50413978099823,1.2808329495872008,1.2668471336364746,2.0,0.0,0.11773472429210134
48,-4.260313510894775,0.7012645602226257,-3.8868896060225486,-0.9604691565036774,0.5325006246566772,2.0,0.5197654068470001,1.2843374705883146,1.2662503719329834,2.0,0.0014903129657228018,0.12518628912071536
49,-4.20894718170166,0.7676935791969299,-3.8250387060318123,-0.963170975446701,0.500080406665802,2.0,0.5184144973754883,1.2886490295079,1.2500401735305786,2.0,0.0029806259314456036,0.12071535022354694
