scope,scheme,valid_queries,positions,weight_min,weight_p01,weight_p05,weight_p25,weight_median,weight_mean,weight_p75,weight_p95,weight_p99,weight_max,weight_std,mean_square_weight,l2_scale_proxy,global_ess_fraction,query_ess_fraction_p05,query_ess_fraction_median,query_ess_fraction_mean,orthogonal_equal_gradient_cosine_proxy,orthogonal_equal_gradient_angle_deg_proxy,fraction_zero,fraction_below_one,fraction_above_one,query_mean_p05,query_mean_median,query_mean_p95,front_h00_24_mean,back_h25_49_mean,back_minus_front,back_over_front
all_apply_g2_g39,symmetric_a0.1,14551,727550,0.800000011920929,0.8345903915166855,0.8812932848930359,0.9555352479219437,1.0157395005226135,1.0221916437149048,1.0840400457382202,1.2000000476837158,1.2000000476837158,1.2000000476837158,0.09104661643505096,1.0531654357910156,1.0262384414672852,0.9921289086341858,0.9902783632278442,0.9957724213600159,0.9951424598693848,0.9960566794285282,5.089926244608976,0.0,0.43312762009483885,0.5668723799051612,0.9303549528121948,1.022030234336853,1.1183586120605469,1.0028895139694214,1.0414937734603882,0.0386042594909668,1.038493037223816
all_apply_g2_g39,mean1_symmetric_a0.1,14551,727550,0.6818366646766663,0.8295169883966446,0.8811791807413101,0.9547997713088989,1.00214421749115,1.0,1.0456614792346954,1.1150430321693416,1.1594667434692383,1.3399471044540405,0.06991015374660492,1.0048874616622925,1.0024408102035522,0.9951362609863281,0.9902783632278442,0.9957723617553711,0.9951424598693848,0.9975651662855556,3.9990832265816763,0.0,0.4874757748608343,0.5125242251391657,0.9999998211860657,1.0,1.0000001192092896,0.9814261198043823,1.0185738801956177,0.03714776039123535,1.0378507375717163
all_apply_g2_g39,up_only_a0.1,14551,727550,1.0,1.0,1.0,1.0,1.0157395005226135,1.0487090349197388,1.0840400457382202,1.2000000476837158,1.2000000476837158,1.2000000476837158,0.06289419531822205,1.1037462949752808,1.0505932569503784,0.9964160919189453,0.9950597882270813,0.9979968070983887,0.9978213906288147,0.9982064375262991,3.4321069850201407,0.0,0.0,0.5668723799051612,1.0017812252044678,1.0432144403457642,1.1233065128326416,1.0365207195281982,1.0608969926834106,0.024376273155212402,1.023517370223999
all_apply_g2_g39,mean1_up_only_a0.1,14551,727550,0.8374771475791931,0.9047208428382874,0.9336181879043579,0.9706530570983887,0.9945574998855591,1.0,1.0243298411369324,1.0923589587211608,1.1299871170520783,1.1939637660980225,0.04675247147679329,1.0021858215332031,1.0010923147201538,0.9978188872337341,0.9950597286224365,0.9979968667030334,0.9978213906288147,0.9989088483108627,2.6768232322352383,0.0,0.6202226651089272,0.37139303140677615,0.9999998211860657,1.0,1.0000001192092896,0.9886251091957092,1.0113747119903564,0.022749602794647217,1.023011326789856
all_apply_g2_g39,symmetric_a0.2,14551,727550,0.6000000238418579,0.6691807830333709,0.7625866025686264,0.9110704958438873,1.031479001045227,1.0443834066390991,1.1680801808834076,1.399999976158142,1.399999976158142,1.399999976158142,0.18209321796894073,1.1238945722579956,1.0601389408111572,0.9704973101615906,0.9645870923995972,0.9837578535079956,0.981714129447937,0.9851382188107365,9.890366813938623,0.0,0.43312762009483885,0.5668723799051612,0.8607099056243896,1.044060468673706,1.2367173433303833,1.0057790279388428,1.0829877853393555,0.0772087574005127,1.0767651796340942
all_apply_g2_g39,mean1_symmetric_a0.2,14551,727550,0.44685283303260803,0.6723553842306137,0.7678687870502472,0.910452350974083,1.004236102104187,1.0,1.0892018973827362,1.2247262001037598,1.3160275137424469,1.7750765085220337,0.1367799937725067,1.0187087059020996,1.0093109607696533,0.9816349148750305,0.9645869731903076,0.9837577939033508,0.981714129447937,0.9907749062602618,7.788565159093852,0.0,0.4874757748608343,0.5125242251391657,0.9999998211860657,1.0,1.0000001192092896,0.9640761017799377,1.035923957824707,0.07184785604476929,1.0745251178741455
all_apply_g2_g39,up_only_a0.2,14551,727550,1.0,1.0,1.0,1.0,1.031479001045227,1.097417950630188,1.1680801808834076,1.399999976158142,1.399999976158142,1.399999976158142,0.1257883906364441,1.2201489210128784,1.1046035289764404,0.9870321154594421,0.9830719232559204,0.9928008317947388,0.9923303127288818,0.993494899563879,6.538834450664783,0.0,0.0,0.5668723799051612,1.003562569618225,1.0864288806915283,1.2466132640838623,1.0730419158935547,1.1217939853668213,0.0487520694732666,1.045433521270752
all_apply_g2_g39,mean1_up_only_a0.2,14551,727550,0.7203962802886963,0.8268839353322983,0.8759538531303406,0.9436005204916,0.9893053770065308,1.0,1.0458332896232605,1.1742315292358398,1.2477403223514558,1.3859858512878418,0.08807875216007233,1.0077577829360962,1.0038714408874512,0.9923019409179688,0.9830718040466309,0.9928009510040283,0.9923302531242371,0.9961435342951179,5.033522751542198,0.0,0.6202226651089272,0.37139303140677615,0.9999998211860657,1.0,1.0000001192092896,0.9786354303359985,1.0213645696640015,0.04272913932800293,1.0436619520187378
all_apply_g2_g39,symmetric_a0.3,14551,727550,0.3999999761581421,0.5037711453437805,0.6438798874616622,0.8666056990623474,1.0472185015678406,1.0665751695632935,1.2521202266216278,1.600000023841858,1.600000023841858,1.600000023841858,0.2731398344039917,1.2121878862380981,1.1009939908981323,0.9384540319442749,0.9267535209655762,0.9647275805473328,0.9610578417778015,0.9687383712562825,14.364197497183051,0.0,0.43312762009483885,0.5668723799051612,0.7910647392272949,1.0660905838012695,1.3550760746002197,1.0086686611175537,1.1244816780090332,0.11581301689147949,1.11481773853302
all_apply_g2_g39,mean1_symmetric_a0.3,14551,727550,0.266200453042984,0.5225508660078049,0.6576678186655045,0.866740807890892,1.006272315979004,1.0,1.1313444375991821,1.3326098322868338,1.4735262024402618,2.3518717288970947,0.20221468806266785,1.0408908128738403,1.0202405452728271,0.9607154726982117,0.9267534017562866,0.9647276401519775,0.9610579013824463,0.9801609422427583,11.43190946566115,0.0,0.4874757748608343,0.5125242251391657,0.9999999403953552,1.0,1.0000001192092896,0.9476710557937622,1.0523288249969482,0.10465776920318604,1.1104367971420288
