runner_step_internal,global_step,rank_count,paired_npz_complete,rank_global_csv_consistent,warmup,history_runner_steps_internal,history_steps,history_count,history_log_v_l3_mean,history_log_v_l3_std,current_count,current_log_v_l3_mean,current_log_v_l3_std,current_csv_mean_abs_error,current_csv_std_abs_error,current_minus_history_log_v_l3,current_over_history_geomean_ratio_l3,query_count_all,valid_query_count,positive_adv_query_count,negative_adv_query_count,zero_adv_query_count,weight_formula_max_abs_error,weight_min_valid,weight_p05_valid,weight_mean_valid,weight_p50_valid,weight_p95_valid,weight_max_valid,weight_below_one_fraction_valid,weight_above_one_fraction_valid,weight_low_clip_fraction_valid,weight_high_clip_fraction_valid,positive_adv_weight_mean_valid,negative_adv_weight_mean_valid,negative_minus_positive_adv_weight,weight_mean_all,weight_front_h00_24_mean_all,weight_back_h25_49_mean_all,weight_back_minus_front_all,weight_front_h00_24_mean_valid,weight_back_h25_49_mean_valid,weight_back_minus_front_valid,v_l2_mean,v_l2_median,v_l2_p05,v_l2_p95,v_l3_mean,v_l3_median,v_l3_p05,v_l3_p95,v_l4_mean,v_l4_median,v_l4_p05,v_l4_p95,v_l3_back_over_front_mean,h_spearman_with_median_v_l3,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss,all_arrays_finite,current_log_v_l3_p05,current_log_v_l3_p50,current_log_v_l3_p95,history_log_v_l3_p05,history_log_v_l3_p50,history_log_v_l3_p95,post_update_history_steps,post_update_history_count,post_update_history_log_v_l3_mean,post_update_history_log_v_l3_std,post_update_history_log_v_l3_p05,post_update_history_log_v_l3_p50,post_update_history_log_v_l3_p95
10,11,2,True,True,0,5;6;7;8;9,5,256000,-4.3755126,0.6414001009,51200,-4.367098876,0.6149111178,0,3.330669074e-16,0.008413724709,1.00844922,1024,415,291,124,0,5.960464478e-08,0.8000000119,0.8802394092,1.018861978,1.012889564,1.198042506,1.200000048,0.4457349398,0.5542650602,0.002265060241,0.04828915663,1.011453814,1.036247265,0.02479345101,0.9992866862,0.9841820153,1.014391357,0.03020934179,0.9966567001,1.041067255,0.04441055499,0.004128892453,0.003246423788,0.001252427459,0.00976370601,0.01586546334,0.01199194603,0.005182396667,0.03715250418,0.06610548657,0.03687446564,0.01881700326,0.2083360583,1.319225742,0.9206722689,28.82521057,0.1394413859,0.03310449421,1.006995916,-0.003306356957,True,-5.262487653,-4.423520019,-3.292724103,-5.308936719,-4.440063799,-3.246274895,5,256000,-4.361137908,0.63427082,-5.280038759,-4.426655615,-3.244589326
11,12,2,True,True,0,6;7;8;9;10,5,256000,-4.361137908,0.63427082,51200,-4.266903939,0.6167220197,0,2.664535259e-15,0.09423396884,1.098816805,1024,552,356,196,0,5.960464478e-08,0.8000000119,0.890898785,1.029856044,1.023742378,1.200000048,1.200000048,0.3986594203,0.6013405797,0.001268115942,0.06076086957,1.019787589,1.048143645,0.02835605544,1.012060785,0.9966341699,1.027487401,0.03085323114,1.007932572,1.051779515,0.04384694251,0.004511972728,0.003468403593,0.001347171172,0.01076562358,0.01755439888,0.01306258747,0.005813815328,0.04267132375,0.077957186,0.03786862642,0.01915343003,0.2324285589,1.32724856,0.8897478992,36.77634811,0.1148730218,0.02362657711,0.9998022318,-0.002855351195,True,-5.147518242,-4.338003053,-3.154228159,-5.280038759,-4.426655615,-3.244589326,5,256000,-4.333449713,0.6296883153,-5.242729865,-4.400874395,-3.220605313
12,13,2,True,True,0,7;8;9;10;11,5,256000,-4.333449713,0.6296883153,51200,-4.253688659,0.6424643211,0,3.552713679e-15,0.07976105393,1.083028251,1024,437,229,208,0,5.960464478e-08,0.8000000119,0.8859957367,1.030310868,1.021220684,1.200000048,1.200000048,0.4117162471,0.5882837529,0.002013729977,0.0766590389,1.017266406,1.044672318,0.02740591187,1.009000365,0.9939098442,1.024090886,0.03018104224,1.009285027,1.051336709,0.04205168195,0.004344564163,0.00340754271,0.001369542052,0.01030401615,0.01834332644,0.01297229715,0.005845937738,0.04672858082,0.08036202062,0.03858525306,0.01956133731,0.2407748111,1.348014804,0.8568067227,41.78945923,0.1399136782,0.04181370139,0.9939732552,0.003236661665,True,-5.142008263,-4.344939184,-3.063399293,-5.242729865,-4.400874395,-3.220605313,5,256000,-4.310125424,0.6297912556,-5.210325279,-4.383098849,-3.184432627
13,14,2,True,True,0,8;9;10;11;12,5,256000,-4.310125424,0.6297912556,51200,-4.284102741,0.6140646556,0,3.441691376e-15,0.02602268298,1.026364229,1024,555,351,204,0,5.960464478e-08,0.8000000119,0.8883207321,1.025343037,1.01958257,1.200000048,1.200000048,0.4161801802,0.5838198198,0.0008648648649,0.05243243243,1.012054126,1.048207782,0.03615365595,1.001851944,0.9855436858,1.018160203,0.03261651727,1.003787943,1.046898132,0.04311018879,0.004440540347,0.00342568499,0.001409149042,0.01055742651,0.01719870474,0.01287443191,0.005681604519,0.04147711676,0.07693853154,0.03955062293,0.01947317515,0.2454797596,1.36076383,0.9136614646,38.99467468,0.1270903349,0.05105500296,0.9829282761,0.008514281362,True,-5.1705216,-4.352511957,-3.182613409,-5.210325279,-4.383098849,-3.184432627,5,256000,-4.297046075,0.6283240361,-5.194706914,-4.369689181,-3.171436423
14,15,2,True,True,0,9;10;11;12;13,5,256000,-4.297046075,0.6283240361,51200,-4.240858524,0.6013219031,0,2.220446049e-15,0.05618755076,1.057796056,1024,399,243,156,0,5.960464478e-08,0.8000000119,0.8907233268,1.029122594,1.024879873,1.200000048,1.200000048,0.3933834586,0.6066165414,0.001002506266,0.05238095238,1.013834604,1.052936577,0.03910197227,1.006474214,0.9922410336,1.020707395,0.02846636089,1.008302918,1.04994227,0.04163935205,0.004594001551,0.003639937495,0.001501015562,0.01063813744,0.01795869161,0.01338168839,0.006113840989,0.04151892345,0.06838418426,0.03775382601,0.01973270308,0.2203577921,1.328908138,0.8728451381,35.45592117,0.1356319785,0.0433780849,0.9882497787,0.00368501083,True,-5.097200066,-4.313868045,-3.181605971,-5.194706914,-4.369689181,-3.171436423,5,256000,-4.282530548,0.6196535234,-5.170352766,-4.353540784,-3.175229105
15,16,2,True,True,0,10;11;12;13;14,5,256000,-4.282530548,0.6196535234,51200,-4.24058877,0.5956300271,0,7.771561172e-16,0.04194177748,1.042833761,1024,400,240,160,0,5.960464478e-08,0.8000000119,0.890217194,1.03007668,1.023262978,1.200000048,1.200000048,0.4007,0.5993,0.0007,0.06665,1.015521769,1.051909045,0.03638727589,1.004355533,0.9900278232,1.018683242,0.02865541882,1.007641361,1.052511998,0.04487063754,0.0046514764,0.003660332295,0.001544331823,0.01079660128,0.01778860167,0.01336429501,0.006213765754,0.04196118936,0.0671224503,0.03868797421,0.01989445612,0.2192931481,1.306850209,0.9111644658,31.22536087,0.08439406008,0.03099865466,0.9909411669,-0.002603329718,True,-5.080988165,-4.31516868,-3.171010151,-5.170352766,-4.353540784,-3.175229105,5,256000,-4.257228527,0.6144783546,-5.127939153,-4.33236254,-3.150950028
16,17,2,True,True,0,11;12;13;14;15,5,256000,-4.257228527,0.6144783546,51200,-4.201336686,0.6125915969,0,2.220446049e-16,0.05589184061,1.057483301,1024,425,261,164,0,5.960464478e-08,0.8000000119,0.8870692968,1.026177996,1.018370986,1.200000048,1.200000048,0.4231058824,0.5768941176,0.001364705882,0.07049411765,1.013807605,1.04586502,0.03205741509,1.005487254,0.9915123235,1.019462184,0.02794986069,1.006964906,1.045391087,0.03842618072,0.004865670717,0.003761420492,0.001605439978,0.01138883471,0.01914838133,0.01380691351,0.006507577421,0.04424445275,0.08078067294,0.0384485852,0.01994387573,0.2420448437,1.404270996,0.8644897959,31.44908142,0.1282101572,0.03577033058,1.004101038,3.396160901e-05,True,-5.034788025,-4.282585833,-3.11802528,-5.127939153,-4.33236254,-3.150950028,5,256000,-4.244115076,0.6140050696,-5.107121782,-4.321555706,-3.144119692
17,18,2,True,True,0,12;13;14;15;16,5,256000,-4.244115076,0.6140050696,51200,-4.2483925,0.5703670958,8.881784197e-16,8.659739592e-15,-0.004277424265,0.9957317109,1024,266,162,104,0,5.960464478e-08,0.8000000119,0.8807928264,1.0168588,1.010400653,1.193912858,1.200000048,0.4533082707,0.5466917293,0.001052631579,0.0462406015,1.004979707,1.035362771,0.03038306405,0.9973934373,0.9841733403,1.010613534,0.02644019401,0.9985680687,1.03514953,0.03658146174,0.004536604019,0.003614864079,0.001538864791,0.01036776691,0.01734694101,0.01353552844,0.00625795722,0.03841416277,0.06300872072,0.03801076487,0.0199245628,0.203343302,1.28792846,0.871212485,24.32818985,0.1504237652,0.0332515575,1.001331806,0.001189539325,True,-5.07390147,-4.302437314,-3.259329065,-5.107121782,-4.321555706,-3.144119692,5,256000,-4.243055844,0.5995815842,-5.093483939,-4.313012753,-3.184002435
18,19,2,True,True,0,13;14;15;16;17,5,256000,-4.243055844,0.5995815842,51200,-4.221263844,0.5514250946,0,9.992007222e-16,0.0217920002,1.02203118,1024,364,252,112,0,5.960464478e-08,0.8000000119,0.883856979,1.018631523,1.010802448,1.200000048,1.200000048,0.4512637363,0.5487362637,0.001648351648,0.05021978022,1.012377814,1.032702368,0.02032455373,1.001717839,0.9909261469,1.012509532,0.02158338499,1.002338615,1.034924431,0.03258581597,0.004731771133,0.003796581295,0.001639578072,0.0107578197,0.01757437338,0.01371920947,0.006746737612,0.03964362573,0.05447834511,0.03657629155,0.01973018609,0.1504739761,1.22366049,0.7805522209,43.25094986,0.1470104456,0.03986813873,1.009085536,0.01012159139,True,-4.998696208,-4.288958277,-3.227825107,-5.093483939,-4.313012753,-3.184002435,5,256000,-4.230488065,0.5869386531,-5.058331206,-4.30027492,-3.19380251
19,20,2,True,True,0,14;15;16;17;18,5,256000,-4.230488065,0.5869386531,51200,-4.257719264,0.5532910488,0,4.440892099e-16,-0.02723119898,0.9731362274,1024,235,159,76,0,5.960464478e-08,0.8000000119,0.8900644839,1.026786974,1.021446168,1.200000048,1.200000048,0.4006808511,0.5993191489,0.001106382979,0.0530212766,1.012890312,1.055860256,0.04296994411,0.9936723087,0.9802488697,1.007095748,0.02684687816,1.006598931,1.046975018,0.04037608715,0.004521929731,0.003643981181,0.001578236872,0.01017445908,0.01695105917,0.01348533574,0.006283522304,0.03644187227,0.06901717922,0.03842801787,0.02008936722,0.1994922049,1.246534279,0.8526770708,30.94592094,0.1474936903,0.05073539913,0.9984196424,0.007063473109,True,-5.069824579,-4.306152425,-3.312036829,-5.058331206,-4.30027492,-3.19380251,5,256000,-4.233860213,0.5775127706,-5.052842433,-4.298917529,-3.219435761
