global_step,target_step_dvac,runner_step_index_zero_based,progress_pct,elapsed_text,elapsed_s,elapsed_h,eta_text,eta_s,eta_h,mean_step_time_s_dvac,step_time_s_dvac,step_time_min,step_time_s_rolling5,step_time_s_rolling10,num_trajectories_dvac,success_trajectories,cumulative_trajectories,cumulative_successes,return_dvac,success_once_dvac,success_pct,success_once_rolling5,success_once_rolling10,reward,actor/approx_kl_dvac,actor/clip_fraction_dvac,actor/grad_norm_dvac,actor/ratio_dvac,actor/ratio_abs_dvac,actor/policy_loss_dvac,actor/policy_loss_abs_dvac,actor/total_loss_dvac,actor/dvac_current_mean,actor/dvac_current_std,actor/dvac_history_mean,actor/dvac_history_std,actor/dvac_current_minus_history,actor/dvac_warmup,actor/dvac_weight_mean_rank_local,actor/actor/compute_adv,actor/actor/recv_traj,actor/clipped_ratio_dvac,actor/dual_cliped_ratio_dvac,actor/entropy_loss,actor/lr,actor/run_training_dvac,advantages_max_dvac,advantages_mean_dvac,advantages_min_dvac,cal_adv_and_returns,env/compute_bootstrap_rewards,env/env/bootstrap_step_dvac,env/env/send_rollout_trajectories,env/env_interact_step_dvac,env/interact,env/run_interact_once,episode_len_dvac,generate_rollouts,rewards,rollout/generate_one_epoch,rollout/predict_dvac,rollout/rollout/generate,step_dvac,sync_weights_dvac,step_grpo,target_step_grpo,mean_step_time_s_grpo,step_time_s_grpo,success_once_grpo,return_grpo,actor/approx_kl_grpo,actor/clip_fraction_grpo,actor/clipped_ratio_grpo,actor/grad_norm_grpo,actor/policy_loss_grpo,actor/ratio_grpo,actor/ratio_abs_grpo,actor/policy_loss_abs_grpo,actor/total_loss_grpo,actor/dual_cliped_ratio_grpo,advantages_mean_grpo,advantages_min_grpo,advantages_max_grpo,num_trajectories_grpo,episode_len_grpo,env/env/bootstrap_step_grpo,env/env_interact_step_grpo,rollout/predict_grpo,actor/run_training_grpo,sync_weights_grpo,success_roll5_dvac,success_roll5_grpo,success_roll5_delta,success_roll10_dvac,success_roll10_grpo,success_roll10_delta,success_roll20_dvac,success_roll20_grpo,success_roll20_delta,delta_success,delta_kl,delta_clip_fraction,delta_grad_norm,delta_step_time_s
30,100,29,30,12:26:11,44771,12.43638889,29:01:06,104466,29.01833333,1492.381,1482.8,24.71333333,1480.9,1482.16,256,234,7680,6455,0.9140625,0.9140625,91.40625,0.89921875,0.8828125,0.004570312,0.053,0.142,32.558,0.992,0.181,0.0035,0.278,0.000438,-4.137,0.531,-4.149,0.527,0.012,0,1.023,0.0045,1432.7,0.979,0,0,5.6e-06,34.078,1.208,-0.11,-2.475,0.0081,0.0058,853.2,0.851,551.6,1431.9,1431,200,1432.8,0.0049,1430.2,25.651,1430.2,1482.8,1.076,30,100,1478.009,1485.6,0.87890625,0.87890625,0.056,0.123,0.979,31.213,0.0015,0.977,0.148,0.296,0.000189,0,-0.11,-2.475,1.62,256,200,853.1,549.8,25.323,34.625,1.221,0.89921875,0.89296875,0.00625,0.8828125,0.880859375,0.001953125,0.86171875,0.86328125,-0.0015625,0.03515625,-0.003,0.019,1.345,-2.8
31,100,30,31,12:50:33,46233,12.8425,28:35:06,102906,28.585,1491.403,1462,24.36666667,1479.5,1480.62,256,235,7936,6690,0.91796875,0.91796875,91.796875,0.90390625,0.887109375,0.004589843,0.028,0.127,28.796,1.006,0.154,0.0018,0.237,0.000226,-4.172,0.509,-4.14,0.528,-0.032,0,1.014,0.0036,1426.6,0.991,0,0,5.6e-06,34.16,1.208,-0.118,-2.475,0.0071,0.0059,855.2,0.859,546.3,1425.8,1425,200,1426.7,0.0045,1424.1,26.149,1424.1,1462,1.213,31,100,1477.196,1452.8,0.9453125,0.9453125,0.024,0.125,0.996,22.555,-0.002,1.009,0.149,0.221,-0.000256,0,-0.105,-2.475,0.725,256,200,855.1,527.9,26.077,34.917,1.154,0.90390625,0.9046875,-0.00078125,0.887109375,0.88984375,-0.002734375,0.863671875,0.86875,-0.005078125,-0.02734375,0.004,0.002,6.241,9.2
32,100,31,32,13:14:34,47674,13.24277778,28:08:29,101309,28.14138889,1489.841,1441.4,24.02333333,1469.68,1476.35,256,240,8192,6930,0.9375,0.9375,93.75,0.90546875,0.891015625,0.0046874993,0.018,0.149,21.837,1.015,0.15,-0.000152,0.168,-1.9e-05,-4.13,0.496,-4.14,0.526,0.01,0,1.025,0.004,1405.8,1.001,0,0,5.6e-06,34.255,0.935,-0.118,-2.475,0.007,0.0059,851.2,0.851,528.1,1405,1404.1,200,1405.9,0.0043,1403.2,25.904,1403.2,1441.4,1.225,32,100,1476.763,1463.3,0.953125,0.953125,0.032,0.131,0.992,29.588,0.000206,1.005,0.168,0.185,2.58e-05,0,-0.106,-2.475,0.725,256,200,850.1,547.5,26.221,34.864,1.212,0.90546875,0.92265625,-0.0171875,0.891015625,0.896875,-0.005859375,0.8716796875,0.874609375,-0.0029296875,-0.015625,-0.014,0.018,-7.751,-21.9
33,100,32,33,13:39:39,49179,13.66083333,27:44:08,99848,27.73555556,1490.281,1504.4,25.07333333,1469.9,1478.59,256,217,8448,7147,0.84765625,0.84765625,84.765625,0.90546875,0.888671875,0.004238281,0.044,0.16,37.129,1.008,0.206,0.012,0.342,0.0015,-4.113,0.525,-4.136,0.519,0.023,0,1.016,0.0032,1468.7,0.99,0,0,5.6e-06,34.357,0.935,-0.121,-2.475,0.0065,0.0058,851.6,0.794,584.8,1467.9,1467,200,1468.8,0.0044,1466.3,26.117,1466.3,1504.4,1.205,33,100,1476.834,1479.1,0.875,0.875,0.067,0.143,0.981,28.708,0.0019,0.974,0.161,0.299,0.000242,0,-0.115,-2.475,1.62,256,200,853.7,555.1,26.129,34.543,1.227,0.90546875,0.9140625,-0.00859375,0.888671875,0.898828125,-0.01015625,0.87578125,0.880078125,-0.004296875,-0.02734375,-0.023,0.017,8.421,25.3
34,100,33,34,14:04:12,50652,14.07,27:18:46,98326,27.31277778,1489.79,1473.6,24.56,1472.84,1474.73,256,219,8704,7366,0.85546875,0.85546875,85.546875,0.89453125,0.895703125,0.0042773434,0.031,0.108,35.66,0.994,0.136,0.0013,0.352,0.000163,-4.088,0.561,-4.137,0.517,0.049,0,1.028,0.0053,1438.2,0.99,0,0,5.6e-06,34.114,2.475,-0.115,-2.475,0.0091,0.006,856.3,0.912,553.4,1437.4,1436.5,200,1438.2,0.0042,1435.6,25.889,1435.6,1473.6,1.184,34,100,1476.585,1468.4,0.92578125,0.92578125,0.04,0.179,0.984,24.904,-0.000358,1.011,0.194,0.221,-4.48e-05,0,-0.113,-2.475,1.208,256,200,857.2,540.9,26.171,34.607,1.184,0.89453125,0.915625,-0.02109375,0.895703125,0.910546875,-0.01484375,0.878515625,0.886328125,-0.0078125,-0.0703125,-0.009,-0.071,10.756,5.2
35,100,34,35,14:28:37,52117,14.47694444,26:53:10,96790,26.88611111,1489.08,1464.9,24.415,1469.26,1475.08,256,234,8960,7600,0.9140625,0.9140625,91.40625,0.89453125,0.896875,0.004570312,0.06,0.17,33.641,0.987,0.19,0.000612,0.189,7.65e-05,-4.114,0.543,-4.128,0.526,0.014,0,1.018,0.003,1429.5,0.98,0,0,5.6e-06,34.082,0.935,-0.109,-2.475,0.0067,0.0058,854.1,0.93,543.5,1428.7,1427.9,200,1429.6,0.005,1427,25.961,1427,1464.9,1.188,35,100,1476.042,1457.6,0.90625,0.90625,0.048,0.152,0.983,30.159,0.0027,0.989,0.167,0.215,0.000339,0,-0.117,-2.475,1.62,256,200,854.5,543.1,26.016,34.529,1.201,0.89453125,0.92109375,-0.0265625,0.896875,0.90703125,-0.01015625,0.8833984375,0.8890625,-0.0056640625,0.0078125,0.012,0.018,3.482,7.3
36,100,35,36,14:52:52,53572,14.88111111,26:27:19,95239,26.45527778,1488.115,1454.3,24.23833333,1467.72,1473.61,256,239,9216,7839,0.93359375,0.93359375,93.359375,0.89765625,0.90078125,0.004667968,0.049,0.17,22.736,0.998,0.19,0.0011,0.18,0.000143,-4.135,0.479,-4.124,0.528,-0.011,0,1.009,0.003,1418.9,0.986,0,0,5.6e-06,34.119,0.935,-0.127,-1.62,0.0067,0.0059,863.3,0.907,539.3,1418.1,1417.3,200,1419,0.0042,1416.4,25.758,1416.4,1454.3,1.17,36,100,1476.078,1477.3,0.92578125,0.92578125,0.121,0.192,0.963,22.298,0.000843,0.942,0.205,0.162,0.000105,0,-0.118,-2.475,1.62,256,200,857.9,548.9,26.048,34.529,1.233,0.89765625,0.9171875,-0.01953125,0.90078125,0.9109375,-0.01015625,0.887890625,0.8923828125,-0.0044921875,0.0078125,-0.072,-0.022,0.438,-23
37,100,36,37,15:17:30,55050,15.29166667,26:02:15,93735,26.0375,1487.858,1478.6,24.64333333,1475.16,1472.42,256,233,9472,8072,0.91015625,0.91015625,91.015625,0.8921875,0.898828125,0.0045507806,0.023,0.188,36.771,1.028,0.206,0.004,0.293,0.000506,-4.095,0.53,-4.116,0.522,0.021,0,1.021,0.004,1443,0.997,0,0,5.6e-06,34.242,0.935,-0.114,-2.475,0.0076,0.0061,854,0.862,556.9,1442.2,1441.2,200,1443.1,0.0048,1440.3,26.067,1440.3,1478.6,1.265,37,100,1475.518,1455.4,0.94921875,0.94921875,0.047,0.182,0.95,20.408,-0.0012,0.996,0.22,0.159,-0.000148,0,-0.117,-2.475,0.725,256,200,852.4,534.3,25.729,34.729,1.236,0.8921875,0.91640625,-0.02421875,0.898828125,0.91953125,-0.020703125,0.89296875,0.8982421875,-0.0052734375,-0.0390625,-0.024,0.006,16.363,23.2
38,100,37,38,15:41:34,56494,15.69277778,25:36:15,92175,25.60416667,1486.705,1444,24.06666667,1463.08,1466.49,256,237,9728,8309,0.92578125,0.92578125,92.578125,0.9078125,0.906640625,0.0046289056,0.041,0.126,28.633,0.991,0.155,-0.0015,0.196,-0.000184,-4.11,0.508,-4.109,0.529,-0.001,0,1.014,0.003,1408.5,0.99,0,0,5.6e-06,34.22,0.935,-0.116,-2.475,0.0069,0.0057,851.2,0.865,528.5,1407.7,1406.7,200,1408.6,0.0042,1405.8,26.001,1405.8,1444,1.208,38,100,1475.249,1465.3,0.9609375,0.9609375,0.034,0.167,0.982,21.477,-0.002,1.012,0.195,0.134,-0.000246,0,-0.116,-2.475,0.54,256,200,856.6,542.9,26.044,34.675,1.21,0.9078125,0.93359375,-0.02578125,0.906640625,0.923828125,-0.0171875,0.8943359375,0.9021484375,-0.0078125,-0.03515625,0.007,-0.041,7.156,-21.3
39,100,38,39,16:06:03,57963,16.10083333,25:11:01,90661,25.18361111,1486.251,1469,24.48333333,1462.16,1467.5,256,230,9984,8539,0.8984375,0.8984375,89.84375,0.91640625,0.90546875,0.004492187,0.054,0.241,27.365,1.007,0.227,-0.001,0.21,-0.000128,-4.088,0.536,-4.108,0.525,0.02,0,1.026,0.0057,1433.6,0.987,0,0,5.6e-06,34.117,2.475,-0.112,-2.475,0.0095,0.0061,849.7,0.85,549.4,1432.8,1431.9,200,1433.7,0.0038,1431,26.153,1431,1469,1.192,39,100,1475.292,1476.9,0.91015625,0.91015625,0.039,0.193,0.991,29.822,-0.0029,1.007,0.192,0.24,-0.000362,0,-0.125,-2.475,1.62,256,200,854.6,553.1,26.309,34.663,1.284,0.91640625,0.93046875,-0.0140625,0.90546875,0.923046875,-0.017578125,0.8947265625,0.9044921875,-0.009765625,-0.01171875,0.015,0.048,-2.457,-7.9
