runner_step_internal,global_step,source_env_rank,local_env_slot,reset_id,rollout_epoch,episode_index_within_step,query_idx,action_slot_start,h,v_l3,v_l3_total_over_h,v_l3_mean_over_h,v_l3_peak_h,v_l3_peak_value,weight,advantage,reward_sum_over_h,loss_mask,success_before
0,1,0,0,57,0,0,0,0,0,0.00655232463,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,1,0.008567482233,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,2,0.009968364611,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,3,0.006091114134,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,4,0.006292195525,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,5,0.009116245434,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,6,0.01167113613,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,7,0.009657358751,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,8,0.01295747701,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,9,0.01935157552,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,10,0.02003237605,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,11,0.01521486696,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,12,0.02402617037,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,13,0.01231144648,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,14,0.01588177867,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,15,0.01219649427,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,16,0.00884548761,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,17,0.01055757888,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,18,0.008140837774,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,19,0.007218763232,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,20,0.00493466109,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,21,0.007838464342,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
0,1,0,0,57,0,0,0,0,22,0.006427795626,0.6933000847,0.01386600169,49,0.04993355647,1,-1.207612395,0,True,False
