unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_total_mib,gpu0_util_pct,gpu0_mem_util_pct,gpu0_power_w,gpu1_used_mib,gpu1_total_mib,gpu1_util_pct,gpu1_mem_util_pct,gpu1_power_w,env_rss_kib,env_cpu_pct,actor_rss_kib,actor_cpu_pct,rollout_rss_kib,rollout_cpu_pct,driver_rss_kib,driver_cpu_pct,ray_rss_kib,ray_cpu_pct,matched_total_rss_kib,compute_process_count
1786115658,1.04057e+12,31151190016,14183858176,16361312256,0,0,155648,861046771712,4,81920,0,0,83.29,4,81920,0,0,81.74,3139272.00,153.00,1613124.00,111.70,3105028.00,198.60,3212,0.0,1114772.00,29.00,18047488.00,0
1786115659,1.04029e+12,31393386496,14414024704,16361324544,0,0,155648,861046767616,19,81920,0,0,83.57,44,81920,0,0,85.13,3572968.00,149.10,1613404.00,93.20,3149676.00,186.90,3212,0.0,1114880.00,26.70,18328984.00,0
1786115660,1.03844e+12,33154789376,16187183104,16361332736,0,0,155648,861046767616,85,81920,6,0,67.56,465,81920,0,0,68.23,4155744.00,155.60,1613404.00,86.10,4650204.00,192.30,3212,0.0,1115336.00,26.20,20726948.00,4
1786115662,1.03625e+12,35241558016,18241785856,16378109952,0,0,155648,861046767616,507,81920,0,0,67.56,465,81920,0,0,67.01,4316804.00,165.70,1613404.00,80.00,6387288.00,198.10,3212,0.0,1115872.00,26.00,22486296.00,4
1786115663,1.03622e+12,35257466880,18257285120,16378109952,0,0,155648,861046767616,507,81920,0,0,67.56,465,81920,0,0,66.40,4317032.00,173.50,1613404.00,70.10,6388060.00,189.80,3212,0.0,1115936.00,24.40,22487096.00,4
1786115664,1.03619e+12,35288965120,18283335680,16382304256,0,0,155648,861046767616,585,81920,0,0,67.56,543,81920,0,0,66.40,4355808.00,170.00,1613404.00,66.10,6388228.00,194.40,3212,0.0,1117432.00,24.10,22527160.00,4
1786115666,1.03626e+12,35208310784,18201247744,16382304256,0,0,155648,861046767616,562,81920,1,0,68.16,503,81920,0,0,67.96,4120900.00,176.20,1613404.00,62.40,6388248.00,198.40,3212,0.0,1117640.00,23.80,22295784.00,2
1786115667,1.03495e+12,36577357824,19573493760,16382287872,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886224.00,160.10,1613404.00,56.30,8114412.00,192.30,3212,0.0,1117740.00,22.70,23890128.00,2
1786115668,1.03279e+12,38557388800,21731545088,16201261056,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,152.50,1613756.00,53.70,10211676.00,195.70,3212,0.0,1117740.00,22.40,25992312.00,2
1786115670,1.03177e+12,39724634112,22986739712,16115400704,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,145.70,1613756.00,51.30,11375484.00,198.30,3212,0.0,1117580.00,22.20,27143044.00,2
1786115671,1.02992e+12,41411424256,24822685696,15964319744,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,139.50,1613756.00,49.10,13139720.00,200.00,3212,0.0,1118084.00,21.80,28905668.00,2
1786115672,1.0281e+12,43107717120,26662051840,15814672384,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,128.50,1613756.00,45.20,14961752.00,195.20,3212,0.0,1119128.00,21.00,30730416.00,2
1786115673,1.02625e+12,44816568320,28519129088,15661510656,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,67.01,3886912.00,123.70,1613756.00,43.50,16751568.00,197.50,3212,0.0,1119052.00,20.90,32512764.00,2
1786115675,1.02436e+12,46522494976,30381080576,15504633856,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,119.20,1613756.00,42.00,18625008.00,200.00,3212,0.0,1118964.00,20.80,34389700.00,2
1786115676,1.02247e+12,48284856320,32293027840,15344513024,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,111.10,1613756.00,39.20,20482284.00,195.50,3212,0.0,1119704.00,20.00,36248584.00,2
1786115677,1.02058e+12,50033786880,34199343104,15189737472,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,107.50,1613756.00,37.80,22300780.00,197.80,3212,0.0,1119464.00,19.90,38072688.00,2
1786115679,1.01872e+12,51788161024,36031201280,15109292032,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,104.10,1613756.00,36.60,24129720.00,199.90,3212,0.0,1119144.00,19.70,39893840.00,2
1786115680,1.01686e+12,53630046208,37869694976,15109292032,0,0,155648,861046767616,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,97.80,1613756.00,34.40,25905364.00,195.70,3212,0.0,1119144.00,19.10,41673444.00,2
1786115681,1.01653e+12,53956825088,38188941312,15109300224,0,0,155648,861046763520,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,95.10,1613756.00,33.50,26007436.00,197.30,3212,0.0,1119952.00,19.00,41685764.00,2
1786115683,1.01652e+12,53958131712,38189207552,15109300224,0,0,155648,861046763520,504,81920,0,0,67.56,503,81920,0,0,66.40,3886912.00,92.50,1613756.00,32.60,26007512.00,199.20,3212,0.0,1119760.00,19.00,41685648.00,2
