step,rlt_raw_pct,rlt_ma5_pct,rlt_ma10_pct,dvac_bc_raw_pct,dvac_bc_ma5_pct,dvac_bc_ma10_pct,pure_s0p5_raw_pct,pure_s0p5_ma5_pct,pure_s0p5_ma10_pct,pure_s2p0_raw_pct,pure_s2p0_ma5_pct,pure_s2p0_ma10_pct
60,0.0,17.5,13.75,12.5,17.5,15.0,37.5,22.5,21.25,25.0,17.5,15.0
61,12.5,17.5,15.0,12.5,15.0,13.75,0.0,20.0,20.0,25.0,17.5,15.0
62,12.5,12.5,15.0,0.0,12.5,12.5,0.0,15.0,17.5,25.0,17.5,16.25
63,0.0,7.5,13.75,37.5,20.0,15.0,37.5,22.5,16.25,37.5,22.5,20.0
64,12.5,7.5,13.75,12.5,15.0,15.0,12.5,17.5,17.5,37.5,30.0,22.5
65,37.5,15.0,16.25,37.5,20.0,18.75,25.0,15.0,18.75,0.0,25.0,21.25
66,12.5,15.0,16.25,12.5,20.0,17.5,0.0,15.0,17.5,12.5,22.5,20.0
67,12.5,15.0,13.75,12.5,22.5,17.5,0.0,15.0,15.0,25.0,22.5,20.0
68,12.5,17.5,12.5,25.0,20.0,20.0,12.5,10.0,16.25,0.0,15.0,18.75
69,12.5,17.5,12.5,0.0,17.5,16.25,25.0,12.5,15.0,12.5,10.0,20.0
70,25.0,15.0,15.0,25.0,15.0,17.5,37.5,15.0,15.0,25.0,15.0,20.0
71,25.0,17.5,16.25,12.5,15.0,17.5,37.5,22.5,18.75,12.5,15.0,18.75
72,37.5,22.5,18.75,12.5,15.0,18.75,12.5,25.0,20.0,0.0,10.0,16.25
73,12.5,22.5,20.0,12.5,12.5,16.25,37.5,30.0,20.0,25.0,15.0,15.0
74,37.5,27.5,22.5,0.0,12.5,15.0,12.5,27.5,20.0,12.5,15.0,12.5
75,12.5,25.0,20.0,50.0,17.5,16.25,12.5,22.5,18.75,12.5,12.5,13.75
76,0.0,20.0,18.75,0.0,15.0,15.0,12.5,17.5,20.0,25.0,15.0,15.0
77,0.0,12.5,17.5,0.0,12.5,13.75,0.0,15.0,20.0,0.0,15.0,12.5
78,12.5,12.5,17.5,12.5,12.5,12.5,0.0,7.5,18.75,12.5,12.5,13.75
79,12.5,7.5,17.5,37.5,20.0,16.25,12.5,7.5,17.5,25.0,15.0,15.0
80,0.0,5.0,15.0,12.5,12.5,15.0,12.5,7.5,15.0,12.5,15.0,13.75
81,25.0,10.0,15.0,25.0,17.5,16.25,37.5,12.5,15.0,25.0,15.0,15.0
82,25.0,15.0,13.75,12.5,20.0,16.25,12.5,15.0,15.0,12.5,17.5,16.25
83,12.5,15.0,13.75,0.0,17.5,15.0,12.5,17.5,12.5,12.5,17.5,15.0
84,0.0,12.5,10.0,0.0,10.0,15.0,12.5,17.5,12.5,25.0,17.5,16.25
85,12.5,15.0,10.0,12.5,10.0,11.25,0.0,15.0,11.25,12.5,17.5,16.25
86,50.0,20.0,15.0,25.0,10.0,13.75,0.0,7.5,10.0,25.0,17.5,16.25
87,0.0,15.0,15.0,25.0,12.5,16.25,12.5,7.5,11.25,12.5,17.5,17.5
88,0.0,12.5,13.75,0.0,12.5,15.0,0.0,5.0,11.25,0.0,15.0,16.25
89,12.5,15.0,13.75,0.0,12.5,11.25,12.5,5.0,11.25,25.0,15.0,16.25
90,0.0,12.5,13.75,0.0,10.0,10.0,25.0,10.0,12.5,12.5,15.0,16.25
91,12.5,5.0,12.5,0.0,5.0,7.5,0.0,10.0,8.75,0.0,10.0,13.75
92,25.0,10.0,12.5,25.0,5.0,8.75,12.5,10.0,8.75,25.0,12.5,15.0
93,0.0,10.0,11.25,0.0,5.0,8.75,12.5,12.5,8.75,12.5,15.0,15.0
94,12.5,10.0,12.5,12.5,7.5,10.0,37.5,17.5,11.25,12.5,12.5,13.75
95,0.0,10.0,11.25,12.5,10.0,10.0,0.0,12.5,11.25,12.5,12.5,13.75
96,25.0,12.5,8.75,0.0,10.0,7.5,12.5,15.0,12.5,25.0,17.5,13.75
97,0.0,7.5,8.75,0.0,5.0,5.0,12.5,15.0,12.5,0.0,12.5,12.5
98,0.0,7.5,8.75,12.5,7.5,6.25,25.0,17.5,15.0,37.5,17.5,16.25
99,0.0,5.0,7.5,0.0,5.0,6.25,25.0,15.0,16.25,0.0,15.0,13.75
100,0.0,5.0,7.5,12.5,5.0,7.5,12.5,17.5,15.0,0.0,12.5,12.5
101,12.5,2.5,7.5,12.5,7.5,8.75,25.0,20.0,17.5,37.5,15.0,16.25
102,37.5,10.0,8.75,12.5,10.0,7.5,0.0,17.5,16.25,12.5,17.5,15.0
103,25.0,15.0,11.25,0.0,7.5,7.5,12.5,15.0,16.25,0.0,10.0,13.75
104,12.5,17.5,11.25,25.0,12.5,8.75,25.0,15.0,15.0,12.5,12.5,13.75
105,25.0,22.5,13.75,37.5,17.5,11.25,12.5,15.0,16.25,0.0,12.5,12.5
106,25.0,25.0,13.75,12.5,17.5,12.5,0.0,10.0,15.0,0.0,5.0,10.0
107,25.0,22.5,16.25,25.0,20.0,15.0,12.5,12.5,15.0,12.5,5.0,11.25
108,0.0,17.5,16.25,0.0,20.0,13.75,0.0,10.0,12.5,12.5,7.5,8.75
109,0.0,15.0,16.25,0.0,15.0,13.75,25.0,10.0,12.5,12.5,7.5,10.0
110,25.0,15.0,18.75,12.5,10.0,13.75,0.0,7.5,11.25,12.5,10.0,11.25
111,50.0,20.0,22.5,62.5,20.0,18.75,37.5,15.0,12.5,50.0,20.0,12.5
112,25.0,20.0,21.25,12.5,17.5,18.75,25.0,17.5,15.0,50.0,27.5,16.25
113,12.5,22.5,20.0,25.0,22.5,21.25,25.0,22.5,16.25,12.5,27.5,17.5
114,12.5,25.0,20.0,0.0,22.5,18.75,0.0,17.5,13.75,0.0,25.0,16.25
115,50.0,30.0,22.5,12.5,22.5,16.25,0.0,17.5,12.5,0.0,22.5,16.25
116,25.0,25.0,22.5,25.0,15.0,17.5,25.0,15.0,15.0,12.5,15.0,17.5
117,12.5,22.5,21.25,0.0,12.5,15.0,37.5,17.5,17.5,37.5,12.5,20.0
118,25.0,25.0,23.75,12.5,10.0,16.25,12.5,15.0,18.75,25.0,15.0,21.25
119,25.0,27.5,26.25,25.0,15.0,18.75,0.0,15.0,16.25,12.5,17.5,21.25
120,12.5,20.0,25.0,25.0,17.5,20.0,0.0,15.0,16.25,0.0,17.5,20.0
