timestamp,wrapper_alive,host_mem_available_kib,swap_free_kib,mem_psi_some_avg10,gpu6_used_mib,gpu6_util_pct,gpu6_temp_c
2026-09-05T04:34:29.133690+00:00,1,1149038256,8,0.00,8,0,33
2026-09-05T04:34:34.277121+00:00,1,1148603904,8,0.00,8,0,33
2026-09-05T04:34:39.450166+00:00,1,1148147044,168,0.00,8,0,33
2026-09-05T04:34:44.590225+00:00,1,1143842880,644,0.00,8,0,33
2026-09-05T04:34:49.714339+00:00,1,1143155512,784,0.00,530,0,34
2026-09-05T04:34:54.844936+00:00,1,1140696112,808,0.00,1199,0,35
2026-09-05T04:34:59.966030+00:00,1,1138363344,808,0.00,1199,0,35
2026-09-05T04:35:05.097554+00:00,1,1133019624,808,0.00,1199,0,35
2026-09-05T04:35:10.216012+00:00,1,1130752296,808,0.00,1199,0,35
2026-09-05T04:35:15.339717+00:00,1,1129964004,808,0.00,1199,0,36
2026-09-05T04:35:20.463820+00:00,1,1128500044,808,0.00,1199,0,36
2026-09-05T04:35:25.591499+00:00,1,1130993336,812,0.00,1199,0,36
2026-09-05T04:35:30.714142+00:00,1,1139481404,816,0.00,8483,9,36
2026-09-05T04:35:35.841379+00:00,1,1134575736,828,0.00,1721,0,36
2026-09-05T04:35:40.961766+00:00,1,1132825076,828,0.00,1721,0,36
2026-09-05T04:35:46.087021+00:00,1,1130056148,836,0.00,1721,0,36
2026-09-05T04:35:51.213995+00:00,1,1124829344,836,0.00,1721,0,36
2026-09-05T04:35:56.336924+00:00,1,1122968764,836,0.00,1721,0,36
2026-09-05T04:36:01.465292+00:00,1,1122251236,836,0.00,1721,0,36
2026-09-05T04:36:06.587383+00:00,1,1120760772,836,0.00,1721,0,36
2026-09-05T04:36:11.707467+00:00,1,1122849860,836,0.00,1721,0,36
2026-09-05T04:36:16.834047+00:00,1,1127018704,836,0.00,3549,8,37
2026-09-05T04:36:21.957438+00:00,1,1120842036,836,0.00,5489,6,37
2026-09-05T04:36:27.082971+00:00,1,1115092076,860,0.00,18879,24,37
2026-09-05T04:36:32.204865+00:00,1,1119019164,1396,0.00,18791,0,37
2026-09-05T04:36:37.340802+00:00,1,1118736812,1612,0.00,18817,0,37
2026-09-05T04:36:42.463424+00:00,1,1118266844,1708,0.00,18843,0,37
2026-09-05T04:36:47.607955+00:00,1,1118310088,1908,0.00,18869,0,37
2026-09-05T04:36:52.760639+00:00,1,1118461864,2216,0.00,19199,1,37
2026-09-05T04:36:57.895786+00:00,1,1117193808,2648,0.00,19841,0,37
2026-09-05T04:37:03.037029+00:00,1,1116811120,2720,0.00,22405,0,36
2026-09-05T04:37:08.233253+00:00,1,1116291360,2844,0.00,23467,0,37
2026-09-05T04:37:13.377725+00:00,1,1115224360,2992,0.00,23925,0,36
2026-09-05T04:37:18.567719+00:00,1,1115306264,36,0.00,24853,3,37
2026-09-05T04:37:23.715975+00:00,1,1114717168,124,0.00,25349,0,37
2026-09-05T04:37:28.855342+00:00,1,1113795640,276,0.00,26157,0,37
2026-09-05T04:37:33.998647+00:00,1,1113683960,416,0.00,26871,0,37
2026-09-05T04:37:39.139212+00:00,1,1113040684,112,0.00,27479,0,37
2026-09-05T04:37:44.281481+00:00,1,1112063012,280,0.00,28035,48,37
2026-09-05T04:37:49.421035+00:00,1,1112132060,336,0.00,28749,0,37
2026-09-05T04:37:54.574055+00:00,1,1111643260,368,0.00,29361,0,37
2026-09-05T04:37:59.715771+00:00,1,1110757596,436,0.00,30425,1,37
2026-09-05T04:38:04.863963+00:00,1,1110600440,512,0.00,30883,0,37
2026-09-05T04:38:10.017094+00:00,1,1110221480,12,0.00,30979,0,37
2026-09-05T04:38:15.176084+00:00,1,1109588904,68,0.00,32053,3,37
2026-09-05T04:38:20.345877+00:00,1,1109117760,136,0.00,32767,2,37
2026-09-05T04:38:25.492571+00:00,1,1107593852,212,0.00,33117,5,37
2026-09-05T04:38:30.640206+00:00,1,1107816060,288,0.00,33935,0,37
2026-09-05T04:38:35.796895+00:00,1,1107724572,348,0.00,34649,0,37
2026-09-05T04:38:40.970034+00:00,1,1107082788,384,0.00,35259,0,37
2026-09-05T04:38:46.135582+00:00,1,1106840068,448,0.00,35817,0,37
2026-09-05T04:38:51.275202+00:00,1,1105320824,496,0.00,36531,0,37
2026-09-05T04:38:56.432471+00:00,1,1105324372,532,0.00,37137,2,37
2026-09-05T04:39:01.574842+00:00,1,1104461048,544,0.00,37951,0,37
2026-09-05T04:39:06.728892+00:00,1,1103907428,684,0.00,38665,2,37
2026-09-05T04:39:11.877164+00:00,1,1103825624,80,0.00,38759,0,37
2026-09-05T04:39:17.017884+00:00,1,1102670772,92,0.00,39829,0,37
2026-09-05T04:39:22.175711+00:00,1,1102944840,104,0.00,40287,1,37
2026-09-05T04:39:27.327886+00:00,1,1102500892,104,0.00,40893,0,37
2026-09-05T04:39:32.478113+00:00,1,1101871428,108,0.00,41707,44,39
2026-09-05T04:39:37.616631+00:00,1,1101393708,140,0.00,42165,0,37
2026-09-05T04:39:42.743876+00:00,1,1100963924,152,0.00,42777,0,37
2026-09-05T04:39:47.893087+00:00,1,1100700648,160,0.00,43491,3,37
