group_id,policy,checkpoint,task,metric,success_episodes,failure_episodes,success_mean,failure_mean,success_minus_failure,bootstrap_ci_low,bootstrap_ci_high,inference_limit
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,episode_mean_abs_I_std,11,5,0.6610977254699473,0.8033088759033614,-0.14221115043341415,-0.3195002359759001,0.06987181787677335,"episode-level descriptive bootstrap; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,episode_mean_abs_R_std,11,5,0.8484873249842303,1.1836586083349012,-0.3351712833506709,-0.6535628480040012,0.043597829025741074,"episode-level descriptive bootstrap; observational, not causal"
fastwam__turn_switch__run-fastwam-turn_switch-p2-16ep-c63d__cohort-fastwam-turn_switch-p2-1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,turn_switch,episode_mean_S_raw,10,6,0.36940847897703255,0.06876450638721437,0.3006439725898182,0.0763145969808312,0.50007326422219,"episode-level descriptive bootstrap; observational, not causal"
fastwam__turn_switch__run-fastwam-turn_switch-p2-16ep-c63d__cohort-fastwam-turn_switch-p2-1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,turn_switch,episode_mean_S_std,10,6,0.6958932428919786,0.13309129963573604,0.5628019432562426,0.11924903015305534,0.9789012891604095,"episode-level descriptive bootstrap; observational, not causal"
fastwam__turn_switch__run-fastwam-turn_switch-p2-16ep-c63d__cohort-fastwam-turn_switch-p2-1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,turn_switch,episode_mean_abs_I_raw,10,6,0.3425856451569104,0.29400046816545483,0.04858517699145559,-0.0038872829849692977,0.09551771135136937,"episode-level descriptive bootstrap; observational, not causal"
fastwam__turn_switch__run-fastwam-turn_switch-p2-16ep-c63d__cohort-fastwam-turn_switch-p2-1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,turn_switch,episode_mean_abs_I_std,10,6,0.6747557870208669,0.5778996663359809,0.09685612068488603,-0.0008840960938992837,0.19114377858829282,"episode-level descriptive bootstrap; observational, not causal"
fastwam__turn_switch__run-fastwam-turn_switch-p2-16ep-c63d__cohort-fastwam-turn_switch-p2-1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,turn_switch,episode_mean_abs_R_std,10,6,1.3001083796042447,0.8370032673205623,0.46310511228368245,0.20632789728778966,0.7437001794113557,"episode-level descriptive bootstrap; observational, not causal"
fastwam__pick_diverse_bottles__run-fastwam-pick_diverse_bottles-p2-__cohort-fastwam-pick_diverse_bot__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,pick_diverse_bottles,episode_mean_S_raw,12,4,-0.29783964676085645,0.4371041827230328,-0.7349438294838893,-1.0556500382923328,-0.460534390649427,"episode-level descriptive bootstrap; observational, not causal"
fastwam__pick_diverse_bottles__run-fastwam-pick_diverse_bottles-p2-__cohort-fastwam-pick_diverse_bot__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,pick_diverse_bottles,episode_mean_S_std,12,4,-0.15692140358783083,0.3849478334845822,-0.5418692370724131,-0.9616308137392335,-0.19931663830766042,"episode-level descriptive bootstrap; observational, not causal"
fastwam__pick_diverse_bottles__run-fastwam-pick_diverse_bottles-p2-__cohort-fastwam-pick_diverse_bot__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,pick_diverse_bottles,episode_mean_abs_I_raw,12,4,0.5571856594688094,0.5969766579459366,-0.03979099847712719,-0.13798269594597629,0.060803187347592214,"episode-level descriptive bootstrap; observational, not causal"
fastwam__pick_diverse_bottles__run-fastwam-pick_diverse_bottles-p2-__cohort-fastwam-pick_diverse_bot__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,pick_diverse_bottles,episode_mean_abs_I_std,12,4,0.6743422774978414,0.6315459491625822,0.04279632833525915,-0.13526469708559266,0.1838916248948606,"episode-level descriptive bootstrap; observational, not causal"
fastwam__pick_diverse_bottles__run-fastwam-pick_diverse_bottles-p2-__cohort-fastwam-pick_diverse_bot__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,pick_diverse_bottles,episode_mean_abs_R_std,12,4,0.8021355512438135,0.8679487208498746,-0.0658131696060611,-0.46282579406922086,0.22485821361770864,"episode-level descriptive bootstrap; observational, not causal"
