step,raw_pct,ma5_pct,ma10_pct
1,82.8125,82.8125,82.8125
2,70.703125,76.7578125,76.7578125
3,70.703125,74.73958333333333,74.73958333333333
4,80.46875,76.171875,76.171875
5,80.078125,76.953125,76.953125
6,89.453125,78.28125,79.03645833333333
7,80.078125,80.15625,79.18526785714286
8,80.46875,82.109375,79.345703125
9,87.5,83.515625,80.25173611111111
10,88.671875,85.234375,81.09375
11,90.625,85.46875,81.875
12,89.84375,87.421875,83.7890625
13,78.515625,87.03125,84.5703125
14,85.546875,86.640625,85.078125
15,83.59375,85.625,85.4296875
16,86.71875,84.84375,85.15625
17,75.390625,81.953125,84.6875
18,88.671875,83.984375,85.5078125
19,92.1875,85.3125,85.9765625
20,93.359375,87.265625,86.4453125
21,91.40625,88.203125,86.5234375
22,87.109375,90.546875,86.25
23,94.53125,91.71875,87.8515625
