h,weight_p10,weight_p25,weight_median,weight_mean,weight_p75,weight_p90,log10_v_l3_median
0,0.8649123132228851,0.9047639816999435,0.9456100761890411,0.9459159242687747,0.9888032078742981,1.0197778224945069,-2.08770467597065
1,0.8684611201286316,0.9094589948654175,0.9532273411750793,0.955406082328409,1.0026726126670837,1.0402997136116028,-2.0655717341096684
2,0.874933123588562,0.9152315258979797,0.9585244059562683,0.9585778036853299,1.0052584111690521,1.0444865703582764,-2.0501806038313664
3,0.8763108611106872,0.919361338019371,0.956582099199295,0.9613439191598445,1.007275640964508,1.047928559780121,-2.0558241459212248
4,0.8853147685527801,0.9271944761276245,0.9687604308128357,0.9713576850481331,1.0125437080860138,1.0569214582443238,-2.0204385850902264
5,0.8949432075023651,0.9338259845972061,0.9763529300689697,0.9803241078043357,1.024025708436966,1.072242283821106,-1.9983775728033284
6,0.8872206628322601,0.9343151450157166,0.9816156923770905,0.986010286025703,1.0364053547382355,1.0845330595970155,-1.9830860238618162
7,0.8900105595588684,0.9362423270940781,0.984229177236557,0.9881829145597294,1.0353787541389465,1.0887028574943542,-1.975492277968908
8,0.8909494996070861,0.9332015812397003,0.9940721392631531,0.9959389686118811,1.0472067296504974,1.1076147079467773,-1.9468924010102335
9,0.8893074512481689,0.938711553812027,0.9959570467472076,1.0012530761305243,1.062202274799347,1.124109709262848,-1.9414155156443562
10,0.8911917686462403,0.9352172017097473,0.9961441159248352,1.004794554435648,1.076075553894043,1.1415597319602966,-1.9408719779273325
11,0.8844078183174133,0.9356717765331268,1.002015471458435,1.010030472301878,1.085267573595047,1.149556875228882,-1.923812117331163
12,0.8844978392124176,0.9376623630523682,1.0061708092689514,1.0110444310121238,1.0868194103240967,1.1544548749923706,-1.9117382406817751
13,0.8978134572505951,0.9500129818916321,1.0105610489845276,1.0184473152039573,1.0902185440063477,1.1563976645469667,-1.8989819413037607
14,0.9077965795993805,0.9455250650644302,1.0160838961601257,1.0197082509985194,1.087290495634079,1.1447492480278016,-1.8829345695977888
