group_id,policy,checkpoint,task,phase_axis,phase_coarse,phase_task,query_state_phase,metric,episodes,mean,bootstrap_ci_low,bootstrap_ci_high,inference_limit
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,transport-or-rotate,transport-or-rotate,mean_S_raw,2,0.12851145924484003,0.018283586694645804,0.23873933179503426,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,transport-or-rotate,transport-or-rotate,mean_S_std,2,0.22916498907442465,0.038837546558155835,0.41949243159069344,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,transport-or-rotate,transport-or-rotate,mean_abs_R_std,2,0.6686796587775893,0.6514087963941632,0.6859505211610154,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,transport-or-rotate,transport-or-rotate,mean_abs_I_raw,2,0.32348224541441684,0.24435190119183947,0.40261258963699414,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,transport-or-rotate,transport-or-rotate,mean_abs_I_std,2,0.580614885720172,0.45029540831116094,0.710934363129183,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,MOVING,transport-or-rotate,transport-or-rotate,mean_y_ln,2,-8.546002393239991,-8.67871622118559,-8.413288565294394,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,place-release,place-release,mean_S_raw,2,0.461117907249526,0.27270105336167216,0.6495347611373798,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,place-release,place-release,mean_S_std,2,0.6627716419629089,0.3678517410188968,0.9576915429069212,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,place-release,place-release,mean_abs_R_std,2,1.0187898179468247,0.8119733226283855,1.225606313265264,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,place-release,place-release,mean_abs_I_raw,2,0.5567801673935198,0.3994564360633359,0.7141038987237036,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
