minute,gpu0_used_mib,gpu1_used_mib,gpu0_util_pct,gpu1_util_pct,cgroup_anon_bytes,matched_total_rss_kib,env_rss_kib,rollout_rss_kib,cgroup_current_bytes,cgroup_file_bytes
0.22564102564102562,447,447,0.0,0.0,14337110016,18451732,3348676,3318564,226003324928,209409400832
0.7416666666666666,1020,995,0.0,0.0,38194728960,41897568,4372608,26217900,249935577088,209430515712
1.2461538461538462,947,947,0.0,0.0,44906848256,48449856,3902012,32767776,256657739776,209430982656
1.737179487179487,14347,14507,2.5384615384615383,3.769230769230769,50966687744,54293092,8446472,38655804,257697898496,209430982656
2.230769230769231,15208,15291,8.153846153846153,12.076923076923077,28016488448,33068316,8728688,11216804,235062431744,204730605568
2.7256410256410253,15208,15291,18.076923076923077,27.76923076923077,29538910208,34575252,10111500,11217732,236584370176,204730650624
3.238095238095238,15209,15292,25.642857142857142,63.92857142857143,29686550528,34709740,10246480,11219348,236738940928,204730994688
3.7474358974358974,15209,15292,5.461538461538462,69.0,29679124480,34704388,10246500,11219668,236729253888,204731256832
4.2384615384615385,15209,15292,50.23076923076923,30.53846153846154,29859856384,34866644,10398604,11219800,236922814464,204741337088
4.730769230769231,15209,15292,26.53846153846154,1.7692307692307692,29847060480,34866412,10398660,11220012,236913381376,204741361664
5.242857142857143,15209,15292,21.642857142857142,32.142857142857146,29852708864,34882552,10405236,11220160,236916211712,204741713920
5.753846153846154,15209,15292,11.461538461538462,27.923076923076923,29850927104,34884848,10405256,11220380,236915994624,204741746688
6.244871794871795,15209,15292,25.384615384615383,37.76923076923077,29932933120,34966192,10479440,11220384,236998520832,204742070272
6.738461538461538,15209,15292,18.615384615384617,42.92307692307692,29933105152,34967576,10479544,11220544,236997619712,204742098944
7.233333333333333,15209,15292,5.076923076923077,4.384615384615385,29838135296,34873864,10420424,11220732,236902338560,204742438912
7.72948717948718,15209,15292,24.692307692307693,54.92307692307692,29832683520,34872368,10383816,11220776,236899069952,204742488064
8.238095238095237,15209,15292,32.57142857142857,42.785714285714285,29820866560,34937016,10364120,11220768,236887166976,204742946816
8.747435897435897,15209,15292,27.76923076923077,15.153846153846153,29820116992,34862748,10364556,11221140,236888043520,204742983680
9.24102564102564,15209,15292,29.923076923076923,29.0,29794902016,34838548,10335128,11221140,236859953152,204743315456
9.735897435897435,15209,15292,48.0,64.07692307692308,29795594240,34838840,10335468,11221220,236862402560,204743352320
10.24642857142857,15209,15292,21.928571428571427,18.785714285714285,29997944832,35036096,10525584,11221296,237065076736,204743675904
10.757692307692308,15209,15292,39.53846153846154,59.69230769230769,29999398912,35038132,10525536,11221396,237066166272,204743680000
11.25,15209,15292,20.153846153846153,36.38461538461539,29954846720,34996372,10478264,11221524,237023911936,204744044544
11.743589743589743,15209,15292,15.0,38.76923076923077,29954932736,34993928,10478376,11221564,237022433280,204744048640
12.234615384615385,15233,15292,24.76923076923077,22.692307692307693,31550853120,36557776,12038420,11221804,238620856320,204744409088
12.726923076923075,15233,15292,16.46153846153846,31.23076923076923,31562063872,36574000,12042032,11221872,238631931904,204744413184
13.24047619047619,16497,16836,1.3571428571428572,7.428571428571429,34801553408,39740928,15079008,11221992,241987739648,204850352128
13.752564102564103,17231,17314,33.0,10.384615384615385,34935402496,39916532,15165308,11222056,242122461184,204850356224
14.243589743589743,17231,17314,36.0,24.46153846153846,34936741888,39917036,15165352,11222244,242122432512,204850868224
14.735897435897435,17231,17314,47.84615384615385,73.15384615384616,34977570816,39957672,15201072,11222304,242165567488,204850872320
15.22820512820513,17231,17314,27.46153846153846,36.23076923076923,34977566720,39958004,15201048,11222544,242164887552,204851224576
15.739285714285714,17231,17314,18.0,17.071428571428573,35016679424,39996720,15233204,11222768,242203746304,204851228672
16.25,17231,17314,32.46153846153846,5.538461538461538,35016224768,39995684,15234696,11222984,242203570176,204851597312
16.742307692307694,17231,17314,52.53846153846154,7.615384615384615,34921418752,39903360,15142068,11223000,242106429440,204851601408
17.235897435897435,17231,17314,42.07692307692308,19.23076923076923,34930819072,39902244,15143088,11222960,242115952640,204863426560
17.726923076923075,16819,16902,5.384615384615385,8.615384615384615,35552768000,40533048,15038276,11224392,242755461120,204864180224
18.239285714285714,17289,17372,22.571428571428573,42.357142857142854,35635421184,40693920,15114960,11224412,242838720512,204864520192
18.7525641025641,17289,17372,15.307692307692308,34.69230769230769,35638353920,40696008,15114904,11224440,242840121344,204864532480
19.246153846153845,17289,17372,13.846153846153847,15.538461538461538,35848945664,40902400,15322160,11224464,243053862912,204864905216
19.74102564102564,17289,17372,38.61538461538461,32.92307692307692,35851956224,40906324,15322272,11224548,243056726016,204864913408
20.235897435897435,17289,17372,24.23076923076923,13.23076923076923,35852832768,40907480,15322232,11224556,243058266112,204865396736
20.72820512820513,17289,17372,20.46153846153846,22.53846153846154,35704709120,40761776,15166468,11225016,242909351936,204865441792
21.241666666666667,17289,17372,38.92857142857143,57.785714285714285,35720765440,40764304,15166492,11225068,242922688512,204865761280
21.7525641025641,17289,17372,15.384615384615385,25.076923076923077,35705241600,40762192,15166424,11225168,242910162944,204865773568
22.25128205128205,17289,17372,6.846153846153846,23.307692307692307,35654791168,40715588,15099488,11225356,242858520576,204866150400
22.74230769230769,17289,17372,36.53846153846154,13.76923076923077,35655487488,40719392,15099476,11226992,242860703744,204866158592
23.237179487179485,17289,17372,15.076923076923077,15.384615384615385,35657887744,40721972,15099376,11227024,242861662208,204866502656
