timestamp,wrapper_alive,host_mem_available_kib,swap_free_kib,mem_psi_some_avg10,gpu7_used_mib,gpu7_util_pct,gpu7_temp_c,env_open_fds,env_rss_kib,actor_rss_kib,rollout_rss_kib
2026-09-05T10:53:14.720400+00:00,1,1434255344,3492212,0.00,4,0,42,,,,
2026-09-05T10:53:19.866627+00:00,1,1433337384,3492212,0.00,4,0,42,,,,
2026-09-05T10:53:25.012110+00:00,1,1432135540,3492468,0.00,4,0,42,,,,
2026-09-05T10:53:30.178882+00:00,1,1427615724,3492468,0.00,4,0,42,,,,
2026-09-05T10:53:35.316720+00:00,1,1426212648,3492468,0.00,4,0,42,78,856272,,1679676
2026-09-05T10:53:40.449144+00:00,1,1424057880,3492468,0.00,4,0,42,78,856688,,3348460
2026-09-05T10:53:45.570339+00:00,1,1421397776,3492468,0.00,526,0,44,92,1244240,,5786032
2026-09-05T10:53:50.697020+00:00,1,1415501824,3492468,0.00,1195,0,44,229,1963352,,11099720
2026-09-05T10:53:55.831209+00:00,1,1413263304,3492468,0.00,1195,0,44,229,1964388,,13159760
2026-09-05T10:54:00.957676+00:00,1,1413145560,3492468,0.00,1195,0,45,229,1964640,,13392432
2026-09-05T10:54:06.084818+00:00,1,1411414264,3492468,0.00,1195,0,45,229,1964952,,15094328
2026-09-05T10:54:11.208862+00:00,1,1411005600,3492468,0.00,1195,0,45,229,1965468,,15471940
2026-09-05T10:54:16.338008+00:00,1,1417720880,3492468,0.00,1195,0,45,229,1966264,,11566308
2026-09-05T10:54:21.472496+00:00,1,1417545888,3492468,0.00,1717,22,45,222,1966508,,8934260
2026-09-05T10:54:26.636571+00:00,1,1417122300,3492468,0.00,1717,0,46,222,1966516,1950920,8934500
2026-09-05T10:54:31.779039+00:00,1,1415011992,3492468,0.00,1717,0,46,222,1966516,4056336,8934500
2026-09-05T10:54:36.905317+00:00,1,1409751928,3492468,0.00,1717,0,46,222,1966516,9275132,8934508
2026-09-05T10:54:42.013834+00:00,1,1405612324,3492468,0.00,1717,0,46,222,1966516,13273016,8934508
2026-09-05T10:54:47.143306+00:00,1,1405595600,3492468,0.00,1717,0,46,222,1966516,13273024,8934508
2026-09-05T10:54:52.272290+00:00,1,1404345948,3492468,0.00,1717,0,46,222,1966516,14301464,8934508
2026-09-05T10:54:57.385299+00:00,1,1403988764,3492468,0.00,1717,0,47,222,1966516,14837612,8934524
2026-09-05T10:55:02.520738+00:00,1,1409950600,3492468,0.00,3845,19,47,222,1966516,7413868,8934548
2026-09-05T10:55:07.626144+00:00,1,1404806632,3492468,0.00,17283,0,47,222,1966540,13817892,8934548
2026-09-05T10:55:12.732543+00:00,1,1397182320,3492468,0.00,18877,0,47,222,1966580,21661396,8949040
2026-09-05T10:55:17.863596+00:00,1,1401743628,3492468,0.00,18789,0,47,271,2038476,21906772,3873360
2026-09-05T10:55:23.009544+00:00,1,1401726964,3492468,0.00,18813,0,47,313,2131996,21907564,3873360
2026-09-05T10:55:28.151411+00:00,1,1401782776,3492468,0.00,18839,0,47,362,2229344,21907576,3873412
2026-09-05T10:55:33.301863+00:00,1,1402078084,3492468,0.00,18865,0,47,411,2332188,21907956,3874132
2026-09-05T10:55:38.445140+00:00,1,1401302640,3492468,0.00,19195,0,47,448,2974452,21908328,3874444
2026-09-05T10:55:43.589727+00:00,1,1400866932,3492468,0.00,19837,2,47,448,3605076,21908564,3874548
2026-09-05T10:55:48.734461+00:00,1,1400091212,3492468,0.00,22657,3,47,455,4320332,21908716,3874684
2026-09-05T10:55:53.877394+00:00,1,1399225300,3492468,0.00,23464,0,47,463,4798628,21908748,3874684
2026-09-05T10:55:59.031075+00:00,1,1399217616,3492468,0.00,24528,0,47,472,5175536,21908848,3874720
2026-09-05T10:56:04.177955+00:00,1,1398132688,3492468,0.00,24986,0,47,471,5855772,21908856,3874756
2026-09-05T10:56:09.324380+00:00,1,1397395200,3492468,0.00,25346,0,47,479,6587424,21908916,3874756
2026-09-05T10:56:14.472135+00:00,1,1397209904,3492468,0.00,26410,0,47,488,7129524,21908932,3874836
2026-09-05T10:56:19.646964+00:00,1,1396911896,3492468,0.00,26868,9,46,487,7422836,21908932,3874836
2026-09-05T10:56:24.802741+00:00,1,1396202224,3492468,0.00,27476,3,46,496,8111252,21908932,3874836
2026-09-05T10:56:29.944684+00:00,1,1395183732,3492468,0.00,28288,0,46,504,8740140,21908948,3874836
2026-09-05T10:56:35.074226+00:00,1,1395305588,3492468,0.00,29102,88,47,510,8988288,21908956,3874840
2026-09-05T10:56:40.199079+00:00,1,1394449652,3492468,0.00,29816,0,46,512,9754540,21908960,3874840
2026-09-05T10:56:45.332376+00:00,1,1393892112,3492468,0.00,30423,2,46,520,10388584,21908960,3874848
2026-09-05T10:56:50.457663+00:00,1,1393420728,3492468,0.00,30976,0,46,527,10863992,21908964,3874848
2026-09-05T10:56:55.603641+00:00,1,1392550004,3492468,0.00,32051,0,46,536,11687600,21909000,3875248
2026-09-05T10:57:00.749175+00:00,1,1392071724,3492468,0.00,32765,3,46,536,11997868,21909028,3875284
2026-09-05T10:57:05.893235+00:00,1,1391437372,3492468,0.00,33572,7,46,544,12674064,21909028,3875300
2026-09-05T10:57:11.040799+00:00,1,1391140640,3492468,0.00,33933,0,46,551,13090988,21909028,3875304
2026-09-05T10:57:16.195222+00:00,1,1390698872,3492468,0.00,35001,1,46,559,13483180,21909044,3875304
2026-09-05T10:57:21.298598+00:00,1,1389965396,3492468,0.00,35715,0,46,559,14143656,21909080,3875304
2026-09-05T10:57:26.444687+00:00,1,1389097404,3492468,0.00,35815,0,46,567,14604824,21909088,3875304
2026-09-05T10:57:31.588630+00:00,1,1389109932,3492468,0.00,36879,2,46,576,15202080,21909088,3875312
2026-09-05T10:57:36.734338+00:00,1,1387971320,3492468,0.00,37594,2,46,576,15776236,21909088,3875312
2026-09-05T10:57:41.894038+00:00,1,1387228464,3492468,0.00,38206,3,46,584,16407228,21909088,3875312
2026-09-05T10:57:47.045421+00:00,1,1387147924,3492468,0.00,38758,0,46,592,17010732,21909100,3875312
2026-09-05T10:57:52.200185+00:00,1,1386415312,3492468,0.00,39728,3,46,591,17280156,21909100,3875328
2026-09-05T10:57:57.357136+00:00,1,1385700856,3492468,0.00,40286,0,46,599,17908128,21909100,3875340
2026-09-05T10:58:02.485336+00:00,1,1385575492,3492468,0.00,40892,0,46,607,18439432,21909100,3875364
2026-09-05T10:58:07.613666+00:00,1,1384747384,3492468,0.00,41706,16,46,615,18890596,21909100,3875372
2026-09-05T10:58:12.749471+00:00,1,1384488480,3492468,0.00,42420,1,46,616,19615548,21909104,3875372
2026-09-05T10:58:17.884662+00:00,1,1383420916,3492468,0.00,43234,0,46,623,20207588,21909104,3875412
2026-09-05T10:58:23.022264+00:00,1,1383048664,3492468,0.00,43840,1,46,632,20995036,21909104,3875412
2026-09-05T10:58:28.151131+00:00,1,1382522272,3492468,0.00,44654,0,46,639,21493388,21909104,3875456
