runner_step_internal,global_step,h,warmup,query_count_all,valid_query_count,v_l2_mean,v_l2_median,log_v_l2_mean,v_l3_mean,v_l3_median,log_v_l3_mean,v_l4_mean,v_l4_median,log_v_l4_mean,weight_mean_all,weight_mean_valid,weight_p05_valid,weight_p50_valid,weight_p95_valid,weight_low_clip_fraction_valid,weight_high_clip_fraction_valid,positive_adv_weight_mean_valid,negative_adv_weight_mean_valid
0,1,27,1,1024,586,0.003774101123,0.002905065543,-5.805860542,0.01371193744,0.01131652435,-4.475265472,0.05587008899,0.03205948137,-3.258851081,1,1,1,1,1,0,0,1,1
0,1,28,1,1024,586,0.003755728315,0.002953376155,-5.812808378,0.01376595496,0.01123627322,-4.480481052,0.05590218011,0.03198889457,-3.260172159,1,1,1,1,1,0,0,1,1
0,1,29,1,1024,586,0.003747374825,0.002889994532,-5.818890012,0.01372487212,0.01119193202,-4.48313781,0.05530223377,0.03199038841,-3.269178861,1,1,1,1,1,0,0,1,1
0,1,30,1,1024,586,0.003815578884,0.002895801794,-5.798334462,0.0139747179,0.01121204672,-4.474853125,0.05573519878,0.03231060319,-3.264946443,1,1,1,1,1,0,0,1,1
0,1,31,1,1024,586,0.003780957382,0.002838747925,-5.820519675,0.01406703413,0.01124212705,-4.473333311,0.05473993191,0.0329425931,-3.261424943,1,1,1,1,1,0,0,1,1
0,1,32,1,1024,586,0.003835368849,0.00282208412,-5.820858367,0.01444062068,0.01114141336,-4.459856928,0.05438591214,0.03213887662,-3.266037558,1,1,1,1,1,0,0,1,1
0,1,33,1,1024,586,0.003925349018,0.002939376631,-5.786721684,0.01494355027,0.01154672587,-4.421898338,0.05443172259,0.03338903002,-3.246795435,1,1,1,1,1,0,0,1,1
0,1,34,1,1024,586,0.004042615332,0.003051078878,-5.77299229,0.0152063761,0.01161059411,-4.413439725,0.05449305883,0.03294643573,-3.246092583,1,1,1,1,1,0,0,1,1
0,1,35,1,1024,586,0.004063826523,0.003105912125,-5.760788698,0.0155935632,0.01176411984,-4.390699181,0.05520328035,0.03359782696,-3.228336056,1,1,1,1,1,0,0,1,1
0,1,36,1,1024,586,0.004107434505,0.003080150927,-5.74387003,0.01569136577,0.01191480178,-4.384175617,0.0553003995,0.03399466164,-3.229757872,1,1,1,1,1,0,0,1,1
0,1,37,1,1024,586,0.004086887576,0.003005321021,-5.757063173,0.01585037259,0.01210067328,-4.374107229,0.05532271866,0.03358526528,-3.22740254,1,1,1,1,1,0,0,1,1
0,1,38,1,1024,586,0.004033098182,0.00312437315,-5.736149891,0.01594480379,0.01217385195,-4.35123417,0.05619028767,0.03437432647,-3.213455277,1,1,1,1,1,0,0,1,1
0,1,39,1,1024,586,0.0040444247,0.003105931217,-5.735008412,0.0158320782,0.0125354114,-4.348657574,0.05594236424,0.03415603563,-3.214305491,1,1,1,1,1,0,0,1,1
0,1,40,1,1024,586,0.004032590759,0.0032056208,-5.734254468,0.01583305043,0.01284396416,-4.346567757,0.05666505329,0.03540353663,-3.210823871,1,1,1,1,1,0,0,1,1
0,1,41,1,1024,586,0.004086290116,0.003273835988,-5.715996644,0.01602183995,0.01248884853,-4.337239673,0.0578812993,0.03529043868,-3.190438868,1,1,1,1,1,0,0,1,1
0,1,42,1,1024,586,0.004120760575,0.003324344405,-5.697820823,0.01618900094,0.01293887198,-4.32169353,0.05853040577,0.03496335447,-3.182591633,1,1,1,1,1,0,0,1,1
0,1,43,1,1024,586,0.004176577581,0.003266706131,-5.696017898,0.01692620789,0.01374300616,-4.289480491,0.0604535387,0.03574090637,-3.15629504,1,1,1,1,1,0,0,1,1
0,1,44,1,1024,586,0.004331712197,0.003282239311,-5.670285649,0.01770448012,0.01347090118,-4.264824177,0.06162595468,0.03491777368,-3.13987765,1,1,1,1,1,0,0,1,1
0,1,45,1,1024,586,0.00458425338,0.003468270414,-5.637477975,0.01892461139,0.01414567791,-4.233374699,0.06401886386,0.03540686704,-3.124370008,1,1,1,1,1,0,0,1,1
0,1,46,1,1024,586,0.004993815598,0.003510069102,-5.589360226,0.02056151106,0.01425677352,-4.180060837,0.06649544099,0.03631480224,-3.098391266,1,1,1,1,1,0,0,1,1
0,1,47,1,1024,586,0.005518149714,0.0038058504,-5.52205878,0.0226379966,0.01506335475,-4.124053418,0.07047050904,0.03707463667,-3.058498792,1,1,1,1,1,0,0,1,1
0,1,48,1,1024,586,0.006017386462,0.004141084617,-5.443911041,0.02530624712,0.01548246155,-4.043997125,0.07527008172,0.03821447492,-3.006565373,1,1,1,1,1,0,0,1,1
0,1,49,1,1024,586,0.006675001048,0.004233449232,-5.390380097,0.02887681917,0.01649019867,-3.978290579,0.08129767239,0.03903680108,-2.965877395,1,1,1,1,1,0,0,1,1
1,2,0,0,1024,586,0.002648774493,0.002178672352,-6.088052234,0.008190845278,0.007274878677,-4.896301312,0.02871930263,0.02684822399,-3.597367047,0.9256234688,0.9283932002,0.8321485668,0.9240489602,1.035511822,0.01365187713,0,0.933558955,0.9205109708
1,2,1,0,1024,586,0.002788727626,0.0022306561,-6.065364372,0.008831545649,0.007828532718,-4.841659175,0.02966010233,0.02777639031,-3.577456823,0.9340330074,0.9371548416,0.830956459,0.9361021519,1.059243739,0.01365187713,0,0.9412108776,0.9309658901
1,2,2,0,1024,586,0.002932601865,0.002422673046,-5.998185773,0.009200121142,0.008076425176,-4.802461855,0.03110620406,0.02888466138,-3.534255033,0.9401156335,0.9428459113,0.8378597349,0.9387357533,1.064525992,0.01023890785,0,0.9445390309,0.9402624443
1,2,3,0,1024,586,0.003356663641,0.002762939082,-5.890665634,0.00982568522,0.008482978214,-4.753674322,0.03278264032,0.03011259064,-3.491167416,0.9477765882,0.9513026045,0.8320681155,0.9490760565,1.07696569,0.0204778157,0.003412969283,0.9503297908,0.9527869839
1,2,4,0,1024,586,0.003687348629,0.002956802724,-5.812752143,0.01042497617,0.00888387952,-4.70195786,0.0343880275,0.03119477257,-3.449841341,0.9557248499,0.9585701117,0.8406089991,0.9514349103,1.093876898,0.008532423208,0,0.9582678364,0.9590313422
1,2,5,0,1024,586,0.003944334888,0.002992643742,-5.753909336,0.01125029316,0.009305570275,-4.643422091,0.03691991739,0.03260900639,-3.397326322,0.9646824573,0.9694824851,0.8415252864,0.962905854,1.115029573,0.01535836177,0.003412969283,0.9688642539,0.9704258208
