step,control_raw,control_ma5,control_ma10,control_fixed,st_02_raw,st_02_ma5,st_02_ma10,st_02_fixed,prism_raw,prism_ma5,prism_ma10,prism_fixed,action_old_raw,action_old_ma5,action_old_ma10,action_old_fixed,action_fix_raw,action_fix_ma5,action_fix_ma10,action_fix_fixed,st_half_raw,st_half_ma5,st_half_ma10,st_half_fixed
25,0.890625,0.83046875,0.81328125,0.9375,0.9453125,0.8921875,0.905078125,0.90625,0.9453125,0.90703125,0.88984375,0.9375,0.8515625,0.78984375,0.770703125,0.875,0.98046875,0.940625,0.925390625,0.96875,0.9140625,0.8921875,0.88671875,0.9375
26,0.81640625,0.84921875,0.820703125,,0.86328125,0.88984375,0.8984375,,0.90625,0.90546875,0.89375,,0.80859375,0.79375,0.780859375,,0.91015625,0.9375,0.924609375,,0.91796875,0.8953125,0.896484375,
27,0.94140625,0.86640625,0.83359375,,0.8984375,0.8890625,0.903515625,,0.9609375,0.9234375,0.914453125,,0.8828125,0.81171875,0.7953125,,0.90625,0.9375,0.928125,,0.8984375,0.89375,0.900390625,
28,0.91015625,0.87421875,0.85,,0.90625,0.884375,0.901953125,,0.94140625,0.92265625,0.919921875,,0.8984375,0.84140625,0.80625,,0.96875,0.93203125,0.936328125,,0.953125,0.90703125,0.908203125,
29,0.91796875,0.8953125,0.8609375,,0.87109375,0.896875,0.894921875,,0.93359375,0.9375,0.92109375,,0.80078125,0.8484375,0.811328125,,0.9140625,0.9359375,0.93125,,0.93359375,0.9234375,0.9109375,
30,0.86328125,0.88984375,0.86015625,0.9375,0.85546875,0.87890625,0.885546875,0.9375,0.91796875,0.93203125,0.91953125,0.9375,,,,,0.93359375,0.9265625,0.93359375,0.90625,0.9140625,0.9234375,0.9078125,0.9375
31,0.92578125,0.91171875,0.88046875,,0.93359375,0.89296875,0.89140625,,0.91796875,0.934375,0.919921875,,,,,,0.94140625,0.9328125,0.93515625,,0.94140625,0.928125,0.91171875,
32,0.890625,0.9015625,0.883984375,,0.953125,0.90390625,0.896484375,,0.9765625,0.9375,0.93046875,,,,,,0.95703125,0.94296875,0.940234375,,0.94921875,0.93828125,0.916015625,
33,0.8203125,0.88359375,0.87890625,,0.90625,0.90390625,0.894140625,,0.89453125,0.928125,0.925390625,,,,,,0.9375,0.93671875,0.934375,,0.85546875,0.91875,0.912890625,
34,0.83203125,0.86640625,0.880859375,,0.8828125,0.90625,0.9015625,,0.93359375,0.928125,0.9328125,,,,,,0.90234375,0.934375,0.93515625,,0.94140625,0.9203125,0.921875,
35,0.8671875,0.8671875,0.878515625,0.9375,0.8671875,0.90859375,0.89375,0.875,0.9453125,0.93359375,0.9328125,0.96875,,,,,0.953125,0.93828125,0.932421875,0.9375,0.875,0.9125,0.91796875,0.90625
36,0.8984375,0.86171875,0.88671875,,0.93359375,0.90859375,0.90078125,,0.921875,0.934375,0.934375,,,,,,0.9296875,0.9359375,0.934375,,0.953125,0.91484375,0.921484375,
37,0.94140625,0.871875,0.88671875,,0.9296875,0.90390625,0.90390625,,0.88671875,0.91640625,0.926953125,,,,,,0.90625,0.92578125,0.934375,,0.92578125,0.91015625,0.92421875,
38,0.9296875,0.89375,0.888671875,,0.88671875,0.9,0.901953125,,0.9453125,0.9265625,0.92734375,,,,,,0.94921875,0.928125,0.932421875,,0.921875,0.9234375,0.92109375,
39,0.89453125,0.90625,0.886328125,,0.87890625,0.89921875,0.902734375,,0.9609375,0.93203125,0.930078125,,,,,,0.953125,0.93828125,0.936328125,,0.9296875,0.92109375,0.920703125,
40,0.9140625,0.915625,0.89140625,0.90625,0.87890625,0.9015625,0.905078125,0.9375,0.953125,0.93359375,0.93359375,0.96875,,,,,0.8984375,0.92734375,0.9328125,0.90625,0.91796875,0.9296875,0.92109375,0.9375
41,0.9296875,0.921875,0.891796875,,0.9296875,0.90078125,0.9046875,,0.96875,0.94296875,0.938671875,,,,,,0.9140625,0.92421875,0.930078125,,0.94921875,0.92890625,0.921875,
42,0.84375,0.90234375,0.887109375,,0.85546875,0.8859375,0.894921875,,0.95703125,0.95703125,0.93671875,,,,,,0.88671875,0.9203125,0.923046875,,0.8984375,0.9234375,0.916796875,
43,0.92578125,0.9015625,0.89765625,,0.9375,0.89609375,0.898046875,,0.9375,0.95546875,0.941015625,,,,,,0.94140625,0.91875,0.9234375,,0.90234375,0.91953125,0.921484375,
44,0.83984375,0.890625,0.8984375,,0.77734375,0.87578125,0.8875,,0.87109375,0.9375,0.934765625,,,,,,0.8828125,0.9046875,0.921484375,,0.86328125,0.90625,0.913671875,
45,0.85546875,0.87890625,0.897265625,0.96875,0.89453125,0.87890625,0.890234375,0.96875,0.9296875,0.9328125,0.933203125,0.9375,,,,,0.90234375,0.90546875,0.91640625,0.9375,0.90625,0.90390625,0.916796875,0.96875
46,0.91015625,0.875,0.8984375,,0.85546875,0.8640625,0.882421875,,0.94140625,0.92734375,0.93515625,,,,,,0.93359375,0.909375,0.916796875,,0.94140625,0.90234375,0.915625,
47,0.921875,0.890625,0.896484375,,0.953125,0.88359375,0.884765625,,0.9609375,0.928125,0.942578125,,,,,,0.96875,0.92578125,0.923046875,,0.96484375,0.915625,0.91953125,
48,0.91015625,0.8875,0.89453125,,0.8828125,0.87265625,0.884375,,0.859375,0.9125,0.933984375,,,,,,0.8671875,0.9109375,0.91484375,,0.83984375,0.903125,0.911328125,
49,0.8671875,0.89296875,0.891796875,,0.8828125,0.89375,0.884765625,,0.86328125,0.9109375,0.92421875,,,,,,0.92578125,0.91953125,0.912109375,,0.91015625,0.9125,0.909375,
50,0.95703125,0.91328125,0.89609375,0.9375,0.91015625,0.896875,0.887890625,0.96875,0.93359375,0.91171875,0.922265625,0.9375,,,,,0.88671875,0.91640625,0.9109375,0.96875,0.97265625,0.92578125,0.91484375,0.96875
51,0.921875,0.915625,0.8953125,,0.89453125,0.9046875,0.884375,,0.96875,0.9171875,0.922265625,,,,,,0.94921875,0.91953125,0.914453125,,0.9140625,0.9203125,0.911328125,
52,0.95703125,0.92265625,0.906640625,,0.9453125,0.903125,0.893359375,,0.9765625,0.9203125,0.92421875,,,,,,0.9375,0.91328125,0.91953125,,0.95703125,0.91875,0.9171875,
53,0.9140625,0.9234375,0.90546875,,,,,,0.91796875,0.93203125,0.922265625,,,,,,0.96875,0.93359375,0.922265625,,0.9375,0.93828125,0.920703125,
54,0.93359375,0.93671875,0.91484375,,,,,,0.95703125,0.95078125,0.930859375,,,,,,0.94921875,0.93828125,0.92890625,,,,,
