run,step,success_pct,success_roll5_pct,approx_kl,clip_pct,grad_norm,step_min
DVAC v1 global-z,31,91.796875,90.390625,0.028,12.7,28.796,24.366666666666667
DVAC v1 global-z,32,93.75,90.546875,0.018,14.9,21.837,24.023333333333333
DVAC v1 global-z,33,84.765625,90.546875,0.044,16.0,37.129,25.07333333333333
DVAC v1 global-z,34,85.546875,89.453125,0.031,10.8,35.66,24.56
DVAC v1 global-z,35,91.40625,89.453125,0.06,17.0,33.641,24.415000000000003
DVAC v1 global-z,36,93.359375,89.765625,0.049,17.0,22.736,24.238333333333333
DVAC v1 global-z,37,91.015625,89.21875,0.023,18.8,36.771,24.64333333333333
DVAC v1 global-z,38,92.578125,90.78125,0.041,12.6,28.633,24.066666666666663
DVAC v1 global-z,39,89.84375,91.640625,0.054,24.1,27.365,24.48333333333333
DVAC v1 global-z,40,91.40625,91.640625,0.044,17.1,32.225,24.67833333333333
DVAC v1 global-z,41,93.359375,91.640625,0.069,13.900000000000002,30.726,24.60333333333333
DVAC v1 global-z,42,92.578125,91.953125,0.076,15.8,29.308,24.311666666666667
DVAC v1 global-z,43,88.671875,91.171875,0.085,20.8,29.679,24.78333333333333
DVAC v1 global-z,44,85.546875,90.3125,0.048,12.6,35.227,24.961666666666662
DVAC v1 global-z,45,89.0625,89.84375,0.044,17.5,39.558,24.675
DVAC v1 global-z,46,87.5,88.671875,0.051,15.7,35.661,24.58333333333333
DVAC v1 global-z,47,87.890625,87.734375,0.059,14.499999999999998,27.552,24.471666666666668
DVAC v1 global-z,48,85.546875,87.109375,0.077,15.7,29.441,25.026666666666664
DVAC v1 global-z,49,91.015625,88.203125,0.03,15.9,33.851,25.14333333333333
DVAC v2 R-only,1,82.421875,82.421875,0.122,15.0,39.272,25.78666666666667
DVAC v2 R-only,2,76.171875,79.296875,0.044,13.4,38.011,25.101666666666667
DVAC v2 R-only,3,78.90625,79.16666666666667,0.051,15.6,44.164,25.246666666666663
DVAC v2 R-only,4,81.25,79.6875,0.032,12.7,46.177,25.361666666666668
DVAC v2 R-only,5,82.03125,80.15625,0.021,13.7,29.716,24.97
DVAC v2 R-only,6,91.40625,81.953125,0.044,11.0,29.378,24.523333333333333
DVAC v2 R-only,7,82.8125,83.28125,0.03,12.9,33.815,24.813333333333333
DVAC v2 R-only,8,81.640625,83.828125,0.016,10.6,27.993,24.66166666666667
DVAC v2 R-only,9,80.078125,83.59375,0.039,14.2,44.476,25.245
DVAC v2 R-only,10,84.765625,84.140625,0.03,11.8,33.865,25.03333333333333
DVAC v2 R-only,11,94.921875,84.84375,0.02,8.3,21.699,24.42833333333333
DVAC v2 R-only,12,74.609375,83.203125,0.051,15.7,46.899,25.641666666666666
DVAC v2 R-only,13,78.125,82.5,0.0095,12.5,37.165,24.961666666666662
DVAC v2 R-only,14,84.375,83.359375,0.026,11.6,35.004,24.71333333333333
DVAC v2 R-only,15,79.296875,82.265625,0.061,11.4,34.818,24.81833333333333
DVAC v2 R-only,16,80.078125,79.296875,0.019,13.4,34.959,24.988333333333333
DVAC v2 R-only,17,85.546875,81.484375,0.053,13.900000000000002,22.663,24.726666666666667
DVAC v2 R-only,18,78.125,81.484375,0.032,14.3,42.792,25.405
DVAC v2 R-only,19,79.6875,80.546875,0.043,10.2,36.251,25.256666666666668
DVAC v2 R-only,20,87.109375,82.109375,0.039,13.4,31.599,25.276666666666664
DVAC v2 R-only,21,80.859375,82.265625,0.03,12.9,36.368,24.93
