h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_p05,residual_median,residual_p95,weight_p05,weight_mean,weight_p50,weight_p95,at_min_fraction,at_max_fraction
0,-3.918494939804077,0.2572513520717621,-3.8111534162588865,-1.1407424926757812,0.4172632098197937,2.0,0.4296287536621094,1.1837802723102773,1.2086316347122192,2.0,0.0035335689045936395,0.05653710247349823
1,-3.9243669509887695,0.2773857116699219,-3.84944953597591,-1.0833430409431457,0.27008354663848877,2.0,0.45832847952842715,1.146982794726274,1.1350417137145996,2.0,0.0035335689045936395,0.0636042402826855
2,-3.9344489574432373,0.2893412709236145,-3.846193729444632,-1.0662222027778625,0.3050210177898407,1.9745508193969719,0.4668888986110688,1.1552239824942059,1.1525105237960815,1.987275409698486,0.007067137809187279,0.04946996466431095
3,-3.9342312812805176,0.3135303854942322,-3.8427169704611424,-1.1170421242713928,0.2918834984302521,1.8198700785636899,0.4414789378643036,1.156001061095787,1.1459417343139648,1.9099350929260253,0.0035335689045936395,0.04240282685512368
4,-3.9178953170776367,0.31964626908302307,-3.8098900912916647,-1.17101891040802,0.33789002895355225,1.7667622208595273,0.41449054479599,1.1596859788304925,1.168945074081421,1.8833810567855833,0.01060070671378092,0.038869257950530034
5,-3.92730712890625,0.338788777589798,-3.842243671859993,-1.1036391258239746,0.25108110904693604,1.7518923521041863,0.4481804370880127,1.127054643293994,1.1255404949188232,1.875946176052093,0.0,0.028268551236749116
6,-3.9263992309570312,0.3527536988258362,-3.834967258329662,-1.1964449763298035,0.25919461250305176,1.947734355926513,0.4017775118350983,1.143887165578431,1.1295973062515259,1.9738672256469723,0.0035335689045936395,0.045936395759717315
7,-3.9401073455810547,0.364044189453125,-3.8287526845071724,-1.2318154215812682,0.305882066488266,2.0,0.38409228920936583,1.161492199442833,1.1529409885406494,2.0,0.007067137809187279,0.05653710247349823
8,-3.955148935317993,0.38480278849601746,-3.8240251528510103,-1.1697350859642028,0.34075579047203064,1.9998996376991272,0.4151324570178986,1.1680657749883698,1.1703778505325317,1.9999498128890991,0.0035335689045936395,0.053003533568904596
9,-3.9513421058654785,0.3817167282104492,-3.8242723453030107,-1.0500871896743773,0.3328900933265686,2.0,0.47495640516281135,1.1914456505657507,1.166445016860962,2.0,0.0,0.0706713780918728
10,-3.9596738815307617,0.4033249318599701,-3.807190832597297,-1.1050784587860107,0.3780648708343506,2.0,0.44746077060699463,1.2269615215042033,1.1890324354171753,2.0,0.0,0.0812720848056537
11,-3.9609572887420654,0.43205925822257996,-3.789816467097241,-1.0436546862125395,0.39610517024993896,2.0,0.47817265987396246,1.226186374682841,1.1980526447296143,2.0,0.0,0.09187279151943463
12,-3.9553580284118652,0.43819549679756165,-3.7808306960874036,-1.1598318815231323,0.3982866406440735,2.0,0.42008405923843384,1.2061678284891082,1.1991432905197144,2.0,0.0,0.0812720848056537
13,-3.9610111713409424,0.4417785406112671,-3.7988962735536402,-0.9897748708724975,0.3669595718383789,2.0,0.5051125407218933,1.2246938531053362,1.1834797859191895,2.0,0.0035335689045936395,0.0989399293286219
14,-3.9384288787841797,0.4520221948623657,-3.799611630146263,-1.1962108731269836,0.30710285902023315,2.0,0.4018945634365082,1.1894644922165483,1.153551459312439,2.0,0.0035335689045936395,0.08480565371024736
15,-3.9445128440856934,0.45219576358795166,-3.8294535414053574,-1.0190925478935242,0.2544459402561188,2.0,0.4904537260532379,1.1638328767918025,1.127223014831543,2.0,0.0,0.06007067137809187
16,-3.938236951828003,0.4297263026237488,-3.837150452715429,-1.2081979036331176,0.23523488640785217,2.0,0.3959010481834412,1.1491808838642106,1.1176174879074097,2.0,0.007067137809187279,0.08480565371024736
17,-3.9388585090637207,0.43864795565605164,-3.8474670328079137,-1.2384474039077757,0.2083483189344406,2.0,0.38077629804611207,1.1477633369263827,1.1041741371154785,2.0,0.0035335689045936395,0.07420494699646643
18,-3.96025013923645,0.4316699206829071,-3.8515536201328353,-1.1513661980628966,0.25180456042289734,2.0,0.4243169009685517,1.1677198877604185,1.1259022951126099,2.0,0.0035335689045936395,0.08480565371024736
19,-3.9711899757385254,0.42949143052101135,-3.8463036060524347,-1.1784912705421449,0.2907771170139313,2.0,0.4107543647289276,1.1685505433554364,1.1453886032104492,2.0,0.0035335689045936395,0.08833922261484099
20,-3.9759984016418457,0.4232710599899292,-3.8432349191681365,-1.136189353466034,0.3136604428291321,2.0,0.43190532326698305,1.1553867261317088,1.1568301916122437,2.0,0.0,0.08833922261484099
21,-4.003986835479736,0.4276515543460846,-3.861616055944783,-0.9436699748039246,0.3329128623008728,2.0,0.5281650125980377,1.1910895696798398,1.1664564609527588,2.0,0.0035335689045936395,0.09187279151943463
22,-4.00013542175293,0.41671666502952576,-3.835136791846431,-0.9682271599769592,0.39594897627830505,2.0,0.515886390209198,1.2231098630403041,1.197974443435669,2.0,0.0,0.08833922261484099
23,-3.996574640274048,0.41555002331733704,-3.8668189262036914,-0.9355993151664733,0.3122505843639374,2.0,0.5322003424167633,1.1796670122197155,1.1561253070831299,2.0,0.0,0.08480565371024736
24,-4.016600608825684,0.40592652559280396,-3.8807864988057834,-1.0581024765968323,0.3345782458782196,2.0,0.4709487617015839,1.1995538317272605,1.167289137840271,2.0,0.0035335689045936395,0.08833922261484099
25,-4.006092071533203,0.41104456782341003,-3.827770802648132,-0.9503004550933838,0.43382489681243896,2.0,0.5248497724533081,1.2185214284030792,1.2169125080108643,2.0,0.0,0.0812720848056537
26,-4.006945610046387,0.42388400435447693,-3.8425980166067184,-1.1084485530853272,0.38771843910217285,2.0,0.44577572345733646,1.2071439895528786,1.1938592195510864,2.0,0.0035335689045936395,0.0636042402826855
27,-4.015575408935547,0.4426056742668152,-3.813405675917843,-1.1234702706336974,0.45677149295806885,2.0,0.43826486468315123,1.2177229736382043,1.2283856868743896,2.0,0.0,0.07420494699646643
28,-4.005777835845947,0.4396551847457886,-3.8545567918948067,-1.0399492383003235,0.3439537286758423,2.0,0.48002538084983826,1.2057624052775622,1.1719768047332764,2.0,0.0,0.07773851590106007
29,-4.001943588256836,0.43435654044151306,-3.797574900812922,-0.8678807199001312,0.4705088436603546,2.0,0.5660596430301666,1.2540696494992125,1.2352544069290161,2.0,0.0,0.07420494699646643
30,-3.9971156120300293,0.44327694177627563,-3.77986560419431,-0.8201656699180603,0.4901001751422882,2.0,0.5899171650409699,1.2480845428187097,1.245050072669983,2.0,0.0,0.0989399293286219
31,-3.9969325065612793,0.43738850951194763,-3.790242003684085,-0.9836707055568694,0.4725559651851654,2.0,0.508164644241333,1.2877848085160812,1.2362779378890991,2.0,0.0,0.14840989399293286
32,-3.9824459552764893,0.478117972612381,-3.8054320051109207,-0.9309203922748566,0.3702305257320404,2.0,0.5345397770404816,1.2420501521535139,1.1851152181625366,2.0,0.0,0.1166077738515901
33,-3.974641799926758,0.4628612697124481,-3.805055605299088,-0.8675186991691589,0.36638662219047546,2.0,0.5662406206130981,1.2357211464706663,1.183193325996399,2.0,0.0,0.127208480565371
34,-3.9510393142700195,0.4821951985359192,-3.765308385206077,-0.8966180384159088,0.3851779103279114,2.0,0.5516909837722779,1.2595931959236468,1.1925889253616333,2.0,0.0035335689045936395,0.11307420494699646
35,-3.941648006439209,0.49240225553512573,-3.721527040526915,-0.8419876396656036,0.44703471660614014,2.0,0.5790061533451081,1.2395915422759713,1.2235174179077148,2.0,0.0,0.0989399293286219
36,-3.9320807456970215,0.5055571794509888,-3.7205215926509845,-0.8783236503601074,0.41846713423728943,2.0,0.5608381986618042,1.2644908177557768,1.2092335224151611,2.0,0.0,0.12014134275618374
37,-3.9178264141082764,0.5003392696380615,-3.6688480949878866,-0.8365278124809264,0.497619092464447,2.0,0.5817361235618591,1.2963862909866306,1.248809576034546,2.0,0.0,0.10600706713780919
38,-3.910875082015991,0.5101333260536194,-3.631984305555647,-0.7304095029830933,0.5467019081115723,2.0,0.6347952723503113,1.2805790111369884,1.2733509540557861,2.0,0.0,0.08480565371024736
39,-3.9073171615600586,0.5160531997680664,-3.6671500252071705,-0.8204619824886322,0.46539220213890076,2.0,0.5897690117359161,1.2641530045350955,1.2326960563659668,2.0,0.0,0.0812720848056537
40,-3.8997583389282227,0.5002368092536926,-3.6140147478195637,-0.841911518573761,0.5712164044380188,2.0,0.5790442109107972,1.2787859587281838,1.285608172416687,2.0,0.0,0.07420494699646643
41,-3.875689744949341,0.5139883756637573,-3.606666504610814,-0.7587217330932616,0.5234032273292542,2.0,0.6206391334533692,1.2488001102693511,1.2617015838623047,2.0,0.0,0.06007067137809187
42,-3.8665642738342285,0.5050016641616821,-3.6257977662734824,-0.8014383554458618,0.4767638146877289,2.0,0.599280846118927,1.2329341034164698,1.2383818626403809,2.0,0.0,0.07420494699646643
43,-3.8446056842803955,0.5048514604568481,-3.6383926674512352,-0.7811001777648926,0.4084627032279968,2.0,0.6094499349594117,1.2312606356169224,1.2042313814163208,2.0,0.0,0.0636042402826855
44,-3.843902826309204,0.5284467339515686,-3.634098021155631,-0.7426307678222657,0.397021621465683,2.0,0.6286845922470092,1.23700387591608,1.198510766029358,2.0,0.0,0.07420494699646643
45,-3.826003074645996,0.5332499742507935,-3.623171339584432,-0.7995169699192047,0.3803689777851105,2.0,0.6002415418624878,1.2105259320339972,1.190184473991394,2.0,0.0,0.08833922261484099
46,-3.804518222808838,0.5569984912872314,-3.5879836970850203,-0.8706053793430327,0.38875260949134827,2.0,0.5646973371505738,1.228465765819954,1.1943763494491577,2.0,0.0,0.07420494699646643
47,-3.7763543128967285,0.590711236000061,-3.539353485632767,-0.8480365514755248,0.4012128710746765,2.0,0.5759817481040955,1.218913508177646,1.2006064653396606,2.0,0.0,0.07420494699646643
48,-3.7254557609558105,0.6335124969482422,-3.5273211272335216,-0.9223462283611298,0.3127557337284088,2.0,0.5388268887996673,1.2054390534495296,1.156377911567688,2.0,0.0,0.07420494699646643
49,-3.6853413581848145,0.6890820860862732,-3.4718627987076207,-0.7887823224067688,0.3098013699054718,2.0,0.6056088387966156,1.2148451305952173,1.1549006700515747,2.0,0.0,0.07773851590106007
