timestamp,memory_current,gpu0_mib,gpu1_mib
2026-08-27T23:25:30+08:00,62327033856,0,0
2026-08-27T23:25:32+08:00,62650535936,0,0
2026-08-27T23:25:34+08:00,62781345792,0,0
2026-08-27T23:25:36+08:00,62999949312,0,0
2026-08-27T23:25:38+08:00,63093669888,4,0
2026-08-27T23:25:40+08:00,65074962432,4,0
2026-08-27T23:25:43+08:00,65494654976,4,0
2026-08-27T23:25:45+08:00,68308873216,4,0
2026-08-27T23:25:47+08:00,68858363904,447,0
2026-08-27T23:25:49+08:00,69343465472,447,0
2026-08-27T23:25:51+08:00,69664509952,447,0
2026-08-27T23:25:53+08:00,69932560384,447,0
2026-08-27T23:25:55+08:00,70739034112,935,1
2026-08-27T23:25:57+08:00,71831834624,935,1
2026-08-27T23:25:59+08:00,71836819456,935,1
2026-08-27T23:26:02+08:00,71736692736,947,0
2026-08-27T23:26:04+08:00,73427230720,947,0
2026-08-27T23:26:06+08:00,74665955328,947,0
2026-08-27T23:26:08+08:00,76162408448,947,0
2026-08-27T23:26:10+08:00,77683806208,947,0
2026-08-27T23:26:12+08:00,79206752256,947,0
2026-08-27T23:26:14+08:00,80704851968,947,0
2026-08-27T23:26:16+08:00,81804660736,947,0
2026-08-27T23:26:18+08:00,81806479360,947,0
2026-08-27T23:26:20+08:00,81810006016,947,0
2026-08-27T23:26:22+08:00,81809031168,947,0
2026-08-27T23:26:24+08:00,81811189760,947,0
2026-08-27T23:26:26+08:00,81807622144,947,0
2026-08-27T23:26:29+08:00,82146459648,947,0
2026-08-27T23:26:31+08:00,83640004608,947,0
2026-08-27T23:26:33+08:00,83921612800,947,0
2026-08-27T23:26:35+08:00,82867830784,947,0
2026-08-27T23:26:37+08:00,84115603456,947,0
2026-08-27T23:26:39+08:00,84114132992,947,0
2026-08-27T23:26:41+08:00,85173714944,947,0
2026-08-27T23:26:43+08:00,83670384640,947,0
2026-08-27T23:26:45+08:00,80679133184,947,0
2026-08-27T23:26:47+08:00,78057316352,947,0
2026-08-27T23:26:49+08:00,78610046976,947,0
2026-08-27T23:26:51+08:00,80143351808,947,0
2026-08-27T23:26:53+08:00,81129893888,947,0
2026-08-27T23:26:55+08:00,85292572672,947,0
2026-08-27T23:26:58+08:00,88209022976,947,0
2026-08-27T23:27:00+08:00,77106077696,5857,0
2026-08-27T23:27:02+08:00,74184822784,9825,0
2026-08-27T23:27:04+08:00,74336808960,9867,1
2026-08-27T23:27:06+08:00,74355806208,9867,1
2026-08-27T23:27:08+08:00,74378674176,9867,1
2026-08-27T23:27:10+08:00,74426716160,9869,1
2026-08-27T23:27:12+08:00,74468573184,9871,1
2026-08-27T23:27:14+08:00,74511814656,9873,1
2026-08-27T23:27:16+08:00,75113213952,10155,1
2026-08-27T23:27:18+08:00,75553325056,10155,1
2026-08-27T23:27:21+08:00,75692605440,10797,1
2026-08-27T23:27:23+08:00,76190302208,12986,1
2026-08-27T23:27:25+08:00,76473516032,13242,1
2026-08-27T23:27:27+08:00,76540571648,13698,1
2026-08-27T23:27:29+08:00,77321560064,14050,1
2026-08-27T23:27:31+08:00,77305438208,14507,1
2026-08-27T23:27:33+08:00,77393055744,15114,1
2026-08-27T23:27:35+08:00,77807316992,15114,1
2026-08-27T23:27:37+08:00,78125137920,15572,1
2026-08-27T23:27:39+08:00,78424592384,15932,1
2026-08-27T23:27:41+08:00,78710329344,15932,1
2026-08-27T23:27:43+08:00,79042035712,16390,1
2026-08-27T23:27:46+08:00,79465070592,16996,1
2026-08-27T23:27:48+08:00,79688474624,17252,1
2026-08-27T23:27:50+08:00,79803383808,17454,1
2026-08-27T23:27:52+08:00,80383688704,18062,1
2026-08-27T23:27:54+08:00,80593399808,18520,1
2026-08-27T23:27:56+08:00,80710725632,18520,1
2026-08-27T23:27:58+08:00,81427410944,18874,1
2026-08-27T23:28:00+08:00,81419821056,19332,1
2026-08-27T23:28:02+08:00,81531748352,19688,1
2026-08-27T23:28:04+08:00,81661177856,21208,4
2026-08-27T23:28:06+08:00,81677819904,21208,4
2026-08-27T23:28:08+08:00,81687699456,21208,4
2026-08-27T23:28:11+08:00,81695866880,21208,4
2026-08-27T23:28:13+08:00,81833308160,21208,4
2026-08-27T23:28:15+08:00,81840447488,21208,4
2026-08-27T23:28:17+08:00,81849196544,21208,4
2026-08-27T23:28:19+08:00,81876013056,21208,4
2026-08-27T23:28:21+08:00,81881702400,21208,4
2026-08-27T23:28:23+08:00,81900040192,21208,4
2026-08-27T23:28:25+08:00,81905405952,21208,4
2026-08-27T23:28:27+08:00,81909563392,21208,4
2026-08-27T23:28:29+08:00,81932898304,21208,4
2026-08-27T23:28:31+08:00,81934041088,21208,4
2026-08-27T23:28:34+08:00,81943707648,21208,4
2026-08-27T23:28:36+08:00,81950420992,21208,4
2026-08-27T23:28:38+08:00,81961992192,21208,4
2026-08-27T23:28:40+08:00,81968295936,21208,4
2026-08-27T23:28:42+08:00,81975992320,21208,4
