global_step,max_steps,episode_len,num_trajectories,return,reward,success_once,advantages_max,advantages_mean,advantages_min,returns_max,returns_mean,returns_min,rewards,actor/approx_kl,actor/clip_fraction,actor/clipped_ratio,actor/dual_cliped_ratio,actor/entropy_loss,actor/grad_norm,actor/lr,actor/policy_loss,actor/policy_loss_abs,actor/ratio,actor/ratio_abs,actor/total_loss,critic/explained_variance,critic/lr,critic/value_clip_ratio,critic/value_loss,actor/actor/compute_adv,actor/actor/recv_traj,actor/actor/sync_model_to_rollout,actor/run_training,cal_adv_and_returns,env/compute_bootstrap_rewards,env/env/bootstrap_step,env/env/send_rollout_trajectories,env/env_interact_step,env/interact,env/run_interact_once,generate_rollouts,rollout/generate_one_epoch,rollout/predict,rollout/rollout/generate,step,sync_weights
14,100,192.0,128.0,0.4453125,0.002319336,0.4453125,1.883,1.79e-08,-1.216,1.0,0.398,-0.0027,0.0025,0.0024,0.022,0.998,0.0,0.0,18.873,5e-06,-0.078,0.976,0.998,0.027,5.56e-05,,0.00011,0.0,0.085,0.007,2364.8,1.9,234.1,0.011,0.021,784.5,2.329,1393.6,2362.9,2362.3,2370.5,2355.8,160.3,2370.4,2606.9,2.317
15,100,192.0,128.0,0.421875,0.0021972656,0.421875,2.939,0.0,-1.253,1.0,0.386,-0.0029,0.0023,0.000807,0.015,0.997,0.0,0.0,20.003,5e-06,-0.061,0.957,1.0,0.028,0.000173,,0.00011,0.0,0.083,0.0045,2362.3,1.9,236.0,0.0084,0.022,795.1,2.334,1380.8,2360.1,2359.6,2367.7,2352.6,160.2,2367.6,2606.0,2.314
16,100,192.0,128.0,0.3828125,0.0019938152,0.3828125,2.153,1.38e-08,-1.176,1.0,0.354,-0.0036,0.0021,0.0022,0.013,0.995,0.0,0.0,18.61,5e-06,-0.068,0.953,0.996,0.027,9.63e-05,,0.00011,0.0,0.08,0.0046,2359.5,1.9,235.7,0.0083,0.021,794.0,2.308,1379.0,2357.6,2357.1,2365.3,2350.1,160.0,2365.2,2603.2,2.221
17,100,192.0,128.0,0.4765625,0.0024820967,0.4765625,1.84,-2.96e-09,-1.319,1.0,0.426,-0.0063,0.0026,0.003,0.0073,0.99,0.0,0.0,16.688,5e-06,-0.06,0.969,0.991,0.022,0.000209,,0.00011,0.0,0.087,0.0043,2339.6,1.9,235.3,0.0087,0.021,795.2,2.319,1358.3,2337.5,2337.0,2345.0,2330.2,159.6,2345.0,2582.7,2.28
18,100,192.0,128.0,0.53125,0.0027669272,0.53125,1.687,1.4e-08,-1.343,1.0,0.47,-0.0051,0.003,-0.0022,0.011,1.002,0.0,0.0,17.981,5e-06,-0.07,0.976,1.004,0.023,0.000135,,0.00011,0.0,0.087,0.0043,2333.1,1.9,235.5,0.0085,0.022,788.9,2.349,1358.1,2331.2,2330.7,2338.8,2323.8,159.8,2338.7,2576.6,2.293
19,100,192.0,128.0,0.5078125,0.002644857,0.5078125,2.565,1.8e-08,-1.365,1.0,0.47,0.0,0.0028,0.0016,0.018,0.999,0.0,0.0,20.196,5e-06,-0.07,0.977,1.0,0.027,0.000124,,0.00011,0.0,0.086,0.0048,2329.2,2.0,234.9,0.0076,0.021,798.0,2.321,1345.1,2327.2,2326.7,2334.8,2319.8,160.0,2334.8,2572.2,2.5
20,100,192.0,128.0,0.4296875,0.0022379558,0.4296875,1.766,9.87e-10,-1.23,1.0,0.41,0.0,0.0024,0.0017,0.014,0.996,0.0,0.0,19.437,5e-06,-0.072,0.974,0.996,0.024,0.000118,,0.00011,0.0,0.087,0.0045,2349.1,2.1,234.7,0.0093,0.021,796.0,2.336,1366.6,2347.1,2346.6,2354.9,2339.9,160.3,2354.9,2634.5,2.486
21,100,192.0,128.0,0.4765625,0.0024820964,0.4765625,1.836,1.79e-08,-1.384,1.0,0.432,-0.0022,0.0027,0.0041,0.013,0.996,0.0,0.0,18.106,5e-06,-0.071,0.97,0.996,0.025,0.000106,,0.00011,0.0,0.084,0.0043,2339.3,1.9,235.8,0.0081,0.022,797.6,2.364,1356.1,2337.2,2336.7,2344.6,2330.0,158.7,2344.6,2582.7,2.262
22,100,192.0,128.0,0.4296875,0.0022379558,0.4296875,2.091,1.39e-08,-1.188,1.0,0.385,-0.0048,0.0024,0.0021,0.012,0.993,0.0,0.0,21.259,5e-06,-0.073,0.969,0.994,0.027,6.86e-05,,0.00011,0.0,0.082,0.0041,2349.6,1.9,234.9,0.0082,0.021,798.5,2.37,1365.3,2347.5,2347.0,2355.1,2339.8,159.3,2355.1,2592.2,2.262
23,100,192.0,128.0,0.3984375,0.0020751953,0.3984375,2.767,1.86e-08,-1.099,1.0,0.361,-0.0066,0.0022,0.0025,0.017,0.995,0.0,0.0,18.999,5e-06,-0.064,0.96,0.996,0.028,0.00013,,0.00011,0.0,0.081,0.005,2362.3,1.8,234.7,0.0092,0.022,800.4,2.336,1375.9,2360.3,2359.8,2368.0,2352.9,159.3,2367.9,2604.9,2.208
24,100,192.0,128.0,0.5625,0.0029296875,0.5625,2.206,7.51e-09,-1.506,1.0,0.5,-0.006,0.0031,0.0028,0.0068,0.994,0.0,0.0,16.418,5e-06,-0.066,0.96,0.995,0.022,0.000169,,0.00011,0.0,0.087,0.0041,2314.6,1.9,235.5,0.0085,0.021,796.9,2.389,1331.2,2312.6,2312.0,2319.9,2305.2,160.0,2319.8,2557.7,2.338
25,100,192.0,128.0,0.453125,0.0023600261,0.453125,2.504,-1.28e-08,-1.338,1.0,0.426,-0.0011,0.0025,0.0016,0.0093,0.994,0.0,0.0,20.134,5e-06,-0.057,0.962,0.994,0.026,0.000225,,0.00011,0.0,0.086,0.0046,2376.3,2.0,235.0,0.0088,0.02,791.8,2.363,1397.9,2374.1,2373.6,2381.7,2366.9,160.3,2381.7,2619.2,2.418
26,100,192.0,128.0,0.46875,0.0024414062,0.46875,2.355,2.57e-08,-1.251,1.0,0.438,-0.002,0.0026,0.000704,0.011,1.0,0.0,0.0,18.488,5e-06,-0.064,0.978,1.001,0.026,0.000158,,0.00011,0.0,0.084,0.0073,2347.3,1.9,234.9,0.012,0.021,792.3,2.397,1368.3,2345.3,2344.7,2352.6,2338.1,160.4,2352.6,2589.8,2.263
27,100,192.0,128.0,0.46875,0.0024414065,0.46875,1.809,-2.98e-09,-1.272,1.0,0.425,-0.0036,0.0026,-0.000525,0.015,0.993,0.0,0.0,21.78,5e-06,-0.065,0.98,0.995,0.029,0.00014,,0.00011,0.0,0.083,0.0043,2363.7,2.0,234.3,0.0079,0.021,794.4,2.361,1383.2,2361.6,2361.1,2369.0,2354.1,159.6,2369.0,2605.7,2.348
28,100,192.0,128.0,0.4765625,0.0024820962,0.4765625,1.83,-6.49e-09,-1.272,1.0,0.427,-0.0047,0.0027,0.0033,0.015,0.994,0.0,0.0,18.182,5e-06,-0.072,0.978,0.995,0.027,0.000112,,0.00011,0.0,0.086,0.0054,2336.3,1.8,234.4,0.0096,0.021,795.2,2.409,1354.6,2334.4,2333.9,2342.0,2327.1,160.5,2341.9,2578.6,2.222
