h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_p05,residual_median,residual_p95,weight_p05,weight_mean,weight_p50,weight_p95,at_min_fraction,at_max_fraction
0,-4.017991065979004,0.25760340690612793,-3.945244341569482,-1.403213620185852,0.2823982536792755,1.7121578454971313,0.298393189907074,1.129901473844603,1.1411991119384766,1.856078863143921,0.0071174377224199285,0.028469750889679714
1,-4.0123820304870605,0.27001529932022095,-3.9811574170425077,-1.416419267654419,0.11564058810472488,1.9500104188919067,0.2917903661727905,1.0731835172269693,1.0578203201293945,1.9750051498413086,0.017793594306049824,0.0498220640569395
2,-4.023265361785889,0.2796286940574646,-4.018565489793569,-1.465240478515625,0.016806956380605698,1.8352347612380981,0.2673797607421875,1.015338621317704,1.0084034204483032,1.9176173210144043,0.017793594306049824,0.03558718861209965
3,-4.007929801940918,0.2980499267578125,-4.045460414402266,-1.586790680885315,-0.12591992318630219,1.643573522567749,0.20660465955734253,0.9657002155042628,0.9370400309562683,1.8217867612838745,0.021352313167259787,0.02491103202846975
4,-4.008925914764404,0.32673248648643494,-3.9997122138967094,-1.5957950353622437,0.02819947898387909,1.6787071228027344,0.20210248231887817,1.0117857494388187,1.0140997171401978,1.8393535614013672,0.014234875444839857,0.03558718861209965
5,-4.000519275665283,0.33635208010673523,-4.020850465157113,-1.5709656476974487,-0.06044672802090645,1.446563482284546,0.21451717615127563,0.9864148671516745,0.9697766304016113,1.723281741142273,0.014234875444839857,0.02491103202846975
6,-4.009232521057129,0.35747793316841125,-4.016831752484623,-1.57523512840271,-0.021258246153593063,1.9262542724609375,0.21238243579864502,1.0101689709038921,0.9893708825111389,1.9631271362304688,0.017793594306049824,0.03914590747330961
7,-4.025324821472168,0.3610447347164154,-4.031968159407788,-1.5010069608688354,-0.018400199711322784,1.7091206312179565,0.24949651956558228,1.01989727024506,0.9907999038696289,1.854560375213623,0.014234875444839857,0.03914590747330961
8,-4.044723033905029,0.3684160113334656,-4.046577349305951,-1.3840256929397583,-0.005033493973314762,1.8275996446609497,0.30798715353012085,1.0317729936375737,0.9974832534790039,1.91379976272583,0.010676156583629894,0.03558718861209965
9,-4.04814338684082,0.3899441361427307,-3.9936183527875118,-1.4093425273895264,0.13982807099819183,1.9430443048477173,0.2953287363052368,1.0837597399419736,1.0699139833450317,1.9715220928192139,0.02491103202846975,0.046263345195729534
