unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_high_events,cgroup_max_events,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1785382719,1.00952e+12,251201486848,44412723200,204395245568,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899824,1448,32398052,3132,1127340,48100456,4
1785382722,1.01372e+12,246993387520,40206516224,204395323392,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899852,1332,27903412,3132,1127444,43581532,4
1785382724,1.01979e+12,240927666176,34127761408,204395417600,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899808,1372,21859144,3132,1128540,37437096,4
1785382726,1.02338e+12,237340766208,30567780352,204395417600,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899852,1412,18841744,3132,1128836,34625876,4
1785382729,1.02109e+12,239627460608,32861622272,204395417600,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899860,1344,21214188,3132,1128780,36949908,4
1785382731,1.01851e+12,242197053440,35431825408,204395417600,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899808,1420,23988940,3132,1128764,39782476,4
1785382733,1.01199e+12,248728829952,41951993856,204395417600,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899820,1392,30466096,3132,1130052,46291428,4
1785382735,1.00526e+12,255457591296,48664936448,204395417600,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899772,1368,36696192,3132,1130268,52452668,4
1785382738,1.01728e+12,243430985728,36654682112,204395417600,78418,1409108,0,0,745472,885135867904,9105,0,947,0,3899772,1340,24735004,3132,1130928,40422580,4
1785382740,1.0316e+12,229105610752,22356176896,204395417600,78418,1409108,0,0,745472,885135867904,9122,0,9122,20,3899812,1388,10772936,3132,1130912,26617904,6
1785382742,1.03057e+12,229987188736,22988640256,204629630976,78418,1409108,0,0,30208000,885135867904,10463,0,10631,0,3969320,1324,11012064,3132,1132984,27624764,7
1785382745,1.03017e+12,230306041856,23305154560,204629671936,78418,1409108,0,0,30212096,885135867904,10520,0,10677,0,4394724,1420,11026492,3132,1165460,28106560,8
1785382747,1.03014e+12,230357729280,23355883520,204629676032,78418,1409108,0,0,30212096,885135867904,10520,0,10677,0,4420928,1344,11027544,3132,1205800,28176616,8
1785382749,1.03004e+12,230457180160,23454924800,204629676032,78418,1409108,0,0,30212096,885135867904,10524,0,10679,0,4490124,1360,11027608,3132,1246420,28286968,8
1785382751,1.0283e+12,232127102976,25126723584,204629676032,78418,1409108,0,0,30212096,885135867904,10806,0,10963,0,6376508,1376,11027676,3132,1275084,30420688,8
1785382754,1.02776e+12,232634019840,25629134848,204629676032,78418,1409108,0,0,30212096,885135867904,11384,6,11541,6,6691800,1396,11028212,3132,1300980,30461212,8
1785382756,1.02756e+12,232810852352,25804963840,204629676032,78418,1409108,0,0,30212096,885135867904,13637,49,13798,73,6783480,1416,11028632,3132,1331824,30704596,8
1785382758,1.02659e+12,233708826624,26699804672,204629676032,78418,1409108,0,0,30212096,885135867904,13637,0,13798,0,7710288,1364,11028640,3132,1357560,31625244,8
1785382761,1.02584e+12,234438283264,27430727680,204629680128,78418,1409108,0,0,30212096,885135863808,14093,2,14253,0,8303264,1344,11029136,3132,1386840,32262196,8
1785382763,1.02506e+12,235189719040,28176482304,204629680128,78418,1409108,0,0,30212096,885135863808,14701,0,14862,0,9267264,1352,11029444,3132,1411784,33279524,8
1785382765,1.02446e+12,235766149120,28758753280,204629680128,78418,1409108,0,0,30212096,885135863808,14701,0,15118,6,9859388,1368,11029512,3132,1437500,33891268,8
1785382767,1.02408e+12,236143067136,29131505664,204629680128,78418,1409108,0,0,30212096,885135863808,15159,0,15341,10,9984256,1324,11029744,3132,1465524,34037404,8
1785382770,1.02304e+12,237170327552,30160347136,204629680128,78418,1409108,0,0,30212096,885135863808,15765,0,15926,0,11138256,1328,11030016,3132,1490800,34801260,8
1785382772,1.02243e+12,237774897152,30760493056,204629684224,78418,1409108,0,0,30212096,885135863808,16223,5,16383,2,11377216,1348,11030016,3132,1512408,35497984,8
1785382774,1.02235e+12,237854560256,30837501952,204629684224,78418,1409108,0,0,30212096,885135863808,16303,89,16617,2,11537188,1348,11134408,3132,1539668,35761812,8
1785382777,1.02225e+12,237964169216,30926241792,204638883840,78418,1409108,0,0,30212096,885135863808,17111,0,17193,0,11554832,1348,11269596,3132,1556040,35962684,8
1785382779,1.02213e+12,238083715072,31037636608,204648083456,78418,1409108,0,0,30212096,885135863808,17111,0,17193,0,11658088,1392,11275808,3132,1567608,36090716,8
1785382781,1.02199e+12,238207823872,31152361472,204657418240,78418,1409108,0,0,30212096,885135863808,17111,0,17193,0,11759364,1380,11282180,3132,1587904,36221536,8
1785382783,1.02198e+12,238228594688,31174070272,204657516544,78418,1409108,0,0,30212096,885135863808,17111,35,17193,80,11764704,1372,11282064,3132,1604628,36245304,8
1785382786,1.02193e+12,238272544768,31215931392,204657520640,78418,1409108,0,0,30212096,885135863808,17111,0,17193,0,11778104,1344,11289168,3132,1617480,36282972,8
1785382788,1.02191e+12,238284673024,31227334656,204657520640,78418,1409108,0,0,30212096,885135863808,17111,0,17193,0,11778404,1420,11289092,3132,1628116,36293980,8
1785382790,1.02188e+12,238303408128,31246188544,204657520640,78418,1409108,0,0,30212096,885135863808,17111,0,17193,0,11786160,1448,11289172,3132,1635652,36314320,8
1785382793,1.02186e+12,238319448064,31260782592,204657520640,78418,1409108,0,0,30212096,885135863808,17111,100,17193,4,11786288,1392,11289168,3132,1651324,36331172,8
1785382795,1.02183e+12,238339022848,31283699712,204657520640,78418,1409108,0,0,30212096,885135863808,17111,100,17193,74,11792436,1392,11289912,3132,1667276,36344576,8
1785382797,1.02182e+12,238350086144,31293566976,204657524736,78418,1409108,0,0,30212096,885135863808,17111,0,17193,0,11793168,1388,11290016,3132,1678140,36359332,8
