runner_step,actor_rank,mode,warmup,history_steps,history_count,history_mean,history_std,current_count,current_mean,current_std,valid_queries_local,weight_min,weight_p05,weight_mean,weight_p50,weight_p95,weight_max,z_low_clip_fraction,z_high_clip_fraction,positive_adv_weight_mean,negative_adv_weight_mean,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss
0,1,apply,1,0,0,0.0,0.0,51200,-4.41282382350129,0.6461099688817211,318,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,47.4930419921875,0.1680913269519806,0.14239412546157837,0.9900237321853638,0.01873416267335415
1,1,apply,0,1,51200,-4.41282382350129,0.6461099688817211,51200,-4.411570622753008,0.6717913150590387,294,0.800000011920929,0.8622856140136719,1.012177586555481,1.0094382762908936,1.179134488105774,1.2000000476837158,0.007482993416488171,0.03659863770008087,1.0014547109603882,1.0277258157730103,36.13875961303711,0.15100592374801636,0.04722914472222328,0.9991199970245361,0.0021941105369478464
2,1,apply,0,2,102400,-4.412197223127149,0.6590760381523314,51200,-4.400568064012077,0.7098065654396496,262,0.800000011920929,0.8722072243690491,1.0205247402191162,1.0141563415527344,1.2000000476837158,1.2000000476837158,0.0035114504862576723,0.06854961812496185,1.0072232484817505,1.0468254089355469,41.99591827392578,0.15317532420158386,0.03763066977262497,1.0081936120986938,0.003983739763498306
3,1,apply,0,3,153600,-4.408320836755458,0.6764313137592579,51200,-4.3818349107937316,0.6726170976701971,269,0.800000011920929,0.8730455040931702,1.0201088190078735,1.01761794090271,1.1952521800994873,1.2000000476837158,0.0037918216548860073,0.0472118966281414,1.0107033252716064,1.0325140953063965,32.90983581542969,0.13300946354866028,0.04287748411297798,1.0082213878631592,0.005833439063280821
4,1,apply,0,4,204800,-4.401699355265026,0.6755771338244869,51200,-4.40662150609484,0.6329385395376296,287,0.800000011920929,0.879712700843811,1.0163053274154663,1.0116190910339355,1.1836179494857788,1.2000000476837158,0.0019512195140123367,0.04062717780470848,1.0114152431488037,1.026670217514038,33.736351013183594,0.12485282123088837,0.025746366009116173,1.0014395713806152,-0.005099593661725521
5,1,apply,0,5,256000,-4.402683785430988,0.6672703248119336,51200,-4.438972337838224,0.6469924715297924,237,0.800000011920929,0.8819527626037598,1.0210870504379272,1.0112128257751465,1.2000000476837158,1.2000000476837158,0.001856540096923709,0.06194092705845833,1.0065486431121826,1.0475679636001587,38.710636138916016,0.1602674424648285,0.05006387084722519,0.996330738067627,-0.0002971719950437546
6,1,apply,0,5,256000,-4.407913488298376,0.6676027093869998,51200,-4.405344914031722,0.6421831073962238,267,0.800000011920929,0.8784980773925781,1.0190752744674683,1.0147509574890137,1.19016432762146,1.2000000476837158,0.0015730337472632527,0.04187265783548355,1.0087107419967651,1.0343341827392578,43.5675048828125,0.1733511984348297,0.06918563693761826,0.9753342866897583,0.011249501258134842
7,1,apply,0,5,256000,-4.4066683465541185,0.6617473734579002,51200,-4.370310101924422,0.643735328526558,271,0.800000011920929,0.8840952515602112,1.0274385213851929,1.0199609994888306,1.2000000476837158,1.2000000476837158,0.0008856088388711214,0.06878228485584259,1.0126479864120483,1.044972538948059,36.14440155029297,0.12194639444351196,0.03299662098288536,1.00142502784729,0.00218640873208642
8,1,apply,0,5,256000,-4.400616754136588,0.6482621913848781,51200,-4.349499489570386,0.6201423821062719,207,0.800000011920929,0.8879480957984924,1.031843900680542,1.0274391174316406,1.2000000476837158,1.2000000476837158,0.0010628019226714969,0.06531400978565216,1.0182191133499146,1.0652244091033936,34.43781280517578,0.13443896174430847,0.04299492388963699,0.9870966672897339,0.0004841263871639967
9,1,apply,0,5,256000,-4.394149669891919,0.6380334253165733,51200,-4.313436158445559,0.6461624877668352,242,0.800000011920929,0.8863207101821899,1.029584288597107,1.0241169929504395,1.2000000476837158,1.2000000476837158,0.001818181830458343,0.058595042675733566,1.0083822011947632,1.0577178001403809,33.053646087646484,0.1001027524471283,0.024813450872898102,1.0026936531066895,0.006909411400556564
10,1,apply,0,5,256000,-4.375512600362063,0.641400100919769,51200,-4.367098875652602,0.614911117784121,179,0.800000011920929,0.8833742141723633,1.0239624977111816,1.019010066986084,1.1993598937988281,1.2000000476837158,0.0014525139704346657,0.04983240365982056,1.0139789581298828,1.0545936822891235,28.825210571289062,0.1394413858652115,0.03310449421405792,1.0069959163665771,-0.003306356957182288
11,1,apply,0,5,256000,-4.361137907924938,0.6342708199858146,51200,-4.266903939081759,0.6167220196649813,318,0.800000011920929,0.8869907855987549,1.0269073247909546,1.0216505527496338,1.2000000476837158,1.2000000476837158,0.0018867924809455872,0.05937106907367706,1.015024185180664,1.046514630317688,36.77634811401367,0.1148730218410492,0.023626577109098434,0.9998022317886353,-0.0028553511947393417
12,1,apply,0,5,256000,-4.333449712934946,0.6296883153319526,51200,-4.253688659004613,0.642464321117336,245,0.800000011920929,0.8915958404541016,1.0309562683105469,1.0206685066223145,1.2000000476837158,1.2000000476837158,0.0011428571306169033,0.07975510507822037,1.0164003372192383,1.0482414960861206,41.789459228515625,0.1399136781692505,0.04181370139122009,0.9939732551574707,0.0032366616651415825
13,1,apply,0,5,256000,-4.310125424350983,0.6297912556238694,51200,-4.284102741370493,0.614064655640882,318,0.800000011920929,0.8921246528625488,1.029655933380127,1.023522973060608,1.2000000476837158,1.2000000476837158,0.0006918238941580057,0.06188679113984108,1.0131529569625854,1.0568861961364746,38.99467468261719,0.12709033489227295,0.051055002957582474,0.9829282760620117,0.00851428136229515
14,1,apply,0,5,256000,-4.297046074711004,0.6283240360843979,51200,-4.240858523954777,0.6013219031068016,212,0.800000011920929,0.8935913443565369,1.0240449905395508,1.021371603012085,1.1749505996704102,1.2000000476837158,0.0012264150427654386,0.03490566089749336,1.0124775171279907,1.0431315898895264,35.4559211730957,0.1356319785118103,0.043378084897994995,0.9882497787475586,0.0036850108299404383
15,1,apply,0,5,256000,-4.282530547812849,0.6196535234427931,51200,-4.240588770336693,0.5956300271372754,212,0.800000011920929,0.8875975012779236,1.027763843536377,1.0206201076507568,1.2000000476837158,1.2000000476837158,0.0005660377210006118,0.062264151871204376,1.0160554647445679,1.0470826625823975,31.225360870361328,0.08439406007528305,0.030998654663562775,0.9909411668777466,-0.0026033297181129456
16,1,apply,0,5,256000,-4.2572285267496675,0.6144783545908182,51200,-4.201336686136603,0.6125915968918101,209,0.800000011920929,0.8841019868850708,1.0195096731185913,1.010610818862915,1.2000000476837158,1.2000000476837158,0.0017224880866706371,0.061339713633060455,1.0076088905334473,1.0441863536834717,31.449081420898438,0.1282101571559906,0.03577033057808876,1.004101037979126,3.396160900592804e-05
17,1,apply,0,5,256000,-4.244115076160636,0.6140050696301455,51200,-4.248392500426004,0.5703670958047534,103,0.800000011920929,0.8874759078025818,1.009975790977478,1.004992127418518,1.1585067510604858,1.2000000476837158,0.0005825242842547596,0.021747572347521782,1.007835030555725,1.015709638595581,24.328189849853516,0.15042376518249512,0.0332515574991703,1.0013318061828613,0.0011895393254235387
18,1,apply,0,5,256000,-4.243055844444914,0.599581584229587,51200,-4.221263844241429,0.5514250946234612,156,0.800000011920929,0.8872225880622864,1.018710970878601,1.0110052824020386,1.188962697982788,1.2000000476837158,0.0017948717577382922,0.04307692125439644,1.0127336978912354,1.0321599245071411,43.25094985961914,0.1470104455947876,0.03986813873052597,1.0090855360031128,0.01012159138917923
19,1,apply,0,5,256000,-4.230488065019101,0.5869386531038232,51200,-4.257719263998618,0.5532910487783304,106,0.800000011920929,0.8899298906326294,1.033010721206665,1.0281715393066406,1.2000000476837158,1.2000000476837158,0.0011320754420012236,0.06754717230796814,1.0119725465774536,1.0677237510681152,30.945920944213867,0.14749369025230408,0.05073539912700653,0.9984196424484253,0.007063473109155893
20,1,apply,0,5,256000,-4.23386021302787,0.5775127705786646,51200,-4.17564499669157,0.574469779911221,235,0.800000011920929,0.8817235231399536,1.0258522033691406,1.0156102180480957,1.2000000476837158,1.2000000476837158,0.0020425531547516584,0.08306383341550827,1.0100257396697998,1.0589627027511597,39.592750549316406,0.11342193186283112,0.035336706787347794,0.9997588396072388,0.008108170703053474
21,1,apply,0,5,256000,-4.220871458298845,0.5736454652297891,51200,-4.231868487690288,0.5315743646010084,153,0.800000011920929,0.8734208345413208,1.0066875219345093,0.9994946718215942,1.1766037940979004,1.2000000476837158,0.0019607844296842813,0.03607843071222305,1.000321388244629,1.0273774862289429,31.48641586303711,0.1420125961303711,0.06444709748029709,0.9846985340118408,0.00017199301510117948
22,1,apply,0,5,256000,-4.226977818609582,0.557171666286571,51200,-4.169848702003832,0.53773590385743,211,0.800000011920929,0.8889980316162109,1.0201712846755981,1.0142372846603394,1.1800644397735596,1.2000000476837158,0.001706161187030375,0.0379146933555603,1.0110361576080322,1.0363984107971191,38.41162872314453,0.17221301794052124,0.04887659102678299,0.9909763932228088,0.004834630060940981
