global_step,runner_step,signal_mode,warmup,rank_count,valid_queries,history_steps,history_queries,weight_min,weight_max,weight_mean,weight_below_one_fraction,weight_above_one_fraction,z_low_clip_fraction,z_high_clip_fraction,weight_p05,weight_p50,weight_p95,residual_p05,residual_p50,residual_p95,positive_adv_weight_mean,negative_adv_weight_mean,current_mean,current_std,history_mean,history_std,position_center_median,position_scale_median,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss
11,10,per_h_robust_residual,0,2,446,5,5120,0.0,2.0,1.192529883085345,0.359596401987589,0.6404035682100886,0.002286995489112664,0.07704035809155,0.44704844057559967,1.193554937839508,2.0,-1.105903148651123,0.38710992038249964,2.0,1.1148138642311096,1.3622309565544128,-4.325256098245736,0.6448419809735073,-4.356072478069225,0.6424242173937074,-4.437070846557617,0.6094484329223633,43.22257614135742,0.1130991876125335,0.0139033831655979,1.0141358375549316,-0.0008391420124098
12,11,per_h_robust_residual,0,2,399,5,5120,0.0,2.0,1.2123924233859642,0.33679198680963723,0.6632080252905538,0.0019548872373717496,0.07398496167664236,0.46561475098133087,1.2135125398635864,2.0,-1.0687705278396606,0.42702504992485046,2.0,1.1450416445732117,1.323371410369873,-4.239774610874011,0.6490082674142091,-4.341697254245402,0.6377812789595432,-4.416123390197754,0.5981867909431458,39.98017883300781,0.154057577252388,0.0504988729953765,0.9915671348571776,0.0011475635692477
13,12,per_h_robust_residual,0,2,507,5,5120,0.0,2.0,1.2217381393180562,0.33826430479920594,0.6617357250031165,0.0017751479191664761,0.08311637277904103,0.48564860224723816,1.201174557209015,2.0,-1.0287027955055237,0.40234917402267456,2.0,1.148863136768341,1.3335469365119934,-4.224119227353949,0.625276743075929,-4.317047930235043,0.6397479976468636,-4.389387130737305,0.5906336307525635,47.99252700805664,0.1368238478899002,0.0396112203598022,1.0126936435699463,0.0160389617085456
14,13,per_h_robust_residual,0,2,375,5,5120,0.0,2.0,1.197719065030416,0.35109332966804496,0.6489066535631816,0.0020800000627835087,0.07173333159089086,0.4705609679222107,1.1919819116592407,2.0,-1.0588780343532562,0.3839637041091919,2.0,1.1071707606315613,1.3275054693222046,-4.247876641501207,0.6244303715134151,-4.290238712628139,0.6353366827220187,-4.363786697387695,0.5854318141937256,37.79215621948242,0.128679409623146,0.0445533022284507,0.9848468899726868,0.0020573099609464
15,14,per_h_robust_residual,0,2,491,5,5120,0.0,2.0,1.1753556031559247,0.3687983739157558,0.6312016260842441,0.0023625254177710013,0.05645621222749257,0.44709317386150355,1.1598105430603027,1.980977177619934,-1.1058136820793152,0.3196210563182831,1.9619543552398682,1.108279287815094,1.3406814336776733,-4.2289042369113305,0.6061026768996418,-4.274708525027381,0.634246430728968,-4.355270385742188,0.5791820287704468,41.272727966308594,0.0928337797522544,0.0267613418400287,0.9964718818664552,0.0027283616364002
16,15,per_h_robust_residual,0,2,364,5,5120,0.0,2.0,1.2188914257746477,0.3250549581352171,0.6749450716671053,0.000989010959309043,0.06884615429277927,0.5096938908100128,1.2178735733032227,2.0,-0.9806122183799745,0.43574726581573486,2.0,1.1524019837379456,1.3750293850898743,-4.216614964160836,0.5912652395458887,-4.253186162977246,0.6312074612741048,-4.339297294616699,0.5734645128250122,42.21490859985352,0.1297489255666732,0.0342769958078861,1.0014599561691284,0.0064591183327138
17,16,per_h_robust_residual,0,2,335,5,5120,0.0,2.0,1.1546477862258455,0.3878208974404121,0.6121791323619102,0.0025074627135754832,0.05510447744780505,0.4524555206298828,1.1348658204078674,1.976315677165985,-1.0950889587402344,0.26973162591457367,1.9526313543319702,1.12423974275589,1.240625023841858,-4.152755493783625,0.6150744875093622,-4.231457936160266,0.6196241597484885,-4.319455623626709,0.5673768520355225,36.94467926025391,0.1400441378355026,0.0200676433742046,1.0164506435394287,0.0004528517310973
18,17,per_h_robust_residual,0,2,210,5,5120,0.0,2.0,1.2197684469677152,0.3412381013234456,0.6587619094621567,0.0020000000240369504,0.0904761929597173,0.48434945940971375,1.1880675554275513,2.0,-1.031301110982895,0.3761352896690368,2.0,1.1623908281326294,1.3322356343269348,-4.187375418851152,0.549433340564872,-4.214054112742189,0.6134143514367705,-4.305070877075195,0.5572224259376526,29.855876922607425,0.1668759286403656,0.0223932787775993,1.0123512744903564,-0.0028875800780951
19,18,per_h_robust_residual,0,2,187,5,5120,0.0,2.0,1.189250756075038,0.3818181785032711,0.6181818046034339,0.002352941189867604,0.08374331485141404,0.45614099502563477,1.1504496932029724,2.0,-1.0877179503440857,0.3008992671966553,2.0,1.1115336418151855,1.3031248450279236,-4.17411353475647,0.5120125731576227,-4.20670535104163,0.5987707821392986,-4.292763710021973,0.538738489151001,31.056324005126957,0.1925138682126999,0.0388350039720535,1.00276780128479,-0.0009218733175657
20,19,per_h_robust_residual,0,2,208,5,5120,0.0,2.0,1.2054885029792786,0.3399999886751175,0.6600000113248825,0.0030769230215810005,0.07528846431523555,0.4221452176570892,1.1476514339447021,1.9598826169967651,-1.1557095646858215,0.2953029386699199,1.919765293598175,1.1133129596710205,1.280257761478424,-4.202319810236804,0.5212386489513486,-4.191952729692683,0.5767416728603809,-4.277201652526856,0.5201542377471924,29.74090003967285,0.2255626767873764,0.0578705519437789,0.9684165716171264,0.0007180622196756
21,20,per_h_robust_residual,0,2,211,5,5120,0.0,2.0,1.2081468941476106,0.36142179539418334,0.6385781748034943,0.0034123221787477785,0.09563981077823588,0.46006518602371216,1.218554973602295,2.0,-1.0798696279525757,0.43710993230342865,2.0,1.1874618530273438,1.3232057690620422,-4.1538221046549735,0.547050449088824,-4.186635844357777,0.5596578912888877,-4.266211032867432,0.5075758099555969,31.39238548278809,0.1764255315065384,0.0179543495178222,1.0052847862243652,0.0015770448371767
22,21,per_h_robust_residual,0,2,330,5,5120,0.0,2.0,1.1501991488716818,0.3947878712957555,0.6052121287042445,0.005333333420143831,0.0706060593778436,0.3847651034593582,1.132890224456787,2.0,-1.230469822883606,0.2657803297042846,2.0,1.1203629970550537,1.2524483799934387,-4.144419088815339,0.5276487640413451,-4.174077272456605,0.5504804795832018,-4.256653785705566,0.4968691766262054,52.14409637451172,0.1334467530250549,0.0340984798967838,1.011648416519165,0.0026466972194612
23,22,per_h_robust_residual,0,2,158,5,5120,0.0,2.0,1.1955297159243234,0.35746836209598976,0.6425316379040102,0.004303797472362584,0.07924050658564022,0.394510805606842,1.18956059217453,2.0,-1.210978388786316,0.3791211247444153,2.0,1.135719120502472,1.3107479214668274,-4.128985334245954,0.5243697075933651,-4.172409991462948,0.532099892031898,-4.252970218658447,0.4859262704849243,33.303367614746094,0.1813926100730896,0.0382563844323158,1.023806095123291,0.0027522570453584
24,23,per_h_robust_residual,0,2,260,5,5120,0.0,2.0,1.143114552131066,0.3996923061517568,0.6003076938482431,0.0065384613636594304,0.0646923097280355,0.35282957553863525,1.144918143749237,2.0,-1.2943408489227295,0.2898363098502159,2.0,1.13041090965271,1.1875863671302795,-4.104554694442777,0.5474819056856697,-4.160731974541908,0.5272035520480758,-4.245480060577393,0.4848954081535339,41.02134323120117,0.1304191499948501,0.0469841137528419,0.9944690465927124,0.0053606717847287
25,24,per_h_robust_residual,0,2,253,5,5120,0.0,2.0,1.1651263783571748,0.38276678924504004,0.6172331809526376,0.0034782608746451215,0.06592885528510731,0.441903680562973,1.1372320652008057,2.0,-1.1161925792694092,0.2744641751050949,2.0,1.1358423829078674,1.2802169919013977,-4.117485581168439,0.4906911710399829,-4.14682020647917,0.5346600083482366,-4.231645584106445,0.4869731664657593,36.424346923828125,0.154667779803276,0.0358799807727336,1.009718418121338,0.0002160971343982
26,25,per_h_robust_residual,0,2,257,5,5120,0.0,2.0,1.1921813529753036,0.36552529541434947,0.6344747160659227,0.002334630307976959,0.06824902784267751,0.461746871471405,1.1898803114891052,2.0,-1.0765063166618347,0.379760667681694,2.0,1.1498426795005798,1.3130406141281128,-4.076398073718883,0.4864355167214441,-4.129853360665496,0.5281544591785906,-4.217217445373535,0.4689838886260986,39.36712646484375,0.146004319190979,0.040451243519783,1.0095733404159546,0.0079101882874965
27,26,per_h_robust_residual,0,2,361,5,5120,0.0,2.0,1.2144537946193832,0.34227146542633663,0.6577285303633629,0.0027700831766634595,0.08548476507789209,0.46062900125980377,1.1952612400054932,2.0,-1.07874196767807,0.39052239060401917,2.0,1.1671059131622314,1.3426108956336975,-4.060613384273601,0.5155867511421545,-4.114368554478278,0.5163671276779287,-4.199211597442627,0.4609317183494568,39.01646423339844,0.1485164761543274,0.0362776257097721,1.0023691654205322,0.0011229345109313
28,27,per_h_robust_residual,0,2,264,5,5120,0.0,2.0,1.178270936012268,0.3761363625526428,0.6238636374473572,0.0049242423847317,0.07909090816974634,0.39966048300266266,1.1580307483673096,2.0,-1.2006790041923523,0.31606148183345795,2.0,1.1326878070831299,1.258041262626648,-4.049155971766449,0.5015305187886895,-4.097607413569931,0.5140376322756527,-4.1803083419799805,0.4513073563575744,36.56940460205078,0.1812768578529358,0.0112963123247027,1.0341274738311768,0.0016720832791179
