source_kind,run_id,policy,checkpoint,task,cohort_id,group_id,episode_key,episode_id,reset_id,source_seed,success,first_success_action_slot,first_success_query,query_key,query_idx,success_before,success_after,h,action_slot,video_frame_index,terminal_success_action,terminal_success_video_frame,video_path,L,V,y_ln,b_position,mad_scale,r_raw,R_std,mu,P_h,S_raw,I_raw,S_std,I_std,query_state_phase,phase_coarse,phase_task,phase_source,phase_confidence,alignment_contract
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,11,11,11,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.0006196266622282565,-7.386393417377381,-8.2757920497416,0.6707900135560285,0.8893986323642196,1.3258972471120898,-8.572152748683287,0.2963606989416867,0.29521592382538453,0.594182708538835,0.4654062450119021,0.8604910021001877,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,12,12,12,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.0004547545104287565,-7.695752819936293,-8.510594297497367,0.8232702834239028,0.8148414775610737,0.9897617999428152,-8.572152748683287,0.061558451185920404,0.29521592382538453,0.5196255537356892,0.4654062450119021,0.5243555549309131,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,13,13,13,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.0004570439050439745,-7.690731097190454,-8.449518106639367,0.7810934744047886,0.7587870094489126,0.9714420031829429,-8.572152748683287,0.12263464204391994,0.29521592382538453,0.4635710856235281,0.4654062450119021,0.5060357581710409,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,14,14,14,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.0005225539789535105,-7.556782268545703,-8.207164212935789,0.880263845495177,0.6503819443900856,0.738848866414847,-8.572152748683287,0.36498853574749823,0.29521592382538453,0.35516602056470103,0.4654062450119021,0.27344262140294495,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,15,15,15,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.0006326759466901422,-7.365552197880738,-8.325599756594789,0.6352930087678661,0.9600475587140513,1.5111886097661267,-8.572152748683287,0.2465529920884979,0.29521592382538453,0.6648316348886668,0.4654062450119021,1.0457823647542246,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,16,16,16,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.0005475447978824377,-7.5100662751782465,-8.596215443576755,0.7533700563386424,1.0861491683985083,1.4417206514381036,-8.572152748683287,-0.024062694893467906,0.29521592382538453,0.7909332445731238,0.4654062450119021,0.9763144064262015,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,17,17,17,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.00047873062430880964,-7.644372487617181,-8.678245166438963,0.5949075173039787,1.0338726788217816,1.7378712635992892,-8.572152748683287,-0.10609241775567568,0.29521592382538453,0.738656754996397,0.4654062450119021,1.2724650185873871,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,18,18,18,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.0003882705932483077,-7.853808053560388,-8.715501027294875,0.4343630146354882,0.8616929737344874,1.9838083462460747,-8.572152748683287,-0.1433482786115885,0.29521592382538453,0.5664770499091029,0.4654062450119021,1.5184021012341726,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,19,19,19,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.0002624897169880569,-8.24529864626905,-8.723323171565923,0.47543637238715153,0.4780245252968722,1.0054437419180313,-8.572152748683287,-0.15117042288263605,0.29521592382538453,0.1828086014714877,0.4654062450119021,0.5400374969061292,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
fastwam,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2,fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_reset0,1,0,,True,118,4.0,fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2::episode0001_query0000,0,False,False,20,20,20,False,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-adjust_bottle-p1-16ep-c63dc9b5-v2/adjust_bottle/episode0_randomized-false_success-true.mp4,3,0.0002620035666041076,-8.247152437486314,-8.739531862635467,0.582841545408012,0.4923794251491529,0.8447912284709695,-8.572152748683287,-0.16737911395217964,0.29521592382538453,0.19716350132376836,0.4654062450119021,0.37938498345906746,UNLABELED,UNLABELED,UNLABELED,,,fresh pre-action frame; h<executed_length and h<24
