timestamp,wrapper_alive,host_mem_available_kib,swap_free_kib,mem_psi_some_avg10,gpu6_used_mib,gpu6_util_pct,gpu6_temp_c,env_open_fds,env_rss_kib,actor_rss_kib,rollout_rss_kib
2026-09-06T08:28:07.642209+00:00,1,1744872252,3368948,0.00,11,0,33,,,,
2026-09-06T08:28:12.780128+00:00,1,1744385984,3368964,0.00,11,0,33,,,,
2026-09-06T08:28:17.934329+00:00,1,1743983412,3369080,0.00,11,0,33,,,,
2026-09-06T08:28:23.076776+00:00,1,1739683540,3369340,0.00,11,0,33,,,,
2026-09-06T08:28:28.213733+00:00,1,1738657620,3369496,0.00,533,0,34,90,1036704,,1492008
2026-09-06T08:28:33.377781+00:00,1,1734835764,3370048,0.00,1148,0,34,210,1617332,,1717728
2026-09-06T08:28:38.545604+00:00,1,1731321428,3370396,0.00,1152,0,35,203,1777060,,3349860
2026-09-06T08:28:43.670447+00:00,1,1726370340,3370492,0.00,1202,0,35,229,1974368,,7465488
2026-09-06T08:28:48.846375+00:00,1,1719124340,3370520,0.00,1152,0,35,211,1790136,,12815864
2026-09-06T08:28:53.979500+00:00,1,1713832164,3370532,0.00,1202,7,35,222,1976916,,13161196
2026-09-06T08:28:59.129331+00:00,1,1706590776,3370560,0.00,1184,0,35,212,1894276,,15218388
2026-09-06T08:29:04.265443+00:00,1,1705800464,3370572,0.00,1202,0,35,229,1981440,,15862684
2026-09-06T08:29:09.392295+00:00,1,1708489020,3370572,0.00,1202,0,36,229,1981328,,10860436
2026-09-06T08:29:14.546080+00:00,1,1714987148,3370572,0.00,8849,8,36,211,1805412,,4709632
2026-09-06T08:29:19.702492+00:00,1,1715600504,3370572,0.00,1679,0,36,211,1805412,,9498128
2026-09-06T08:29:24.882163+00:00,1,1721234312,3370576,0.00,1674,0,36,172,1781192,,9498128
2026-09-06T08:29:30.017180+00:00,1,1716706904,3370588,0.00,1674,0,36,202,1786596,,9498136
2026-09-06T08:29:35.234736+00:00,1,1716244636,3370644,0.00,1674,0,36,183,1782532,,9498136
2026-09-06T08:29:40.389871+00:00,1,1716732672,3370660,0.00,1674,0,36,184,1782556,,9498136
2026-09-06T08:29:45.556083+00:00,1,1716687396,3370704,0.00,1674,0,36,183,1782600,,9498136
2026-09-06T08:29:50.708976+00:00,1,1716285840,3370704,0.00,1674,0,36,211,1796580,,9498136
2026-09-06T08:29:55.882568+00:00,1,1716559020,3370708,0.00,1716,0,36,230,1982412,,9498136
2026-09-06T08:30:01.039984+00:00,1,1716575352,3370708,0.00,1674,0,36,211,1796676,,9498136
2026-09-06T08:30:06.233898+00:00,1,1716659852,3370708,0.00,1674,0,36,208,1789364,,9498136
2026-09-06T08:30:11.517586+00:00,1,1716559864,3370708,0.00,1724,0,36,227,1982664,,9498136
2026-09-06T08:30:16.639076+00:00,1,1716091596,3370708,0.00,1674,0,36,208,1789436,,9498136
2026-09-06T08:30:21.791178+00:00,1,1716503788,3370708,0.00,1674,0,36,140,1742480,,9498136
2026-09-06T08:30:26.926940+00:00,1,1716165264,3370708,0.00,1674,0,36,140,1742480,1822540,9498136
2026-09-06T08:30:32.043114+00:00,1,1714178196,3370716,0.00,1674,0,36,140,1742496,3464796,9498136
2026-09-06T08:30:37.142295+00:00,1,1711174616,3370772,0.00,1674,0,36,140,1742496,6255908,9498136
2026-09-06T08:30:42.225208+00:00,1,1704789900,3370776,0.00,1674,0,36,140,1742496,11331012,9498136
2026-09-06T08:30:47.320823+00:00,1,1697683756,3370776,0.00,1674,0,36,140,1742496,13274988,9498136
2026-09-06T08:30:52.443703+00:00,1,1692711428,3370776,0.00,1674,0,36,140,1742496,13274996,9498136
2026-09-06T08:30:57.545208+00:00,1,1690423596,3370776,0.00,1674,0,36,140,1742496,14610132,9498136
2026-09-06T08:31:02.665217+00:00,1,1685194436,3370780,0.00,1674,0,36,140,1742496,17005076,9498136
2026-09-06T08:31:07.790705+00:00,1,1690400812,3370780,0.00,1674,0,36,140,1742496,10111932,9498136
2026-09-06T08:31:12.916448+00:00,1,1698821784,3370780,0.00,12972,7,36,140,1742496,4630340,9498136
2026-09-06T08:31:17.998896+00:00,1,1688552764,3370780,0.00,5812,3,36,140,1742496,18700848,9498136
2026-09-06T08:31:23.125580+00:00,1,1674086424,3370788,0.00,19782,11,36,140,1742496,24904972,9513468
2026-09-06T08:31:28.292150+00:00,1,1671616412,3370828,0.00,19688,0,36,292,2213084,24915368,4439092
2026-09-06T08:31:33.405362+00:00,1,1672152076,3371040,0.00,19744,0,36,411,2461012,24916432,4440012
2026-09-06T08:31:38.540620+00:00,1,1670199460,3371336,0.00,20202,2,36,447,3601580,24916556,4440204
2026-09-06T08:31:43.665867+00:00,1,1667787452,3371812,0.00,23544,0,36,455,4194180,24916568,4440784
2026-09-06T08:31:48.793073+00:00,1,1666445024,3373552,0.00,24350,2,37,464,4642896,24916616,4440936
2026-09-06T08:31:53.930522+00:00,1,1664685992,3374064,0.00,24808,0,37,463,5265516,24916716,4441088
2026-09-06T08:31:59.078374+00:00,1,1662974628,3374708,0.00,25414,0,37,471,5740928,24916824,4441308
2026-09-06T08:32:04.246594+00:00,1,1661547752,3375212,0.00,26488,1,37,479,6185236,24916844,4441468
2026-09-06T08:32:09.390302+00:00,1,1659887716,3375852,0.00,26946,0,36,479,6800756,24916872,4441544
2026-09-06T08:32:14.545864+00:00,1,1658263844,3376196,0.00,27552,0,36,487,7312808,24916888,4441544
2026-09-06T08:32:19.701431+00:00,1,1656819648,3376636,0.00,28362,2,37,496,7770652,24916904,4441572
2026-09-06T08:32:24.852416+00:00,1,1655155356,3376656,0.00,28820,0,36,495,8413448,24916904,4441576
2026-09-06T08:32:30.000608+00:00,1,1653528912,3376736,0.00,29430,0,36,503,8912224,24916932,4441596
2026-09-06T08:32:35.212445+00:00,1,1652198192,3376812,0.00,30500,1,36,511,9351836,24916932,4441612
2026-09-06T08:32:40.356875+00:00,1,1650636764,3376868,0.00,30958,1,36,512,10031900,24916932,4441616
2026-09-06T08:32:45.498081+00:00,1,1648537092,3376872,0.00,31564,0,36,519,10451356,24916932,4441620
2026-09-06T08:32:50.643265+00:00,1,1647341032,3376892,0.00,32120,0,37,527,10885880,24916964,4441636
2026-09-06T08:32:55.789266+00:00,1,1646181496,3376912,0.00,32834,0,36,527,11497904,24916996,4441640
2026-09-06T08:33:00.932133+00:00,1,1645090028,3376920,0.00,33194,0,36,535,12002252,24917008,4441676
2026-09-06T08:33:06.070241+00:00,1,1643907384,3376936,0.00,34258,0,36,544,12821456,24917012,4441692
2026-09-06T08:33:11.216563+00:00,1,1642994216,3376940,0.00,34972,0,36,544,13178976,24917012,4441696
2026-09-06T08:33:16.362078+00:00,1,1641513816,3376968,0.00,35588,4,37,551,13815548,24917016,4441704
2026-09-06T08:33:21.517564+00:00,1,1640504844,3376980,0.00,36144,0,37,560,14446540,24917112,4441728
2026-09-06T08:33:26.669621+00:00,1,1639749144,3376992,0.00,36858,0,37,559,14652460,24917112,4441728
2026-09-06T08:33:31.869312+00:00,1,1638342600,3377064,0.00,37536,0,37,567,15423536,24917112,4441732
2026-09-06T08:33:37.012982+00:00,1,1636866576,3377076,0.00,38278,0,37,575,15892160,24917140,4441732
2026-09-06T08:33:42.155858+00:00,1,1636176684,3377088,0.00,38992,1,37,576,16401068,24917140,4441736
2026-09-06T08:33:47.313181+00:00,1,1634990668,3377092,0.00,39806,0,37,583,16991572,24917144,4441736
2026-09-06T08:33:52.469517+00:00,1,1633813740,3377096,0.00,40156,0,37,591,17501228,24917144,4441744
2026-09-06T08:33:57.621791+00:00,1,1632897672,3377116,0.00,41226,0,37,600,17943736,24917148,4441744
2026-09-06T08:34:02.761120+00:00,1,1631711180,3377120,0.00,41940,0,36,599,18536972,24917156,4441744
2026-09-06T08:34:07.911334+00:00,1,1630655520,3377124,0.00,42290,0,36,607,19045760,24917156,4441768
2026-09-06T08:34:13.065386+00:00,1,1629559168,3377124,0.00,43360,0,37,616,19544380,24917156,4441768
2026-09-06T08:34:18.207057+00:00,1,1628623864,3377128,0.00,43818,0,36,615,20143072,24917520,4441768
2026-09-06T08:34:23.362062+00:00,1,1627583996,3377132,0.00,44174,0,36,623,20627952,24917524,4441768
2026-09-06T08:34:28.505946+00:00,1,1626508876,3377132,0.00,45238,1,37,631,21079564,24917524,4441768
2026-09-06T08:34:33.654242+00:00,1,1626192432,3377132,0.00,45696,0,36,632,21683580,24917524,4441768
2026-09-06T08:34:38.799059+00:00,1,1624886336,3377136,0.00,46308,0,36,639,22240312,24917528,4441768
2026-09-06T08:34:43.963525+00:00,1,1625054444,3377172,0.00,47302,26,37,643,22736156,24917528,4441768
2026-09-06T08:34:49.111860+00:00,1,1624311192,3377172,0.00,47830,4,36,648,23361812,24917528,4441768
2026-09-06T08:34:54.258850+00:00,1,1622863816,3377172,0.00,48186,0,36,655,23809564,24917528,4441792
2026-09-06T08:34:59.396378+00:00,1,1622219108,3377172,0.00,49156,0,36,655,24249232,24917528,4441792
2026-09-06T08:35:04.598087+00:00,1,1621281656,3377172,0.00,49506,2,36,664,24867836,24917528,4441792
2026-09-06T08:35:09.757464+00:00,1,1619941848,3377172,0.00,50320,0,36,672,25498792,24917528,4441792
2026-09-06T08:35:14.895158+00:00,1,1619167700,3377172,0.00,50778,0,36,671,25731088,24917528,4441792
2026-09-06T08:35:20.076077+00:00,1,1618076492,3377172,0.00,51384,1,36,679,26443500,24917540,4441792
2026-09-06T08:35:25.218385+00:00,1,1616961764,3377172,0.00,52198,0,36,688,26959560,24917560,4441816
2026-09-06T08:35:30.356860+00:00,1,1615958228,3377172,0.00,52912,3,36,687,27302264,24917560,4441816
2026-09-06T08:35:35.498920+00:00,1,1614515452,3377172,0.00,53268,0,36,695,27871756,24917560,4441828
2026-09-06T08:35:40.641263+00:00,1,1614039256,3377192,0.00,54402,0,36,729,28272980,24917584,4441832
2026-09-06T08:35:45.788579+00:00,1,1613271428,3377204,0.00,61568,98,39,745,28335084,24917584,4711748
2026-09-06T08:35:50.938179+00:00,1,1612213100,3377208,0.00,61568,0,37,745,28368268,24917584,4712020
2026-09-06T08:35:56.084158+00:00,1,1612950880,3377208,0.00,61568,0,37,745,28389028,24917584,4712020
2026-09-06T08:36:01.272516+00:00,1,1612822060,3377208,0.00,61568,0,37,745,28422640,24917588,4712020
2026-09-06T08:36:06.410974+00:00,1,1612890400,3377208,0.00,61568,97,39,745,28448500,24917588,4712020
2026-09-06T08:36:11.552886+00:00,1,1612500580,3377208,0.00,61570,0,39,745,28593400,24917588,4808340
