timestamp,mem_available_kib,gpu6_mem_mib,gpu6_util,gpu7_mem_mib,gpu7_util
2026-09-02T14:31:28+00:00,2069702208,0,0,0,0
2026-09-02T14:31:31+00:00,2069377184,4,0,1,0
2026-09-02T14:31:33+00:00,2069169080,4,0,4,0
2026-09-02T14:31:35+00:00,2068854024,4,0,4,0
2026-09-02T14:31:37+00:00,2065962124,4,0,4,0
2026-09-02T14:31:40+00:00,2064043604,4,0,4,0
2026-09-02T14:31:42+00:00,2063345280,4,0,4,0
2026-09-02T14:31:44+00:00,2062851264,4,0,4,0
2026-09-02T14:31:47+00:00,2057645792,525,0,525,0
2026-09-02T14:31:49+00:00,2052873256,525,0,525,0
2026-09-02T14:31:51+00:00,2047945192,1141,0,1141,0
2026-09-02T14:31:53+00:00,2043301956,1195,0,1191,0
2026-09-02T14:31:55+00:00,2039389696,1195,5,1145,0
2026-09-02T14:31:57+00:00,2034920872,1181,1,1145,1
2026-09-02T14:32:00+00:00,2030377592,1150,0,1195,4
2026-09-02T14:32:02+00:00,2025958868,1145,0,1191,1
2026-09-02T14:32:04+00:00,2021690444,1667,2,1949,0
2026-09-02T14:32:06+00:00,2027464368,3527,2,3785,2
2026-09-02T14:32:08+00:00,2032314300,5377,3,5323,6
2026-09-02T14:32:10+00:00,2037539700,6751,3,7113,2
2026-09-02T14:32:13+00:00,2043449576,8623,2,8967,2
2026-09-02T14:32:15+00:00,2049334276,10539,10,10893,1
2026-09-02T14:32:17+00:00,2048156008,11275,1,11225,1
2026-09-02T14:32:19+00:00,2043457588,11225,0,11275,1
2026-09-02T14:32:21+00:00,2041202080,11225,0,11242,0
2026-09-02T14:32:23+00:00,2036548128,11225,0,11230,0
2026-09-02T14:32:26+00:00,2032336984,11225,0,11225,0
2026-09-02T14:32:28+00:00,2027792448,11245,2,11225,0
2026-09-02T14:32:30+00:00,2023333032,11243,0,11225,0
2026-09-02T14:32:32+00:00,2018755712,11225,0,11267,0
2026-09-02T14:32:34+00:00,2014395248,11225,0,11267,5
2026-09-02T14:32:36+00:00,2009979948,11240,0,11271,1
2026-09-02T14:32:38+00:00,2007231384,11267,0,11225,0
2026-09-02T14:32:41+00:00,2007233784,11267,6,11225,0
2026-09-02T14:32:43+00:00,2006125244,11257,1,13229,1
2026-09-02T14:32:45+00:00,2019395732,13698,2,15165,5
2026-09-02T14:32:47+00:00,2028915652,15869,3,17677,2
2026-09-02T14:32:49+00:00,2040238144,18781,3,20221,3
2026-09-02T14:32:51+00:00,2050711556,21727,2,22063,0
2026-09-02T14:32:54+00:00,2048468364,22063,0,22063,0
2026-09-02T14:32:56+00:00,2049273688,22637,3,23419,0
2026-09-02T14:32:58+00:00,2051095512,23419,0,23419,0
2026-09-02T14:33:00+00:00,2048178736,23631,0,25535,0
2026-09-02T14:33:02+00:00,2039964668,25535,0,25535,0
2026-09-02T14:33:04+00:00,2029765528,25535,0,25535,0
2026-09-02T14:33:06+00:00,2037220308,25535,23,25535,0
2026-09-02T14:33:08+00:00,2042452444,25535,8,25535,9
2026-09-02T14:33:11+00:00,2033522180,25535,8,25535,8
2026-09-02T14:33:13+00:00,2026695808,25535,9,25535,8
2026-09-02T14:33:15+00:00,2017878188,25535,9,25535,8
2026-09-02T14:33:17+00:00,2009432760,25535,9,1667,0
2026-09-02T14:33:19+00:00,2006099908,1667,0,1667,0
2026-09-02T14:33:21+00:00,2002034036,1667,0,1667,0
2026-09-02T14:33:23+00:00,1997742236,1667,0,1667,0
2026-09-02T14:33:25+00:00,1993396548,1667,0,1667,0
2026-09-02T14:33:28+00:00,1989098020,1667,0,1667,0
2026-09-02T14:33:30+00:00,1984776080,1667,0,1667,0
2026-09-02T14:33:32+00:00,1980445756,1667,0,1667,0
2026-09-02T14:33:34+00:00,1976123728,1667,0,1667,0
2026-09-02T14:33:36+00:00,1971780396,1667,0,1667,0
2026-09-02T14:33:38+00:00,1970576752,3005,2,1667,0
2026-09-02T14:33:40+00:00,1976923156,5291,2,3527,1
2026-09-02T14:33:42+00:00,1983147136,7459,2,5345,2
2026-09-02T14:33:45+00:00,1991632588,10305,4,7915,4
2026-09-02T14:33:47+00:00,1995059096,11225,0,10101,2
2026-09-02T14:33:49+00:00,1993778296,11225,0,11225,0
2026-09-02T14:33:51+00:00,1989572188,11225,0,11225,0
2026-09-02T14:33:53+00:00,1985842340,11225,0,11225,0
2026-09-02T14:33:55+00:00,1981543656,11225,0,11225,0
2026-09-02T14:33:57+00:00,1977188852,11225,0,11225,0
2026-09-02T14:33:59+00:00,1972840112,11225,0,11225,0
2026-09-02T14:34:01+00:00,1968571708,11225,0,11225,0
2026-09-02T14:34:04+00:00,1964206832,11225,0,11225,0
2026-09-02T14:34:06+00:00,1959875492,11225,0,11225,0
2026-09-02T14:34:08+00:00,1956774064,11225,0,11225,0
2026-09-02T14:34:10+00:00,1954610744,11225,0,11225,0
2026-09-02T14:34:12+00:00,1958584240,13597,4,11225,0
2026-09-02T14:34:14+00:00,1965155188,16829,3,13229,0
2026-09-02T14:34:16+00:00,1977431576,19981,4,14173,4
2026-09-02T14:34:18+00:00,1987987964,22063,0,17037,2
2026-09-02T14:34:21+00:00,1991502880,22063,0,19885,3
2026-09-02T14:34:23+00:00,1998222340,23419,0,22063,3
2026-09-02T14:34:25+00:00,1997013636,23419,0,22063,0
2026-09-02T14:34:27+00:00,1994719804,25535,0,22979,4
2026-09-02T14:34:29+00:00,1990707600,25535,0,23419,0
2026-09-02T14:34:31+00:00,1984649588,25535,0,23451,0
2026-09-02T14:34:33+00:00,1993320624,30169,1,25535,0
2026-09-02T14:34:35+00:00,1987501616,35635,8,25535,0
2026-09-02T14:34:37+00:00,1978997692,35635,8,25535,0
2026-09-02T14:34:40+00:00,1986750196,1763,0,25627,1
2026-09-02T14:34:42+00:00,1986678928,1763,0,35633,8
2026-09-02T14:34:44+00:00,1982616304,1763,0,35633,7
2026-09-02T14:34:46+00:00,1978518808,1763,0,3787,5
2026-09-02T14:34:48+00:00,1978299572,12893,22,9763,18
2026-09-02T14:34:50+00:00,1984859432,14971,0,14971,100
2026-09-02T14:34:52+00:00,1982999292,14971,11,14971,9
2026-09-02T14:34:54+00:00,1978696916,14971,27,14971,12
2026-09-02T14:34:57+00:00,1970983636,14971,9,14971,8
2026-09-02T14:34:59+00:00,1971756416,5520,9,7054,8
2026-09-02T14:35:01+00:00,1981688804,12935,20,19709,19
2026-09-02T14:35:03+00:00,2000017392,27033,19,27033,2
2026-09-02T14:35:05+00:00,1999244524,27033,0,27033,0
2026-09-02T14:35:07+00:00,1998454908,27675,0,27675,0
2026-09-02T14:35:09+00:00,1998041432,30495,2,30495,4
2026-09-02T14:35:12+00:00,1997387928,30495,0,30495,0
2026-09-02T14:35:14+00:00,1996727616,30949,0,30949,0
2026-09-02T14:35:16+00:00,1996644552,30949,0,30949,0
2026-09-02T14:35:18+00:00,1995603764,31302,0,31302,0
2026-09-02T14:35:20+00:00,1995248020,31302,3,31558,4
2026-09-02T14:35:22+00:00,1995016824,31759,3,31759,0
2026-09-02T14:35:25+00:00,1994573956,32368,2,32368,0
2026-09-02T14:35:27+00:00,1994228940,32368,0,32368,0
2026-09-02T14:35:29+00:00,1993613340,32826,0,32826,2
2026-09-02T14:35:31+00:00,1993331544,32826,0,33186,76
2026-09-02T14:35:33+00:00,1992486284,33442,0,33442,0
2026-09-02T14:35:35+00:00,1992012324,33698,2,33764,0
2026-09-02T14:35:38+00:00,1991773308,33900,0,33900,0
2026-09-02T14:35:40+00:00,1990835484,34506,0,34506,0
2026-09-02T14:35:42+00:00,1990639120,34506,0,34506,0
2026-09-02T14:35:44+00:00,1990166852,34964,0,34964,3
2026-09-02T14:35:46+00:00,1989993704,35060,51,35316,3
2026-09-02T14:35:48+00:00,1989350108,35316,0,35316,0
2026-09-02T14:35:50+00:00,1988470736,35572,3,35774,0
2026-09-02T14:35:53+00:00,1988206668,35774,0,36030,0
2026-09-02T14:35:55+00:00,1987622192,36384,0,36384,0
2026-09-02T14:35:57+00:00,1987498020,36384,0,36384,3
2026-09-02T14:35:59+00:00,1987236384,36842,0,36842,0
2026-09-02T14:36:01+00:00,1986977080,37268,0,37268,0
2026-09-02T14:36:03+00:00,1986796788,37922,33,37922,33
2026-09-02T14:36:06+00:00,1986769324,38002,0,38002,0
2026-09-02T14:36:08+00:00,1986704432,38002,0,38002,0
2026-09-02T14:36:10+00:00,1986708728,38002,0,38002,84
2026-09-02T14:36:12+00:00,1986672060,38002,75,38002,0
2026-09-02T14:36:14+00:00,1986502256,38004,40,38004,33
2026-09-02T14:36:16+00:00,1986449968,38004,0,38004,0
2026-09-02T14:36:19+00:00,1986437184,38004,0,38004,0
2026-09-02T14:36:21+00:00,1986431768,38004,98,38004,98
2026-09-02T14:36:23+00:00,1986399900,38004,43,38004,69
2026-09-02T14:36:25+00:00,1986354056,38004,0,38004,0
2026-09-02T14:36:27+00:00,1986360344,38004,0,38004,0
2026-09-02T14:36:29+00:00,1986366292,38004,96,38004,0
2026-09-02T14:36:31+00:00,1986335248,38004,34,38004,76
2026-09-02T14:36:34+00:00,1986302628,38004,0,38004,34
2026-09-02T14:36:36+00:00,1986268636,38004,23,38004,0
2026-09-02T14:36:38+00:00,1986257388,38004,62,38004,0
2026-09-02T14:36:40+00:00,1986236532,38004,34,38004,76
2026-09-02T14:36:42+00:00,1986179680,38004,0,38004,53
2026-09-02T14:36:44+00:00,1986116216,38004,0,38004,0
2026-09-02T14:36:46+00:00,1986127896,38004,0,38004,0
2026-09-02T14:36:49+00:00,1986114452,38004,79,38004,83
2026-09-02T14:36:51+00:00,1986125108,38004,33,38004,15
2026-09-02T14:36:53+00:00,1986093836,38004,0,38004,34
2026-09-02T14:36:55+00:00,1986060012,38004,0,38004,0
2026-09-02T14:36:57+00:00,1986058432,38004,89,38004,0
2026-09-02T14:36:59+00:00,1986045404,38004,33,38004,95
2026-09-02T14:37:02+00:00,1985992244,38004,0,38004,34
2026-09-02T14:37:04+00:00,1985951492,38004,0,38004,0
2026-09-02T14:37:06+00:00,1985952108,38004,82,38004,0
2026-09-02T14:37:08+00:00,1985961388,38004,0,38004,94
2026-09-02T14:37:10+00:00,1985956012,38004,34,38004,34
2026-09-02T14:37:12+00:00,1985932296,38004,0,38004,0
2026-09-02T14:37:14+00:00,1985921180,38004,0,38004,0
2026-09-02T14:37:17+00:00,1985917380,38004,97,38004,95
2026-09-02T14:37:19+00:00,1985876216,38004,1,38004,34
2026-09-02T14:37:21+00:00,1985629376,36706,0,34282,0
2026-09-02T14:37:23+00:00,1985715772,31074,0,30306,0
2026-09-02T14:37:25+00:00,1984999516,30306,0,30306,0
2026-09-02T14:37:27+00:00,1984910120,30306,1,30764,0
2026-09-02T14:37:30+00:00,1984713388,30764,1,30860,0
2026-09-02T14:37:32+00:00,1984059168,31372,3,31372,0
2026-09-02T14:37:34+00:00,1983582716,31372,0,31830,0
2026-09-02T14:37:36+00:00,1983132888,31830,2,31926,80
2026-09-02T14:37:38+00:00,1982224592,32182,0,32182,0
2026-09-02T14:37:40+00:00,1981757508,32182,2,32640,0
2026-09-02T14:37:42+00:00,1981558056,32640,0,32990,0
2026-09-02T14:37:45+00:00,1980720508,33246,0,33246,0
2026-09-02T14:37:47+00:00,1980517748,33246,0,33704,0
2026-09-02T14:37:49+00:00,1979964176,33704,0,33704,0
2026-09-02T14:37:51+00:00,1979128840,34060,1,34060,0
2026-09-02T14:37:53+00:00,1978588660,34060,0,34638,1
2026-09-02T14:37:55+00:00,1978215748,34774,0,34774,0
2026-09-02T14:37:58+00:00,1977672964,34774,0,35124,0
2026-09-02T14:38:00+00:00,1976843844,35124,0,35380,0
2026-09-02T14:38:02+00:00,1976692696,35380,4,35838,4
2026-09-02T14:38:04+00:00,1976361308,35838,0,35934,0
2026-09-02T14:38:06+00:00,1975624388,35934,0,35934,0
2026-09-02T14:38:08+00:00,1975473544,35934,0,36648,0
2026-09-02T14:38:10+00:00,1974924436,36648,1,37003,86
2026-09-02T14:38:13+00:00,1974525452,37003,80,37003,0
2026-09-02T14:38:15+00:00,1973897356,37003,0,37716,0
2026-09-02T14:38:17+00:00,1973374052,37716,7,37716,0
2026-09-02T14:38:19+00:00,1973335744,37716,9,38069,34
2026-09-02T14:38:21+00:00,1973201924,38069,42,38069,0
2026-09-02T14:38:23+00:00,1973185248,38069,0,38069,0
2026-09-02T14:38:26+00:00,1973173932,38069,47,38069,84
2026-09-02T14:38:28+00:00,1973172060,38069,85,38069,33
2026-09-02T14:38:30+00:00,1973131292,38069,0,38069,0
2026-09-02T14:38:32+00:00,1973120620,38069,0,38069,0
2026-09-02T14:38:34+00:00,1973118812,38069,0,38069,0
2026-09-02T14:38:36+00:00,1973090688,38069,100,38069,32
2026-09-02T14:38:38+00:00,1973067112,38069,0,38069,0
2026-09-02T14:38:41+00:00,1973053772,38069,0,38069,0
2026-09-02T14:38:43+00:00,1973048156,38069,0,38069,79
2026-09-02T14:38:45+00:00,1973021856,38069,93,38069,33
2026-09-02T14:38:47+00:00,1972969136,38069,34,38069,0
2026-09-02T14:38:49+00:00,1972944660,38069,0,38069,29
2026-09-02T14:38:51+00:00,1972944368,38069,95,38069,0
2026-09-02T14:38:53+00:00,1972920272,38069,59,38069,14
2026-09-02T14:38:56+00:00,1972888336,38069,39,38069,0
2026-09-02T14:38:58+00:00,1972879520,38069,0,38069,0
2026-09-02T14:39:00+00:00,1972885340,38069,0,38069,37
2026-09-02T14:39:02+00:00,1972864340,38069,93,38069,4
2026-09-02T14:39:04+00:00,1972834840,38069,80,38069,0
2026-09-02T14:39:06+00:00,1972825128,38069,28,38069,0
2026-09-02T14:39:09+00:00,1972778828,38069,0,38069,0
2026-09-02T14:39:11+00:00,1972779356,38069,0,38069,93
2026-09-02T14:39:13+00:00,1972761056,38069,82,38069,0
2026-09-02T14:39:15+00:00,1972744780,38069,38,38069,0
2026-09-02T14:39:17+00:00,1972737308,38069,0,38069,22
2026-09-02T14:39:19+00:00,1972730816,38069,0,38069,89
2026-09-02T14:39:21+00:00,1972720004,38069,97,38069,33
2026-09-02T14:39:24+00:00,1972719660,38069,86,38069,0
2026-09-02T14:39:26+00:00,1972696836,38069,42,38069,0
2026-09-02T14:39:28+00:00,1972662184,38069,0,38069,100
2026-09-02T14:39:30+00:00,1972651404,38069,0,37773,1
2026-09-02T14:39:32+00:00,1972653460,38069,100,32402,0
2026-09-02T14:39:34+00:00,1972475320,38069,34,30306,0
2026-09-02T14:39:37+00:00,1973648004,35346,0,30306,2
2026-09-02T14:39:39+00:00,1974158080,30306,1,30764,0
2026-09-02T14:39:41+00:00,1973785952,30306,0,31373,0
2026-09-02T14:39:43+00:00,1974193668,30764,0,31373,3
2026-09-02T14:39:45+00:00,1974170752,30860,25,31830,4
2026-09-02T14:39:47+00:00,1973853192,31373,0,32183,0
2026-09-02T14:39:49+00:00,1974141552,31830,0,32183,0
2026-09-02T14:39:52+00:00,1974145380,31830,0,32640,3
2026-09-02T14:39:54+00:00,1973530288,32183,0,32991,5
2026-09-02T14:39:56+00:00,1974109848,32504,3,32991,0
2026-09-02T14:39:58+00:00,1974123844,32897,0,33704,0
2026-09-02T14:40:00+00:00,1973618556,33247,0,34057,5
2026-09-02T14:40:02+00:00,1974148504,33247,3,34057,0
2026-09-02T14:40:05+00:00,1974130332,33704,2,34770,1
2026-09-02T14:40:07+00:00,1973865412,34057,0,34864,66
2026-09-02T14:40:09+00:00,1973948788,34057,0,35121,0
2026-09-02T14:40:11+00:00,1973683564,34770,0,35834,0
2026-09-02T14:40:13+00:00,1973492964,34864,0,35930,87
2026-09-02T14:40:15+00:00,1973206188,35121,0,35930,0
2026-09-02T14:40:18+00:00,1972866500,35916,2,36644,0
2026-09-02T14:40:20+00:00,1972859396,35834,0,36901,3
2026-09-02T14:40:22+00:00,1971879584,35930,0,36999,0
2026-09-02T14:40:24+00:00,1972105644,35930,0,37577,3
2026-09-02T14:40:26+00:00,1972021112,36644,0,37712,0
2026-09-02T14:40:28+00:00,1971772876,36999,0,38069,34
2026-09-02T14:40:31+00:00,1971453008,36999,0,38069,0
2026-09-02T14:40:33+00:00,1971133236,37712,0,38069,0
2026-09-02T14:40:35+00:00,1971083356,37712,0,38069,100
2026-09-02T14:40:37+00:00,1971014400,38069,43,38069,34
2026-09-02T14:40:39+00:00,1971007616,38069,0,38069,0
2026-09-02T14:40:41+00:00,1971006292,38069,69,38069,55
2026-09-02T14:40:43+00:00,1970999216,38069,27,38069,82
