tag,completed_round,value,wall_time,segment
train/dvac_new/weight_max,1,2.0145370960235596,1788882447.4168973,historical_R1_100
train/dvac_new/weight_max,2,2.4250447750091553,1788882717.5017354,historical_R1_100
train/dvac_new/weight_max,3,2.334620475769043,1788882986.2776468,historical_R1_100
train/dvac_new/weight_max,4,2.3467371463775635,1788883250.307414,historical_R1_100
train/dvac_new/weight_max,5,2.2834620475769043,1788883811.1121066,historical_R1_100
train/dvac_new/weight_max,6,2.2663967609405518,1788884082.6710694,historical_R1_100
train/dvac_new/weight_max,7,2.2559316158294678,1788884347.5603163,historical_R1_100
train/dvac_new/weight_max,8,2.247523069381714,1788884620.788359,historical_R1_100
train/dvac_new/weight_max,9,2.2780652046203613,1788884887.4890091,historical_R1_100
train/dvac_new/weight_max,10,2.277919292449951,1788885494.5633376,historical_R1_100
train/dvac_new/weight_max,11,2.306077718734741,1788885753.5278897,historical_R1_100
train/dvac_new/weight_max,12,2.3235840797424316,1788886027.7217402,historical_R1_100
train/dvac_new/weight_max,13,2.2993388175964355,1788886288.4195406,historical_R1_100
train/dvac_new/weight_max,14,2.307197093963623,1788886550.6122532,historical_R1_100
train/dvac_new/weight_max,15,2.311126708984375,1788887136.9549572,historical_R1_100
train/dvac_new/weight_max,16,2.3213179111480713,1788887400.9089246,historical_R1_100
train/dvac_new/weight_max,17,2.32487154006958,1788887666.8394535,historical_R1_100
train/dvac_new/weight_max,18,2.339444637298584,1788887928.5355265,historical_R1_100
train/dvac_new/weight_max,19,2.3476150035858154,1788888198.1146245,historical_R1_100
train/dvac_new/weight_max,20,2.3578569889068604,1788888792.16504,historical_R1_100
train/dvac_new/weight_max,21,2.3581666946411133,1788889052.2339187,historical_R1_100
train/dvac_new/weight_max,22,2.369314432144165,1788889315.1023378,historical_R1_100
train/dvac_new/weight_max,23,2.382988452911377,1788889587.107312,historical_R1_100
train/dvac_new/weight_max,24,2.3849923610687256,1788889850.1405926,historical_R1_100
train/dvac_new/weight_max,25,2.390507936477661,1788890432.138942,historical_R1_100
train/dvac_new/weight_max,26,2.3925623893737793,1788890697.5005636,historical_R1_100
train/dvac_new/weight_max,27,2.3904926776885986,1788890962.0167887,historical_R1_100
train/dvac_new/weight_max,28,2.395214319229126,1788891239.981823,historical_R1_100
train/dvac_new/weight_max,29,2.3896381855010986,1788891503.1929762,historical_R1_100
train/dvac_new/weight_max,30,2.3932111263275146,1788892091.2207375,historical_R1_100
train/dvac_new/weight_max,31,2.394174098968506,1788892352.4860058,historical_R1_100
train/dvac_new/weight_max,32,2.4012365341186523,1788892618.44176,historical_R1_100
train/dvac_new/weight_max,33,2.405980348587036,1788892882.1952155,historical_R1_100
train/dvac_new/weight_max,34,2.4116997718811035,1788893145.47847,historical_R1_100
train/dvac_new/weight_max,35,2.4157040119171143,1788893704.59613,historical_R1_100
train/dvac_new/weight_max,36,2.340444564819336,1788893970.8752515,historical_R1_100
train/dvac_new/weight_max,37,2.363300323486328,1788894241.6613235,historical_R1_100
train/dvac_new/weight_max,38,2.3518757820129395,1788894506.681981,historical_R1_100
train/dvac_new/weight_max,39,2.346452236175537,1788894775.9206238,historical_R1_100
train/dvac_new/weight_max,40,2.359614372253418,1788895371.6635993,historical_R1_100
train/dvac_new/weight_max,41,2.356987714767456,1788895630.5604784,historical_R1_100
train/dvac_new/weight_max,42,2.365523099899292,1788895896.3490725,historical_R1_100
train/dvac_new/weight_max,43,2.3775906562805176,1788896163.63812,historical_R1_100
train/dvac_new/weight_max,44,2.3211112022399902,1788896425.2127564,historical_R1_100
train/dvac_new/weight_max,45,2.3314902782440186,1788897028.6054168,historical_R1_100
train/dvac_new/weight_max,46,2.323812246322632,1788897300.8955548,historical_R1_100
train/dvac_new/weight_max,47,2.3303027153015137,1788897566.4794905,historical_R1_100
train/dvac_new/weight_max,48,2.3334813117980957,1788897831.844827,historical_R1_100
train/dvac_new/weight_max,49,2.348003387451172,1788898094.4844966,historical_R1_100
train/dvac_new/weight_max,50,2.327822208404541,1788898694.322616,historical_R1_100
train/dvac_new/weight_max,51,2.3473830223083496,1788898956.514734,historical_R1_100
train/dvac_new/weight_max,52,2.3429136276245117,1788899222.7669365,historical_R1_100
train/dvac_new/weight_max,53,2.3586795330047607,1788899487.8802834,historical_R1_100
