timestamp,driver_alive,host_mem_available_kib,cgroup_memory_current_bytes,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-22T16:32:08+00:00,1,1571413372,530767130624,54153,0,54989,63,54221,0,53485,88
2026-08-22T16:33:08+00:00,1,1552257884,550319849472,58485,100,59321,100,58533,100,57304,100
2026-08-22T16:34:08+00:00,1,1572001628,530274156544,30727,0,32841,0,31656,0,30664,0
2026-08-22T16:35:09+00:00,1,1565061700,537487818752,33199,0,35313,0,34330,0,33338,0
2026-08-22T16:36:09+00:00,1,1557409032,545272283136,39997,5,40885,0,40927,0,39127,1
2026-08-22T16:37:09+00:00,1,1545304604,557532094464,52875,19,54479,0,53454,0,52462,99
2026-08-22T16:38:09+00:00,1,1545270544,557548224512,52875,95,54479,0,53454,0,52462,0
2026-08-22T16:39:10+00:00,1,1546076136,556534493184,39518,0,42752,0,40098,0,39106,2
2026-08-22T16:40:10+00:00,1,1538770416,564189544448,42099,3,43917,7,42678,0,41758,46
2026-08-22T16:41:10+00:00,1,1525756224,577524031488,44571,0,46389,0,45150,0,44158,0
2026-08-22T16:42:10+00:00,1,1513281780,590385319936,47917,0,48767,60,48039,0,47047,0
2026-08-22T16:43:10+00:00,1,1500855228,603008925696,53131,0,54479,0,53711,0,52462,84
2026-08-22T16:44:10+00:00,1,1500803024,603021950976,53131,99,54479,11,53711,88,52462,98
2026-08-22T16:45:11+00:00,1,1501366128,602329755648,42917,0,48538,0,42700,0,41410,0
2026-08-22T16:46:11+00:00,1,1500922900,602766544896,45591,0,45507,0,45374,2,44084,0
2026-08-22T16:47:11+00:00,1,1501343464,602336124928,48361,2,48479,1,48250,0,46758,2
2026-08-22T16:48:11+00:00,1,1493538900,610500956160,53131,0,51655,1,52089,0,50018,0
2026-08-22T16:49:12+00:00,1,1490350948,613618642944,53131,0,54735,100,53711,80,52719,5
2026-08-22T16:50:12+00:00,1,1490249988,613697703936,49569,0,54735,90,48364,0,52719,0
2026-08-22T16:51:12+00:00,1,1490943728,613045055488,44539,2,44753,0,45416,1,43586,0
2026-08-22T16:52:12+00:00,1,1490138688,613886296064,47535,0,47927,2,48482,3,46558,69
2026-08-22T16:53:12+00:00,1,1470941020,633653977088,50779,2,51195,0,51910,0,49434,0
2026-08-22T16:54:13+00:00,1,1457274448,647609294848,54155,100,55503,0,54735,0,52975,0
2026-08-22T16:55:13+00:00,1,1452654912,652133724160,54155,90,55503,99,42483,0,52975,0
2026-08-22T16:56:13+00:00,1,1439441720,665655640064,41903,0,43251,0,42483,0,52975,9
2026-08-22T16:57:13+00:00,1,1459314020,645473390592,31163,0,31231,0,31540,3,29780,2
2026-08-22T16:58:13+00:00,1,1459300456,645512302592,33933,0,34000,0,34416,0,32656,0
2026-08-22T16:59:14+00:00,1,1459255228,645467947008,34641,0,34709,2,34869,0,33123,0
2026-08-22T17:00:14+00:00,1,1459616280,645042028544,44475,0,50639,0,45055,1,42493,0
2026-08-22T17:01:14+00:00,1,1459457752,645123457024,50315,0,50639,0,50639,0,50414,99
2026-08-22T17:02:14+00:00,1,1459462972,645091459072,33126,2,47967,0,44940,0,50414,0
2026-08-22T17:03:14+00:00,1,1459900400,644896985088,35707,0,35395,0,35437,2,34320,2
2026-08-22T17:04:15+00:00,1,1459902216,644855943168,39957,1,38367,5,38759,1,36994,1
2026-08-22T17:05:15+00:00,1,1459777052,644834660352,48697,22,46297,1,47915,34,42837,1
2026-08-22T17:06:15+00:00,1,1458987012,645658656768,50827,0,52175,0,51407,0,51600,0
2026-08-22T17:07:15+00:00,1,1458927180,645765812224,47561,0,52175,64,51407,99,52207,0
2026-08-22T17:08:15+00:00,1,1459026372,645614780416,39679,0,39935,1,39113,0,44096,1
2026-08-22T17:09:16+00:00,1,1458988776,645699977216,43019,49,43203,88,42179,0,41492,0
2026-08-22T17:10:16+00:00,1,1459519556,645269082112,47239,0,46471,0,45447,0,44462,0
2026-08-22T17:11:16+00:00,1,1453439360,651517960192,51595,95,53455,0,52687,0,48971,1
2026-08-22T17:12:16+00:00,1,1450479536,654520348672,51595,0,53455,95,52687,99,52463,83
2026-08-22T17:13:16+00:00,1,1450372184,654671863808,42157,0,42429,47,42441,0,52463,0
2026-08-22T17:14:17+00:00,1,1450607236,654513119232,45223,0,45627,0,45709,0,41918,2
2026-08-22T17:15:17+00:00,1,1447274612,658055991296,48491,0,48989,5,48977,0,44890,0
2026-08-22T17:16:17+00:00,1,1438239248,667237539840,52875,0,54735,0,53711,75,47860,0
2026-08-22T17:17:17+00:00,1,1432208648,673502490624,52875,42,54735,0,53711,72,51613,2
2026-08-22T17:18:17+00:00,1,1414556032,691480555520,40623,0,42483,0,41459,0,53487,39
2026-08-22T17:19:18+00:00,1,1414565360,691516993536,40623,0,42483,0,41459,0,53487,0
2026-08-22T17:20:18+00:00,1,1430468244,675249819648,31602,0,33462,0,32438,0,31958,0
2026-08-22T17:21:18+00:00,1,1430005144,675796226048,32359,0,34219,1,33451,0,32418,0
2026-08-22T17:22:18+00:00,1,1429044204,676697657344,37419,0,39441,2,38511,0,36669,2
2026-08-22T17:23:18+00:00,1,1421186980,684774170624,46321,0,47627,0,47871,0,44761,2
2026-08-22T17:24:19+00:00,1,1420686512,685144457216,52619,0,54735,0,53455,0,53231,37
2026-08-22T17:25:19+00:00,1,1420823844,684887564288,40636,0,53549,1,42876,0,52045,1
2026-08-22T17:26:19+00:00,1,1421033600,684699066368,41809,3,42779,0,42389,0,41530,0
2026-08-22T17:27:19+00:00,1,1417703888,688297181184,44281,0,45251,0,45087,3,44002,0
2026-08-22T17:28:19+00:00,1,1408525896,697682440192,48573,2,48519,0,50451,59,46972,0
2026-08-22T17:29:20+00:00,1,1399962864,706276564992,52619,100,54735,0,53711,28,53231,97
2026-08-22T17:30:20+00:00,1,1400020036,706275778560,52619,96,54735,96,49850,0,53231,0
2026-08-22T17:31:20+00:00,1,1400124608,706047549440,42765,0,51173,0,43939,1,43848,0
2026-08-22T17:32:20+00:00,1,1399434708,706836520960,45439,0,45421,0,46613,2,44564,0
2026-08-22T17:33:20+00:00,1,1381252220,725440389120,48707,2,48487,0,49785,0,47534,0
2026-08-22T17:34:20+00:00,1,1370738976,736248860672,53387,0,51457,2,53711,0,50410,0
2026-08-22T17:35:21+00:00,1,1369705832,737244475392,53387,84,54735,0,53711,98,53999,100
2026-08-22T17:36:21+00:00,1,1369972480,736863883264,43665,0,54735,0,44031,0,53999,84
2026-08-22T17:37:21+00:00,1,1370485544,736397815808,46339,1,45351,0,47001,1,44020,1
2026-08-22T17:38:21+00:00,1,1361899536,745267470336,49607,0,48619,2,50471,1,46992,0
2026-08-22T17:39:22+00:00,1,1352454600,754874212352,54667,0,52089,0,53711,28,49866,0
2026-08-22T17:40:22+00:00,1,1352530480,754858336256,54667,94,54991,94,53711,90,53565,0
2026-08-22T17:41:22+00:00,1,1342362592,765286735872,42415,0,54991,83,40690,0,55279,0
2026-08-22T17:42:22+00:00,1,1337368296,770415554560,42415,0,42739,0,40690,0,55279,17
2026-08-22T17:43:22+00:00,1,1355012740,752495382528,33394,1,33206,0,32224,0,34817,0
2026-08-22T17:44:23+00:00,1,1355886100,751715594240,33855,0,33667,2,32291,2,34627,0
2026-08-22T17:45:23+00:00,1,1355707920,751721840640,38659,0,38929,0,36125,0,37949,83
2026-08-22T17:46:23+00:00,1,1355511532,751722823680,47559,0,47829,0,45025,1,45689,0
2026-08-22T17:47:23+00:00,1,1354877084,752201748480,54667,97,54223,99,52687,43,54767,0
2026-08-22T17:48:23+00:00,1,1354975632,752105476096,53481,0,50661,0,50907,1,54767,46
2026-08-22T17:49:23+00:00,1,1355782344,751511506944,42805,0,43075,0,40825,0,42823,0
2026-08-22T17:50:24+00:00,1,1355228736,752143433728,45979,0,46141,0,43999,0,45699,5
2026-08-22T17:51:24+00:00,1,1347096392,760677634048,50621,1,50891,0,48827,0,48671,1
2026-08-22T17:52:24+00:00,1,1339140452,768838135808,54667,0,54479,0,52943,0,54673,0
2026-08-22T17:53:24+00:00,1,1338632852,769233420288,54667,92,54479,0,52713,0,54767,19
2026-08-22T17:54:24+00:00,1,1339148820,768715845632,43963,0,44369,0,43035,0,50611,0
2026-08-22T17:55:24+00:00,1,1338281536,769655332864,47433,6,47636,0,46303,2,46059,0
2026-08-22T17:56:25+00:00,1,1338815076,769161154560,50701,0,50905,0,49571,2,49031,0
2026-08-22T17:57:25+00:00,1,1336212580,771732934656,54667,82,54479,0,53199,90,51705,0
2026-08-22T17:58:25+00:00,1,1334807536,773124485120,54667,0,54479,49,53199,46,54767,30
2026-08-22T17:59:25+00:00,1,1335067648,772918509568,44635,0,44661,0,44071,0,54767,96
2026-08-22T18:00:26+00:00,1,1335057252,772940140544,47903,0,48025,0,47339,0,44991,0
2026-08-22T18:01:26+00:00,1,1334566284,773442433024,50969,0,51293,0,50537,1,47963,5
2026-08-22T18:02:26+00:00,1,1333768332,774241079296,54667,69,54479,0,54223,67,50731,0
2026-08-22T18:03:26+00:00,1,1333725848,774314799104,54667,41,54479,0,54223,89,54077,1
2026-08-22T18:04:26+00:00,1,1318280812,790061264896,42415,0,40946,0,41971,0,55791,0
2026-08-22T18:05:26+00:00,1,1314174376,794280239104,42415,0,40946,0,41971,0,55791,10
2026-08-22T18:06:27+00:00,1,1335359312,772567273472,31476,1,30008,1,31491,0,32601,0
2026-08-22T18:07:27+00:00,1,1335094936,772923117568,34353,2,32683,0,34212,40,35275,1
2026-08-22T18:08:27+00:00,1,1335533848,772496715776,39925,1,37999,1,39833,0,39015,2
2026-08-22T18:09:27+00:00,1,1328924044,779092590592,48827,0,46573,2,53967,0,46755,0
2026-08-22T18:10:27+00:00,1,1328752908,779181432832,54667,0,52943,18,53967,30,55023,0
2026-08-22T18:11:28+00:00,1,1328843328,779042643968,44344,0,48990,0,43942,0,55023,0
2026-08-22T18:12:28+00:00,1,1328858296,779242967040,44249,1,41675,0,43199,3,43633,0
2026-08-22T18:13:28+00:00,1,1328883228,779253739520,47423,0,44849,0,46265,0,46603,0
2026-08-22T18:14:28+00:00,1,1325345480,782971596800,53507,0,50421,0,52605,0,49575,0
2026-08-22T18:15:28+00:00,1,1324367344,783846187008,54667,97,53199,0,54223,77,55023,0
2026-08-22T18:16:29+00:00,1,1324250112,783833853952,52293,1,53199,97,47986,1,55023,0
2026-08-22T18:17:29+00:00,1,1324535464,783632117760,45407,0,43291,0,45229,0,46451,0
2026-08-22T18:18:29+00:00,1,1323505504,784709439488,48877,0,46653,77,48569,0,46909,5
2026-08-22T18:19:29+00:00,1,1315531072,792948903936,51943,2,49625,1,52605,0,49809,1
2026-08-22T18:20:29+00:00,1,1311627448,796892180480,54667,89,53967,0,54223,100,52555,1
2026-08-22T18:21:30+00:00,1,1308579064,799895420928,52293,0,53967,0,49474,0,55023,37
2026-08-22T18:22:30+00:00,1,1308632608,799855345664,46133,0,43733,0,45731,0,55023,0
2026-08-22T18:23:30+00:00,1,1308635352,799840096256,48713,0,46310,0,48405,1,45045,61
2026-08-22T18:24:30+00:00,1,1300950532,807804719104,51779,0,49579,0,51673,0,47993,6
2026-08-22T18:25:30+00:00,1,1293816236,815084466176,54667,0,54439,2,54223,0,50987,0
2026-08-22T18:26:31+00:00,1,1293991992,814955569152,54667,44,54991,98,54223,99,53565,1
2026-08-22T18:27:31+00:00,1,1284102560,824993296384,42158,0,54991,78,41971,0,55023,0
2026-08-22T18:28:31+00:00,1,1274446760,834937384960,58530,100,59117,100,58343,100,58121,100
