step,action_mid_raw,action_mid_ma5,action_mid_ma10,action_mid_fixed,st_narrow_raw,st_narrow_ma5,st_narrow_ma10,st_narrow_fixed
1,0.8203125,,,,0.74609375,,,
2,0.76953125,,,,0.71484375,,,
3,0.734375,,,,0.734375,,,
4,0.7890625,,,,0.8359375,,,
5,0.8828125,0.79921875,,0.9375,0.82421875,0.77109375,,0.84375
6,0.87109375,0.809375,,,0.8515625,0.7921875,,
7,0.84765625,0.825,,,0.82421875,0.8140625,,
8,0.8671875,0.8515625,,,0.81640625,0.83046875,,
9,0.8828125,0.8703125,,,0.8515625,0.83359375,,
10,0.85546875,0.86484375,0.83203125,0.9375,,,,
11,0.890625,0.86875,0.8390625,,,,,
12,0.84375,0.86796875,0.846484375,,,,,
13,0.82421875,0.859375,0.85546875,,,,,
