step,control_raw,control_ma5,control_ma10,control_fixed,dvac_raw,dvac_ma5,dvac_ma10,dvac_fixed
1,0.76171875,,,,0.671875,,,
2,0.72265625,,,,0.703125,,,
3,0.7421875,,,,0.71484375,,,
4,0.65625,,,,0.72265625,,,
5,0.76953125,0.73046875,,0.84375,0.7421875,0.7109375,,0.75
6,0.80078125,0.73828125,,,0.71875,0.7203125,,
7,0.70703125,0.73515625,,,0.67578125,0.71484375,,
8,0.84375,0.75546875,,,0.75390625,0.72265625,,
9,0.84375,0.79296875,,,0.8203125,0.7421875,,
10,0.7890625,0.796875,0.763671875,0.9375,0.7734375,0.7484375,0.7296875,0.84375
11,0.828125,0.80234375,0.7703125,,0.82421875,0.76953125,0.744921875,
12,0.9140625,0.84375,0.789453125,,0.8828125,0.8109375,0.762890625,
13,0.83203125,0.84140625,0.7984375,,0.875,0.83515625,0.77890625,
14,0.84375,0.84140625,0.8171875,,0.859375,0.84296875,0.792578125,
15,0.828125,0.84921875,0.823046875,0.90625,0.890625,0.86640625,0.807421875,0.9375
16,0.8515625,0.85390625,0.828125,,0.90625,0.8828125,0.826171875,
17,0.87890625,0.846875,0.8453125,,0.84375,0.875,0.84296875,
18,0.875,0.85546875,0.8484375,,0.82421875,0.86484375,0.85,
19,0.85546875,0.8578125,0.849609375,,0.94140625,0.88125,0.862109375,
20,0.8984375,0.871875,0.860546875,0.9375,0.83984375,0.87109375,0.86875,0.90625
21,0.86328125,0.87421875,0.8640625,,0.86328125,0.8625,0.87265625,
22,0.87109375,0.87265625,0.859765625,,0.828125,0.859375,0.8671875,
23,0.87890625,0.8734375,0.864453125,,0.8515625,0.86484375,0.86484375,
24,0.921875,0.88671875,0.872265625,,0.91015625,0.85859375,0.869921875,
25,0.890625,0.88515625,0.878515625,0.9375,0.83984375,0.85859375,0.86484375,0.90625
26,0.83984375,0.88046875,0.87734375,,0.796875,0.8453125,0.85390625,
27,0.890625,0.884375,0.878515625,,0.91015625,0.86171875,0.860546875,
28,0.93359375,0.8953125,0.884375,,0.921875,0.87578125,0.8703125,
29,0.86328125,0.88359375,0.88515625,,0.8828125,0.8703125,0.864453125,
30,0.84765625,0.875,0.880078125,0.9375,0.91015625,0.884375,0.871484375,0.9375
31,0.91796875,0.890625,0.885546875,,0.90234375,0.90546875,0.875390625,
32,0.87890625,0.88828125,0.886328125,,0.88671875,0.90078125,0.88125,
33,0.93359375,0.88828125,0.891796875,,0.875,0.89140625,0.88359375,
34,0.9140625,0.8984375,0.891015625,,0.83203125,0.88125,0.87578125,
35,0.91015625,0.9109375,0.89296875,0.96875,0.91796875,0.8828125,0.88359375,0.9375
36,0.8828125,0.90390625,0.897265625,,0.90625,0.88359375,0.89453125,
37,0.90625,0.909375,0.898828125,,0.9296875,0.8921875,0.896484375,
38,0.89453125,0.9015625,0.894921875,,0.91796875,0.90078125,0.89609375,
39,0.875,0.89375,0.89609375,,0.94140625,0.92265625,0.901953125,
40,0.8671875,0.88515625,0.898046875,0.9375,0.9296875,0.925,0.90390625,0.96875
41,0.87890625,0.884375,0.894140625,,0.91015625,0.92578125,0.9046875,
42,0.90625,0.884375,0.896875,,0.91015625,0.921875,0.90703125,
43,0.92578125,0.890625,0.89609375,,0.91796875,0.921875,0.911328125,
44,0.81640625,0.87890625,0.886328125,,0.92578125,0.91875,0.920703125,
45,0.94140625,0.89375,0.889453125,0.96875,0.91015625,0.91484375,0.919921875,0.96875
46,0.91796875,0.9015625,0.89296875,,0.9375,0.9203125,0.923046875,
47,0.93359375,0.90703125,0.895703125,,0.8828125,0.91484375,0.918359375,
48,0.93359375,0.90859375,0.899609375,,0.94921875,0.92109375,0.921484375,
49,0.9453125,0.934375,0.906640625,,0.890625,0.9140625,0.91640625,
50,0.9453125,0.93515625,0.914453125,0.9375,0.8984375,0.91171875,0.91328125,0.96875
51,0.88671875,0.92890625,0.915234375,,0.91796875,0.9078125,0.9140625,
52,0.9140625,0.925,0.916015625,,0.94921875,0.92109375,0.91796875,
53,0.90625,0.91953125,0.9140625,,0.95703125,0.92265625,0.921875,
54,0.890625,0.90859375,0.921484375,,0.953125,0.93515625,0.924609375,
55,0.8828125,0.89609375,0.915625,0.9375,0.9140625,0.93828125,0.925,0.96875
56,0.94140625,0.90703125,0.91796875,,0.91796875,0.93828125,0.923046875,
57,0.91796875,0.9078125,0.91640625,,,,,
58,0.9375,0.9140625,0.916796875,,,,,
