step,success_count,episode_count,env/episode_len,env/num_trajectories,env/return,env/reward,env/success_once,rollout/advantages_max,rollout/advantages_mean,rollout/advantages_min,rollout/rewards,time/actor/actor/compute_adv,time/actor/actor/recv_traj,time/actor/actor/sync_model_to_rollout,time/actor/run_training,time/actor_training,time/cal_adv_and_returns,time/env/compute_bootstrap_rewards,time/env/env/bootstrap_step,time/env/env/send_rollout_trajectories,time/env/env_interact_step,time/env/evaluate,time/env/interact,time/env/run_interact_once,time/eval,time/generate_rollouts,time/rollout/evaluate,time/rollout/generate_one_epoch,time/rollout/predict,time/rollout/rollout/generate,time/rollout/sync_model_from_actor,time/step,time/sync_weights,train/actor/approx_kl,train/actor/clip_fraction,train/actor/clipped_ratio,train/actor/dual_cliped_ratio,train/actor/entropy_loss,train/actor/grad_norm,train/actor/lr,train/actor/policy_loss,train/actor/policy_loss_abs,train/actor/ratio,train/actor/ratio_abs,train/actor/total_loss
1,83,256,200.0,256.0,0.32421875,0.0016210938338190317,0.32421875,2.4748666286468506,-0.06499028205871582,-2.4748666286468506,0.0018342541297897696,0.03215612471103668,1164.9134521484375,6.214346885681152,22.42545509338379,22.43027687072754,0.03815102577209473,0.0014610132202506065,791.8687133789062,0.6678435206413269,353.11517333984375,,1164.011962890625,1164.0118408203125,,1166.510986328125,,1162.0142822265625,14.386472702026367,1166.465576171875,5.291839599609375,1195.200927734375,6.2197957038879395,0.1150003969669342,0.14678210020065308,0.9819898009300232,0.0,0.0,24.26406478881836,4.999999873689376e-06,0.001083968672901392,0.7248313426971436,1.0422378778457642,0.21016283333301544,6.7748042056337e-05
2,87,256,200.0,256.0,0.33984375,0.0016992187593132257,0.33984375,2.4748666286468506,-0.05656857416033745,-1.6201815605163574,0.0020127389580011368,0.005444173701107502,1176.40625,2.2839410305023193,22.376108169555664,22.381256103515625,0.010730981826782227,0.0016683079302310944,786.9127197265625,1.033305287361145,376.61688232421875,,1175.5802001953125,1175.5802001953125,,1178.374755859375,,1173.4857177734375,13.971055030822754,1178.342529296875,5.894023895263672,1206.665283203125,5.896550178527832,0.0737505778670311,0.1106312945485115,0.9893760681152344,0.0,0.0,27.80303192138672,4.999999873689376e-06,0.007560309022665024,0.652396559715271,1.015140175819397,0.1532459855079651,0.000472519313916564
3,102,256,200.0,256.0,0.3984375,0.001992187462747097,0.3984375,2.4748666286468506,-0.07258415967226028,-2.4748666286468506,0.002305084839463234,0.007275645155459642,1277.7633056640625,2.480757236480713,26.188819885253906,26.194761276245117,0.01299905776977539,0.0020209085196256638,869.2880249023438,0.9790111780166626,392.6371765136719,,1276.6680908203125,1276.6680908203125,,1281.110107421875,,1274.345703125,14.486425399780273,1281.0609130859375,5.793502330780029,1313.1156005859375,5.796822547912598,0.01795511320233345,0.058969996869564056,0.9934262633323669,0.0,0.0,22.96601676940918,4.999999873689376e-06,-0.0002762090298347175,0.731002688407898,1.0007293224334717,0.06423687189817429,-1.7263064364669845e-05
4,114,256,200.0,256.0,0.4453125,0.0022265624720603228,0.4453125,2.4748666286468506,-0.06572210043668747,-1.6201815605163574,0.002656641649082303,0.009946418926119804,1247.6478271484375,2.9574573040008545,27.20197296142578,27.207908630371094,0.016785144805908203,0.0019867978990077972,857.0477294921875,1.0277247428894043,369.8055725097656,,1246.452880859375,1246.4527587890625,,1250.6695556640625,,1244.318603515625,14.36750316619873,1250.635498046875,5.754463195800781,1283.6551513671875,5.759054660797119,0.0076460824348032475,0.050405241549015045,0.9980680346488953,0.0,0.0,12.306487083435059,4.999999873689376e-06,-0.004672294482588768,0.7175816297531128,0.9999246597290039,0.04969713091850281,-0.000292018405161798
5,117,256,200.0,256.0,0.45703125,0.0022851561661809683,0.45703125,2.4748666286468506,-0.052358027547597885,-2.4748666286468506,0.0021959857549518347,0.009779086336493492,1249.274658203125,6.066344261169434,26.070526123046875,26.07735252380371,0.016804933547973633,0.0019200905226171017,862.8607177734375,1.0372121334075928,369.0034484863281,298.93255615234375,1248.22119140625,1248.22119140625,305.3907165527344,1252.5916748046875,161.2207794189453,1245.3992919921875,16.463106155395508,1252.5504150390625,14.134855270385742,1592.0435791015625,7.964664459228516,0.010753044858574867,0.039156343787908554,0.9983683824539185,0.0,0.0,11.76911449432373,4.999999873689376e-06,-0.004298316780477762,0.692995011806488,0.9974826574325562,0.03929440677165985,-0.00026864479877986014
6,116,256,200.0,256.0,0.453125,0.0022656249348074198,0.453125,2.4748666286468506,-0.06293899565935135,-2.4748666286468506,0.0026024095714092255,0.008550604805350304,1363.8165283203125,2.1403026580810547,25.91377830505371,25.91928482055664,0.016507387161254883,0.002024357207119465,951.8480834960938,1.0823880434036255,390.5732116699219,,1362.742431640625,1362.7423095703125,,1366.995849609375,,1359.3265380859375,14.531915664672852,1366.9588623046875,1.950586199760437,1395.0789794921875,2.145521402359009,0.02103286236524582,0.06945721805095673,0.9941191673278809,0.0,0.0,26.995967864990234,4.999999873689376e-06,0.0036980656441301107,0.7082862257957458,1.0054749250411987,0.08583145588636398,0.00023112910275813192
7,139,256,200.0,256.0,0.54296875,0.002714843489229679,0.54296875,1.6201815605163574,-0.08061099052429199,-2.4748666286468506,0.0033469388727098703,0.008986575528979301,1246.726318359375,3.052034616470337,25.868301391601562,25.874250411987305,0.017117738723754883,0.0017252799589186907,874.1380615234375,1.0136324167251587,351.5613098144531,,1245.6405029296875,1245.6405029296875,,1250.0618896484375,,1242.1668701171875,14.406159400939941,1250.017822265625,6.44597864151001,1282.405029296875,6.4504218101501465,0.007866958156228065,0.024467166513204575,0.996497631072998,0.0,0.0,15.281612396240234,4.999999873689376e-06,-0.0028794417157769203,0.6493024826049805,0.9995242357254028,0.04449338838458061,-0.00017996510723605752
8,106,256,200.0,256.0,0.4140625,0.002070312388241291,0.4140625,2.4748666286468506,-0.05465231463313103,-2.4748666286468506,0.0022451316472142935,0.007677638903260231,1279.953857421875,2.915792942047119,26.07719612121582,26.083091735839844,0.014707326889038086,0.0018683422822505236,897.7557983398438,1.080247163772583,368.2545166015625,,1278.890380859375,1278.890380859375,,1283.155517578125,,1276.6832275390625,14.37024211883545,1283.119140625,7.928630828857422,1317.1884765625,7.933041572570801,-0.00037480832543224096,0.03663746267557144,1.002460241317749,0.0,0.0,19.675539016723633,4.999999873689376e-06,0.0020308231469243765,0.741552472114563,1.012670636177063,0.055705197155475616,0.00012692644668277353
9,103,256,200.0,256.0,0.40234375,0.0020117186941206455,0.40234375,2.4748666286468506,-0.0675458014011383,-1.6201815605163574,0.0026753246784210205,0.008282849565148354,1333.7071533203125,3.2798702716827393,22.52535057067871,22.5308780670166,0.01523280143737793,0.0018295282498002052,929.4068603515625,1.05791437625885,382.8380432128906,,1332.64892578125,1332.6488037109375,,1336.986083984375,,1330.1019287109375,14.572444915771484,1336.952392578125,6.870165824890137,1366.4075927734375,6.873605728149414,0.01824522763490677,0.05390056222677231,0.9956277012825012,0.0,0.0,21.774307250976562,4.999999873689376e-06,0.0030998915899544954,0.710932731628418,0.9996415376663208,0.06741143763065338,0.00019374322437215596
10,100,256,200.0,256.0,0.390625,0.001953125,0.390625,2.4748666286468506,-0.05059662461280823,-2.4748666286468506,0.002159383147954941,0.007626451086252928,1338.5787353515625,4.653111457824707,25.03110122680664,25.036090850830078,0.014811515808105469,0.0020343728829175234,911.2625732421875,1.049337387084961,405.586669921875,296.0687561035156,1337.6439208984375,1337.6439208984375,301.8125,1341.23291015625,155.8860321044922,1334.4501953125,16.444250106811523,1341.19921875,11.470746040344238,1702.622802734375,5.771794319152832,0.01925072818994522,0.07117098569869995,0.9957870841026306,0.0,0.0,28.45911407470703,4.999999873689376e-06,0.0017103670397773385,0.6113412976264954,1.0139076709747314,0.08946951478719711,0.00010689793998608366
