runner_step,actor_rank,mode,signal_mode,warmup,history_steps,history_count,history_queries,history_mean,history_std,position_center_median,position_scale_median,current_count,current_mean,current_std,valid_queries_local,weight_min,weight_p05,weight_mean,weight_p50,weight_p95,weight_max,weight_below_one_fraction,weight_above_one_fraction,residual_p05,residual_p50,residual_p95,z_low_clip_fraction,z_high_clip_fraction,positive_adv_weight_mean,negative_adv_weight_mean,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss,global_step
0,0,apply,global_zscore,1,0,0,0,0.0,0.0,,,51200,-4.441222981613407,0.6399927396647838,291,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.74673461914063,0.2095276266336441,0.1466445475816726,0.977822244167328,0.002211624989286,1
1,0,apply,global_zscore,0,1,51200,0,-4.441222981613407,0.6399927396647838,,,51200,-4.423449666593683,0.6784768779502868,235,0.0,0.2873899340629577,1.0801860094070437,1.0591492652893066,2.0,2.0,0.4577021300792694,0.542297899723053,-1.4252201318740845,0.1182986870408058,2.0,0.0074893618002533,0.0575319156050682,1.0583518743515017,1.12586510181427,39.4349365234375,0.1578516960144043,0.0743175074458122,0.9834530353546144,0.0105882324278354,2
2,0,apply,global_zscore,0,2,102400,0,-4.432336324103545,0.6595754415152972,,,51200,-4.410954271636928,0.7430232587464748,357,0.0,0.2900431156158447,1.1099947690963743,1.097350835800171,2.0,2.0,0.4295237958431244,0.5704761743545532,-1.4199137687683103,0.1947015225887298,2.0,0.0068907560780644,0.0710364133119583,1.019987940788269,1.198501467704773,55.634090423583984,0.1763777136802673,0.0665038302540779,0.9914895296096802,0.0110063813626766,3
3,0,apply,global_zscore,0,3,153600,0,-4.42520897328134,0.6885898353197136,,,51200,-4.447066167519256,0.6961964387538576,239,0.0,0.339556485414505,1.103866696357727,1.07566499710083,2.0,2.0,0.4400836825370788,0.5599163174629211,-1.3208870887756348,0.1513301730155944,2.0,0.0043514645658433,0.0697907954454422,1.0280221700668335,1.2250529527664185,46.52182769775391,0.1595021188259124,0.0469798929989337,1.001122236251831,0.0045928903855383,4
4,0,apply,global_zscore,0,4,204800,0,-4.430673271840819,0.6905642019311833,,,51200,-4.438344807583304,0.6836817589962944,161,0.0,0.3441344201564789,1.048166275024414,1.0143365859985352,1.907459378242493,2.0,0.4889441132545471,0.5110558867454529,-1.311731219291687,0.0286731664091348,1.8149187564849851,0.0031055901199579,0.0383850932121276,0.98434180021286,1.1354553699493408,43.75294876098633,0.1789296716451645,0.0588881969451904,0.998838484287262,0.0053701172582805,5
5,0,apply,global_zscore,0,5,256000,0,-4.432207578989316,0.6892000431671739,,,51200,-4.453930052084162,0.6769793097447113,288,0.0,0.3551921844482422,1.1057957410812378,1.0911352634429932,1.9844719171524048,2.0,0.4213888943195343,0.5786111354827881,-1.2896156311035156,0.1822705119848251,1.9689438343048096,0.0041666668839752,0.0472916662693023,1.0614351034164429,1.194516658782959,48.605201721191406,0.1485984325408935,0.0287658348679542,1.0225834846496582,0.0086226481944322,6
6,0,apply,global_zscore,0,5,256000,0,-4.434748993083466,0.6962832858732002,,,51200,-4.434787435178766,0.6747924222116607,181,0.0,0.3926316797733307,1.1176660060882568,1.096369981765747,1.9916670322418213,2.0,0.4202210009098053,0.5797790288925171,-1.2147367000579834,0.1927398443222046,1.983333945274353,0.0025414363481104,0.0483977906405925,1.090095281600952,1.186062574386597,38.67530822753906,0.1050029397010803,0.040668923407793,0.9886842966079712,0.0008490722393617,7
7,0,apply,global_zscore,0,5,256000,0,-4.437016546800482,0.6955447689102994,,,51200,-4.41949470120772,0.6768246992640159,180,0.0,0.395921915769577,1.0955811738967896,1.0717902183532717,1.967302918434143,2.0,0.4398888945579529,0.5601111054420471,-1.2081561088562012,0.1435804367065429,1.934605836868286,0.0025555556640028,0.0462222211062908,1.0952835083007812,1.0963999032974243,41.55904769897461,0.1507008224725723,0.0546542853116989,1.0022774934768677,0.0045621581375598,8
8,0,apply,global_zscore,0,5,256000,0,-4.438724632714641,0.6818407326328906,,,51200,-4.377941554701286,0.6527669475639899,212,0.0,0.4163376092910766,1.0991239547729492,1.0584583282470703,2.0,2.0,0.449245274066925,0.550754725933075,-1.167324781417847,0.1169167309999466,2.0,0.0017924528801813,0.0526415109634399,1.0536326169967651,1.174185037612915,32.60835266113281,0.1765183508396148,0.0449590571224689,0.997505784034729,-0.0036823679693043,9
9,0,apply,global_zscore,0,5,256000,0,-4.424899710151047,0.6735901556340758,,,51200,-4.3612487816452505,0.6320478682066558,207,0.0,0.4513239860534668,1.1439762115478516,1.1081678867340088,2.0,2.0,0.4044444561004638,0.5955555438995361,-1.0973520278930664,0.2163358032703399,2.0,0.0015458937268704,0.0596135258674621,1.0812017917633057,1.297773838043213,53.32583618164063,0.1279859691858291,0.0411408767104148,0.9962857961654664,0.0086386883631348,10
10,0,apply,global_zscore,0,5,256000,0,-4.409480504963437,0.6638319304714989,,,51200,-4.385775873057261,0.6233930238783173,208,0.0,0.4353160858154297,1.1308634281158447,1.092888116836548,2.0,2.0,0.41817307472229,0.58182692527771,-1.1293678283691406,0.1857761740684509,2.0,0.0010576923377811,0.0628846138715744,1.0846526622772217,1.2348378896713257,39.49811172485352,0.1037145406007766,0.0282788760960102,1.0089035034179688,0.0034157265909016,11
11,0,apply,global_zscore,0,5,256000,0,-4.395849669158056,0.6528919029787583,,,51200,-4.312038308386068,0.6556224023203688,156,0.0,0.4406745433807373,1.1434599161148071,1.0967528820037842,2.0,2.0,0.4202564060688019,0.5797435641288757,-1.1186509132385254,0.1935056149959564,2.0,0.0021794871427118,0.0671794861555099,1.0820969343185425,1.2815264463424685,34.073482513427734,0.1230736300349235,0.0261561498045921,1.0008742809295654,0.0020719501189887,12
12,0,apply,global_zscore,0,5,256000,0,-4.371299843799518,0.6493581186328871,,,51200,-4.304683645392823,0.6680978389595706,265,0.0,0.4309745728969574,1.1486289501190186,1.1208642721176147,2.0,2.0,0.4022641479969024,0.5977358222007751,-1.13805091381073,0.2417284846305847,2.0,0.0015094339614734,0.0675471723079681,1.1001056432724,1.2286924123764038,41.58985137939453,0.1846796572208404,0.0502274520695209,0.992628812789917,0.0006415281677618,13
13,0,apply,global_zscore,0,5,256000,0,-4.348337632636538,0.6474676112305491,,,51200,-4.34982699850197,0.6487465657635774,128,0.0,0.4194972813129425,1.140539288520813,1.1218674182891846,2.0,2.0,0.3962500095367431,0.6037499904632568,-1.1610053777694702,0.2437348961830139,2.0,0.0020312499254941,0.0570312514901161,1.0711039304733276,1.348845362663269,41.0433235168457,0.1538139432668686,0.0727983266115188,0.9784857034683228,0.0052134878933429,14
14,0,apply,global_zscore,0,5,256000,0,-4.342714721396675,0.6464992957577012,,,51200,-4.327577190362269,0.6397759801256758,235,0.0,0.3896674811840057,1.1171376705169678,1.0793750286102295,2.0,2.0,0.4354893565177917,0.5645106434822083,-1.2206649780273438,0.1587500721216201,2.0,0.0023829787969589,0.0681702122092247,1.0400642156600952,1.2783836126327517,43.52338409423828,0.1846244484186172,0.0422938726842403,1.0116108655929563,0.0049420343711972,15
15,0,apply,global_zscore,0,5,256000,0,-4.335980403140078,0.6479651799845173,,,51200,-4.335525253105798,0.6270221687307714,157,0.0,0.396865040063858,1.116355299949646,1.0750402212142944,2.0,2.0,0.4414012730121612,0.5585986971855164,-1.2062698602676392,0.1500804126262664,2.0,0.002929936395958,0.0603821650147438,1.0692740678787231,1.2114230394363403,30.4589958190918,0.1656809449195861,0.017410472035408,1.0147705078125,-0.0004544502589851,16
16,0,apply,global_zscore,0,5,256000,0,-4.325930279149786,0.6482048910024807,,,51200,-4.298830737153184,0.6413289795692715,106,0.0,0.4159230887889862,1.2091825008392334,1.1929577589035034,2.0,2.0,0.3675471842288971,0.6324528455734253,-1.1681537628173828,0.3859155774116516,2.0,0.0022641508840024,0.1126415058970451,1.155138373374939,1.2983553409576416,25.70478057861328,0.194379061460495,0.0507796481251716,0.9974554777145386,0.0015821733977645,17
17,0,apply,global_zscore,0,5,256000,0,-4.323288764903209,0.6454171580529696,,,51200,-4.347645824622165,0.6107457686580695,160,0.0,0.3621698319911957,1.110141634941101,1.0716919898986816,2.0,2.0,0.445125013589859,0.5548750162124634,-1.275660276412964,0.1433838605880737,2.0,0.0020000000949949,0.0616250000894069,1.0580066442489624,1.1806775331497192,31.20386505126953,0.1499475389719009,0.0313023291528224,0.9835890531539916,-0.0009982988703995,18
18,0,apply,global_zscore,0,5,256000,0,-4.331881200749077,0.6339322009764925,,,51200,-4.340945345608983,0.5761002147776052,179,0.0,0.3940150141716003,1.0931901931762695,1.0540778636932373,1.996062994003296,2.0,0.4518435895442962,0.5481564402580261,-1.211969971656799,0.1081558316946029,1.992125988006592,0.0031284915748983,0.049608938395977,1.0445107221603394,1.2425481081008911,34.34779739379883,0.1755312085151672,0.0401920787990093,1.0069913864135742,-0.0003413142403587,19
19,0,apply,global_zscore,0,5,256000,0,-4.33010487017048,0.6196957089353925,,,51200,-4.327469813784847,0.6031003380137647,131,0.0,0.3689057528972626,1.1278153657913208,1.094642162322998,2.0,2.0,0.4334351122379303,0.5665648579597473,-1.2621885538101196,0.1892841905355453,2.0,0.0021374046336859,0.0725190863013267,1.044431447982788,1.292688488960266,33.60067367553711,0.1764322966337204,0.0927569940686225,0.9701108932495116,0.0012169519905,20
20,0,apply,global_zscore,0,5,256000,0,-4.330083394854995,0.6122958636773953,,,51200,-4.293695139566915,0.5805839850582358,100,0.0,0.4276577532291412,1.095689058303833,1.049813747406006,1.9652564525604248,2.0,0.4569999873638153,0.5429999828338623,-1.1446844339370728,0.0996275544166565,1.9305129051208496,0.0007999999797903,0.046799998730421,1.0579993724822998,1.29356050491333,34.817012786865234,0.1853818893432617,0.086630955338478,0.9773216843605042,-8.248025551438333e-08,21
21,0,apply,global_zscore,0,5,256000,0,-4.321717372147219,0.6032241087076085,,,51200,-4.258912210314653,0.5671905469626541,133,0.0,0.4969431757926941,1.1788946390151978,1.139734983444214,2.0,2.0,0.3786466121673584,0.6213533878326416,-1.0061136484146118,0.2794702053070068,2.0,0.0004511278239078,0.070225566625595,1.1140230894088743,1.2799447774887085,32.59153747558594,0.1087696179747581,0.0291077643632888,1.0118077993392944,0.0019465544028207,22
22,0,apply,global_zscore,0,5,256000,0,-4.3137336667795125,0.5887106038952185,,,51200,-4.244297812307251,0.5285678601108914,103,0.0,0.4904455542564392,1.1556187868118286,1.1381958723068235,2.0,2.0,0.3730097115039825,0.6269903182983398,-1.0191088914871216,0.2763916850090027,2.0,0.0019417476141825,0.0533980578184127,1.121780276298523,1.2462574243545532,30.36577606201172,0.1698570549488067,0.0529727227985858,0.963708758354187,0.0021667620167136,23
23,0,apply,global_zscore,0,5,256000,0,-4.29306406431653,0.5728541883601181,,,51200,-4.21833731469479,0.5656112352590048,129,0.0082608461380004,0.5103751420974731,1.1876776218414309,1.156301975250244,2.0,2.0,0.3792248070240021,0.6207752227783203,-0.9792496562004088,0.3126038908958435,2.0,0.0,0.0844961255788803,1.1982481479644775,1.160370111465454,29.747203826904297,0.1067871823906898,0.041741743683815,0.9824560880661012,0.0012811318738386,24
24,0,apply,global_zscore,0,5,256000,0,-4.268542458133691,0.5708098005036338,,,51200,-4.2479828186812565,0.5269781785311579,102,0.0,0.3885521590709686,1.0714963674545288,0.98899507522583,2.0,2.0,0.5066666603088379,0.4933333396911621,-1.222895622253418,-0.022009901702404,2.0,0.0021568627562373,0.0703921541571617,1.0389097929000854,1.177402377128601,31.638147354125977,0.1718254089355468,0.0979480743408203,0.975833535194397,0.0043263346888124,25
