step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1502,0.80859375,,0.065,0.011,33.126,0.023,23.581,1502.1,1471.8,23.52
2,2995,0.71875,,0.036,0.0024,36.962,0.016,31.581,1493.4,1469.0,22.184
3,4495,0.703125,,0.013,0.0011,39.372,0.0095,34.115,1499.5,1474.4,22.578
4,6003,0.7890625,,0.037,0.0012,35.21,0.014,27.097,1508.5,1483.5,22.66
5,7850,0.83984375,0.875,0.015,0.000621,34.382,0.012,21.97,1847.0,1481.6,22.29
6,9425,0.84375,,0.031,0.000819,48.577,0.013,27.19,1575.2,1551.7,21.512
7,11011,0.87890625,,0.016,0.000928,36.087,0.014,20.45,1585.3,1561.2,21.739
8,12612,0.82421875,,0.035,0.0018,40.124,0.017,28.201,1601.4,1575.6,23.262
9,14250,0.859375,,0.02,0.0014,36.415,0.014,22.021,1637.8,1612.2,23.302
10,16153,0.84375,0.90625,0.014,0.00047,27.911,0.0097,19.475,1902.9,1531.6,23.005
11,17694,0.890625,,0.028,0.000281,22.679,0.0084,17.564,1540.5,1516.2,22.667
12,19307,0.83203125,,0.016,0.000448,32.394,0.01,18.38,1612.8,1587.6,22.747
13,20855,0.83984375,,0.013,0.000261,24.819,0.01,13.919,1548.9,1523.8,22.743
14,22450,0.828125,,0.032,0.0015,40.268,0.014,23.842,1594.8,1569.7,22.743
15,24308,0.87890625,0.90625,0.0052,0.000919,24.93,0.0091,19.07,1857.7,1493.3,21.565
16,25893,0.91796875,,0.025,0.000554,16.6,0.0093,9.837,1584.7,1560.0,22.807
17,27443,0.87109375,,0.015,0.0013,27.747,0.013,13.277,1549.8,1524.2,23.222
18,29043,0.88671875,,0.031,0.001,33.231,0.014,16.924,1600.2,1576.7,21.107
19,30624,0.96484375,,0.0085,5.21e-05,17.288,0.007,4.716,1580.9,1559.0,19.676
20,32575,0.91015625,0.96875,0.029,0.000887,30.118,0.011,13.294,1951.2,1568.8,22.737
21,34159,0.92578125,,0.015,0.00076,30.549,0.011,13.479,1583.8,1559.1,23.04
22,35737,0.90625,,0.027,0.000362,24.574,0.011,15.908,1578.5,1552.7,23.252
23,37298,0.99609375,,0.014,0.000417,9.049,0.0038,1.154,1560.4,1535.7,22.395
24,38852,0.89453125,,0.031,0.000779,17.544,0.0098,7.643,1553.7,1528.4,23.181
25,40754,0.98046875,0.96875,-0.0078,0.0,7.911,0.0031,1.723,1902.4,1534.7,21.059
26,42379,0.91015625,,0.013,0.000414,29.371,0.011,14.114,1625.2,1600.5,22.891
27,43983,0.90625,,0.028,0.000978,36.842,0.015,17.648,1603.9,1578.2,23.192
