run_id,policy,task,episode_id,reset_id,source_seed,success,total_action_slots,queries,first_success_action_slot,first_success_query,video_path
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,1,0,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode0_randomized-false_success-false.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,2,1,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode1_randomized-false_success-false.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,3,2,,True,69,3,68,2,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode2_randomized-false_success-true.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,4,3,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode3_randomized-false_success-false.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,5,4,,True,56,3,55,2,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode4_randomized-false_success-true.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,6,5,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode5_randomized-false_success-false.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,7,6,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode6_randomized-false_success-false.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,8,7,,True,56,3,55,2,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode7_randomized-false_success-true.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,9,8,,True,66,3,65,2,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode8_randomized-false_success-true.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,10,9,,True,67,3,66,2,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode9_randomized-false_success-true.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,11,10,,False,400,17,,,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode10_randomized-false_success-false.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,12,11,,True,66,3,65,2,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode11_randomized-false_success-true.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,13,12,,True,69,3,68,2,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode12_randomized-false_success-true.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,14,13,,True,81,4,80,3,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode13_randomized-false_success-true.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,15,14,,True,64,3,63,2,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode14_randomized-false_success-true.mp4
fastwam-turn_switch-p2-16ep-c63dc9b5-v1,fastwam,turn_switch,16,15,,True,64,3,63,2,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-turn_switch-p2-16ep-c63dc9b5-v1/turn_switch/episode15_randomized-false_success-true.mp4
