unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,matched_rss_kib,compute_process_count
1785312500,7.98655e+11,255837745152,37610856448,216190558208,4,0,4,0,39643276,0
1785312501,7.97774e+11,257236426752,39009427456,216190558208,4,0,4,0,40989188,0
1785312502,7.95751e+11,257685868544,39480242176,216178237440,4,0,4,0,40953464,0
1785312503,7.99738e+11,254580523008,36387790848,216174567424,4,0,4,0,38329284,0
1785312504,8.00596e+11,253353967616,35164823552,216174567424,4,0,4,0,37291852,0
1785312506,8.0434e+11,249729081344,31546142720,216174567424,4,0,4,0,33426576,0
1785312507,8.06594e+11,247344955392,29164953600,216174567424,4,0,4,0,30935852,0
1785312508,8.079e+11,244223750144,26043768832,216174567424,4,0,4,0,27791436,0
1785312509,8.09822e+11,242304811008,24135729152,216174567424,4,0,4,0,26506368,0
1785312510,8.08117e+11,244011511808,25837092864,216174567424,4,0,4,0,28168940,0
1785312512,8.06552e+11,245594038272,27414675456,216174567424,4,0,4,0,29652800,0
1785312513,8.04963e+11,247174270976,28994494464,216174567424,4,0,4,0,31238072,0
1785312514,8.06471e+11,245604827136,27334881280,216174567424,4,0,4,0,30539136,0
1785312515,8.07402e+11,244737564672,26538012672,216174567424,4,0,4,0,38878420,0
1785312516,8.0751e+11,244512256000,26236637184,216182956032,4,0,2617,31,27375788,2
1785312518,8.18532e+11,233435029504,15252426752,216191344640,7167,28,8603,5,17572004,2
1785312519,8.21705e+11,232047689728,13760880640,216295809024,17705,0,17705,0,16432384,2
1785312520,8.1934e+11,232464216064,14177787904,216295813120,17705,0,17705,0,16432456,2
1785312521,8.19099e+11,232708857856,14416330752,216295813120,17705,0,17705,0,16433444,2
1785312522,8.18926e+11,232874373120,14582251520,216295821312,17705,0,17705,0,16434032,2
1785312523,8.18892e+11,232975618048,14678384640,216295821312,17705,0,17705,0,16433944,2
1785312525,8.18646e+11,233191817216,14888923136,216295821312,17705,0,17705,0,16434244,2
1785312526,8.18462e+11,233398964224,15095209984,216295821312,17705,0,17705,0,16434104,2
1785312527,8.18093e+11,233864921088,15561670656,216295821312,17705,0,17705,0,16434868,2
1785312528,8.17229e+11,234635472896,16325324800,216295854080,17705,0,17705,0,16434520,2
1785312529,8.16718e+11,235163607040,16775512064,216295895040,17705,0,17705,0,16434520,2
1785312531,8.1829e+11,235369668608,16975953920,216295903232,17705,0,17705,0,16434408,2
1785312532,8.18361e+11,235490992128,17102544896,216295903232,17705,0,17705,0,16434408,2
1785312533,8.18157e+11,235645554688,17251786752,216295911424,17705,0,17705,0,16435964,2
1785312534,8.1746e+11,235854827520,17460228096,216295911424,17705,0,17705,0,16436200,2
1785312535,8.15472e+11,236006043648,17609670656,216295911424,17705,0,17705,0,16436176,2
1785312537,8.14836e+11,236529528832,18132254720,216295911424,17705,0,17705,0,16438020,2
1785312538,8.14282e+11,237174394880,18755440640,216309981184,17721,51,17721,3,16692180,2
1785312539,8.14017e+11,237460623360,18957877248,216318672896,26447,100,26447,18,16864072,2
1785312540,8.28248e+11,222768988160,4653998080,216258027520,26447,1,4,54,2060720,0
1785312541,8.30832e+11,220213760000,2273255424,216197423104,4,0,4,0,1462588,0
1785312543,8.31271e+11,219792588800,1864814592,216197419008,4,0,4,0,1463032,0
1785312544,8.32515e+11,218473979904,615153664,216197398528,4,0,4,0,0,0
