policy,task,outcome,metric,axis,bin_index,x_left,x_right,x_center,n_at_risk,mean,sd,episodes_total,main_L
fastwam,adjust_bottle,success,abs_R,absolute_slot,3,72.0,96.0,84.0,16,0.5762833753686722,0.24467887268308905,16,5
fastwam,adjust_bottle,success,abs_R,absolute_slot,4,96.0,120.0,108.0,16,1.440093701832416,0.5975711544194992,16,5
fastwam,adjust_bottle,success,S,normalized_progress,0,0.0,0.05,0.025,16,0.6073748856180161,0.2794242587362043,16,5
fastwam,adjust_bottle,success,S,normalized_progress,1,0.05,0.1,0.075,16,0.6073748856180161,0.27942425873620436,16,5
fastwam,adjust_bottle,success,S,normalized_progress,2,0.1,0.15,0.125,16,0.6073748856180161,0.2794242587362043,16,5
fastwam,adjust_bottle,success,S,normalized_progress,3,0.15,0.2,0.175,16,0.6073748856180161,0.27942425873620436,16,5
fastwam,adjust_bottle,success,S,normalized_progress,4,0.2,0.25,0.225,16,-0.43925863549441346,0.2034802048901926,16,5
fastwam,adjust_bottle,success,S,normalized_progress,5,0.25,0.3,0.275,16,-0.6373596139245529,0.1354704661320534,16,5
fastwam,adjust_bottle,success,S,normalized_progress,6,0.3,0.35,0.325,16,-0.6373596139245529,0.1354704661320534,16,5
fastwam,adjust_bottle,success,S,normalized_progress,7,0.35,0.4,0.375,16,-0.6373596139245529,0.1354704661320534,16,5
fastwam,adjust_bottle,success,S,normalized_progress,8,0.4,0.45,0.425,16,-0.5516540501246037,0.19642956193690403,16,5
fastwam,adjust_bottle,success,S,normalized_progress,9,0.45,0.5,0.475,16,-0.507433083373305,0.23583238921414815,16,5
fastwam,adjust_bottle,success,S,normalized_progress,10,0.5,0.55,0.525,16,-0.507433083373305,0.23583238921414815,16,5
fastwam,adjust_bottle,success,S,normalized_progress,11,0.55,0.6,0.575,16,-0.507433083373305,0.23583238921414815,16,5
fastwam,adjust_bottle,success,S,normalized_progress,12,0.6,0.65,0.625,16,-0.04558902260677586,0.4518737857419726,16,5
fastwam,adjust_bottle,success,S,normalized_progress,13,0.65,0.7,0.675,16,0.2962536052773943,0.3430439320102449,16,5
fastwam,adjust_bottle,success,S,normalized_progress,14,0.7,0.75,0.725,16,0.3077532112215271,0.33724974493353405,16,5
fastwam,adjust_bottle,success,S,normalized_progress,15,0.75,0.8,0.775,16,0.3077532112215271,0.33724974493353405,16,5
fastwam,adjust_bottle,success,S,normalized_progress,16,0.8,0.85,0.825,16,0.7571889829445655,0.3797234131125816,16,5
fastwam,adjust_bottle,success,S,normalized_progress,17,0.85,0.9,0.875,16,1.2438160722485707,0.4815317365715366,16,5
fastwam,adjust_bottle,success,S,normalized_progress,18,0.9,0.95,0.925,16,1.265928159752514,0.48710403513413647,16,5
fastwam,adjust_bottle,success,S,normalized_progress,19,0.95,1.0,0.975,16,1.265928159752514,0.48710403513413647,16,5
fastwam,adjust_bottle,success,S,absolute_slot,0,0.0,24.0,12.0,16,0.6073748856180161,0.2794242587362043,16,5
fastwam,adjust_bottle,success,S,absolute_slot,1,24.0,48.0,36.0,16,-0.6373596139245529,0.1354704661320534,16,5
fastwam,adjust_bottle,success,S,absolute_slot,2,48.0,72.0,60.0,16,-0.507433083373305,0.23583238921414815,16,5
fastwam,adjust_bottle,success,S,absolute_slot,3,72.0,96.0,84.0,16,0.3077532112215271,0.33724974493353405,16,5
fastwam,adjust_bottle,success,S,absolute_slot,4,96.0,120.0,108.0,16,1.265928159752514,0.48710403513413636,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,0,0.0,0.05,0.025,16,0.8562552028039394,0.27789645111975037,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,1,0.05,0.1,0.075,16,0.5136339297166939,0.19254148929825377,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,2,0.1,0.15,0.125,16,0.6965298200788417,0.22159753876406316,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,3,0.15,0.2,0.175,16,0.7548979716956001,0.39098469077933784,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,4,0.2,0.25,0.225,16,0.6001507983681293,0.17664211152573317,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,5,0.25,0.3,0.275,16,0.51737786118166,0.12933124074089705,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,6,0.3,0.35,0.325,16,0.4053438525309257,0.1283325372120463,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,7,0.35,0.4,0.375,16,0.45582029607453495,0.1855917346491487,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,8,0.4,0.45,0.425,16,0.7032254251910899,0.20992130143652296,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,9,0.45,0.5,0.475,16,0.6605884458038708,0.2893596590928932,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,10,0.5,0.55,0.525,16,0.39641915091449287,0.15043406125483746,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,11,0.55,0.6,0.575,16,0.5105375794521527,0.19032210259482246,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,12,0.6,0.65,0.625,16,0.5484932278200881,0.20935917786008648,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,13,0.65,0.7,0.675,16,0.659280802569666,0.3382964154855947,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,14,0.7,0.75,0.725,16,0.5833350872838542,0.357129689658269,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,15,0.75,0.8,0.775,16,0.707379370616777,0.2287863737042045,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,16,0.8,0.85,0.825,16,0.742493673846699,0.23266976928816316,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,17,0.85,0.9,0.875,16,0.8218259749990332,0.29794782151798904,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,18,0.9,0.95,0.925,16,1.037789400407124,0.5957743226728626,16,5
fastwam,adjust_bottle,success,abs_I,normalized_progress,19,0.95,1.0,0.975,16,0.9452205699822197,0.6041236178666781,16,5
fastwam,adjust_bottle,success,abs_I,absolute_slot,0,0.0,24.0,12.0,16,0.7007449516848908,0.16115466753557622,16,5
fastwam,adjust_bottle,success,abs_I,absolute_slot,1,24.0,48.0,36.0,16,0.48951340549347755,0.0841853666408499,16,5
fastwam,adjust_bottle,success,abs_I,absolute_slot,2,48.0,72.0,60.0,16,0.55673930075121,0.11762171552155572,16,5
fastwam,adjust_bottle,success,abs_I,absolute_slot,3,72.0,96.0,84.0,16,0.6528384264211076,0.22194559120683977,16,5
