case,policy,task,outcome,marker,action_or_query_slot,description,terminal_no_metric,V,y_ln,b_position,mad_scale,r_raw,R_std,S_std,I_std
pi0_adjust_success,pi0,adjust_bottle,success,A,0,q0：初始瓶子,False,0.0109944622963666,-4.51036356045806,-4.942914457989327,0.3630381394365169,0.4325508975312671,1.1914750835894077,0.0683208162255898,1.1231542673638175
pi0_adjust_success,pi0,adjust_bottle,success,B,50,q1：接触/抓取,False,0.0102680139243602,-4.578721659784031,-4.942914457989327,0.3630381394365169,0.3641927982052966,1.0031805439796817,0.4959266539016934,0.5072538900779883
pi0_adjust_success,pi0,adjust_bottle,success,C,100,q2：抬起并旋转,False,0.0052540320903062,-5.24875947976137,-4.942914457989327,0.3630381394365169,-0.3058450217720425,-0.842459754357364,-1.0369152619600668,0.1944555076027028
pi0_adjust_success,pi0,adjust_bottle,success,D,150,q3：已成功后的输入,False,0.0079159913584589,-4.83887034277109,-4.942914457989327,0.3630381394365169,0.1040441152182376,0.2865927954008573,-1.341320630911793,1.6279134263126505
pi0_adjust_failure,pi0,adjust_bottle,failure,A,0,q0：初始瓶子,False,0.0105604045093059,-4.550643695537489,-4.942914457989327,0.3630381394365169,0.3922707624518384,1.0805221816658006,0.8385765326325183,0.2419456490332823
pi0_adjust_failure,pi0,adjust_bottle,failure,B,50,q1：抓取尝试,False,0.0058754635974764,-5.136970311686198,-4.942914457989327,0.3630381394365169,-0.194055853696871,-0.5345329666962025,0.4325035539952718,-0.9670365206914744
pi0_adjust_failure,pi0,adjust_bottle,failure,C,100,q2：仍未完成,False,0.0050919484347105,-5.280094724868002,-4.942914457989327,0.3630381394365169,-0.3371802668786747,-0.92877367485968,0.4140894748987623,-1.3428631497584422
pi0_adjust_failure,pi0,adjust_bottle,failure,D,150,q3：末段仍未完成,False,0.005793591029942,-5.151002967051645,-4.942914457989327,0.3630381394365169,-0.2080885090623176,-0.5731863582853814,1.254461007660139,-1.8276473659455204
fastwam_adjust_success,fastwam,adjust_bottle,success,A,0,初始；q0,False,0.0002421052777208,-8.326137890371804,-8.238739377893632,0.2626730203326632,-0.0873985124781722,-0.3327274052260335,0.8621825566498003,-1.194909961875834
fastwam_adjust_success,fastwam,adjust_bottle,success,B,16,接近瓶身,False,0.0008339938358403,-7.08928454551248,-8.082929606475963,0.6644817854920884,0.993645060963483,1.495368394827602,0.8621825566498003,0.6331858381778017
fastwam_adjust_success,fastwam,adjust_bottle,success,C,24,q1 开始；建立接触,False,0.0002164670877391,-8.438072037138866,-8.238739377893632,0.2626730203326632,-0.1993326592452344,-0.7588623262213563,-0.6925455549874402,-0.0663167712339161
fastwam_adjust_success,fastwam,adjust_bottle,success,D,48,q2 开始；双臂调整,False,0.0001770581875462,-8.639032130567871,-8.238739377893632,0.2626730203326632,-0.4002927526742397,-1.5239203179956868,-0.594700323025485,-0.9292199949702018
fastwam_adjust_success,fastwam,adjust_bottle,success,E,72,q3 开始；继续调整,False,0.0003147592942696,-8.063702353245205,-8.238739377893632,0.2626730203326632,0.1750370246484269,0.6663684927624111,0.0205801796164445,0.6457883131459665
fastwam_adjust_success,fastwam,adjust_bottle,success,F,96,q4 开始；末段,False,0.000463164091343,-7.6774291555587,-8.238739377893632,0.2626730203326632,0.5613102223349316,2.1369161614849443,1.491350996377108,0.6455651651078365
