policy,task,metric,L,success_episodes,failure_episodes,success_mean,success_sd,failure_mean,failure_sd,success_minus_failure,bootstrap_ci_low,bootstrap_ci_high,aggregation_unit
fastwam,adjust_bottle,S,3,16,0,0.16098938053894926,0.17117507884484057,,,,,,episode_equal_mean_of_full_H_query_metrics
fastwam,adjust_bottle,S,5,16,0,0.20725271185883992,0.1553944348078481,,,,,,episode_equal_mean_of_full_H_query_metrics
fastwam,adjust_bottle,abs_I,3,16,0,0.6431523096224494,0.0628861375072416,,,,,,episode_equal_mean_of_full_H_query_metrics
fastwam,adjust_bottle,abs_I,5,16,0,0.6691704236941601,0.0813200846200946,,,,,,episode_equal_mean_of_full_H_query_metrics
fastwam,adjust_bottle,abs_R,3,16,0,0.8372231320498473,0.10636700074721145,,,,,,episode_equal_mean_of_full_H_query_metrics
fastwam,adjust_bottle,abs_R,5,16,0,0.8820691816456493,0.11266672884072347,,,,,,episode_equal_mean_of_full_H_query_metrics
fastwam,move_stapler_pad,S,3,11,5,0.05419887903456862,0.34359843401113327,0.6533011864428933,0.5108164811063501,-0.5991023074083246,-1.0059580273331976,-0.1370807095472409,episode_equal_mean_of_full_H_query_metrics
fastwam,move_stapler_pad,S,5,11,5,0.08725186487670976,0.35278555649860016,0.7496345533328166,0.4951569759694712,-0.6623826884561068,-1.0547175076578927,-0.18781744229798342,episode_equal_mean_of_full_H_query_metrics
fastwam,move_stapler_pad,abs_I,3,11,5,0.6610977254699473,0.17124139372742103,0.8033088759033614,0.21718983219161112,-0.14221115043341415,-0.3231995697564448,0.057613762192435435,episode_equal_mean_of_full_H_query_metrics
fastwam,move_stapler_pad,abs_I,5,11,5,0.6460021021554874,0.21580008390893476,0.8271073598434098,0.2321184750325727,-0.1811052576879224,-0.38972533979693236,0.03643594725027325,episode_equal_mean_of_full_H_query_metrics
fastwam,move_stapler_pad,abs_R,3,11,5,0.8484873249842303,0.2766383110254008,1.1836586083349012,0.3915817623051489,-0.3351712833506709,-0.6520670461866591,0.02890207845124933,episode_equal_mean_of_full_H_query_metrics
fastwam,move_stapler_pad,abs_R,5,11,5,0.8470928587782903,0.3282426044157313,1.2821874406435794,0.41899148706751954,-0.43509458186528904,-0.7750271749940637,-0.030453144759066825,episode_equal_mean_of_full_H_query_metrics
fastwam,pick_diverse_bottles,S,3,12,4,-0.15692140358783083,0.20978839784236034,0.38494783348458217,0.44793321459406926,-0.541869237072413,-0.988070212401361,-0.20589687456186245,episode_equal_mean_of_full_H_query_metrics
fastwam,pick_diverse_bottles,S,5,12,4,-0.342023790596341,0.19484572184278773,0.4173041190607407,0.42809125032078976,-0.7593279096570817,-1.1684706673791783,-0.4417569535723768,episode_equal_mean_of_full_H_query_metrics
fastwam,pick_diverse_bottles,abs_I,3,12,4,0.6743422774978414,0.13982494248104205,0.6315459491625822,0.165381493827593,0.04279632833525915,-0.13388921644417445,0.18304325996001736,episode_equal_mean_of_full_H_query_metrics
fastwam,pick_diverse_bottles,abs_I,5,12,4,0.6155639221664418,0.1253833613956782,0.5200438547379667,0.18293263811307386,0.09552006742847519,-0.09339655303079748,0.2400104889289338,episode_equal_mean_of_full_H_query_metrics
fastwam,pick_diverse_bottles,abs_R,3,12,4,0.8021355512438135,0.10228450556106498,0.8679487208498746,0.42354788975434887,-0.0658131696060611,-0.47317524927061316,0.2258872867788498,episode_equal_mean_of_full_H_query_metrics
fastwam,pick_diverse_bottles,abs_R,5,12,4,0.8035468385592877,0.0860404503311159,0.8149256009695403,0.435699839156226,-0.011378762410252596,-0.4385248179155976,0.28217156276264926,episode_equal_mean_of_full_H_query_metrics
fastwam,turn_switch,S,3,10,6,0.6958932428919786,0.35585784512447743,0.13309129963573604,0.4962246088810479,0.5628019432562426,0.14662767353117181,0.9605924058410669,episode_equal_mean_of_full_H_query_metrics
fastwam,turn_switch,S,5,10,6,1.0571736515447328,0.47968604131941134,0.17246479122830624,0.5750833944696667,0.8847088603164265,0.3514822137510897,1.3624314203273797,episode_equal_mean_of_full_H_query_metrics
fastwam,turn_switch,abs_I,3,10,6,0.6747557870208669,0.09210772173873134,0.5778996663359809,0.10489186054702285,0.09685612068488603,-0.0024452006153460938,0.18548337195927547,episode_equal_mean_of_full_H_query_metrics
fastwam,turn_switch,abs_I,5,10,6,0.6720750460353361,0.09212206229826879,0.5676574442913404,0.10766739115846934,0.10441760174399572,0.006525293738991674,0.1931637710268874,episode_equal_mean_of_full_H_query_metrics
fastwam,turn_switch,abs_R,3,10,6,1.3001083796042447,0.36730392457360905,0.8370032673205623,0.23312521878501524,0.46310511228368245,0.1907104599771592,0.7495787274214318,episode_equal_mean_of_full_H_query_metrics
fastwam,turn_switch,abs_R,5,10,6,1.5537519579140657,0.5279507679793921,0.9049283649722543,0.274491162099771,0.6488235929418115,0.29173160334088055,1.0308207857614278,episode_equal_mean_of_full_H_query_metrics
pi0,adjust_bottle,S,2,42,22,-0.050020209129974805,0.1929342634003961,0.15626160764302122,0.34610782789271777,-0.206281816772996,-0.36286519289500074,-0.0594465936486032,episode_equal_mean_of_full_H_query_metrics
pi0,adjust_bottle,S,3,42,22,-0.13515774521470866,0.22329275998061635,0.30089799938072925,0.4502898079807699,-0.43605574459543794,-0.6353609901055605,-0.24348727632797768,episode_equal_mean_of_full_H_query_metrics
pi0,adjust_bottle,S,4,42,22,-0.03145956390956782,0.3008654134494317,0.4791902192641204,0.6507036611233034,-0.5106497831736883,-0.8034472555611779,-0.2364166305203409,episode_equal_mean_of_full_H_query_metrics
